time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,23.3,15.6,6.0,Adıyaman
2024-05-02,21.0,14.8,16.7,Adıyaman
2024-05-03,20.7,13.0,1.9,Adıyaman
2024-05-04,19.3,9.7,9.2,Adıyaman
2024-05-05,16.4,11.1,5.7,Adıyaman
2024-05-06,16.4,9.4,3.2,Adıyaman
2024-05-07,19.5,7.6,0.4,Adıyaman
2024-05-08,23.3,8.9,0.0,Adıyaman
2024-05-09,22.9,11.7,0.0,Adıyaman
2024-05-10,27.3,13.2,0.0,Adıyaman
2024-05-11,22.7,13.8,18.5,Adıyaman
2024-05-12,22.0,12.2,2.7,Adıyaman
2024-05-13,18.3,11.6,8.4,Adıyaman
2024-05-14,21.0,8.4,0.2,Adıyaman
2024-05-15,21.8,9.5,0.0,Adıyaman
2024-05-16,23.2,9.8,0.6,Adıyaman
2024-05-17,24.6,11.6,0.0,Adıyaman
2024-05-18,24.6,11.8,0.0,Adıyaman
2024-05-19,29.3,14.3,0.0,Adıyaman
2024-05-20,27.4,16.0,0.0,Adıyaman
2024-05-21,29.2,15.7,0.0,Adıyaman
2024-05-22,30.2,17.1,0.0,Adıyaman
2024-05-23,28.5,16.4,0.6,Adıyaman
2024-05-24,24.0,15.7,1.1,Adıyaman
2024-05-25,23.4,12.4,8.8,Adıyaman
2024-05-26,25.2,12.7,0.3,Adıyaman
2024-05-27,25.5,14.8,1.5,Adıyaman
2024-05-28,29.6,16.5,0.0,Adıyaman
2024-05-29,28.3,13.9,0.0,Adıyaman
2024-05-30,31.5,16.5,0.0,Adıyaman
2024-05-31,29.5,15.9,0.0,Adıyaman
2024-06-01,30.8,15.6,0.0,Adıyaman
2024-06-02,33.0,15.5,0.0,Adıyaman
2024-06-03,35.4,16.5,0.0,Adıyaman
2024-06-04,35.8,21.9,0.0,Adıyaman
2024-06-05,36.9,19.4,0.1,Adıyaman
2024-06-06,37.5,20.9,0.0,Adıyaman
2024-06-07,37.6,25.5,0.0,Adıyaman
2024-06-08,36.8,23.9,0.1,Adıyaman
2024-06-09,33.9,20.1,0.1,Adıyaman
