time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,20.9,12.5,14.4,Aksaray
2024-05-02,21.3,11.8,1.0,Aksaray
2024-05-03,18.3,9.4,0.2,Aksaray
2024-05-04,19.1,9.4,13.4,Aksaray
2024-05-05,15.6,6.8,9.6,Aksaray
2024-05-06,15.0,3.3,0.0,Aksaray
2024-05-07,16.9,2.3,0.0,Aksaray
2024-05-08,22.1,4.5,0.0,Aksaray
2024-05-09,23.2,7.1,0.0,Aksaray
2024-05-10,27.6,7.4,0.0,Aksaray
2024-05-11,23.4,11.6,3.1,Aksaray
2024-05-12,17.8,9.5,2.5,Aksaray
2024-05-13,17.8,8.6,0.4,Aksaray
2024-05-14,15.7,6.0,0.0,Aksaray
2024-05-15,20.8,5.3,0.5,Aksaray
2024-05-16,22.5,8.3,0.0,Aksaray
2024-05-17,24.9,9.6,0.7,Aksaray
2024-05-18,27.8,13.4,0.0,Aksaray
2024-05-19,26.5,12.9,0.2,Aksaray
2024-05-20,27.2,14.0,0.0,Aksaray
2024-05-21,27.7,14.5,0.9,Aksaray
2024-05-22,30.2,14.5,0.0,Aksaray
2024-05-23,29.0,12.9,1.9,Aksaray
2024-05-24,19.7,12.1,2.0,Aksaray
2024-05-25,20.5,11.1,9.4,Aksaray
2024-05-26,23.6,9.1,0.1,Aksaray
2024-05-27,20.5,12.2,1.6,Aksaray
2024-05-28,21.9,9.9,1.4,Aksaray
2024-05-29,23.7,8.9,0.2,Aksaray
2024-05-30,24.0,11.7,0.0,Aksaray
2024-05-31,23.7,13.0,3.0,Aksaray
2024-06-01,26.0,10.7,0.0,Aksaray
2024-06-02,29.7,13.7,0.0,Aksaray
2024-06-03,32.5,16.0,0.0,Aksaray
2024-06-04,33.3,17.7,0.0,Aksaray
2024-06-05,34.0,16.4,0.0,Aksaray
2024-06-06,34.4,17.6,0.0,Aksaray
2024-06-07,31.1,17.6,1.0,Aksaray
2024-06-08,29.1,14.9,0.6,Aksaray
2024-06-09,27.6,13.6,0.0,Aksaray
2024-06-10,29.0,15.1,0.0,Aksaray
2024-06-11,31.9,14.5,0.0,Aksaray
2024-06-12,35.6,17.8,0.0,Aksaray
2024-06-13,35.9,19.2,0.0,Aksaray
2024-06-14,36.3,19.0,0.0,Aksaray
2024-06-15,29.7,19.2,0.0,Aksaray
2024-06-16,30.9,14.0,0.0,Aksaray
2024-06-17,34.0,16.5,0.0,Aksaray
2024-06-18,34.7,19.6,0.0,Aksaray
2024-06-19,34.9,19.9,0.0,Aksaray
2024-06-20,35.0,19.2,0.0,Aksaray
2024-06-21,32.9,18.8,0.0,Aksaray
2024-06-22,33.8,17.3,0.0,Aksaray
2024-06-23,34.2,16.5,0.0,Aksaray
2024-06-24,34.6,16.5,0.0,Aksaray
2024-06-25,36.8,17.0,0.0,Aksaray
2024-06-26,32.2,19.9,0.0,Aksaray
2024-06-27,32.3,17.4,0.0,Aksaray
2024-06-28,34.6,18.5,0.0,Aksaray
2024-06-29,30.5,19.6,0.0,Aksaray
2024-06-30,27.5,16.1,0.1,Aksaray
2024-07-01,29.0,15.4,0.0,Aksaray
2024-07-02,30.2,16.7,0.0,Aksaray
2024-07-03,35.8,16.1,0.0,Aksaray
2024-07-04,35.5,19.2,0.0,Aksaray
2024-07-05,32.2,19.2,0.0,Aksaray
2024-07-06,28.1,18.4,0.7,Aksaray
2024-07-07,32.1,19.5,0.0,Aksaray
2024-07-08,33.0,18.4,0.0,Aksaray
2024-07-09,32.8,19.2,0.0,Aksaray
2024-07-10,32.9,19.7,0.0,Aksaray
2024-07-11,33.0,19.4,0.0,Aksaray
2024-07-12,33.4,17.9,0.0,Aksaray
2024-07-13,33.9,20.7,0.0,Aksaray
2024-07-14,31.9,20.3,3.7,Aksaray
2024-07-15,32.0,18.8,0.0,Aksaray
2024-07-16,33.5,19.8,0.0,Aksaray
2024-07-17,34.4,22.2,0.0,Aksaray
2024-07-18,33.5,19.8,0.2,Aksaray
2024-07-19,33.5,20.8,0.0,Aksaray
2024-07-20,33.8,19.2,0.0,Aksaray
2024-07-21,35.5,20.8,0.0,Aksaray
2024-07-22,36.1,19.3,0.0,Aksaray
2024-07-23,36.6,21.2,0.0,Aksaray
2024-07-24,34.7,22.2,0.0,Aksaray
2024-07-25,34.7,22.3,0.0,Aksaray
2024-07-26,29.6,20.1,0.0,Aksaray
2024-07-27,27.9,17.2,0.0,Aksaray
2024-07-28,30.3,17.6,0.0,Aksaray
2024-07-29,31.7,16.2,0.0,Aksaray
2024-07-30,31.9,17.1,0.0,Aksaray
2024-07-31,30.9,18.0,0.0,Aksaray
2024-08-01,31.6,17.4,0.0,Aksaray
