time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,25.9,14.1,11.8,Amasya
2024-05-02,19.8,13.6,15.6,Amasya
2024-05-03,17.9,13.2,6.9,Amasya
2024-05-04,18.8,10.8,4.3,Amasya
2024-05-05,16.5,8.5,0.4,Amasya
2024-05-06,16.4,4.0,0.0,Amasya
2024-05-07,20.4,5.0,0.0,Amasya
2024-05-08,24.5,9.9,0.0,Amasya
2024-05-09,27.2,11.5,0.0,Amasya
2024-05-10,25.9,12.0,1.0,Amasya
2024-05-11,23.7,11.5,11.5,Amasya
2024-05-12,19.0,10.8,4.3,Amasya
2024-05-13,19.1,7.7,0.1,Amasya
2024-05-14,15.3,6.7,3.3,Amasya
2024-05-15,19.9,4.9,0.0,Amasya
2024-05-16,19.3,6.4,1.7,Amasya
2024-05-17,22.6,6.4,0.0,Amasya
2024-05-18,24.9,9.2,0.0,Amasya
2024-05-19,25.0,11.2,0.0,Amasya
2024-05-20,26.1,13.5,0.3,Amasya
2024-05-21,27.7,11.0,0.0,Amasya
2024-05-22,30.4,11.3,0.0,Amasya
2024-05-23,31.7,15.1,0.0,Amasya
2024-05-24,23.8,15.9,1.5,Amasya
2024-05-25,22.8,13.9,5.3,Amasya
2024-05-26,24.9,12.1,0.8,Amasya
2024-05-27,22.9,11.9,13.3,Amasya
2024-05-28,24.7,12.5,12.0,Amasya
2024-05-29,25.6,13.5,0.4,Amasya
2024-05-30,28.5,13.4,0.6,Amasya
2024-05-31,25.7,15.5,3.1,Amasya
2024-06-01,28.3,15.1,0.0,Amasya
2024-06-02,31.5,16.1,0.0,Amasya
2024-06-03,33.3,18.4,0.0,Amasya
2024-06-04,34.9,19.1,0.0,Amasya
2024-06-05,36.7,19.0,0.0,Amasya
2024-06-06,35.3,20.3,0.0,Amasya
2024-06-07,30.8,18.5,0.0,Amasya
2024-06-08,28.7,17.8,6.3,Amasya
2024-06-09,30.2,16.3,0.4,Amasya
2024-06-10,32.6,15.7,0.1,Amasya
2024-06-11,35.7,17.3,0.0,Amasya
2024-06-12,39.0,19.9,0.0,Amasya
2024-06-13,37.4,22.3,0.0,Amasya
2024-06-14,37.2,21.6,0.3,Amasya
2024-06-15,34.0,20.5,0.0,Amasya
2024-06-16,30.9,19.4,0.0,Amasya
2024-06-17,33.3,17.7,0.0,Amasya
2024-06-18,33.2,17.5,0.0,Amasya
2024-06-19,33.4,16.9,0.0,Amasya
2024-06-20,34.7,17.9,0.0,Amasya
2024-06-21,32.6,18.9,0.0,Amasya
2024-06-22,31.5,16.3,0.0,Amasya
2024-06-23,34.4,14.9,0.0,Amasya
2024-06-24,38.4,16.0,0.0,Amasya
2024-06-25,34.0,18.5,0.0,Amasya
2024-06-26,29.5,18.5,0.0,Amasya
