time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,19.9,13.9,4.7,Ankara
2024-05-02,18.1,10.0,0.0,Ankara
2024-05-03,17.9,9.1,4.6,Ankara
2024-05-04,17.6,8.5,0.4,Ankara
2024-05-05,16.8,6.4,0.9,Ankara
2024-05-06,16.7,3.4,0.0,Ankara
2024-05-07,19.5,4.4,0.0,Ankara
2024-05-08,22.4,9.6,0.0,Ankara
2024-05-09,23.0,9.2,0.0,Ankara
2024-05-10,25.4,11.4,1.0,Ankara
2024-05-11,19.5,10.8,6.3,Ankara
2024-05-12,14.4,9.3,2.6,Ankara
2024-05-13,17.8,7.0,3.0,Ankara
2024-05-14,14.8,3.6,0.0,Ankara
2024-05-15,18.0,5.6,0.0,Ankara
2024-05-16,20.9,7.9,0.9,Ankara
2024-05-17,22.9,9.2,1.1,Ankara
2024-05-18,26.6,13.1,3.8,Ankara
2024-05-19,24.9,12.7,0.0,Ankara
2024-05-20,25.7,13.8,0.7,Ankara
2024-05-21,25.7,12.7,0.1,Ankara
2024-05-22,29.8,13.9,0.0,Ankara
2024-05-23,27.5,15.3,3.7,Ankara
2024-05-24,19.8,12.3,5.3,Ankara
2024-05-25,20.2,9.4,3.0,Ankara
2024-05-26,22.0,11.1,0.0,Ankara
2024-05-27,19.9,11.5,3.0,Ankara
2024-05-28,19.5,11.2,10.8,Ankara
2024-05-29,23.1,9.8,0.3,Ankara
2024-05-30,22.1,12.0,1.1,Ankara
2024-05-31,22.9,13.8,2.3,Ankara
2024-06-01,26.9,11.2,0.0,Ankara
2024-06-02,29.1,14.4,0.0,Ankara
2024-06-03,31.1,16.5,0.0,Ankara
2024-06-04,31.6,16.9,0.4,Ankara
2024-06-05,32.3,19.4,0.0,Ankara
2024-06-06,32.4,17.9,0.0,Ankara
2024-06-07,28.7,18.2,4.0,Ankara
2024-06-08,24.3,15.9,16.7,Ankara
2024-06-09,27.2,14.0,0.0,Ankara
2024-06-10,28.3,14.3,0.0,Ankara
2024-06-11,32.9,15.8,0.0,Ankara
2024-06-12,34.6,19.5,0.0,Ankara
2024-06-13,34.3,19.7,0.0,Ankara
2024-06-14,34.7,21.9,0.1,Ankara
2024-06-15,27.5,17.7,0.0,Ankara
