time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,26.3,18.6,0.4,Antalya
2024-05-02,25.8,17.6,0.0,Antalya
2024-05-03,26.4,18.3,0.0,Antalya
2024-05-04,23.7,16.0,0.8,Antalya
2024-05-05,23.5,14.6,0.5,Antalya
2024-05-06,26.0,15.7,0.0,Antalya
2024-05-07,26.2,13.2,0.0,Antalya
2024-05-08,22.4,13.5,0.0,Antalya
2024-05-09,23.0,15.1,0.0,Antalya
2024-05-10,29.2,15.8,0.4,Antalya
2024-05-11,21.1,15.8,5.2,Antalya
2024-05-12,22.3,15.2,11.4,Antalya
2024-05-13,26.6,16.3,0.0,Antalya
2024-05-14,26.3,17.4,0.0,Antalya
2024-05-15,22.6,15.5,0.0,Antalya
2024-05-16,23.2,14.1,0.0,Antalya
2024-05-17,24.2,15.7,0.0,Antalya
2024-05-18,26.0,17.7,0.0,Antalya
2024-05-19,24.6,17.7,0.0,Antalya
2024-05-20,24.9,18.0,0.0,Antalya
2024-05-21,32.0,19.3,0.0,Antalya
2024-05-22,27.0,20.2,0.0,Antalya
2024-05-23,25.9,18.7,0.0,Antalya
2024-05-24,28.6,18.9,0.0,Antalya
2024-05-25,31.5,20.3,0.0,Antalya
2024-05-26,26.6,18.0,2.7,Antalya
2024-05-27,27.8,17.1,1.5,Antalya
2024-05-28,25.9,18.1,0.2,Antalya
2024-05-29,24.2,17.3,0.1,Antalya
2024-05-30,24.1,17.0,2.8,Antalya
2024-05-31,24.8,17.7,0.0,Antalya
2024-06-01,25.7,17.3,0.0,Antalya
2024-06-02,29.2,17.4,0.0,Antalya
2024-06-03,36.8,19.5,0.0,Antalya
2024-06-04,38.2,22.8,0.0,Antalya
2024-06-05,42.6,25.4,0.0,Antalya
2024-06-06,42.1,27.6,0.0,Antalya
2024-06-07,39.5,29.4,0.0,Antalya
2024-06-08,38.0,26.8,0.0,Antalya
2024-06-09,35.0,25.5,0.0,Antalya
2024-06-10,36.0,24.2,0.0,Antalya
2024-06-11,34.4,22.8,0.0,Antalya
2024-06-12,32.4,21.9,0.0,Antalya
2024-06-13,42.0,23.1,0.0,Antalya
2024-06-14,41.1,27.2,0.0,Antalya
2024-06-15,38.4,25.6,0.0,Antalya
2024-06-16,30.5,24.1,0.0,Antalya
2024-06-17,29.6,23.0,0.0,Antalya
2024-06-18,30.1,23.3,0.0,Antalya
2024-06-19,31.8,22.9,0.0,Antalya
2024-06-20,30.9,22.8,0.0,Antalya
2024-06-21,36.8,24.1,0.0,Antalya
2024-06-22,35.1,25.1,0.0,Antalya
2024-06-23,33.1,23.7,0.0,Antalya
2024-06-24,30.7,23.7,0.0,Antalya
2024-06-25,31.0,24.0,0.0,Antalya
2024-06-26,32.6,25.1,0.0,Antalya
2024-06-27,34.6,26.0,0.0,Antalya
2024-06-28,31.5,24.6,0.0,Antalya
2024-06-29,32.1,24.0,0.0,Antalya
2024-06-30,38.6,28.5,0.0,Antalya
2024-07-01,38.4,27.2,0.0,Antalya
2024-07-02,38.4,25.5,0.0,Antalya
2024-07-03,32.3,24.3,0.0,Antalya
2024-07-04,29.2,24.5,2.7,Antalya
2024-07-05,30.2,22.6,1.1,Antalya
2024-07-06,38.1,24.6,0.0,Antalya
2024-07-07,41.6,28.8,0.0,Antalya
2024-07-08,40.8,28.3,0.0,Antalya
2024-07-09,40.2,27.2,0.0,Antalya
2024-07-10,35.2,28.0,0.0,Antalya
2024-07-11,33.2,26.7,0.0,Antalya
2024-07-12,33.4,25.1,0.0,Antalya
2024-07-13,31.6,24.7,0.0,Antalya
2024-07-14,33.9,25.5,0.0,Antalya
2024-07-15,38.2,27.9,0.0,Antalya
2024-07-16,34.3,25.8,5.6,Antalya
2024-07-17,34.3,25.6,0.0,Antalya
