time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,28.2,12.6,0.0,Artvin
2024-05-02,23.4,12.1,18.1,Artvin
2024-05-03,15.9,12.2,12.8,Artvin
2024-05-04,19.2,11.6,7.7,Artvin
2024-05-05,14.2,8.2,26.5,Artvin
2024-05-06,12.0,6.8,5.6,Artvin
2024-05-07,13.9,7.2,0.3,Artvin
2024-05-08,17.6,9.9,0.0,Artvin
2024-05-09,23.5,8.5,0.0,Artvin
2024-05-10,23.8,14.4,1.7,Artvin
2024-05-11,24.9,13.5,13.2,Artvin
2024-05-12,17.7,9.9,2.0,Artvin
2024-05-13,15.0,9.6,0.7,Artvin
2024-05-14,11.4,7.5,6.8,Artvin
2024-05-15,18.1,6.6,1.0,Artvin
2024-05-16,18.3,8.2,2.7,Artvin
2024-05-17,15.6,8.4,0.6,Artvin
2024-05-18,18.3,7.3,0.0,Artvin
2024-05-19,17.3,10.0,0.0,Artvin
2024-05-20,21.0,10.9,0.0,Artvin
2024-05-21,22.7,5.4,0.0,Artvin
2024-05-22,24.6,14.2,0.3,Artvin
2024-05-23,25.8,13.8,0.0,Artvin
2024-05-24,25.9,14.9,1.1,Artvin
2024-05-25,24.4,13.8,5.5,Artvin
2024-05-26,21.5,13.6,0.8,Artvin
2024-05-27,25.6,10.4,0.0,Artvin
2024-05-28,28.0,16.5,0.6,Artvin
2024-05-29,24.0,14.9,0.0,Artvin
2024-05-30,29.4,13.6,1.3,Artvin
2024-05-31,28.7,15.1,0.3,Artvin
2024-06-01,20.1,14.7,1.6,Artvin
2024-06-02,26.7,10.5,0.0,Artvin
2024-06-03,29.5,15.1,0.0,Artvin
2024-06-04,32.6,16.6,0.0,Artvin
2024-06-05,34.1,18.8,0.0,Artvin
2024-06-06,31.5,17.5,0.0,Artvin
2024-06-07,27.4,14.2,0.0,Artvin
2024-06-08,27.4,14.4,1.9,Artvin
2024-06-09,24.6,16.3,6.7,Artvin
2024-06-10,23.6,15.6,11.1,Artvin
2024-06-11,26.5,13.8,0.0,Artvin
2024-06-12,29.7,15.3,0.0,Artvin
2024-06-13,29.9,19.7,0.1,Artvin
2024-06-14,31.5,18.9,0.0,Artvin
2024-06-15,32.5,19.3,0.0,Artvin
2024-06-16,28.3,19.1,2.6,Artvin
2024-06-17,29.2,16.1,0.0,Artvin
2024-06-18,28.4,17.3,0.0,Artvin
2024-06-19,28.5,17.5,0.0,Artvin
2024-06-20,29.2,18.0,0.0,Artvin
2024-06-21,26.9,18.4,1.2,Artvin
2024-06-22,26.4,17.4,0.4,Artvin
2024-06-23,30.2,13.9,0.0,Artvin
2024-06-24,30.7,15.7,0.0,Artvin
2024-06-25,28.8,14.3,0.0,Artvin
2024-06-26,22.4,15.3,4.9,Artvin
2024-06-27,23.8,14.2,0.3,Artvin
2024-06-28,25.2,11.8,0.0,Artvin
2024-06-29,25.1,14.2,0.0,Artvin
2024-06-30,26.2,17.0,1.6,Artvin
2024-07-01,26.9,17.9,19.8,Artvin
2024-07-02,24.0,16.0,6.7,Artvin
2024-07-03,26.8,16.6,7.4,Artvin
2024-07-04,33.0,18.4,0.0,Artvin
2024-07-05,33.9,19.4,0.0,Artvin
2024-07-06,27.2,18.5,3.7,Artvin
2024-07-07,27.3,18.6,1.0,Artvin
2024-07-08,29.3,19.5,1.3,Artvin
2024-07-09,29.9,19.6,3.4,Artvin
2024-07-10,30.8,20.3,1.2,Artvin
2024-07-11,33.5,20.5,0.0,Artvin
2024-07-12,28.7,21.3,0.0,Artvin
2024-07-13,28.9,20.1,0.8,Artvin
2024-07-14,29.2,21.2,5.3,Artvin
2024-07-15,31.2,20.5,1.6,Artvin
2024-07-16,29.5,19.4,1.7,Artvin
2024-07-17,30.9,21.1,0.6,Artvin
2024-07-18,29.3,21.0,1.2,Artvin
2024-07-19,27.4,19.7,3.2,Artvin
2024-07-20,25.5,19.3,7.4,Artvin
2024-07-21,27.6,18.4,0.5,Artvin
2024-07-22,30.0,15.7,0.0,Artvin
2024-07-23,30.0,16.0,0.0,Artvin
2024-07-24,27.0,18.5,0.5,Artvin
2024-07-25,26.9,19.4,0.1,Artvin
2024-07-26,27.4,18.8,0.5,Artvin
2024-07-27,25.0,18.8,2.1,Artvin
2024-07-28,25.2,17.7,1.0,Artvin
2024-07-29,27.4,18.0,0.1,Artvin
2024-07-30,27.0,17.9,0.0,Artvin
2024-07-31,23.5,17.8,35.1,Artvin
2024-08-01,24.3,16.5,0.0,Artvin
2024-08-02,25.1,17.5,0.0,Artvin
2024-08-03,26.3,18.3,0.0,Artvin
2024-08-04,30.6,18.0,0.0,Artvin
2024-08-05,29.3,15.1,0.0,Artvin
2024-08-06,27.8,16.7,0.0,Artvin
2024-08-07,28.3,17.5,0.0,Artvin
2024-08-08,28.3,18.9,0.0,Artvin
2024-08-09,29.0,17.4,0.0,Artvin
2024-08-10,26.7,19.2,0.0,Artvin
2024-08-11,27.5,17.4,0.0,Artvin
2024-08-12,27.4,17.6,1.0,Artvin
2024-08-13,26.2,18.1,0.1,Artvin
2024-08-14,27.3,16.1,0.0,Artvin
2024-08-15,27.3,13.7,0.0,Artvin
2024-08-16,25.2,15.6,0.4,Artvin
2024-08-17,28.2,14.2,0.0,Artvin
2024-08-18,31.7,15.7,0.0,Artvin
2024-08-19,36.4,21.3,0.0,Artvin
2024-08-20,33.3,22.5,0.0,Artvin
2024-08-21,36.5,21.3,0.1,Artvin
2024-08-22,38.0,22.9,0.0,Artvin
2024-08-23,29.4,18.9,0.0,Artvin
2024-08-24,29.0,21.1,0.0,Artvin
2024-08-25,30.1,18.4,5.0,Artvin
2024-08-26,26.3,18.3,0.0,Artvin
2024-08-27,33.4,15.6,0.0,Artvin
2024-08-28,32.2,19.9,0.0,Artvin
2024-08-29,32.1,19.8,0.1,Artvin
2024-08-30,30.0,19.2,2.1,Artvin
2024-08-31,30.2,18.5,2.0,Artvin
2024-09-01,32.7,18.5,0.0,Artvin
2024-09-02,36.7,18.3,0.0,Artvin
2024-09-03,28.7,18.7,0.0,Artvin
2024-09-04,27.2,20.3,0.1,Artvin
2024-09-05,27.1,19.5,0.3,Artvin
2024-09-06,25.3,19.1,1.2,Artvin
2024-09-07,29.6,15.4,0.2,Artvin
2024-09-08,31.8,19.9,0.3,Artvin
2024-09-09,32.6,18.6,0.0,Artvin
2024-09-10,33.2,21.3,0.0,Artvin
2024-09-11,36.1,20.6,0.0,Artvin
2024-09-12,31.9,20.1,0.0,Artvin
