time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,29.6,15.8,0.0,Aydın
2024-05-02,27.4,15.1,0.0,Aydın
2024-05-03,26.2,14.3,1.1,Aydın
2024-05-04,22.6,12.2,1.7,Aydın
2024-05-05,24.1,11.2,0.8,Aydın
2024-05-06,26.1,11.3,0.0,Aydın
2024-05-07,27.8,13.0,0.0,Aydın
2024-05-08,30.3,16.7,0.0,Aydın
2024-05-09,26.3,16.3,0.0,Aydın
2024-05-10,29.1,14.4,0.0,Aydın
2024-05-11,25.2,15.4,12.8,Aydın
2024-05-12,26.3,13.1,0.0,Aydın
2024-05-13,26.3,12.7,0.0,Aydın
2024-05-14,26.6,11.5,0.0,Aydın
2024-05-15,27.7,14.1,0.0,Aydın
2024-05-16,28.5,14.7,0.0,Aydın
2024-05-17,30.4,15.9,0.0,Aydın
2024-05-18,32.6,18.8,0.0,Aydın
2024-05-19,35.3,20.3,0.0,Aydın
2024-05-20,34.4,20.8,0.0,Aydın
2024-05-21,36.0,20.5,0.0,Aydın
2024-05-22,33.8,20.6,0.0,Aydın
2024-05-23,27.5,18.5,5.3,Aydın
2024-05-24,28.4,15.7,0.0,Aydın
2024-05-25,30.2,15.7,0.0,Aydın
2024-05-26,30.5,19.3,1.3,Aydın
2024-05-27,27.0,16.1,5.7,Aydın
2024-05-28,29.5,16.9,0.1,Aydın
2024-05-29,30.0,16.6,0.0,Aydın
2024-05-30,29.7,17.8,0.0,Aydın
2024-05-31,31.0,17.7,0.0,Aydın
2024-06-01,35.6,18.9,0.0,Aydın
2024-06-02,38.1,20.2,0.0,Aydın
2024-06-03,41.0,23.8,0.0,Aydın
2024-06-04,40.5,25.3,0.0,Aydın
2024-06-05,40.4,24.4,0.0,Aydın
2024-06-06,41.3,25.4,0.0,Aydın
2024-06-07,37.6,26.3,0.5,Aydın
2024-06-08,38.4,23.0,0.0,Aydın
2024-06-09,38.2,23.3,0.0,Aydın
2024-06-10,39.4,25.1,0.0,Aydın
2024-06-11,41.0,23.5,0.0,Aydın
2024-06-12,42.8,26.0,0.0,Aydın
2024-06-13,43.2,25.6,0.0,Aydın
2024-06-14,41.7,27.5,0.0,Aydın
2024-06-15,37.9,23.3,0.0,Aydın
2024-06-16,38.6,23.1,0.0,Aydın
2024-06-17,39.9,24.0,0.0,Aydın
2024-06-18,41.1,26.6,0.0,Aydın
2024-06-19,42.4,26.0,0.0,Aydın
2024-06-20,43.6,28.8,0.0,Aydın
2024-06-21,42.2,27.2,0.0,Aydın
2024-06-22,42.1,26.1,0.0,Aydın
2024-06-23,41.8,26.9,0.0,Aydın
2024-06-24,39.8,24.0,0.0,Aydın
2024-06-25,41.0,23.7,0.0,Aydın
2024-06-26,42.4,25.2,0.0,Aydın
2024-06-27,42.1,26.2,0.0,Aydın
2024-06-28,37.7,23.5,0.0,Aydın
2024-06-29,38.6,23.5,0.0,Aydın
2024-06-30,39.5,23.5,0.0,Aydın
2024-07-01,39.5,23.2,0.0,Aydın
2024-07-02,40.6,23.6,0.0,Aydın
2024-07-03,37.5,23.6,0.0,Aydın
2024-07-04,33.3,22.3,3.6,Aydın
2024-07-05,32.9,20.5,1.6,Aydın
2024-07-06,38.7,22.3,0.0,Aydın
2024-07-07,41.6,24.5,0.0,Aydın
2024-07-08,42.7,27.2,0.0,Aydın
2024-07-09,42.8,27.7,0.0,Aydın
2024-07-10,39.3,28.3,0.0,Aydın
2024-07-11,39.3,26.2,0.0,Aydın
2024-07-12,38.0,27.0,0.0,Aydın
2024-07-13,39.3,26.1,0.5,Aydın
2024-07-14,40.3,26.1,0.0,Aydın
2024-07-15,41.0,25.3,0.0,Aydın
2024-07-16,40.9,26.4,0.0,Aydın
2024-07-17,40.8,27.3,0.0,Aydın
2024-07-18,42.6,27.4,0.0,Aydın
2024-07-19,43.0,28.7,0.2,Aydın
2024-07-20,42.1,27.9,0.0,Aydın
2024-07-21,40.8,27.2,0.0,Aydın
2024-07-22,42.3,26.8,0.0,Aydın
2024-07-23,42.5,28.0,0.0,Aydın
2024-07-24,40.4,26.7,0.0,Aydın
2024-07-25,39.3,25.6,0.0,Aydın
2024-07-26,36.6,24.5,0.0,Aydın
2024-07-27,38.2,22.3,0.0,Aydın
2024-07-28,40.6,23.9,0.0,Aydın
2024-07-29,41.6,28.1,0.0,Aydın
2024-07-30,41.7,26.2,0.0,Aydın
2024-07-31,40.4,26.7,0.0,Aydın
2024-08-01,40.6,25.6,0.0,Aydın
2024-08-02,40.5,26.4,0.0,Aydın
2024-08-03,40.2,25.6,0.0,Aydın
2024-08-04,41.6,26.0,0.0,Aydın
2024-08-05,39.9,26.8,0.0,Aydın
2024-08-06,38.8,26.8,0.0,Aydın
2024-08-07,40.8,24.6,0.0,Aydın
2024-08-08,40.6,25.7,0.0,Aydın
2024-08-09,39.8,26.7,0.0,Aydın
2024-08-10,39.8,25.6,0.0,Aydın
2024-08-11,40.4,24.9,0.0,Aydın
2024-08-12,41.3,26.4,0.0,Aydın
2024-08-13,42.3,27.2,0.0,Aydın
2024-08-14,41.3,26.9,0.0,Aydın
2024-08-15,43.6,26.6,0.0,Aydın
2024-08-16,41.2,26.3,0.0,Aydın
2024-08-17,39.8,24.2,0.0,Aydın
2024-08-18,39.1,25.8,0.0,Aydın
2024-08-19,38.2,25.0,0.0,Aydın
2024-08-20,39.8,25.9,0.0,Aydın
2024-08-21,35.2,24.3,1.0,Aydın
2024-08-22,36.4,24.1,0.8,Aydın
2024-08-23,40.0,26.1,0.0,Aydın
2024-08-24,40.3,26.5,0.0,Aydın
2024-08-25,38.7,25.2,0.0,Aydın
2024-08-26,37.4,26.5,0.0,Aydın
