time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,18.7,13.6,0.0,Balıkesir
2024-05-02,20.2,11.5,0.0,Balıkesir
2024-05-03,23.3,10.8,0.8,Balıkesir
2024-05-04,16.8,10.4,4.2,Balıkesir
2024-05-05,18.8,10.2,0.5,Balıkesir
2024-05-06,21.0,7.6,0.0,Balıkesir
2024-05-07,25.8,7.4,0.0,Balıkesir
2024-05-08,28.9,11.6,0.4,Balıkesir
2024-05-09,22.1,14.0,0.8,Balıkesir
2024-05-10,19.6,13.5,1.1,Balıkesir
2024-05-11,16.9,12.1,6.5,Balıkesir
2024-05-12,21.7,9.4,0.0,Balıkesir
2024-05-13,18.7,10.5,0.4,Balıkesir
2024-05-14,19.2,7.1,0.0,Balıkesir
2024-05-15,21.4,6.8,0.0,Balıkesir
2024-05-16,22.7,9.8,1.0,Balıkesir
2024-05-17,29.2,10.6,2.1,Balıkesir
2024-05-18,28.6,12.3,0.0,Balıkesir
2024-05-19,29.1,16.0,0.7,Balıkesir
2024-05-20,25.7,13.7,0.0,Balıkesir
2024-05-21,27.7,13.3,0.0,Balıkesir
2024-05-22,32.7,14.2,0.1,Balıkesir
2024-05-23,24.8,16.0,3.3,Balıkesir
2024-05-24,24.4,14.7,0.9,Balıkesir
2024-05-25,24.2,14.0,1.2,Balıkesir
2024-05-26,24.3,15.1,0.1,Balıkesir
2024-05-27,22.6,13.5,0.0,Balıkesir
2024-05-28,24.7,12.5,0.0,Balıkesir
2024-05-29,28.4,11.9,0.0,Balıkesir
2024-05-30,29.2,13.8,0.0,Balıkesir
2024-05-31,30.1,13.9,0.0,Balıkesir
2024-06-01,33.7,14.9,0.0,Balıkesir
2024-06-02,36.0,17.6,0.0,Balıkesir
2024-06-03,37.3,18.6,0.0,Balıkesir
2024-06-04,38.1,19.9,0.1,Balıkesir
2024-06-05,39.1,20.1,0.0,Balıkesir
2024-06-06,34.9,20.9,1.5,Balıkesir
2024-06-07,31.2,20.3,4.1,Balıkesir
2024-06-08,30.3,18.7,0.0,Balıkesir
2024-06-09,32.1,18.5,0.0,Balıkesir
2024-06-10,36.8,16.8,0.0,Balıkesir
2024-06-11,40.6,20.1,0.0,Balıkesir
2024-06-12,41.6,20.4,0.0,Balıkesir
2024-06-13,41.0,22.9,0.0,Balıkesir
2024-06-14,39.5,21.0,0.0,Balıkesir
2024-06-15,29.8,18.6,0.0,Balıkesir
2024-06-16,31.1,18.7,0.0,Balıkesir
2024-06-17,33.2,19.3,0.0,Balıkesir
2024-06-18,33.5,18.9,0.0,Balıkesir
2024-06-19,32.5,20.3,0.0,Balıkesir
2024-06-20,32.6,19.8,0.0,Balıkesir
2024-06-21,33.0,21.5,0.0,Balıkesir
2024-06-22,31.2,20.4,0.0,Balıkesir
2024-06-23,32.4,18.5,0.0,Balıkesir
