time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,15.4,10.5,14.1,Bartın
2024-05-02,13.5,9.8,10.9,Bartın
2024-05-03,13.5,9.9,15.4,Bartın
2024-05-04,15.8,8.0,10.3,Bartın
2024-05-05,14.6,3.7,0.5,Bartın
2024-05-06,15.4,1.0,0.0,Bartın
2024-05-07,18.6,2.9,0.0,Bartın
2024-05-08,21.9,7.0,0.0,Bartın
2024-05-09,23.2,9.5,1.1,Bartın
2024-05-10,23.2,11.2,4.2,Bartın
2024-05-11,16.8,11.2,4.4,Bartın
2024-05-12,16.2,10.2,1.6,Bartın
2024-05-13,13.7,5.0,5.1,Bartın
2024-05-14,12.5,5.0,3.0,Bartın
2024-05-15,15.1,2.4,0.0,Bartın
2024-05-16,15.1,7.3,0.5,Bartın
2024-05-17,18.2,5.5,0.0,Bartın
2024-05-18,19.8,9.5,0.0,Bartın
2024-05-19,21.5,9.3,0.4,Bartın
2024-05-20,21.6,10.7,0.0,Bartın
2024-05-21,21.2,11.1,0.0,Bartın
2024-05-22,25.0,10.7,0.0,Bartın
2024-05-23,24.4,13.1,0.2,Bartın
2024-05-24,17.8,12.1,5.8,Bartın
2024-05-25,18.2,11.5,5.0,Bartın
2024-05-26,19.1,10.4,1.4,Bartın
2024-05-27,18.5,9.2,0.5,Bartın
2024-05-28,17.6,10.7,0.5,Bartın
2024-05-29,21.0,8.3,0.0,Bartın
2024-05-30,22.5,11.9,1.5,Bartın
2024-05-31,24.0,12.2,0.8,Bartın
2024-06-01,27.8,12.6,0.0,Bartın
2024-06-02,28.8,14.1,0.0,Bartın
2024-06-03,30.6,15.1,0.0,Bartın
2024-06-04,33.0,17.6,0.0,Bartın
2024-06-05,28.5,18.5,0.0,Bartın
2024-06-06,29.6,15.3,0.0,Bartın
2024-06-07,28.2,16.5,0.0,Bartın
2024-06-08,25.0,16.3,4.6,Bartın
2024-06-09,27.8,13.6,0.0,Bartın
2024-06-10,30.2,15.2,0.0,Bartın
2024-06-11,32.2,16.9,0.0,Bartın
2024-06-12,30.7,19.2,0.0,Bartın
2024-06-13,33.5,19.1,0.0,Bartın
2024-06-14,33.8,18.8,6.0,Bartın
2024-06-15,19.5,15.9,54.2,Bartın
2024-06-16,22.8,14.3,0.1,Bartın
2024-06-17,25.8,11.6,0.0,Bartın
2024-06-18,29.2,12.7,0.0,Bartın
2024-06-19,28.9,15.8,0.0,Bartın
2024-06-20,29.4,15.8,0.0,Bartın
2024-06-21,29.0,14.9,0.0,Bartın
2024-06-22,28.2,15.6,0.0,Bartın
2024-06-23,30.7,13.9,0.0,Bartın
2024-06-24,27.7,15.6,0.0,Bartın
2024-06-25,26.4,16.5,0.0,Bartın
2024-06-26,25.8,16.1,0.9,Bartın
2024-06-27,29.4,14.3,0.0,Bartın
2024-06-28,30.8,16.9,0.0,Bartın
2024-06-29,26.9,14.9,0.0,Bartın
2024-06-30,27.4,13.9,0.0,Bartın
2024-07-01,29.1,14.7,0.2,Bartın
2024-07-02,29.5,15.6,0.0,Bartın
2024-07-03,32.3,16.9,0.0,Bartın
2024-07-04,27.9,18.8,0.1,Bartın
2024-07-05,24.0,18.2,4.8,Bartın
2024-07-06,25.5,17.2,5.3,Bartın
2024-07-07,28.4,16.1,0.0,Bartın
2024-07-08,30.1,17.1,0.0,Bartın
2024-07-09,28.2,18.2,0.8,Bartın
2024-07-10,25.8,19.6,8.4,Bartın
2024-07-11,27.1,17.5,0.6,Bartın
2024-07-12,27.9,18.0,2.5,Bartın
2024-07-13,29.1,17.7,0.9,Bartın
2024-07-14,29.5,17.3,0.0,Bartın
2024-07-15,28.6,15.4,0.0,Bartın
2024-07-16,30.1,16.3,0.0,Bartın
2024-07-17,29.6,18.9,0.2,Bartın
2024-07-18,32.0,19.0,0.0,Bartın
2024-07-19,30.6,18.2,0.0,Bartın
2024-07-20,29.3,20.9,6.5,Bartın
2024-07-21,31.4,19.1,0.0,Bartın
2024-07-22,31.4,18.2,0.0,Bartın
2024-07-23,28.6,19.2,0.8,Bartın
2024-07-24,28.2,18.1,1.0,Bartın
2024-07-25,29.8,16.4,0.0,Bartın
2024-07-26,20.6,17.1,29.8,Bartın
2024-07-27,21.0,16.7,27.8,Bartın
2024-07-28,28.2,15.8,0.1,Bartın
2024-07-29,29.8,15.8,0.0,Bartın
2024-07-30,25.6,14.7,0.8,Bartın
2024-07-31,24.1,15.0,0.8,Bartın
2024-08-01,26.8,15.2,0.0,Bartın
2024-08-02,28.4,15.1,0.0,Bartın
2024-08-03,27.3,15.1,0.0,Bartın
2024-08-04,27.7,16.6,0.0,Bartın
2024-08-05,25.7,17.2,2.0,Bartın
2024-08-06,27.1,15.1,0.0,Bartın
2024-08-07,24.2,16.1,3.7,Bartın
2024-08-08,27.1,13.8,0.0,Bartın
2024-08-09,28.9,16.6,0.0,Bartın
2024-08-10,28.1,18.2,4.1,Bartın
2024-08-11,28.7,16.5,0.2,Bartın
2024-08-12,28.9,15.1,0.0,Bartın
2024-08-13,32.1,16.6,0.0,Bartın
2024-08-14,32.0,17.6,0.0,Bartın
2024-08-15,29.6,15.8,0.0,Bartın
2024-08-16,28.4,14.2,0.0,Bartın
2024-08-17,29.6,14.5,0.0,Bartın
2024-08-18,30.0,14.9,0.0,Bartın
2024-08-19,28.3,16.4,0.0,Bartın
2024-08-20,28.5,17.6,0.0,Bartın
2024-08-21,30.2,16.8,0.2,Bartın
2024-08-22,26.6,19.8,1.3,Bartın
2024-08-23,27.8,20.0,2.8,Bartın
2024-08-24,27.5,16.6,0.7,Bartın
2024-08-25,28.1,16.6,1.1,Bartın
2024-08-26,24.1,17.3,10.4,Bartın
2024-08-27,24.2,16.5,1.3,Bartın
2024-08-28,25.7,13.9,1.1,Bartın
2024-08-29,25.8,15.7,0.7,Bartın
2024-08-30,25.5,16.1,1.7,Bartın
2024-08-31,25.6,16.6,1.2,Bartın
