time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,26.5,14.8,6.8,Batman
2024-05-02,25.2,14.5,6.5,Batman
2024-05-03,23.9,13.6,5.7,Batman
2024-05-04,22.5,12.7,6.3,Batman
2024-05-05,23.3,11.8,3.7,Batman
2024-05-06,16.6,10.4,5.0,Batman
2024-05-07,16.9,9.9,7.4,Batman
2024-05-08,20.2,8.2,0.4,Batman
2024-05-09,24.6,8.9,0.0,Batman
2024-05-10,27.5,11.2,0.0,Batman
2024-05-11,26.8,15.4,4.1,Batman
2024-05-12,26.9,12.4,1.9,Batman
2024-05-13,21.4,11.7,9.2,Batman
2024-05-14,22.0,11.5,4.7,Batman
2024-05-15,23.5,10.4,0.0,Batman
2024-05-16,25.6,11.7,0.7,Batman
2024-05-17,23.7,10.6,0.0,Batman
2024-05-18,25.5,11.8,0.0,Batman
2024-05-19,27.9,13.2,0.0,Batman
2024-05-20,28.8,15.8,0.0,Batman
2024-05-21,29.9,17.0,0.2,Batman
2024-05-22,29.7,16.2,0.0,Batman
2024-05-23,29.8,14.7,0.0,Batman
2024-05-24,31.4,15.6,0.0,Batman
2024-05-25,28.5,15.7,0.0,Batman
2024-05-26,24.7,14.7,5.6,Batman
2024-05-27,30.4,13.5,0.0,Batman
2024-05-28,33.9,17.0,0.1,Batman
2024-05-29,33.1,16.9,0.3,Batman
2024-05-30,34.5,18.7,0.0,Batman
2024-05-31,34.8,20.3,0.0,Batman
2024-06-01,31.5,18.5,0.0,Batman
2024-06-02,33.9,18.0,0.0,Batman
2024-06-03,35.6,18.9,0.0,Batman
2024-06-04,36.4,20.4,0.0,Batman
2024-06-05,37.3,18.4,0.0,Batman
2024-06-06,37.5,18.7,0.0,Batman
2024-06-07,38.3,22.3,0.0,Batman
2024-06-08,37.1,22.9,0.0,Batman
2024-06-09,38.0,22.0,0.0,Batman
2024-06-10,32.9,19.9,2.0,Batman
2024-06-11,34.2,18.7,0.0,Batman
2024-06-12,36.5,21.9,0.0,Batman
2024-06-13,38.0,22.2,0.0,Batman
2024-06-14,38.1,23.2,0.0,Batman
2024-06-15,38.8,23.1,0.0,Batman
2024-06-16,39.6,23.8,0.0,Batman
2024-06-17,40.0,19.2,0.0,Batman
2024-06-18,39.6,20.9,0.0,Batman
2024-06-19,40.9,20.8,0.0,Batman
2024-06-20,41.6,21.4,0.0,Batman
2024-06-21,40.9,24.9,0.0,Batman
2024-06-22,39.6,22.9,0.0,Batman
2024-06-23,40.3,22.9,0.0,Batman
2024-06-24,39.9,22.2,0.0,Batman
2024-06-25,40.7,22.4,0.0,Batman
2024-06-26,40.1,24.9,0.0,Batman
2024-06-27,37.5,20.5,0.0,Batman
2024-06-28,38.0,21.6,0.0,Batman
2024-06-29,38.3,22.1,0.0,Batman
2024-06-30,39.1,25.1,0.0,Batman
2024-07-01,35.3,22.9,0.0,Batman
2024-07-02,35.2,21.5,0.0,Batman
2024-07-03,36.4,21.4,0.0,Batman
2024-07-04,39.2,22.0,0.0,Batman
2024-07-05,40.6,24.8,0.0,Batman
2024-07-06,41.2,22.5,0.0,Batman
2024-07-07,40.6,22.5,0.0,Batman
2024-07-08,39.6,24.7,0.2,Batman
2024-07-09,40.5,26.3,0.0,Batman
2024-07-10,38.6,26.2,0.0,Batman
2024-07-11,41.6,23.9,0.0,Batman
2024-07-12,41.5,25.3,0.0,Batman
2024-07-13,41.2,26.8,0.0,Batman
2024-07-14,41.8,25.7,0.0,Batman
2024-07-15,41.5,26.3,0.0,Batman
2024-07-16,41.4,26.1,0.0,Batman
2024-07-17,42.7,25.4,0.0,Batman
2024-07-18,41.1,24.6,0.0,Batman
2024-07-19,39.9,25.6,0.0,Batman
2024-07-20,39.0,26.2,0.0,Batman
2024-07-21,39.4,25.0,0.0,Batman
2024-07-22,40.7,27.4,0.0,Batman
2024-07-23,42.1,26.4,0.0,Batman
2024-07-24,41.8,26.4,0.0,Batman
2024-07-25,40.2,25.6,0.0,Batman
2024-07-26,40.9,25.1,0.0,Batman
2024-07-27,39.5,26.2,0.0,Batman
2024-07-28,40.0,24.6,0.0,Batman
2024-07-29,40.0,24.0,0.0,Batman
2024-07-30,39.5,24.4,0.0,Batman
2024-07-31,40.1,25.2,0.0,Batman
2024-08-01,40.0,24.9,0.0,Batman
2024-08-02,40.5,25.0,0.0,Batman
2024-08-03,39.9,24.0,0.0,Batman
2024-08-04,41.0,26.2,0.0,Batman
2024-08-05,41.5,27.3,0.0,Batman
2024-08-06,41.3,26.3,0.0,Batman
2024-08-07,42.1,26.5,0.0,Batman
2024-08-08,41.3,26.5,0.0,Batman
2024-08-09,41.6,26.9,0.0,Batman
2024-08-10,41.4,26.8,0.0,Batman
2024-08-11,40.6,25.1,0.0,Batman
2024-08-12,39.5,25.1,0.0,Batman
2024-08-13,40.0,24.7,0.0,Batman
2024-08-14,40.8,24.7,0.0,Batman
2024-08-15,41.6,27.1,0.0,Batman
2024-08-16,40.6,25.0,0.0,Batman
2024-08-17,39.7,28.6,0.0,Batman
2024-08-18,39.2,24.5,0.0,Batman
2024-08-19,40.8,24.8,0.0,Batman
2024-08-20,41.4,26.1,0.0,Batman
2024-08-21,42.6,25.1,0.0,Batman
2024-08-22,42.1,25.2,0.0,Batman
2024-08-23,40.9,23.5,0.0,Batman
2024-08-24,41.0,23.9,0.0,Batman
