time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,22.8,10.3,1.1,Bayburt
2024-05-02,19.3,8.0,12.6,Bayburt
2024-05-03,16.5,6.3,0.7,Bayburt
2024-05-04,17.6,6.2,12.4,Bayburt
2024-05-05,10.6,3.4,35.5,Bayburt
2024-05-06,8.3,3.1,4.9,Bayburt
2024-05-07,11.5,2.4,0.4,Bayburt
2024-05-08,16.0,1.2,0.0,Bayburt
2024-05-09,18.8,3.5,0.2,Bayburt
2024-05-10,19.3,5.0,0.3,Bayburt
2024-05-11,16.1,8.0,6.7,Bayburt
2024-05-12,13.9,4.8,2.7,Bayburt
2024-05-13,11.3,2.5,2.4,Bayburt
2024-05-14,11.3,2.4,8.9,Bayburt
2024-05-15,15.5,1.8,0.7,Bayburt
2024-05-16,13.9,4.1,6.9,Bayburt
2024-05-17,14.6,0.2,0.2,Bayburt
2024-05-18,17.6,0.9,0.0,Bayburt
2024-05-19,16.9,6.0,0.1,Bayburt
2024-05-20,19.4,3.1,0.0,Bayburt
2024-05-21,20.0,4.4,0.0,Bayburt
2024-05-22,22.0,7.1,0.0,Bayburt
2024-05-23,21.3,9.1,6.8,Bayburt
2024-05-24,21.0,7.4,6.4,Bayburt
2024-05-25,17.0,7.1,11.7,Bayburt
2024-05-26,17.4,8.0,11.2,Bayburt
2024-05-27,20.4,6.5,15.1,Bayburt
2024-05-28,22.8,8.8,6.7,Bayburt
2024-05-29,23.3,9.6,1.3,Bayburt
2024-05-30,23.5,9.5,1.8,Bayburt
2024-05-31,25.8,10.8,0.1,Bayburt
2024-06-01,18.9,7.7,1.3,Bayburt
2024-06-02,23.3,5.3,0.0,Bayburt
2024-06-03,25.3,7.0,0.0,Bayburt
2024-06-04,26.1,9.7,0.0,Bayburt
2024-06-05,28.2,14.2,0.0,Bayburt
2024-06-06,28.8,12.5,0.0,Bayburt
2024-06-07,26.7,10.9,0.0,Bayburt
2024-06-08,23.4,12.6,6.7,Bayburt
2024-06-09,22.0,11.5,18.3,Bayburt
2024-06-10,21.7,10.2,0.5,Bayburt
2024-06-11,25.3,7.3,0.0,Bayburt
2024-06-12,27.7,8.1,0.0,Bayburt
2024-06-13,26.2,11.8,0.0,Bayburt
2024-06-14,28.2,12.1,0.0,Bayburt
2024-06-15,29.2,11.1,1.9,Bayburt
2024-06-16,28.5,13.1,0.0,Bayburt
2024-06-17,29.2,13.5,0.0,Bayburt
2024-06-18,31.3,13.0,0.0,Bayburt
2024-06-19,31.5,13.1,0.0,Bayburt
2024-06-20,31.4,14.4,0.2,Bayburt
2024-06-21,26.3,13.7,0.0,Bayburt
2024-06-22,29.3,9.5,0.0,Bayburt
2024-06-23,31.6,11.3,0.0,Bayburt
2024-06-24,32.1,13.1,0.0,Bayburt
2024-06-25,31.5,13.7,0.0,Bayburt
2024-06-26,23.0,11.4,0.5,Bayburt
2024-06-27,24.5,7.2,0.0,Bayburt
2024-06-28,26.5,9.2,0.0,Bayburt
2024-06-29,25.1,7.5,0.0,Bayburt
2024-06-30,25.6,10.5,4.7,Bayburt
2024-07-01,21.4,12.8,9.3,Bayburt
2024-07-02,22.8,10.9,2.3,Bayburt
2024-07-03,26.4,10.2,0.0,Bayburt
2024-07-04,30.4,13.0,0.2,Bayburt
2024-07-05,33.6,14.3,0.0,Bayburt
2024-07-06,27.3,14.3,2.9,Bayburt
2024-07-07,26.8,13.6,1.3,Bayburt
2024-07-08,26.7,13.3,8.7,Bayburt
2024-07-09,27.2,12.3,7.8,Bayburt
2024-07-10,27.4,13.2,1.0,Bayburt
2024-07-11,30.9,14.0,0.0,Bayburt
2024-07-12,29.0,14.8,0.0,Bayburt
2024-07-13,27.5,13.7,1.5,Bayburt
2024-07-14,26.9,14.3,4.6,Bayburt
2024-07-15,28.3,14.4,4.7,Bayburt
2024-07-16,26.6,15.4,0.0,Bayburt
2024-07-17,28.7,16.5,0.9,Bayburt
2024-07-18,25.2,14.7,2.2,Bayburt
2024-07-19,25.2,14.2,0.7,Bayburt
2024-07-20,24.6,14.3,1.9,Bayburt
2024-07-21,27.5,12.0,0.0,Bayburt
2024-07-22,29.8,11.1,0.0,Bayburt
2024-07-23,30.3,10.8,0.0,Bayburt
2024-07-24,27.2,12.1,0.5,Bayburt
2024-07-25,26.7,11.9,0.0,Bayburt
2024-07-26,30.4,12.3,0.4,Bayburt
2024-07-27,26.9,13.9,0.3,Bayburt
2024-07-28,24.6,10.5,0.3,Bayburt
2024-07-29,26.9,10.2,0.0,Bayburt
