time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,17.2,12.6,2.1,Bilecik
2024-05-02,17.9,9.6,0.6,Bilecik
2024-05-03,20.9,7.9,8.0,Bilecik
2024-05-04,17.1,6.7,17.1,Bilecik
2024-05-05,16.0,7.9,0.8,Bilecik
2024-05-06,18.9,5.5,0.0,Bilecik
2024-05-07,22.7,3.7,0.0,Bilecik
2024-05-08,25.4,7.4,0.0,Bilecik
2024-05-09,21.8,14.0,1.8,Bilecik
2024-05-10,21.0,12.3,1.1,Bilecik
2024-05-11,16.1,8.5,4.7,Bilecik
2024-05-12,18.0,7.1,0.2,Bilecik
2024-05-13,15.6,5.2,2.2,Bilecik
2024-05-14,16.5,2.3,0.0,Bilecik
2024-05-15,19.2,5.7,0.0,Bilecik
2024-05-16,20.1,6.6,0.0,Bilecik
2024-05-17,25.5,9.8,0.6,Bilecik
2024-05-18,24.5,11.3,0.0,Bilecik
2024-05-19,24.9,10.8,0.0,Bilecik
2024-05-20,25.7,12.0,0.0,Bilecik
2024-05-21,26.0,10.9,0.0,Bilecik
2024-05-22,30.1,13.0,0.1,Bilecik
2024-05-23,26.3,13.2,27.9,Bilecik
2024-05-24,19.5,11.7,7.5,Bilecik
2024-05-25,21.7,9.5,0.4,Bilecik
2024-05-26,21.5,11.5,0.4,Bilecik
2024-05-27,20.3,9.2,0.2,Bilecik
2024-05-28,21.8,8.1,0.2,Bilecik
2024-05-29,24.0,8.3,0.0,Bilecik
2024-05-30,26.4,10.4,2.0,Bilecik
2024-05-31,27.2,12.1,0.0,Bilecik
2024-06-01,29.8,12.9,0.0,Bilecik
2024-06-02,30.9,15.5,0.0,Bilecik
2024-06-03,33.9,16.9,0.0,Bilecik
2024-06-04,35.6,18.1,0.0,Bilecik
2024-06-05,32.8,16.9,0.1,Bilecik
2024-06-06,32.1,17.8,0.0,Bilecik
2024-06-07,28.4,18.1,1.0,Bilecik
2024-06-08,28.4,16.1,0.0,Bilecik
2024-06-09,30.4,15.5,0.0,Bilecik
2024-06-10,33.9,16.8,0.0,Bilecik
2024-06-11,37.2,17.1,0.0,Bilecik
2024-06-12,37.1,19.5,0.0,Bilecik
2024-06-13,37.5,19.9,0.0,Bilecik
2024-06-14,36.5,19.4,0.1,Bilecik
2024-06-15,26.5,16.4,0.0,Bilecik
2024-06-16,29.0,13.8,0.0,Bilecik
2024-06-17,31.6,13.9,0.0,Bilecik
2024-06-18,32.7,17.5,0.0,Bilecik
2024-06-19,32.0,16.4,0.0,Bilecik
2024-06-20,33.7,16.6,0.0,Bilecik
2024-06-21,31.4,16.8,0.0,Bilecik
2024-06-22,30.7,16.8,0.0,Bilecik
2024-06-23,36.1,16.7,0.0,Bilecik
2024-06-24,33.9,16.9,0.0,Bilecik
2024-06-25,30.5,18.5,0.0,Bilecik
2024-06-26,28.7,16.5,0.0,Bilecik
2024-06-27,33.7,15.4,0.0,Bilecik
2024-06-28,31.3,16.6,0.0,Bilecik
2024-06-29,27.9,17.9,0.0,Bilecik
2024-06-30,29.6,16.4,0.0,Bilecik
2024-07-01,31.3,15.0,0.0,Bilecik
2024-07-02,34.8,17.8,0.0,Bilecik
2024-07-03,37.3,18.7,0.4,Bilecik
2024-07-04,29.0,19.5,2.5,Bilecik
2024-07-05,27.4,18.8,1.5,Bilecik
2024-07-06,28.6,15.4,0.4,Bilecik
2024-07-07,29.9,18.4,0.0,Bilecik
2024-07-08,32.4,18.1,0.0,Bilecik
2024-07-09,33.6,18.9,0.0,Bilecik
2024-07-10,33.5,20.2,0.6,Bilecik
2024-07-11,30.7,19.7,0.5,Bilecik
2024-07-12,32.4,19.7,0.7,Bilecik
2024-07-13,33.0,19.4,0.1,Bilecik
2024-07-14,31.3,19.3,0.0,Bilecik
2024-07-15,31.6,17.1,0.0,Bilecik
2024-07-16,33.4,17.4,0.7,Bilecik
2024-07-17,31.5,19.6,1.0,Bilecik
2024-07-18,35.2,19.8,0.0,Bilecik
2024-07-19,34.8,20.1,0.3,Bilecik
2024-07-20,35.0,20.4,0.1,Bilecik
2024-07-21,37.6,21.3,0.3,Bilecik
2024-07-22,36.7,19.7,0.0,Bilecik
2024-07-23,34.6,22.5,0.5,Bilecik
2024-07-24,31.7,20.0,0.1,Bilecik
2024-07-25,32.3,20.0,1.0,Bilecik
2024-07-26,25.8,18.9,4.7,Bilecik
2024-07-27,28.2,16.8,1.3,Bilecik
2024-07-28,32.4,17.6,0.0,Bilecik
2024-07-29,34.7,17.7,0.0,Bilecik
2024-07-30,30.6,17.1,0.9,Bilecik
2024-07-31,28.6,16.9,0.0,Bilecik
2024-08-01,31.2,16.3,0.0,Bilecik
2024-08-02,34.7,17.6,0.0,Bilecik
2024-08-03,35.1,16.7,0.0,Bilecik
2024-08-04,35.2,17.5,0.1,Bilecik
2024-08-05,31.1,20.1,1.2,Bilecik
2024-08-06,32.1,18.1,0.0,Bilecik
2024-08-07,31.0,18.5,0.0,Bilecik
2024-08-08,31.7,16.9,0.0,Bilecik
2024-08-09,32.9,16.4,0.0,Bilecik
2024-08-10,28.9,20.3,1.4,Bilecik
2024-08-11,30.9,19.2,0.0,Bilecik
2024-08-12,32.0,17.9,0.0,Bilecik
2024-08-13,35.7,17.7,0.0,Bilecik
2024-08-14,36.3,19.2,0.0,Bilecik
2024-08-15,34.5,19.0,0.0,Bilecik
2024-08-16,31.0,14.9,0.0,Bilecik
2024-08-17,31.7,16.5,0.0,Bilecik
2024-08-18,33.7,16.7,0.0,Bilecik
2024-08-19,32.8,17.5,0.0,Bilecik
2024-08-20,35.8,18.0,0.0,Bilecik
2024-08-21,32.3,19.4,0.0,Bilecik
2024-08-22,32.2,18.6,0.0,Bilecik
2024-08-23,31.6,17.9,0.0,Bilecik
2024-08-24,30.7,17.7,0.0,Bilecik
2024-08-25,31.1,17.0,0.3,Bilecik
2024-08-26,31.9,17.8,0.0,Bilecik
2024-08-27,29.1,18.1,0.0,Bilecik
2024-08-28,30.4,16.6,0.0,Bilecik
2024-08-29,29.2,17.1,0.8,Bilecik
2024-08-30,29.2,16.1,1.5,Bilecik
2024-08-31,30.5,16.5,0.5,Bilecik
2024-09-01,28.5,17.6,0.3,Bilecik
2024-09-02,26.9,18.7,1.2,Bilecik
2024-09-03,27.8,17.1,0.6,Bilecik
2024-09-04,30.2,18.2,0.0,Bilecik
