time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,22.3,10.2,0.2,Bingöl
2024-05-02,20.8,9.3,2.7,Bingöl
2024-05-03,21.3,10.0,4.2,Bingöl
2024-05-04,17.3,7.7,12.1,Bingöl
2024-05-05,15.2,8.8,4.9,Bingöl
2024-05-06,14.2,6.4,17.7,Bingöl
2024-05-07,14.6,5.1,2.3,Bingöl
2024-05-08,19.0,3.8,0.3,Bingöl
2024-05-09,20.2,3.2,0.0,Bingöl
2024-05-10,20.9,7.8,0.0,Bingöl
2024-05-11,17.4,10.8,9.2,Bingöl
2024-05-12,20.4,8.6,8.8,Bingöl
2024-05-13,15.3,9.9,7.8,Bingöl
2024-05-14,16.4,6.9,6.7,Bingöl
2024-05-15,16.4,4.7,0.9,Bingöl
2024-05-16,17.3,4.3,8.8,Bingöl
2024-05-17,19.0,4.3,0.1,Bingöl
2024-05-18,21.0,5.1,0.0,Bingöl
2024-05-19,23.1,7.8,0.9,Bingöl
2024-05-20,22.2,9.5,0.0,Bingöl
2024-05-21,23.9,8.8,0.6,Bingöl
2024-05-22,24.4,9.8,0.0,Bingöl
2024-05-23,24.2,9.3,0.1,Bingöl
2024-05-24,24.2,11.0,0.0,Bingöl
2024-05-25,19.0,9.9,3.4,Bingöl
2024-05-26,18.3,9.2,0.6,Bingöl
2024-05-27,22.8,7.8,1.8,Bingöl
2024-05-28,27.7,11.5,0.1,Bingöl
2024-05-29,25.4,10.7,0.0,Bingöl
2024-05-30,25.8,12.4,1.4,Bingöl
2024-05-31,27.6,11.8,0.0,Bingöl
2024-06-01,24.4,10.7,0.0,Bingöl
2024-06-02,28.9,9.8,0.0,Bingöl
2024-06-03,30.3,12.1,0.0,Bingöl
2024-06-04,30.9,14.3,0.0,Bingöl
2024-06-05,31.6,14.0,0.0,Bingöl
2024-06-06,31.8,15.2,0.0,Bingöl
2024-06-07,30.2,16.6,0.0,Bingöl
2024-06-08,30.6,16.8,0.2,Bingöl
2024-06-09,30.3,15.4,0.0,Bingöl
2024-06-10,26.4,14.3,2.3,Bingöl
2024-06-11,29.6,13.5,0.0,Bingöl
2024-06-12,32.0,14.2,0.0,Bingöl
2024-06-13,32.2,16.3,0.0,Bingöl
2024-06-14,32.8,16.0,0.0,Bingöl
2024-06-15,33.3,17.2,0.0,Bingöl
2024-06-16,32.9,17.5,0.0,Bingöl
2024-06-17,33.9,14.5,0.0,Bingöl
2024-06-18,34.4,14.7,0.0,Bingöl
2024-06-19,35.0,15.7,0.0,Bingöl
2024-06-20,36.2,16.3,0.0,Bingöl
2024-06-21,34.6,18.3,0.0,Bingöl
2024-06-22,34.1,17.0,0.0,Bingöl
2024-06-23,35.2,18.5,0.0,Bingöl
2024-06-24,36.0,17.7,0.0,Bingöl
2024-06-25,35.7,18.4,0.0,Bingöl
2024-06-26,31.9,18.0,0.0,Bingöl
2024-06-27,32.0,13.0,0.0,Bingöl
2024-06-28,33.3,15.3,0.0,Bingöl
2024-06-29,32.7,16.4,0.0,Bingöl
2024-06-30,32.0,17.8,0.2,Bingöl
2024-07-01,26.5,16.6,1.9,Bingöl
2024-07-02,29.2,14.9,0.2,Bingöl
2024-07-03,30.6,16.2,0.0,Bingöl
2024-07-04,33.9,15.1,0.0,Bingöl
2024-07-05,34.9,16.7,0.0,Bingöl
2024-07-06,36.1,16.8,0.0,Bingöl
2024-07-07,33.8,20.1,0.0,Bingöl
2024-07-08,33.2,19.3,0.1,Bingöl
2024-07-09,32.2,18.6,0.4,Bingöl
2024-07-10,32.3,18.6,0.3,Bingöl
2024-07-11,34.7,17.0,0.0,Bingöl
2024-07-12,34.3,17.2,0.0,Bingöl
2024-07-13,35.5,19.1,0.0,Bingöl
2024-07-14,34.4,20.0,0.0,Bingöl
2024-07-15,34.0,20.5,0.0,Bingöl
2024-07-16,35.0,20.8,0.0,Bingöl
2024-07-17,35.7,20.4,0.0,Bingöl
2024-07-18,35.5,20.7,0.0,Bingöl
2024-07-19,34.2,20.0,0.0,Bingöl
2024-07-20,31.9,20.7,0.2,Bingöl
2024-07-21,34.8,17.9,0.0,Bingöl
2024-07-22,35.8,20.1,0.0,Bingöl
2024-07-23,36.4,20.4,0.0,Bingöl
2024-07-24,35.3,20.3,0.0,Bingöl
2024-07-25,34.9,19.5,0.0,Bingöl
2024-07-26,34.6,20.2,0.0,Bingöl
2024-07-27,33.1,19.7,0.0,Bingöl
2024-07-28,32.7,19.2,0.0,Bingöl
2024-07-29,34.7,17.0,0.0,Bingöl
