time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,13.9,6.3,11.3,Bolu
2024-05-02,9.4,5.5,3.2,Bolu
2024-05-03,11.7,5.3,5.3,Bolu
2024-05-04,10.5,3.9,10.3,Bolu
2024-05-05,8.4,-0.3,0.2,Bolu
2024-05-06,10.9,-2.9,0.0,Bolu
2024-05-07,14.1,6.6,0.0,Bolu
2024-05-08,16.2,7.7,0.1,Bolu
2024-05-09,17.9,6.8,0.7,Bolu
2024-05-10,16.6,7.3,14.3,Bolu
2024-05-11,9.4,4.8,7.0,Bolu
2024-05-12,8.0,3.4,2.4,Bolu
2024-05-13,9.4,-0.3,7.0,Bolu
2024-05-14,9.0,-1.3,0.0,Bolu
2024-05-15,10.3,0.1,0.0,Bolu
2024-05-16,11.1,1.8,1.4,Bolu
2024-05-17,15.4,5.6,1.1,Bolu
2024-05-18,15.9,9.1,1.8,Bolu
2024-05-19,18.0,7.9,0.1,Bolu
2024-05-20,17.2,8.8,1.3,Bolu
2024-05-21,18.3,9.2,0.1,Bolu
2024-05-22,21.4,9.0,0.6,Bolu
2024-05-23,20.0,9.6,42.5,Bolu
2024-05-24,12.5,6.9,8.0,Bolu
2024-05-25,14.0,5.0,0.7,Bolu
2024-05-26,13.9,4.9,1.2,Bolu
2024-05-27,12.3,4.8,1.7,Bolu
2024-05-28,11.6,5.9,5.8,Bolu
2024-05-29,16.7,5.0,1.4,Bolu
2024-05-30,17.2,7.8,10.5,Bolu
2024-05-31,16.1,9.0,7.4,Bolu
2024-06-01,21.4,9.2,0.2,Bolu
2024-06-02,22.8,13.2,0.0,Bolu
2024-06-03,23.8,15.0,0.2,Bolu
2024-06-04,26.1,14.8,0.6,Bolu
2024-06-05,23.4,15.3,0.2,Bolu
2024-06-06,22.9,16.7,3.0,Bolu
2024-06-07,19.9,12.8,4.5,Bolu
2024-06-08,19.1,11.4,10.3,Bolu
2024-06-09,20.9,9.5,0.0,Bolu
2024-06-10,23.2,11.6,0.2,Bolu
2024-06-11,25.9,14.7,0.0,Bolu
2024-06-12,26.0,16.7,0.8,Bolu
2024-06-13,26.6,16.6,0.2,Bolu
2024-06-14,25.9,14.4,2.4,Bolu
2024-06-15,16.0,9.8,4.0,Bolu
2024-06-16,19.6,7.1,0.0,Bolu
2024-06-17,21.5,10.2,0.0,Bolu
2024-06-18,22.9,10.5,0.7,Bolu
2024-06-19,23.0,12.3,0.8,Bolu
2024-06-20,24.1,13.3,0.0,Bolu
2024-06-21,22.7,12.6,0.0,Bolu
2024-06-22,23.8,11.3,0.0,Bolu
2024-06-23,26.3,12.3,0.0,Bolu
2024-06-24,28.9,15.9,0.0,Bolu
2024-06-25,23.0,13.4,0.0,Bolu
2024-06-26,19.9,10.3,0.0,Bolu
2024-06-27,24.8,10.7,0.0,Bolu
2024-06-28,26.3,14.1,0.0,Bolu
2024-06-29,20.6,11.0,0.0,Bolu
2024-06-30,20.7,9.9,0.0,Bolu
2024-07-01,22.6,9.2,0.0,Bolu
2024-07-02,24.4,11.4,0.0,Bolu
2024-07-03,26.9,14.3,5.2,Bolu
2024-07-04,22.3,12.8,4.9,Bolu
2024-07-05,18.2,12.6,3.5,Bolu
2024-07-06,18.6,10.4,2.6,Bolu
2024-07-07,21.6,11.9,0.0,Bolu
2024-07-08,23.0,11.7,1.5,Bolu
2024-07-09,22.4,13.7,1.5,Bolu
2024-07-10,21.9,13.7,2.7,Bolu
2024-07-11,23.1,12.3,6.9,Bolu
2024-07-12,21.7,13.0,6.0,Bolu
2024-07-13,21.7,13.3,5.2,Bolu
2024-07-14,21.8,13.7,0.4,Bolu
2024-07-15,21.6,12.4,0.0,Bolu
2024-07-16,23.0,11.8,2.7,Bolu
2024-07-17,21.0,12.6,4.1,Bolu
2024-07-18,24.0,14.5,0.3,Bolu
2024-07-19,23.5,15.1,0.4,Bolu
2024-07-20,23.5,13.2,0.5,Bolu
2024-07-21,26.0,14.0,0.3,Bolu
2024-07-22,25.4,15.2,0.0,Bolu
2024-07-23,23.5,14.4,1.3,Bolu
2024-07-24,21.6,13.4,1.3,Bolu
2024-07-25,21.9,12.8,4.6,Bolu
2024-07-26,17.3,12.3,6.5,Bolu
2024-07-27,16.2,11.4,9.3,Bolu
2024-07-28,22.4,12.3,0.0,Bolu
2024-07-29,24.5,13.2,0.0,Bolu
2024-07-30,20.9,11.2,0.4,Bolu
2024-07-31,19.6,10.1,0.0,Bolu
2024-08-01,22.4,9.3,0.0,Bolu
2024-08-02,24.4,12.7,0.0,Bolu
2024-08-03,25.2,12.5,0.0,Bolu
2024-08-04,24.3,14.1,0.0,Bolu
2024-08-05,22.4,12.3,6.1,Bolu
2024-08-06,22.7,11.5,0.0,Bolu
2024-08-07,20.8,11.8,0.1,Bolu
2024-08-08,24.2,10.1,0.0,Bolu
2024-08-09,25.6,11.3,0.2,Bolu
2024-08-10,21.6,14.2,1.2,Bolu
2024-08-11,22.5,12.9,0.0,Bolu
2024-08-12,23.0,11.1,0.0,Bolu
2024-08-13,26.5,12.7,0.0,Bolu
2024-08-14,27.4,15.0,0.0,Bolu
2024-08-15,24.7,13.9,0.0,Bolu
2024-08-16,23.4,9.1,0.0,Bolu
2024-08-17,24.0,10.7,0.0,Bolu
2024-08-18,25.7,12.3,0.0,Bolu
2024-08-19,27.6,14.0,0.0,Bolu
