time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,23.7,14.1,0.9,Burdur
2024-05-02,24.2,14.8,0.0,Burdur
2024-05-03,22.0,11.1,0.0,Burdur
2024-05-04,19.7,8.0,7.4,Burdur
2024-05-05,16.4,6.7,0.9,Burdur
2024-05-06,19.1,5.9,0.0,Burdur
2024-05-07,22.2,11.0,0.0,Burdur
2024-05-08,23.7,11.4,0.0,Burdur
2024-05-09,22.6,11.6,0.0,Burdur
2024-05-10,24.8,10.6,0.0,Burdur
2024-05-11,19.5,11.9,2.6,Burdur
2024-05-12,18.7,10.9,3.1,Burdur
2024-05-13,19.8,9.4,2.3,Burdur
2024-05-14,20.0,8.9,0.0,Burdur
2024-05-15,21.1,12.6,0.9,Burdur
2024-05-16,24.2,13.1,0.0,Burdur
2024-05-17,26.6,15.7,0.1,Burdur
2024-05-18,29.1,17.1,0.0,Burdur
2024-05-19,26.5,18.8,0.7,Burdur
2024-05-20,29.2,16.8,0.0,Burdur
2024-05-21,29.8,17.2,0.0,Burdur
2024-05-22,28.6,18.1,3.2,Burdur
2024-05-23,27.7,14.4,9.1,Burdur
2024-05-24,17.9,12.7,0.7,Burdur
2024-05-25,24.0,10.6,0.0,Burdur
2024-05-26,24.2,12.8,12.3,Burdur
2024-05-27,20.6,11.2,10.1,Burdur
2024-05-28,20.3,13.3,8.1,Burdur
2024-05-29,21.3,12.9,3.7,Burdur
2024-05-30,19.1,12.9,13.2,Burdur
2024-05-31,23.4,12.3,0.0,Burdur
2024-06-01,27.7,14.0,0.0,Burdur
2024-06-02,29.0,16.9,0.0,Burdur
2024-06-03,31.3,19.9,0.0,Burdur
2024-06-04,33.1,21.7,0.1,Burdur
2024-06-05,34.0,20.7,0.0,Burdur
2024-06-06,33.0,22.3,0.0,Burdur
2024-06-07,30.8,19.4,0.0,Burdur
2024-06-08,30.7,18.9,0.0,Burdur
2024-06-09,29.5,16.2,0.0,Burdur
2024-06-10,32.0,17.8,0.0,Burdur
2024-06-11,34.0,21.4,0.0,Burdur
2024-06-12,36.8,22.0,0.0,Burdur
2024-06-13,37.0,23.0,0.0,Burdur
2024-06-14,35.2,23.9,0.0,Burdur
2024-06-15,31.4,20.9,0.0,Burdur
2024-06-16,33.6,18.9,0.0,Burdur
2024-06-17,33.6,20.7,0.0,Burdur
2024-06-18,35.3,22.3,2.2,Burdur
2024-06-19,34.0,21.0,0.0,Burdur
2024-06-20,35.6,23.7,0.0,Burdur
2024-06-21,33.2,22.4,0.0,Burdur
2024-06-22,35.0,20.5,0.0,Burdur
2024-06-23,36.8,21.0,0.0,Burdur
2024-06-24,38.0,24.9,0.0,Burdur
2024-06-25,36.6,23.7,0.0,Burdur
2024-06-26,35.7,22.3,0.0,Burdur
2024-06-27,36.0,22.4,0.0,Burdur
2024-06-28,34.4,23.2,0.0,Burdur
2024-06-29,28.6,19.9,2.9,Burdur
2024-06-30,29.0,18.0,0.0,Burdur
2024-07-01,31.1,18.2,0.0,Burdur
2024-07-02,33.3,19.6,0.0,Burdur
2024-07-03,34.8,21.9,0.3,Burdur
2024-07-04,28.8,18.8,6.8,Burdur
2024-07-05,27.5,17.6,9.8,Burdur
2024-07-06,29.4,17.0,0.0,Burdur
2024-07-07,33.3,19.3,0.0,Burdur
2024-07-08,33.1,21.4,0.0,Burdur
2024-07-09,33.3,21.9,0.0,Burdur
2024-07-10,31.6,22.2,0.2,Burdur
2024-07-11,31.2,19.7,0.0,Burdur
2024-07-12,34.4,20.7,0.0,Burdur
2024-07-13,32.3,20.2,0.0,Burdur
2024-07-14,33.2,20.9,0.3,Burdur
2024-07-15,31.4,19.9,0.0,Burdur
2024-07-16,31.5,20.7,1.1,Burdur
2024-07-17,32.6,23.2,0.0,Burdur
2024-07-18,34.7,21.5,0.0,Burdur
2024-07-19,33.3,22.9,0.0,Burdur
2024-07-20,33.5,21.9,0.0,Burdur
2024-07-21,34.9,24.6,0.0,Burdur
2024-07-22,35.5,24.4,0.0,Burdur
2024-07-23,35.6,25.3,0.0,Burdur
2024-07-24,32.8,23.2,0.0,Burdur
2024-07-25,28.8,22.8,7.7,Burdur
2024-07-26,28.1,19.7,0.2,Burdur
2024-07-27,28.3,17.4,0.0,Burdur
2024-07-28,29.8,17.2,0.0,Burdur
2024-07-29,32.6,18.8,0.0,Burdur
2024-07-30,33.4,19.6,0.0,Burdur
2024-07-31,32.7,19.3,0.0,Burdur
2024-08-01,33.8,20.7,0.0,Burdur
2024-08-02,34.4,23.0,0.0,Burdur
2024-08-03,35.4,23.9,0.0,Burdur
2024-08-04,35.6,23.6,0.0,Burdur
2024-08-05,34.8,23.1,0.1,Burdur
2024-08-06,34.4,22.2,0.0,Burdur
2024-08-07,33.7,22.8,0.0,Burdur
2024-08-08,34.9,21.8,0.0,Burdur
2024-08-09,33.4,24.0,0.0,Burdur
2024-08-10,34.4,23.7,0.0,Burdur
2024-08-11,32.6,20.6,0.0,Burdur
2024-08-12,31.9,20.4,0.0,Burdur
2024-08-13,34.0,20.8,0.0,Burdur
2024-08-14,36.1,21.1,0.0,Burdur
2024-08-15,34.9,22.0,0.0,Burdur
2024-08-16,32.6,19.9,0.0,Burdur
2024-08-17,31.7,18.8,0.0,Burdur
2024-08-18,34.7,18.4,0.0,Burdur
2024-08-19,35.3,22.0,0.0,Burdur
2024-08-20,35.9,23.9,0.0,Burdur
