time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,16.6,12.6,2.3,Bursa
2024-05-02,17.0,10.9,3.4,Bursa
2024-05-03,21.6,9.1,23.0,Bursa
2024-05-04,17.6,8.9,10.1,Bursa
2024-05-05,17.3,8.3,1.1,Bursa
2024-05-06,17.3,4.5,0.0,Bursa
2024-05-07,22.7,7.1,0.0,Bursa
2024-05-08,25.5,11.5,0.0,Bursa
2024-05-09,18.0,12.9,1.4,Bursa
2024-05-10,21.8,12.5,0.7,Bursa
2024-05-11,16.0,8.8,6.6,Bursa
2024-05-12,20.3,6.4,0.0,Bursa
2024-05-13,15.6,6.9,2.5,Bursa
2024-05-14,16.7,3.9,0.0,Bursa
2024-05-15,19.0,6.0,0.1,Bursa
2024-05-16,19.0,7.7,0.0,Bursa
2024-05-17,23.4,10.7,1.1,Bursa
2024-05-18,23.3,12.7,0.0,Bursa
2024-05-19,24.7,13.4,0.0,Bursa
2024-05-20,21.2,11.9,0.0,Bursa
2024-05-21,21.7,12.1,0.0,Bursa
2024-05-22,26.5,13.8,0.0,Bursa
2024-05-23,22.0,14.2,14.6,Bursa
2024-05-24,20.0,12.8,9.0,Bursa
2024-05-25,21.7,11.3,0.4,Bursa
2024-05-26,22.8,11.3,0.1,Bursa
2024-05-27,19.6,9.9,0.4,Bursa
2024-05-28,21.2,9.9,1.3,Bursa
2024-05-29,24.8,9.7,0.0,Bursa
2024-05-30,26.4,12.5,0.1,Bursa
2024-05-31,27.9,12.5,0.0,Bursa
2024-06-01,30.2,13.7,0.0,Bursa
2024-06-02,31.3,17.4,0.0,Bursa
2024-06-03,32.5,17.8,0.0,Bursa
2024-06-04,35.6,19.2,0.5,Bursa
2024-06-05,32.6,18.6,0.0,Bursa
2024-06-06,30.7,20.9,0.0,Bursa
2024-06-07,29.2,19.1,0.0,Bursa
2024-06-08,28.7,16.9,0.0,Bursa
2024-06-09,31.0,16.3,0.0,Bursa
2024-06-10,31.8,17.2,0.0,Bursa
2024-06-11,37.0,19.2,0.0,Bursa
2024-06-12,35.1,21.9,0.0,Bursa
2024-06-13,36.7,23.1,0.0,Bursa
2024-06-14,39.6,19.6,0.8,Bursa
2024-06-15,26.6,16.2,0.0,Bursa
2024-06-16,29.3,15.9,0.0,Bursa
2024-06-17,31.4,16.7,0.0,Bursa
2024-06-18,33.1,16.4,0.0,Bursa
2024-06-19,32.0,17.2,0.0,Bursa
2024-06-20,32.4,16.9,0.0,Bursa
2024-06-21,32.7,18.0,0.0,Bursa
2024-06-22,30.8,17.3,0.0,Bursa
2024-06-23,31.9,15.7,0.0,Bursa
2024-06-24,29.8,18.6,0.0,Bursa
2024-06-25,32.7,18.2,0.0,Bursa
2024-06-26,30.5,17.7,0.0,Bursa
2024-06-27,31.1,16.4,0.0,Bursa
2024-06-28,28.3,17.2,0.0,Bursa
2024-06-29,29.3,19.8,0.0,Bursa
2024-06-30,31.2,17.9,0.0,Bursa
2024-07-01,31.4,19.1,0.0,Bursa
2024-07-02,32.7,18.0,0.0,Bursa
2024-07-03,34.9,20.4,0.0,Bursa
2024-07-04,25.4,20.2,4.8,Bursa
2024-07-05,26.1,18.2,3.0,Bursa
2024-07-06,29.3,16.4,0.0,Bursa
2024-07-07,31.7,19.7,0.0,Bursa
2024-07-08,33.3,18.7,0.0,Bursa
2024-07-09,33.6,20.1,0.8,Bursa
2024-07-10,32.9,20.9,0.2,Bursa
2024-07-11,26.9,20.7,10.7,Bursa
2024-07-12,30.4,20.9,2.1,Bursa
2024-07-13,30.4,20.1,1.6,Bursa
2024-07-14,32.1,20.2,0.0,Bursa
2024-07-15,32.7,18.4,0.0,Bursa
2024-07-16,34.4,20.0,0.0,Bursa
2024-07-17,33.8,20.7,0.9,Bursa
2024-07-18,36.4,21.8,0.1,Bursa
2024-07-19,35.3,21.2,0.7,Bursa
2024-07-20,34.4,22.0,0.1,Bursa
2024-07-21,36.3,22.3,0.0,Bursa
2024-07-22,36.8,21.0,0.0,Bursa
2024-07-23,34.2,22.1,0.5,Bursa
2024-07-24,32.4,21.0,0.1,Bursa
2024-07-25,32.2,21.4,0.3,Bursa
2024-07-26,26.3,20.1,4.8,Bursa
2024-07-27,28.0,18.6,1.1,Bursa
2024-07-28,33.3,18.5,0.0,Bursa
2024-07-29,34.0,19.5,0.0,Bursa
2024-07-30,30.8,19.3,2.9,Bursa
2024-07-31,30.6,19.5,0.0,Bursa
2024-08-01,31.7,16.2,0.0,Bursa
2024-08-02,32.4,16.7,0.0,Bursa
2024-08-03,33.1,16.9,0.0,Bursa
2024-08-04,33.6,20.7,0.0,Bursa
2024-08-05,31.9,20.8,0.0,Bursa
2024-08-06,31.2,18.9,0.0,Bursa
2024-08-07,29.8,20.4,0.0,Bursa
2024-08-08,30.6,16.6,0.0,Bursa
2024-08-09,31.5,17.5,0.0,Bursa
2024-08-10,30.2,20.3,0.7,Bursa
2024-08-11,32.4,20.2,0.0,Bursa
2024-08-12,33.8,19.6,0.0,Bursa
2024-08-13,36.1,19.6,0.0,Bursa
2024-08-14,37.0,20.8,0.0,Bursa
2024-08-15,34.1,21.7,0.0,Bursa
2024-08-16,31.7,17.5,0.0,Bursa
2024-08-17,31.2,17.2,0.0,Bursa
2024-08-18,30.6,16.1,0.0,Bursa
2024-08-19,30.0,18.9,0.0,Bursa
2024-08-20,33.4,18.6,0.0,Bursa
2024-08-21,29.5,21.1,0.4,Bursa
2024-08-22,31.6,20.5,0.0,Bursa
2024-08-23,32.7,19.6,0.0,Bursa
2024-08-24,31.9,19.4,0.1,Bursa
2024-08-25,32.3,17.5,0.0,Bursa
2024-08-26,32.9,20.1,0.0,Bursa
2024-08-27,29.6,19.2,0.0,Bursa
2024-08-28,29.9,17.5,0.0,Bursa
2024-08-29,30.1,18.4,0.6,Bursa
2024-08-30,27.8,20.3,2.1,Bursa
2024-08-31,29.5,18.6,1.2,Bursa
2024-09-01,27.4,18.9,1.4,Bursa
2024-09-02,26.0,19.8,3.9,Bursa
2024-09-03,28.6,17.4,0.3,Bursa
2024-09-04,29.9,18.8,0.0,Bursa
2024-09-05,30.8,17.7,0.0,Bursa
2024-09-06,30.8,18.1,0.0,Bursa
2024-09-07,27.6,18.4,2.8,Bursa
2024-09-08,24.1,16.9,5.8,Bursa
2024-09-09,28.5,16.4,0.0,Bursa
2024-09-10,30.4,17.9,0.7,Bursa
2024-09-11,29.3,19.1,4.3,Bursa
2024-09-12,29.3,18.0,0.6,Bursa
2024-09-13,32.4,17.0,0.1,Bursa
2024-09-14,32.5,20.7,0.0,Bursa
2024-09-15,27.4,17.5,1.8,Bursa
2024-09-16,26.5,14.9,0.1,Bursa
2024-09-17,24.5,14.5,0.6,Bursa
2024-09-18,25.8,14.6,2.0,Bursa
2024-09-19,25.3,15.4,0.0,Bursa
2024-09-20,25.5,14.0,1.3,Bursa
2024-09-21,22.0,15.7,5.3,Bursa
2024-09-22,24.2,13.8,2.7,Bursa
2024-09-23,23.0,13.6,0.7,Bursa
2024-09-24,25.2,12.9,0.0,Bursa
2024-09-25,26.3,13.9,0.0,Bursa
2024-09-26,26.6,14.4,0.0,Bursa
2024-09-27,27.4,14.8,0.0,Bursa
2024-09-28,28.4,16.1,0.0,Bursa
2024-09-29,29.3,16.1,0.0,Bursa
2024-09-30,19.9,12.5,21.2,Bursa
2024-10-01,18.6,12.3,1.3,Bursa
2024-10-02,19.7,13.4,0.0,Bursa
2024-10-03,23.9,10.6,0.0,Bursa
2024-10-04,29.3,12.8,0.0,Bursa
2024-10-05,30.9,16.2,0.0,Bursa
2024-10-06,27.9,17.1,1.6,Bursa
2024-10-07,23.1,16.4,13.1,Bursa
2024-10-08,23.3,13.4,0.0,Bursa
2024-10-09,25.9,14.0,0.0,Bursa
2024-10-10,26.7,14.0,0.0,Bursa
2024-10-11,28.2,16.0,0.0,Bursa
2024-10-12,24.3,17.1,15.0,Bursa
2024-10-13,19.4,15.1,1.2,Bursa
2024-10-14,20.2,13.4,0.0,Bursa
2024-10-15,21.1,9.9,0.0,Bursa
2024-10-16,20.4,11.1,1.1,Bursa
2024-10-17,15.2,7.6,1.9,Bursa
2024-10-18,14.7,6.6,0.4,Bursa
2024-10-19,15.6,6.1,0.0,Bursa
2024-10-20,16.7,5.2,0.0,Bursa
2024-10-21,16.1,5.4,0.0,Bursa
2024-10-22,17.8,5.6,0.0,Bursa
2024-10-23,17.9,5.6,0.0,Bursa
2024-10-24,18.1,6.7,0.0,Bursa
2024-10-25,18.2,6.4,0.0,Bursa
2024-10-26,18.4,6.5,0.0,Bursa
2024-10-27,19.2,6.5,0.0,Bursa
2024-10-28,17.2,8.5,0.0,Bursa
2024-10-29,19.4,8.3,0.0,Bursa
2024-10-30,16.1,9.3,1.1,Bursa
2024-10-31,17.6,8.3,0.0,Bursa
2024-11-01,18.1,7.2,0.0,Bursa
2024-11-02,18.2,7.2,0.0,Bursa
2024-11-03,15.1,6.8,0.0,Bursa
2024-11-04,12.9,3.2,0.0,Bursa
2024-11-05,14.3,4.8,0.0,Bursa
2024-11-06,13.6,2.9,0.0,Bursa
2024-11-07,16.3,2.7,0.0,Bursa
2024-11-08,16.8,4.4,0.0,Bursa
2024-11-09,15.4,3.7,0.0,Bursa
2024-11-10,14.2,6.3,0.0,Bursa
2024-11-11,14.5,6.4,0.0,Bursa
2024-11-12,15.5,5.0,0.0,Bursa
2024-11-13,15.3,7.0,2.7,Bursa
2024-11-14,16.6,10.4,4.3,Bursa
2024-11-15,14.2,10.6,14.0,Bursa
2024-11-16,11.8,8.2,4.4,Bursa
2024-11-17,13.2,7.4,1.4,Bursa
2024-11-18,12.6,8.7,0.5,Bursa
