time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,29.3,17.3,1.1,Denizli
2024-05-02,27.4,14.1,0.0,Denizli
2024-05-03,27.3,15.3,0.6,Denizli
2024-05-04,23.4,11.0,3.3,Denizli
2024-05-05,22.7,11.6,0.6,Denizli
2024-05-06,24.5,10.0,0.0,Denizli
2024-05-07,27.5,12.3,0.0,Denizli
2024-05-08,30.3,14.9,0.0,Denizli
2024-05-09,26.8,17.0,0.0,Denizli
2024-05-10,27.2,13.6,0.7,Denizli
2024-05-11,23.5,14.5,4.3,Denizli
2024-05-12,23.8,13.6,0.0,Denizli
2024-05-13,24.8,11.3,0.0,Denizli
2024-05-14,25.1,10.2,0.0,Denizli
2024-05-15,27.1,13.4,0.0,Denizli
2024-05-16,29.6,16.8,0.1,Denizli
2024-05-17,32.2,15.0,0.2,Denizli
2024-05-18,34.5,17.9,0.0,Denizli
2024-05-19,34.8,19.1,0.0,Denizli
2024-05-20,33.9,19.8,0.0,Denizli
2024-05-21,34.6,20.2,0.0,Denizli
2024-05-22,33.8,19.9,0.4,Denizli
2024-05-23,32.5,17.8,0.2,Denizli
2024-05-24,24.4,14.8,0.0,Denizli
2024-05-25,28.9,14.7,0.0,Denizli
2024-05-26,30.9,17.0,6.0,Denizli
2024-05-27,25.4,14.0,0.6,Denizli
2024-05-28,26.5,16.1,0.2,Denizli
2024-05-29,28.9,16.1,0.0,Denizli
2024-05-30,26.6,15.0,0.0,Denizli
2024-05-31,30.1,14.4,0.0,Denizli
2024-06-01,33.7,16.3,0.0,Denizli
2024-06-02,36.7,21.0,0.0,Denizli
2024-06-03,39.5,20.7,0.0,Denizli
2024-06-04,40.1,25.2,0.0,Denizli
2024-06-05,39.3,26.3,0.0,Denizli
2024-06-06,39.7,24.8,0.0,Denizli
2024-06-07,36.2,24.2,0.0,Denizli
2024-06-08,36.6,23.5,0.0,Denizli
2024-06-09,35.8,21.4,0.0,Denizli
2024-06-10,38.3,21.9,0.0,Denizli
2024-06-11,40.7,23.0,0.0,Denizli
2024-06-12,42.4,26.2,0.0,Denizli
2024-06-13,42.8,24.7,0.0,Denizli
2024-06-14,41.9,26.0,0.0,Denizli
2024-06-15,35.8,23.0,0.0,Denizli
2024-06-16,37.5,20.6,0.0,Denizli
2024-06-17,38.8,23.4,0.0,Denizli
2024-06-18,39.1,24.2,0.0,Denizli
2024-06-19,39.4,23.1,0.0,Denizli
2024-06-20,40.8,24.1,0.0,Denizli
2024-06-21,40.4,24.7,0.0,Denizli
2024-06-22,39.5,24.7,0.0,Denizli
2024-06-23,42.1,25.1,0.0,Denizli
2024-06-24,42.9,26.0,0.0,Denizli
2024-06-25,42.1,24.8,0.0,Denizli
2024-06-26,39.8,24.7,0.0,Denizli
2024-06-27,40.4,23.3,0.0,Denizli
2024-06-28,39.1,25.5,0.0,Denizli
2024-06-29,37.2,22.7,1.1,Denizli
2024-06-30,37.1,20.9,0.0,Denizli
2024-07-01,36.0,22.9,0.0,Denizli
2024-07-02,38.8,23.2,0.0,Denizli
2024-07-03,40.1,23.2,0.0,Denizli
2024-07-04,35.2,21.7,0.0,Denizli
2024-07-05,34.1,19.3,6.8,Denizli
2024-07-06,36.8,22.1,0.0,Denizli
2024-07-07,39.8,22.7,0.0,Denizli
2024-07-08,40.6,25.3,0.0,Denizli
2024-07-09,40.0,26.0,0.0,Denizli
2024-07-10,37.6,25.8,0.0,Denizli
2024-07-11,37.7,22.8,0.0,Denizli
2024-07-12,38.4,23.5,0.0,Denizli
2024-07-13,37.8,23.6,0.0,Denizli
2024-07-14,38.1,23.7,0.0,Denizli
2024-07-15,38.3,24.6,0.0,Denizli
2024-07-16,38.5,24.2,0.1,Denizli
2024-07-17,38.7,23.6,0.0,Denizli
2024-07-18,41.2,25.2,0.0,Denizli
2024-07-19,40.4,25.8,0.0,Denizli
2024-07-20,39.4,26.5,0.0,Denizli
2024-07-21,41.5,26.2,0.0,Denizli
2024-07-22,41.3,26.3,0.0,Denizli
2024-07-23,41.7,26.5,0.0,Denizli
2024-07-24,39.1,25.9,0.0,Denizli
2024-07-25,37.1,25.8,1.9,Denizli
2024-07-26,33.8,23.4,0.0,Denizli
2024-07-27,36.2,21.5,0.0,Denizli
2024-07-28,38.4,21.6,0.0,Denizli
2024-07-29,39.2,24.1,0.0,Denizli
2024-07-30,38.3,23.0,0.0,Denizli
2024-07-31,37.2,23.5,0.0,Denizli
2024-08-01,38.3,22.8,0.0,Denizli
2024-08-02,39.7,24.5,0.0,Denizli
2024-08-03,40.5,24.6,0.0,Denizli
2024-08-04,39.9,24.0,0.0,Denizli
2024-08-05,39.6,24.3,0.0,Denizli
2024-08-06,38.0,24.0,0.0,Denizli
2024-08-07,37.5,23.5,0.0,Denizli
2024-08-08,39.5,22.8,0.0,Denizli
2024-08-09,40.2,25.2,0.0,Denizli
2024-08-10,37.0,23.9,0.0,Denizli
2024-08-11,38.2,23.6,0.0,Denizli
2024-08-12,38.6,24.4,0.0,Denizli
2024-08-13,39.9,22.8,0.0,Denizli
2024-08-14,40.5,24.6,0.0,Denizli
2024-08-15,40.6,25.6,0.0,Denizli
