time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,24.8,14.4,3.3,Diyarbakır
2024-05-02,23.3,13.6,5.2,Diyarbakır
2024-05-03,24.2,13.2,2.0,Diyarbakır
2024-05-04,22.5,11.4,4.5,Diyarbakır
2024-05-05,21.1,9.6,2.2,Diyarbakır
2024-05-06,16.6,9.5,22.0,Diyarbakır
2024-05-07,18.8,9.3,9.6,Diyarbakır
2024-05-08,22.1,7.2,0.2,Diyarbakır
2024-05-09,24.5,8.2,0.0,Diyarbakır
2024-05-10,26.9,10.8,0.0,Diyarbakır
2024-05-11,22.2,14.8,4.1,Diyarbakır
2024-05-12,24.7,11.5,1.8,Diyarbakır
2024-05-13,19.7,11.5,11.3,Diyarbakır
2024-05-14,22.0,10.2,3.5,Diyarbakır
2024-05-15,22.6,9.8,0.9,Diyarbakır
2024-05-16,24.1,9.2,1.5,Diyarbakır
2024-05-17,24.2,12.6,0.0,Diyarbakır
2024-05-18,26.1,12.8,0.1,Diyarbakır
2024-05-19,28.6,13.2,0.3,Diyarbakır
2024-05-20,28.4,16.8,0.0,Diyarbakır
2024-05-21,29.2,15.1,0.0,Diyarbakır
2024-05-22,30.1,15.0,0.0,Diyarbakır
2024-05-23,29.4,14.2,0.0,Diyarbakır
2024-05-24,30.1,15.1,0.0,Diyarbakır
2024-05-25,27.1,13.9,0.6,Diyarbakır
2024-05-26,25.3,13.7,1.1,Diyarbakır
2024-05-27,30.0,13.5,0.4,Diyarbakır
2024-05-28,31.9,15.6,0.0,Diyarbakır
2024-05-29,32.3,15.7,0.0,Diyarbakır
2024-05-30,34.5,16.4,0.0,Diyarbakır
2024-05-31,32.4,16.0,0.0,Diyarbakır
2024-06-01,30.3,18.0,0.0,Diyarbakır
2024-06-02,33.3,16.8,0.0,Diyarbakır
2024-06-03,35.2,19.0,0.0,Diyarbakır
2024-06-04,36.8,20.1,0.0,Diyarbakır
2024-06-05,36.8,19.2,0.0,Diyarbakır
2024-06-06,37.4,21.1,0.0,Diyarbakır
2024-06-07,37.8,23.0,0.0,Diyarbakır
2024-06-08,35.7,23.2,0.2,Diyarbakır
2024-06-09,36.7,20.1,0.0,Diyarbakır
2024-06-10,31.0,20.4,0.9,Diyarbakır
2024-06-11,34.6,18.3,0.0,Diyarbakır
2024-06-12,37.1,21.9,0.0,Diyarbakır
2024-06-13,37.8,23.8,0.0,Diyarbakır
2024-06-14,38.1,23.8,0.0,Diyarbakır
2024-06-15,38.2,24.5,0.0,Diyarbakır
2024-06-16,38.7,21.1,0.0,Diyarbakır
2024-06-17,39.4,20.0,0.0,Diyarbakır
2024-06-18,39.8,19.1,0.0,Diyarbakır
2024-06-19,40.7,19.9,0.0,Diyarbakır
2024-06-20,41.5,20.3,0.0,Diyarbakır
2024-06-21,40.6,24.7,0.0,Diyarbakır
2024-06-22,40.1,23.1,0.0,Diyarbakır
2024-06-23,41.2,22.9,0.0,Diyarbakır
2024-06-24,40.2,22.0,0.0,Diyarbakır
2024-06-25,40.9,22.1,0.0,Diyarbakır
2024-06-26,38.3,25.0,0.0,Diyarbakır
2024-06-27,36.5,19.4,0.0,Diyarbakır
2024-06-28,38.2,22.2,0.0,Diyarbakır
2024-06-29,38.4,23.0,0.0,Diyarbakır
2024-06-30,38.0,23.9,0.0,Diyarbakır
2024-07-01,35.0,21.9,0.3,Diyarbakır
2024-07-02,35.1,20.9,0.0,Diyarbakır
2024-07-03,36.3,22.6,0.0,Diyarbakır
2024-07-04,40.2,21.0,0.0,Diyarbakır
2024-07-05,40.7,23.5,0.0,Diyarbakır
2024-07-06,39.5,18.9,0.0,Diyarbakır
2024-07-07,39.4,23.8,0.0,Diyarbakır
2024-07-08,39.2,24.4,0.0,Diyarbakır
2024-07-09,38.9,25.7,0.0,Diyarbakır
2024-07-10,37.9,24.6,0.0,Diyarbakır
2024-07-11,41.3,23.2,0.0,Diyarbakır
2024-07-12,40.4,23.5,0.0,Diyarbakır
2024-07-13,41.7,26.7,0.0,Diyarbakır
2024-07-14,40.6,27.6,0.0,Diyarbakır
2024-07-15,40.6,26.5,0.0,Diyarbakır
2024-07-16,40.8,26.1,0.0,Diyarbakır
2024-07-17,41.8,25.8,0.0,Diyarbakır
2024-07-18,40.9,26.1,0.0,Diyarbakır
2024-07-19,39.7,26.4,0.0,Diyarbakır
2024-07-20,38.4,26.7,0.0,Diyarbakır
2024-07-21,39.3,25.3,0.0,Diyarbakır
2024-07-22,40.7,26.5,0.0,Diyarbakır
2024-07-23,41.7,27.4,0.0,Diyarbakır
2024-07-24,40.5,27.7,0.0,Diyarbakır
2024-07-25,39.0,26.9,0.0,Diyarbakır
2024-07-26,39.5,24.9,0.0,Diyarbakır
2024-07-27,38.4,27.2,0.0,Diyarbakır
2024-07-28,38.0,25.6,0.0,Diyarbakır
2024-07-29,38.6,23.9,0.0,Diyarbakır
2024-07-30,39.7,23.6,0.0,Diyarbakır
2024-07-31,39.4,26.7,0.0,Diyarbakır
2024-08-01,39.9,26.4,0.0,Diyarbakır
