time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,17.5,13.0,4.7,Düzce
2024-05-02,17.9,12.6,7.2,Düzce
2024-05-03,20.7,12.6,2.8,Düzce
2024-05-04,17.7,10.2,1.4,Düzce
2024-05-05,16.5,9.9,1.5,Düzce
2024-05-06,17.0,5.6,0.0,Düzce
2024-05-07,23.3,4.0,0.0,Düzce
2024-05-08,25.5,8.0,0.0,Düzce
2024-05-09,23.0,10.6,0.2,Düzce
2024-05-10,22.1,12.8,4.3,Düzce
2024-05-11,15.1,12.2,6.6,Düzce
2024-05-12,19.3,11.6,1.3,Düzce
2024-05-13,17.3,8.4,10.2,Düzce
2024-05-14,16.6,6.0,0.0,Düzce
2024-05-15,17.5,5.4,0.0,Düzce
2024-05-16,18.9,8.0,0.1,Düzce
2024-05-17,21.0,9.6,1.5,Düzce
2024-05-18,23.7,11.3,0.0,Düzce
2024-05-19,23.9,11.7,0.0,Düzce
2024-05-20,23.2,10.3,0.0,Düzce
2024-05-21,24.0,11.0,0.0,Düzce
2024-05-22,28.0,11.8,0.0,Düzce
2024-05-23,25.3,14.8,15.9,Düzce
2024-05-24,20.6,14.7,20.3,Düzce
2024-05-25,21.8,12.3,1.4,Düzce
2024-05-26,20.3,13.5,4.1,Düzce
2024-05-27,19.3,11.7,1.6,Düzce
2024-05-28,21.5,11.8,0.4,Düzce
2024-05-29,23.6,11.0,0.0,Düzce
2024-05-30,24.9,14.2,0.3,Düzce
2024-05-31,25.8,13.0,0.0,Düzce
2024-06-01,28.9,14.5,0.0,Düzce
2024-06-02,31.0,15.2,0.0,Düzce
2024-06-03,32.7,16.8,0.0,Düzce
2024-06-04,34.8,18.7,0.0,Düzce
2024-06-05,30.8,18.6,0.0,Düzce
2024-06-06,30.4,17.7,0.0,Düzce
2024-06-07,28.0,18.5,0.7,Düzce
2024-06-08,27.4,17.5,0.5,Düzce
2024-06-09,28.4,18.1,0.0,Düzce
2024-06-10,32.2,16.7,0.0,Düzce
2024-06-11,35.7,17.6,0.0,Düzce
2024-06-12,35.1,19.9,0.0,Düzce
2024-06-13,36.4,21.6,0.5,Düzce
2024-06-14,34.7,20.2,2.9,Düzce
2024-06-15,24.0,18.5,4.1,Düzce
2024-06-16,27.1,14.9,0.0,Düzce
2024-06-17,28.1,14.8,0.0,Düzce
2024-06-18,29.6,15.1,0.0,Düzce
2024-06-19,29.1,17.1,0.2,Düzce
2024-06-20,29.8,17.7,0.0,Düzce
2024-06-21,29.2,17.2,0.0,Düzce
2024-06-22,27.7,18.0,0.6,Düzce
2024-06-23,30.2,15.7,0.0,Düzce
2024-06-24,30.6,17.0,0.0,Düzce
2024-06-25,28.6,20.4,0.1,Düzce
2024-06-26,26.9,19.2,1.1,Düzce
2024-06-27,29.6,16.8,0.0,Düzce
2024-06-28,30.1,17.1,0.0,Düzce
2024-06-29,27.4,19.9,0.4,Düzce
2024-06-30,28.5,17.9,0.0,Düzce
2024-07-01,29.4,16.5,0.2,Düzce
2024-07-02,32.2,18.2,0.0,Düzce
2024-07-03,34.0,18.5,1.0,Düzce
2024-07-04,29.3,20.8,0.8,Düzce
2024-07-05,26.1,19.3,4.3,Düzce
2024-07-06,27.0,17.9,1.9,Düzce
2024-07-07,29.0,19.4,0.0,Düzce
2024-07-08,30.5,19.3,0.0,Düzce
2024-07-09,31.6,20.3,0.2,Düzce
2024-07-10,30.2,20.9,2.5,Düzce
2024-07-11,28.7,21.6,1.5,Düzce
2024-07-12,29.8,21.2,3.5,Düzce
2024-07-13,29.5,21.0,1.8,Düzce
2024-07-14,29.8,21.3,0.2,Düzce
2024-07-15,30.0,18.2,0.0,Düzce
2024-07-16,32.3,19.7,0.0,Düzce
2024-07-17,30.6,21.9,7.0,Düzce
2024-07-18,32.5,21.5,0.0,Düzce
2024-07-19,33.3,20.7,0.0,Düzce
2024-07-20,32.6,23.8,1.9,Düzce
2024-07-21,32.8,21.6,0.0,Düzce
2024-07-22,33.8,20.8,0.0,Düzce
2024-07-23,31.0,21.5,0.2,Düzce
2024-07-24,29.8,22.2,2.6,Düzce
2024-07-25,30.4,19.4,1.3,Düzce
2024-07-26,23.3,19.7,14.9,Düzce
2024-07-27,25.8,18.2,7.5,Düzce
2024-07-28,29.9,18.9,0.0,Düzce
2024-07-29,31.3,17.7,0.0,Düzce
2024-07-30,28.4,19.0,0.8,Düzce
2024-07-31,27.3,17.4,1.2,Düzce
2024-08-01,29.3,17.8,0.0,Düzce
2024-08-02,29.5,16.8,0.0,Düzce
2024-08-03,30.8,16.1,0.0,Düzce
2024-08-04,32.3,16.4,0.0,Düzce
2024-08-05,28.6,21.5,1.5,Düzce
2024-08-06,29.8,17.8,0.0,Düzce
2024-08-07,27.3,18.5,1.6,Düzce
2024-08-08,29.4,17.8,0.0,Düzce
2024-08-09,31.5,18.8,0.0,Düzce
2024-08-10,27.5,20.7,9.7,Düzce
2024-08-11,30.3,19.8,0.4,Düzce
2024-08-12,30.4,18.2,0.0,Düzce
2024-08-13,33.1,18.4,0.0,Düzce
2024-08-14,33.9,18.1,0.0,Düzce
2024-08-15,31.3,19.6,0.0,Düzce
2024-08-16,29.5,18.3,0.0,Düzce
2024-08-17,29.5,18.0,0.0,Düzce
2024-08-18,32.0,18.3,0.0,Düzce
2024-08-19,31.2,18.5,0.0,Düzce
2024-08-20,33.0,20.2,0.0,Düzce
2024-08-21,31.8,20.1,0.0,Düzce
2024-08-22,29.0,20.2,1.2,Düzce
2024-08-23,30.2,22.3,2.7,Düzce
2024-08-24,29.0,18.9,1.1,Düzce
2024-08-25,29.5,19.0,0.1,Düzce
2024-08-26,30.0,17.9,1.7,Düzce
2024-08-27,27.9,18.9,0.4,Düzce
2024-08-28,29.2,18.2,0.7,Düzce
2024-08-29,29.8,18.0,0.9,Düzce
2024-08-30,30.3,17.9,6.5,Düzce
2024-08-31,29.3,17.9,0.4,Düzce
2024-09-01,28.0,18.5,1.1,Düzce
2024-09-02,27.7,20.4,4.7,Düzce
2024-09-03,28.5,19.7,0.6,Düzce
2024-09-04,28.7,18.3,0.2,Düzce
2024-09-05,28.0,18.1,0.5,Düzce
2024-09-06,28.1,17.1,0.0,Düzce
2024-09-07,26.5,16.7,6.5,Düzce
2024-09-08,24.6,18.1,1.7,Düzce
