time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,20.4,13.1,0.4,Edirne
2024-05-02,20.8,11.3,0.0,Edirne
2024-05-03,18.0,10.3,16.6,Edirne
2024-05-04,18.2,11.6,9.5,Edirne
2024-05-05,20.7,11.2,0.0,Edirne
2024-05-06,22.9,7.3,0.0,Edirne
2024-05-07,25.3,10.0,0.2,Edirne
2024-05-08,25.4,12.0,1.1,Edirne
2024-05-09,21.8,12.9,0.1,Edirne
2024-05-10,18.8,12.6,0.7,Edirne
2024-05-11,22.3,12.2,0.0,Edirne
2024-05-12,23.2,8.2,0.0,Edirne
2024-05-13,18.3,12.0,2.0,Edirne
2024-05-14,19.4,6.5,0.0,Edirne
2024-05-15,18.5,11.1,0.0,Edirne
2024-05-16,20.1,8.8,1.4,Edirne
2024-05-17,23.6,10.6,8.7,Edirne
2024-05-18,25.6,11.0,0.0,Edirne
2024-05-19,21.3,13.5,6.2,Edirne
2024-05-20,25.5,12.5,0.0,Edirne
2024-05-21,26.4,11.5,0.0,Edirne
2024-05-22,27.7,12.8,0.0,Edirne
2024-05-23,23.2,14.6,20.7,Edirne
2024-05-24,26.2,14.9,0.0,Edirne
2024-05-25,25.9,14.9,0.1,Edirne
2024-05-26,24.3,13.7,0.1,Edirne
2024-05-27,24.0,12.3,0.0,Edirne
2024-05-28,23.5,11.2,0.0,Edirne
2024-05-29,24.7,11.9,1.5,Edirne
2024-05-30,25.8,12.2,0.0,Edirne
2024-05-31,28.6,14.4,0.0,Edirne
2024-06-01,31.7,16.4,0.0,Edirne
2024-06-02,32.3,16.5,0.0,Edirne
2024-06-03,35.1,18.8,0.0,Edirne
2024-06-04,35.8,19.1,0.0,Edirne
2024-06-05,34.1,21.9,0.0,Edirne
2024-06-06,32.2,20.9,0.7,Edirne
2024-06-07,33.8,20.0,0.0,Edirne
2024-06-08,33.6,18.1,0.0,Edirne
2024-06-09,33.4,17.5,0.0,Edirne
2024-06-10,35.3,19.5,0.0,Edirne
2024-06-11,38.4,22.0,0.0,Edirne
2024-06-12,37.1,22.4,0.1,Edirne
2024-06-13,35.3,22.2,0.0,Edirne
2024-06-14,28.1,19.3,20.4,Edirne
2024-06-15,29.6,16.6,0.0,Edirne
2024-06-16,31.6,17.4,0.0,Edirne
2024-06-17,33.6,18.8,0.0,Edirne
2024-06-18,35.4,20.1,0.0,Edirne
2024-06-19,34.8,20.0,0.0,Edirne
2024-06-20,36.7,19.9,0.0,Edirne
2024-06-21,34.7,22.6,0.0,Edirne
2024-06-22,33.6,20.1,0.0,Edirne
2024-06-23,34.4,17.2,0.0,Edirne
2024-06-24,34.3,18.3,0.0,Edirne
2024-06-25,34.1,20.7,0.0,Edirne
2024-06-26,32.4,21.2,0.0,Edirne
2024-06-27,32.8,19.1,0.0,Edirne
2024-06-28,31.6,19.2,0.0,Edirne
2024-06-29,32.4,21.6,0.0,Edirne
2024-06-30,34.8,20.3,0.0,Edirne
2024-07-01,34.7,19.8,0.0,Edirne
2024-07-02,36.1,20.0,0.0,Edirne
2024-07-03,27.8,22.1,12.5,Edirne
2024-07-04,29.9,20.1,7.8,Edirne
2024-07-05,30.7,19.0,0.0,Edirne
2024-07-06,31.7,19.1,0.0,Edirne
2024-07-07,32.9,18.1,0.0,Edirne
2024-07-08,34.5,18.3,0.0,Edirne
2024-07-09,37.0,22.8,0.0,Edirne
2024-07-10,37.9,25.1,0.0,Edirne
2024-07-11,36.7,25.6,0.1,Edirne
2024-07-12,36.3,23.0,0.0,Edirne
2024-07-13,37.0,24.1,0.0,Edirne
2024-07-14,36.8,23.2,0.0,Edirne
2024-07-15,36.5,20.8,0.0,Edirne
2024-07-16,38.5,24.0,0.0,Edirne
2024-07-17,38.7,25.5,0.0,Edirne
2024-07-18,39.9,26.1,0.0,Edirne
2024-07-19,36.6,26.4,1.6,Edirne
2024-07-20,37.0,24.4,0.0,Edirne
2024-07-21,37.4,22.6,0.0,Edirne
2024-07-22,36.9,23.8,0.9,Edirne
2024-07-23,34.7,23.9,1.5,Edirne
2024-07-24,35.0,22.7,0.0,Edirne
2024-07-25,27.7,22.3,1.6,Edirne
2024-07-26,30.6,19.7,0.0,Edirne
2024-07-27,33.6,20.2,0.1,Edirne
2024-07-28,35.0,20.2,0.0,Edirne
2024-07-29,36.9,20.8,0.0,Edirne
2024-07-30,31.9,24.1,0.2,Edirne
2024-07-31,33.2,19.1,0.0,Edirne
2024-08-01,33.8,19.0,0.0,Edirne
2024-08-02,35.7,19.2,0.0,Edirne
2024-08-03,37.4,19.8,0.0,Edirne
2024-08-04,34.6,22.8,0.1,Edirne
2024-08-05,31.2,22.0,0.0,Edirne
2024-08-06,34.1,20.5,0.0,Edirne
2024-08-07,32.8,21.0,0.0,Edirne
2024-08-08,34.8,20.1,0.0,Edirne
2024-08-09,34.9,20.3,0.0,Edirne
2024-08-10,33.3,22.6,1.4,Edirne
2024-08-11,35.8,22.9,0.0,Edirne
2024-08-12,36.2,22.1,0.0,Edirne
2024-08-13,38.3,21.3,0.0,Edirne
2024-08-14,36.5,21.7,0.0,Edirne
2024-08-15,36.9,22.9,0.0,Edirne
2024-08-16,35.3,21.4,0.0,Edirne
2024-08-17,34.7,21.5,0.0,Edirne
2024-08-18,33.8,21.0,0.0,Edirne
2024-08-19,33.9,19.8,0.0,Edirne
2024-08-20,32.7,22.1,0.8,Edirne
2024-08-21,32.2,21.6,5.1,Edirne
2024-08-22,36.6,21.8,0.0,Edirne
2024-08-23,36.2,22.2,0.0,Edirne
2024-08-24,35.9,22.5,0.1,Edirne
2024-08-25,35.3,20.9,0.0,Edirne
2024-08-26,33.0,22.3,0.1,Edirne
2024-08-27,32.2,22.1,0.0,Edirne
2024-08-28,30.8,20.9,0.4,Edirne
2024-08-29,31.9,21.3,1.0,Edirne
2024-08-30,30.9,20.6,0.2,Edirne
2024-08-31,27.1,21.4,7.6,Edirne
2024-09-01,31.1,20.8,0.1,Edirne
2024-09-02,30.8,20.0,6.1,Edirne
2024-09-03,33.9,19.7,0.0,Edirne
2024-09-04,33.7,19.0,0.0,Edirne
2024-09-05,32.4,18.7,0.0,Edirne
2024-09-06,32.4,18.9,0.3,Edirne
2024-09-07,30.3,20.3,1.0,Edirne
2024-09-08,29.2,18.9,0.0,Edirne
2024-09-09,30.0,17.3,0.0,Edirne
2024-09-10,29.1,19.1,4.3,Edirne
2024-09-11,26.3,17.4,15.5,Edirne
2024-09-12,29.3,16.8,0.7,Edirne
2024-09-13,29.3,19.5,0.9,Edirne
2024-09-14,30.0,19.9,0.0,Edirne
2024-09-15,22.2,16.2,10.4,Edirne
2024-09-16,23.2,13.8,1.1,Edirne
2024-09-17,23.5,15.8,3.9,Edirne
2024-09-18,25.5,14.2,0.2,Edirne
