time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,23.0,13.8,2.7,Elazığ
2024-05-02,20.6,11.7,3.3,Elazığ
2024-05-03,20.1,9.9,0.0,Elazığ
2024-05-04,19.5,8.6,4.0,Elazığ
2024-05-05,14.8,8.8,6.4,Elazığ
2024-05-06,12.5,8.0,4.9,Elazığ
2024-05-07,15.7,7.7,0.4,Elazığ
2024-05-08,20.3,5.1,0.0,Elazığ
2024-05-09,21.7,10.4,0.0,Elazığ
2024-05-10,23.7,12.3,0.2,Elazığ
2024-05-11,20.0,11.3,5.3,Elazığ
2024-05-12,20.2,9.9,7.1,Elazığ
2024-05-13,14.3,9.9,10.7,Elazığ
2024-05-14,18.3,7.5,0.2,Elazığ
2024-05-15,18.1,6.0,1.9,Elazığ
2024-05-16,19.5,7.8,11.3,Elazığ
2024-05-17,19.3,6.8,0.0,Elazığ
2024-05-18,21.3,10.9,0.7,Elazığ
2024-05-19,24.5,10.7,0.6,Elazığ
2024-05-20,23.0,11.4,0.0,Elazığ
2024-05-21,25.2,11.7,0.0,Elazığ
2024-05-22,25.8,11.6,0.0,Elazığ
2024-05-23,23.6,14.0,0.5,Elazığ
2024-05-24,25.5,12.7,0.0,Elazığ
2024-05-25,21.4,13.0,0.2,Elazığ
2024-05-26,21.8,11.1,1.9,Elazığ
2024-05-27,24.1,10.9,5.6,Elazığ
2024-05-28,27.8,12.0,0.0,Elazığ
2024-05-29,27.9,13.1,0.0,Elazığ
2024-05-30,29.1,15.4,0.1,Elazığ
2024-05-31,28.5,15.6,0.0,Elazığ
2024-06-01,26.5,12.5,0.0,Elazığ
2024-06-02,29.0,12.8,0.0,Elazığ
2024-06-03,31.7,15.0,0.0,Elazığ
2024-06-04,32.9,16.5,0.0,Elazığ
2024-06-05,33.5,20.1,0.0,Elazığ
2024-06-06,34.0,20.5,0.0,Elazığ
2024-06-07,34.9,19.9,0.0,Elazığ
2024-06-08,32.6,19.2,2.2,Elazığ
2024-06-09,29.6,16.5,2.8,Elazığ
2024-06-10,27.5,17.3,0.6,Elazığ
2024-06-11,30.5,15.7,0.0,Elazığ
2024-06-12,33.8,16.1,0.0,Elazığ
2024-06-13,33.6,21.7,0.0,Elazığ
2024-06-14,33.4,20.6,0.0,Elazığ
2024-06-15,34.5,20.9,0.2,Elazığ
2024-06-16,33.5,18.0,0.0,Elazığ
2024-06-17,35.7,19.1,0.0,Elazığ
2024-06-18,36.2,20.7,0.0,Elazığ
2024-06-19,36.7,19.9,0.0,Elazığ
2024-06-20,38.7,23.2,0.0,Elazığ
2024-06-21,34.7,21.3,0.0,Elazığ
2024-06-22,35.0,19.0,0.0,Elazığ
2024-06-23,37.2,20.0,0.0,Elazığ
2024-06-24,37.2,22.8,0.0,Elazığ
2024-06-25,36.8,22.5,0.0,Elazığ
2024-06-26,32.9,20.7,0.0,Elazığ
2024-06-27,31.6,15.3,0.0,Elazığ
2024-06-28,33.2,17.0,0.0,Elazığ
2024-06-29,32.2,17.9,0.0,Elazığ
2024-06-30,33.6,18.5,0.0,Elazığ
2024-07-01,30.2,18.1,0.4,Elazığ
2024-07-02,29.8,17.7,0.0,Elazığ
2024-07-03,31.7,18.0,0.0,Elazığ
2024-07-04,37.1,21.1,0.0,Elazığ
2024-07-05,37.2,20.8,0.0,Elazığ
2024-07-06,35.1,18.4,0.0,Elazığ
2024-07-07,35.2,20.2,0.0,Elazığ
2024-07-08,34.9,20.7,0.0,Elazığ
2024-07-09,34.8,22.6,0.0,Elazığ
2024-07-10,34.3,20.9,0.3,Elazığ
2024-07-11,37.4,20.6,0.0,Elazığ
2024-07-12,35.5,20.4,0.0,Elazığ
2024-07-13,36.2,22.0,0.0,Elazığ
2024-07-14,34.9,23.0,0.4,Elazığ
2024-07-15,34.9,21.3,0.0,Elazığ
2024-07-16,35.8,21.1,0.0,Elazığ
2024-07-17,36.2,23.1,0.0,Elazığ
2024-07-18,36.2,22.1,0.0,Elazığ
2024-07-19,34.0,22.3,0.0,Elazığ
2024-07-20,33.2,22.0,0.0,Elazığ
2024-07-21,34.6,20.6,0.0,Elazığ
2024-07-22,36.1,21.3,0.0,Elazığ
2024-07-23,36.4,21.6,0.0,Elazığ
2024-07-24,35.3,22.3,0.0,Elazığ
2024-07-25,34.0,21.5,0.0,Elazığ
2024-07-26,35.8,21.5,0.1,Elazığ
2024-07-27,32.2,22.1,0.0,Elazığ
2024-07-28,33.1,20.3,0.0,Elazığ
2024-07-29,33.3,17.7,0.0,Elazığ
2024-07-30,34.8,20.0,0.0,Elazığ
2024-07-31,32.8,20.6,0.0,Elazığ
2024-08-01,32.5,19.7,0.0,Elazığ
2024-08-02,33.9,19.6,0.0,Elazığ
2024-08-03,33.8,19.1,0.0,Elazığ
2024-08-04,35.5,18.9,0.0,Elazığ
2024-08-05,36.1,20.0,0.0,Elazığ
2024-08-06,36.1,21.3,0.0,Elazığ
2024-08-07,35.1,21.5,0.0,Elazığ
2024-08-08,34.6,22.5,0.0,Elazığ
2024-08-09,35.6,19.7,0.0,Elazığ
