time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,24.3,12.2,1.1,Erzincan
2024-05-02,21.9,11.7,21.2,Erzincan
2024-05-03,19.7,9.7,1.1,Erzincan
2024-05-04,19.4,8.8,7.3,Erzincan
2024-05-05,13.6,7.0,17.6,Erzincan
2024-05-06,11.7,5.6,7.6,Erzincan
2024-05-07,15.7,5.8,0.5,Erzincan
2024-05-08,20.4,5.0,0.0,Erzincan
2024-05-09,22.0,5.4,0.2,Erzincan
2024-05-10,21.9,8.9,0.4,Erzincan
2024-05-11,17.4,10.1,8.4,Erzincan
2024-05-12,18.2,8.3,1.2,Erzincan
2024-05-13,15.6,6.8,3.3,Erzincan
2024-05-14,16.0,6.0,3.3,Erzincan
2024-05-15,17.6,3.9,0.1,Erzincan
2024-05-16,18.2,5.9,1.8,Erzincan
2024-05-17,19.1,3.4,10.5,Erzincan
2024-05-18,22.1,5.0,0.9,Erzincan
2024-05-19,22.0,8.4,2.5,Erzincan
2024-05-20,23.8,6.4,0.0,Erzincan
2024-05-21,24.8,7.5,0.0,Erzincan
2024-05-22,26.1,8.0,0.0,Erzincan
2024-05-23,23.4,10.1,0.0,Erzincan
2024-05-24,22.4,10.3,0.6,Erzincan
2024-05-25,19.5,10.3,0.6,Erzincan
2024-05-26,22.2,9.9,2.6,Erzincan
2024-05-27,23.4,8.3,5.0,Erzincan
2024-05-28,25.9,9.9,3.3,Erzincan
2024-05-29,26.0,9.9,0.0,Erzincan
2024-05-30,26.3,12.0,1.0,Erzincan
2024-05-31,28.4,13.0,0.0,Erzincan
2024-06-01,23.8,12.5,4.0,Erzincan
2024-06-02,28.4,8.9,0.0,Erzincan
2024-06-03,30.8,11.3,0.0,Erzincan
2024-06-04,31.4,12.4,0.0,Erzincan
2024-06-05,32.1,14.3,0.0,Erzincan
2024-06-06,33.2,14.6,0.0,Erzincan
2024-06-07,31.1,16.1,0.2,Erzincan
2024-06-08,29.1,16.9,2.4,Erzincan
2024-06-09,24.2,14.4,2.6,Erzincan
2024-06-10,25.8,13.8,0.0,Erzincan
2024-06-11,29.6,11.4,0.0,Erzincan
2024-06-12,31.9,11.8,0.0,Erzincan
2024-06-13,30.8,14.8,0.1,Erzincan
2024-06-14,31.4,14.8,0.0,Erzincan
2024-06-15,32.4,15.9,1.4,Erzincan
2024-06-16,31.9,15.8,0.0,Erzincan
2024-06-17,32.5,15.4,0.0,Erzincan
2024-06-18,34.9,16.4,0.0,Erzincan
2024-06-19,35.4,16.9,0.0,Erzincan
2024-06-20,35.8,18.1,0.0,Erzincan
2024-06-21,31.6,16.4,0.0,Erzincan
2024-06-22,34.1,14.3,0.0,Erzincan
2024-06-23,36.0,14.9,0.0,Erzincan
2024-06-24,36.7,17.2,0.0,Erzincan
2024-06-25,35.2,16.7,0.0,Erzincan
2024-06-26,27.0,15.0,0.0,Erzincan
2024-06-27,29.7,10.5,0.0,Erzincan
2024-06-28,31.3,13.3,0.0,Erzincan
2024-06-29,30.1,12.9,0.0,Erzincan
2024-06-30,28.2,13.9,1.3,Erzincan
2024-07-01,26.0,16.7,7.5,Erzincan
2024-07-02,27.1,15.4,1.1,Erzincan
2024-07-03,29.8,12.6,0.0,Erzincan
2024-07-04,33.1,15.9,0.0,Erzincan
2024-07-05,35.3,16.6,0.0,Erzincan
2024-07-06,33.1,17.1,0.0,Erzincan
2024-07-07,31.7,17.1,0.0,Erzincan
2024-07-08,29.7,17.9,1.1,Erzincan
2024-07-09,30.5,17.0,0.5,Erzincan
2024-07-10,31.0,16.9,0.0,Erzincan
2024-07-11,34.9,16.6,0.0,Erzincan
2024-07-12,34.1,17.3,0.0,Erzincan
2024-07-13,33.0,18.2,0.0,Erzincan
2024-07-14,31.9,19.0,0.4,Erzincan
2024-07-15,32.0,18.6,0.1,Erzincan
2024-07-16,33.4,18.0,0.1,Erzincan
2024-07-17,34.3,19.0,0.0,Erzincan
2024-07-18,30.6,19.8,0.8,Erzincan
2024-07-19,30.5,18.7,0.0,Erzincan
2024-07-20,30.0,17.9,0.0,Erzincan
2024-07-21,32.6,15.8,0.0,Erzincan
2024-07-22,34.7,16.1,0.0,Erzincan
2024-07-23,34.6,17.0,0.0,Erzincan
2024-07-24,32.4,17.3,0.0,Erzincan
2024-07-25,31.5,16.5,0.0,Erzincan
2024-07-26,33.1,17.0,1.0,Erzincan
2024-07-27,30.3,18.1,0.2,Erzincan
2024-07-28,28.4,15.4,0.0,Erzincan
2024-07-29,31.8,13.3,0.0,Erzincan
2024-07-30,34.1,15.6,0.0,Erzincan
2024-07-31,30.4,17.9,0.0,Erzincan
2024-08-01,31.6,14.7,0.0,Erzincan
2024-08-02,34.2,15.8,0.0,Erzincan
2024-08-03,34.8,15.7,0.0,Erzincan
2024-08-04,35.8,15.6,0.0,Erzincan
2024-08-05,36.1,17.4,0.0,Erzincan
2024-08-06,34.8,17.2,0.0,Erzincan
2024-08-07,33.6,18.2,0.0,Erzincan
2024-08-08,33.1,16.9,0.0,Erzincan
2024-08-09,35.0,16.7,0.0,Erzincan
2024-08-10,33.6,16.6,0.0,Erzincan
2024-08-11,30.5,15.9,0.0,Erzincan
2024-08-12,29.8,16.1,0.0,Erzincan
2024-08-13,33.0,15.1,0.0,Erzincan
2024-08-14,34.2,15.9,0.0,Erzincan
2024-08-15,35.2,15.2,0.0,Erzincan
2024-08-16,30.3,16.0,0.0,Erzincan
2024-08-17,33.4,14.2,0.0,Erzincan
2024-08-18,34.6,17.1,0.0,Erzincan
2024-08-19,34.7,18.7,0.0,Erzincan
2024-08-20,35.8,19.9,0.0,Erzincan
2024-08-21,36.1,19.7,0.0,Erzincan
2024-08-22,37.1,20.2,0.0,Erzincan
2024-08-23,35.7,19.6,0.0,Erzincan
2024-08-24,34.2,17.6,0.0,Erzincan
2024-08-25,31.7,17.8,0.6,Erzincan
2024-08-26,28.6,15.9,0.3,Erzincan
2024-08-27,31.3,16.5,0.0,Erzincan
2024-08-28,32.9,16.3,0.0,Erzincan
2024-08-29,33.6,17.1,0.0,Erzincan
2024-08-30,33.0,17.8,0.0,Erzincan
2024-08-31,31.6,16.8,0.0,Erzincan
2024-09-01,33.3,16.5,0.0,Erzincan
2024-09-02,31.6,17.3,0.0,Erzincan
2024-09-03,32.4,15.6,0.0,Erzincan
2024-09-04,30.2,17.0,0.0,Erzincan
2024-09-05,29.7,15.1,0.9,Erzincan
2024-09-06,29.0,16.0,0.1,Erzincan
2024-09-07,27.4,14.7,0.3,Erzincan
2024-09-08,26.2,15.7,0.6,Erzincan
2024-09-09,30.1,14.4,0.0,Erzincan
2024-09-10,31.6,15.7,0.0,Erzincan
2024-09-11,31.8,16.2,0.0,Erzincan
2024-09-12,31.5,16.7,0.0,Erzincan
2024-09-13,31.6,14.9,0.0,Erzincan
2024-09-14,31.4,14.9,0.0,Erzincan
2024-09-15,30.5,13.9,0.0,Erzincan
2024-09-16,30.4,15.8,0.0,Erzincan
