time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,20.5,6.3,10.0,Erzurum
2024-05-02,16.3,5.6,16.2,Erzurum
2024-05-03,17.2,5.6,1.7,Erzurum
2024-05-04,15.1,4.3,2.3,Erzurum
2024-05-05,11.7,4.2,1.9,Erzurum
2024-05-06,10.8,2.1,19.6,Erzurum
2024-05-07,10.3,3.3,6.6,Erzurum
2024-05-08,14.2,1.2,0.5,Erzurum
2024-05-09,17.5,-0.5,0.0,Erzurum
2024-05-10,16.9,3.2,0.0,Erzurum
2024-05-11,14.5,4.8,12.9,Erzurum
2024-05-12,14.8,4.4,21.7,Erzurum
2024-05-13,9.5,2.2,22.0,Erzurum
2024-05-14,11.3,2.8,7.1,Erzurum
2024-05-15,13.3,-1.0,6.6,Erzurum
2024-05-16,13.7,0.1,13.2,Erzurum
2024-05-17,13.5,-1.5,0.6,Erzurum
2024-05-18,15.0,-1.2,0.0,Erzurum
2024-05-19,15.0,3.2,4.0,Erzurum
2024-05-20,17.9,1.0,0.0,Erzurum
2024-05-21,18.2,5.7,0.1,Erzurum
2024-05-22,20.5,4.4,0.0,Erzurum
2024-05-23,18.7,4.8,8.5,Erzurum
2024-05-24,18.0,5.4,12.8,Erzurum
2024-05-25,14.7,3.5,11.4,Erzurum
2024-05-26,14.8,5.7,10.7,Erzurum
2024-05-27,18.9,3.5,6.0,Erzurum
2024-05-28,20.6,7.0,2.8,Erzurum
2024-05-29,22.1,7.5,1.7,Erzurum
2024-05-30,20.3,6.1,2.1,Erzurum
2024-05-31,24.8,6.6,0.0,Erzurum
2024-06-01,17.7,7.1,11.7,Erzurum
2024-06-02,22.1,4.0,0.0,Erzurum
2024-06-03,23.7,7.4,0.0,Erzurum
2024-06-04,25.2,8.4,0.0,Erzurum
2024-06-05,25.5,9.6,0.1,Erzurum
2024-06-06,26.1,9.1,0.0,Erzurum
2024-06-07,24.9,10.9,11.0,Erzurum
2024-06-08,21.4,10.8,13.9,Erzurum
2024-06-09,23.5,8.4,0.4,Erzurum
2024-06-10,20.8,9.2,3.6,Erzurum
2024-06-11,23.7,8.0,0.2,Erzurum
2024-06-12,25.5,8.1,0.0,Erzurum
2024-06-13,24.8,9.5,0.8,Erzurum
2024-06-14,25.7,8.5,0.0,Erzurum
2024-06-15,27.3,9.4,0.0,Erzurum
2024-06-16,27.8,10.9,1.0,Erzurum
2024-06-17,29.1,11.8,0.8,Erzurum
2024-06-18,29.0,11.2,0.2,Erzurum
2024-06-19,30.0,12.0,1.0,Erzurum
2024-06-20,30.1,13.9,3.6,Erzurum
2024-06-21,27.2,10.7,0.0,Erzurum
2024-06-22,27.1,10.6,0.0,Erzurum
2024-06-23,29.2,9.4,0.0,Erzurum
2024-06-24,30.5,12.2,0.0,Erzurum
