time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,19.5,11.4,0.7,Eskişehir
2024-05-02,18.0,10.0,0.2,Eskişehir
2024-05-03,20.1,7.4,2.2,Eskişehir
2024-05-04,19.2,6.9,2.5,Eskişehir
2024-05-05,15.9,5.0,0.8,Eskişehir
2024-05-06,18.5,1.2,0.0,Eskişehir
2024-05-07,22.4,5.1,0.0,Eskişehir
2024-05-08,25.5,9.2,0.0,Eskişehir
2024-05-09,24.5,9.3,0.6,Eskişehir
2024-05-10,24.4,11.3,2.4,Eskişehir
2024-05-11,15.5,8.0,13.3,Eskişehir
2024-05-12,14.7,7.5,0.1,Eskişehir
2024-05-13,16.2,5.5,0.9,Eskişehir
2024-05-14,15.9,0.8,0.0,Eskişehir
2024-05-15,18.7,3.6,0.0,Eskişehir
2024-05-16,19.9,5.1,0.0,Eskişehir
2024-05-17,27.6,9.2,1.6,Eskişehir
2024-05-18,26.0,11.7,0.0,Eskişehir
2024-05-19,26.1,10.6,0.1,Eskişehir
2024-05-20,25.8,11.7,0.0,Eskişehir
2024-05-21,27.1,11.1,0.0,Eskişehir
2024-05-22,31.5,13.4,0.0,Eskişehir
2024-05-23,27.8,13.0,6.8,Eskişehir
2024-05-24,18.6,11.1,6.6,Eskişehir
2024-05-25,19.8,10.0,2.4,Eskişehir
2024-05-26,22.3,7.7,0.1,Eskişehir
2024-05-27,20.6,10.4,0.1,Eskişehir
2024-05-28,20.9,8.3,0.0,Eskişehir
2024-05-29,24.3,9.3,0.0,Eskişehir
2024-05-30,24.9,10.7,0.6,Eskişehir
2024-05-31,25.7,11.1,0.0,Eskişehir
2024-06-01,30.2,11.3,0.0,Eskişehir
2024-06-02,30.6,15.6,0.4,Eskişehir
2024-06-03,33.1,16.7,0.0,Eskişehir
2024-06-04,34.7,17.8,0.4,Eskişehir
2024-06-05,32.8,17.4,0.0,Eskişehir
2024-06-06,33.4,18.9,0.3,Eskişehir
2024-06-07,26.9,17.4,5.0,Eskişehir
2024-06-08,26.6,14.7,0.6,Eskişehir
2024-06-09,28.3,14.4,0.0,Eskişehir
2024-06-10,31.5,15.5,0.0,Eskişehir
2024-06-11,35.1,18.7,0.0,Eskişehir
2024-06-12,35.6,18.8,0.0,Eskişehir
2024-06-13,36.3,20.4,0.0,Eskişehir
2024-06-14,33.6,19.1,0.0,Eskişehir
2024-06-15,25.3,16.2,0.0,Eskişehir
