time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,23.3,15.4,1.1,Gaziantep
2024-05-02,22.8,15.7,2.5,Gaziantep
2024-05-03,22.4,14.6,0.4,Gaziantep
2024-05-04,20.7,12.5,2.6,Gaziantep
2024-05-05,16.7,10.2,6.1,Gaziantep
2024-05-06,15.4,9.1,2.3,Gaziantep
2024-05-07,18.9,7.2,0.6,Gaziantep
2024-05-08,23.4,10.4,0.0,Gaziantep
2024-05-09,24.6,11.5,0.0,Gaziantep
2024-05-10,27.5,12.9,0.0,Gaziantep
2024-05-11,25.7,14.6,8.0,Gaziantep
2024-05-12,21.5,12.0,1.4,Gaziantep
2024-05-13,18.9,11.4,2.7,Gaziantep
2024-05-14,21.2,10.7,0.3,Gaziantep
2024-05-15,21.4,11.8,0.0,Gaziantep
2024-05-16,23.5,11.8,0.2,Gaziantep
2024-05-17,25.5,12.5,0.1,Gaziantep
2024-05-18,28.0,14.9,1.2,Gaziantep
2024-05-19,30.5,16.8,0.0,Gaziantep
2024-05-20,28.7,17.4,3.0,Gaziantep
2024-05-21,30.5,18.2,0.0,Gaziantep
2024-05-22,30.8,18.8,0.0,Gaziantep
2024-05-23,29.7,19.6,1.2,Gaziantep
2024-05-24,23.7,15.1,1.2,Gaziantep
2024-05-25,23.8,12.6,0.6,Gaziantep
2024-05-26,25.3,14.3,0.0,Gaziantep
2024-05-27,25.8,14.5,3.2,Gaziantep
2024-05-28,27.7,16.1,0.0,Gaziantep
2024-05-29,28.9,14.5,0.0,Gaziantep
2024-05-30,30.1,15.2,0.0,Gaziantep
2024-05-31,27.9,15.6,0.0,Gaziantep
2024-06-01,30.1,15.7,0.0,Gaziantep
2024-06-02,33.8,17.9,0.0,Gaziantep
2024-06-03,35.9,22.0,0.0,Gaziantep
2024-06-04,38.4,22.6,0.0,Gaziantep
2024-06-05,38.0,24.0,0.0,Gaziantep
2024-06-06,38.1,25.6,0.0,Gaziantep
2024-06-07,38.1,25.8,0.0,Gaziantep
2024-06-08,36.0,24.7,0.0,Gaziantep
2024-06-09,32.3,21.7,0.5,Gaziantep
2024-06-10,32.4,19.2,0.0,Gaziantep
2024-06-11,34.1,20.0,0.0,Gaziantep
2024-06-12,37.7,23.0,0.0,Gaziantep
2024-06-13,37.1,24.5,0.0,Gaziantep
2024-06-14,37.7,24.1,0.0,Gaziantep
2024-06-15,38.0,25.0,0.0,Gaziantep
2024-06-16,36.7,21.9,0.0,Gaziantep
2024-06-17,36.5,21.8,0.0,Gaziantep
2024-06-18,37.2,22.1,0.0,Gaziantep
2024-06-19,40.1,24.7,0.0,Gaziantep
2024-06-20,40.6,25.3,0.0,Gaziantep
2024-06-21,39.5,24.7,0.0,Gaziantep
2024-06-22,38.0,24.0,0.0,Gaziantep
2024-06-23,37.5,22.7,0.0,Gaziantep
2024-06-24,39.0,23.5,0.0,Gaziantep
2024-06-25,39.4,23.9,0.0,Gaziantep
2024-06-26,36.9,23.6,0.0,Gaziantep
2024-06-27,36.4,19.7,0.0,Gaziantep
2024-06-28,37.2,22.9,0.0,Gaziantep
2024-06-29,36.2,23.2,0.0,Gaziantep
2024-06-30,34.8,22.2,0.0,Gaziantep
2024-07-01,33.3,22.1,0.0,Gaziantep
2024-07-02,34.0,20.6,0.0,Gaziantep
2024-07-03,34.9,22.1,0.0,Gaziantep
2024-07-04,36.9,22.0,0.0,Gaziantep
2024-07-05,34.6,19.4,0.0,Gaziantep
2024-07-06,34.3,21.1,0.0,Gaziantep
2024-07-07,36.9,22.1,0.0,Gaziantep
2024-07-08,37.1,24.1,0.0,Gaziantep
2024-07-09,37.8,24.8,0.0,Gaziantep
2024-07-10,37.0,24.6,0.0,Gaziantep
2024-07-11,37.2,22.6,0.0,Gaziantep
2024-07-12,37.0,23.2,0.0,Gaziantep
2024-07-13,35.9,24.1,0.0,Gaziantep
2024-07-14,35.7,23.0,0.0,Gaziantep
2024-07-15,35.8,23.5,0.0,Gaziantep
2024-07-16,37.4,23.0,0.0,Gaziantep
2024-07-17,37.9,23.7,0.0,Gaziantep
2024-07-18,37.9,24.9,0.0,Gaziantep
2024-07-19,37.2,24.8,0.0,Gaziantep
2024-07-20,36.2,23.6,0.0,Gaziantep
2024-07-21,36.9,23.6,0.0,Gaziantep
2024-07-22,39.0,25.0,0.0,Gaziantep
2024-07-23,39.6,25.8,0.0,Gaziantep
2024-07-24,36.9,24.5,0.2,Gaziantep
2024-07-25,34.9,23.7,0.0,Gaziantep
2024-07-26,34.8,22.9,0.0,Gaziantep
2024-07-27,35.0,23.1,0.0,Gaziantep
2024-07-28,35.4,21.7,0.0,Gaziantep
2024-07-29,37.3,21.9,0.0,Gaziantep
2024-07-30,37.7,22.7,0.0,Gaziantep
2024-07-31,36.4,23.4,0.0,Gaziantep
2024-08-01,36.9,23.5,0.0,Gaziantep
2024-08-02,36.7,23.3,0.0,Gaziantep
2024-08-03,36.8,23.0,0.0,Gaziantep
2024-08-04,38.0,22.7,0.0,Gaziantep
2024-08-05,38.1,23.4,0.0,Gaziantep
2024-08-06,37.5,23.8,0.0,Gaziantep
2024-08-07,38.0,24.2,0.0,Gaziantep
2024-08-08,38.0,24.6,0.0,Gaziantep
2024-08-09,38.2,24.0,0.0,Gaziantep
2024-08-10,38.3,23.7,0.0,Gaziantep
2024-08-11,37.7,23.7,0.0,Gaziantep
2024-08-12,36.0,22.0,0.0,Gaziantep
2024-08-13,38.4,24.5,0.0,Gaziantep
2024-08-14,38.1,24.3,0.0,Gaziantep
2024-08-15,37.4,24.4,0.0,Gaziantep
2024-08-16,37.4,22.9,0.0,Gaziantep
2024-08-17,37.1,24.9,0.0,Gaziantep
2024-08-18,38.4,23.9,0.0,Gaziantep
2024-08-19,37.9,25.0,0.0,Gaziantep
2024-08-20,38.2,23.0,0.0,Gaziantep
2024-08-21,39.7,25.3,0.0,Gaziantep
2024-08-22,36.0,23.3,0.0,Gaziantep
2024-08-23,35.6,20.5,0.0,Gaziantep
2024-08-24,34.7,20.8,0.0,Gaziantep
2024-08-25,33.1,21.8,0.0,Gaziantep
2024-08-26,33.9,21.6,0.0,Gaziantep
2024-08-27,33.3,21.2,0.0,Gaziantep
2024-08-28,35.1,21.5,0.0,Gaziantep
2024-08-29,34.9,22.1,0.0,Gaziantep
2024-08-30,33.2,21.4,0.0,Gaziantep
2024-08-31,33.7,21.5,0.0,Gaziantep
2024-09-01,31.6,20.9,0.0,Gaziantep
2024-09-02,30.8,19.9,0.0,Gaziantep
2024-09-03,33.7,19.2,0.0,Gaziantep
2024-09-04,34.1,20.8,0.0,Gaziantep
2024-09-05,33.2,21.9,0.5,Gaziantep
2024-09-06,33.9,21.5,0.0,Gaziantep
2024-09-07,33.1,22.7,0.0,Gaziantep
2024-09-08,31.8,21.6,0.0,Gaziantep
2024-09-09,34.0,19.5,0.0,Gaziantep
2024-09-10,33.7,21.8,0.0,Gaziantep
2024-09-11,31.5,19.1,0.0,Gaziantep
2024-09-12,32.7,19.5,0.0,Gaziantep
2024-09-13,33.8,20.6,0.0,Gaziantep
2024-09-14,33.3,20.9,0.0,Gaziantep
2024-09-15,33.3,20.6,0.0,Gaziantep
2024-09-16,28.5,19.5,0.0,Gaziantep
2024-09-17,28.9,18.4,0.0,Gaziantep
2024-09-18,29.4,17.9,0.0,Gaziantep
2024-09-19,27.0,18.8,0.9,Gaziantep
2024-09-20,27.1,17.4,0.8,Gaziantep
2024-09-21,25.0,17.5,1.3,Gaziantep
2024-09-22,20.5,14.7,7.8,Gaziantep
2024-09-23,23.4,13.5,0.0,Gaziantep
2024-09-24,24.1,14.6,0.0,Gaziantep
2024-09-25,27.0,15.8,0.0,Gaziantep
2024-09-26,28.9,17.5,0.0,Gaziantep
2024-09-27,30.8,18.0,0.0,Gaziantep
2024-09-28,31.7,19.0,0.0,Gaziantep
2024-09-29,29.5,16.8,0.0,Gaziantep
2024-09-30,29.0,17.2,0.0,Gaziantep
2024-10-01,24.0,16.5,0.3,Gaziantep
2024-10-02,24.2,13.7,0.0,Gaziantep
2024-10-03,25.5,13.2,0.0,Gaziantep
2024-10-04,27.3,15.3,0.0,Gaziantep
2024-10-05,29.2,17.1,0.0,Gaziantep
2024-10-06,29.5,16.4,0.0,Gaziantep
2024-10-07,29.9,17.5,0.0,Gaziantep
2024-10-08,29.7,17.2,0.0,Gaziantep
2024-10-09,30.7,18.1,0.0,Gaziantep
2024-10-10,29.8,17.4,0.0,Gaziantep
2024-10-11,26.8,16.2,0.7,Gaziantep
2024-10-12,27.4,16.0,0.0,Gaziantep
2024-10-13,28.2,16.1,0.1,Gaziantep
2024-10-14,27.5,17.3,0.0,Gaziantep
2024-10-15,27.3,16.0,0.0,Gaziantep
2024-10-16,27.2,15.5,0.0,Gaziantep
2024-10-17,25.4,14.3,0.0,Gaziantep
2024-10-18,18.1,9.4,0.0,Gaziantep
2024-10-19,16.9,7.2,0.0,Gaziantep
2024-10-20,17.8,7.0,0.0,Gaziantep
2024-10-21,17.2,7.3,0.0,Gaziantep
2024-10-22,17.0,7.7,0.0,Gaziantep
2024-10-23,18.2,7.6,0.0,Gaziantep
2024-10-24,20.3,8.6,0.0,Gaziantep
2024-10-25,20.1,9.6,0.0,Gaziantep
2024-10-26,21.0,8.5,0.0,Gaziantep
2024-10-27,18.6,9.1,0.0,Gaziantep
2024-10-28,19.9,8.8,0.0,Gaziantep
2024-10-29,19.7,9.0,0.0,Gaziantep
2024-10-30,20.2,8.6,0.0,Gaziantep
2024-10-31,19.2,8.8,0.0,Gaziantep
2024-11-01,20.1,9.7,0.0,Gaziantep
2024-11-02,20.1,9.1,0.0,Gaziantep
2024-11-03,18.5,10.2,1.9,Gaziantep
2024-11-04,17.2,9.2,0.3,Gaziantep
2024-11-05,17.1,7.2,0.0,Gaziantep
2024-11-06,15.5,6.7,0.0,Gaziantep
2024-11-07,17.1,7.2,0.0,Gaziantep
2024-11-08,18.2,7.7,0.0,Gaziantep
2024-11-09,17.8,7.1,0.0,Gaziantep
2024-11-10,18.0,9.5,0.1,Gaziantep
2024-11-11,16.3,8.7,3.5,Gaziantep
2024-11-12,18.8,8.3,0.0,Gaziantep
2024-11-13,19.7,9.5,0.0,Gaziantep
2024-11-14,19.1,9.6,0.0,Gaziantep
2024-11-15,17.8,8.2,0.0,Gaziantep
2024-11-16,16.9,7.9,0.0,Gaziantep
2024-11-17,15.0,7.9,5.1,Gaziantep
2024-11-18,12.7,6.4,11.6,Gaziantep
2024-11-19,13.2,5.5,0.6,Gaziantep
2024-11-20,13.0,6.1,0.4,Gaziantep
2024-11-21,12.8,7.0,2.0,Gaziantep
2024-11-22,14.2,6.9,0.0,Gaziantep
2024-11-23,16.0,8.0,0.0,Gaziantep
2024-11-24,10.8,2.3,20.1,Gaziantep
2024-11-25,5.1,0.1,0.0,Gaziantep
2024-11-26,6.1,0.2,0.2,Gaziantep
2024-11-27,8.1,0.2,0.0,Gaziantep
2024-11-28,9.4,0.6,0.0,Gaziantep
2024-11-29,8.3,0.5,0.0,Gaziantep
2024-11-30,9.3,1.4,0.0,Gaziantep
2024-12-01,10.8,2.0,0.0,Gaziantep
2024-12-02,10.9,1.6,0.0,Gaziantep
2024-12-03,9.2,1.9,0.0,Gaziantep
2024-12-04,7.7,1.9,0.0,Gaziantep
2024-12-05,10.8,4.4,0.1,Gaziantep
2024-12-06,11.3,4.1,0.0,Gaziantep
2024-12-07,10.9,5.3,0.0,Gaziantep
2024-12-08,11.1,5.2,4.3,Gaziantep
2024-12-09,14.5,4.6,0.0,Gaziantep
2024-12-10,14.0,5.3,0.0,Gaziantep
2024-12-11,13.2,5.1,0.0,Gaziantep
2024-12-12,12.4,4.6,0.1,Gaziantep
2024-12-13,9.4,2.0,0.0,Gaziantep
2024-12-14,7.2,0.0,0.0,Gaziantep
2024-12-15,5.7,-1.9,0.0,Gaziantep
2024-12-16,3.6,-1.0,1.5,Gaziantep
2024-12-17,8.9,-1.5,0.0,Gaziantep
2024-12-18,11.8,-0.1,0.0,Gaziantep
2024-12-19,10.1,1.4,0.0,Gaziantep
2024-12-20,8.1,1.2,0.0,Gaziantep
2024-12-21,11.5,0.7,0.0,Gaziantep
2024-12-22,5.9,3.6,3.1,Gaziantep
2024-12-23,5.8,4.1,13.8,Gaziantep
2024-12-24,9.8,5.2,2.3,Gaziantep
2024-12-25,11.0,5.4,0.0,Gaziantep
2024-12-26,6.1,4.9,9.5,Gaziantep
2024-12-27,6.0,3.5,7.7,Gaziantep
2024-12-28,9.4,2.2,0.4,Gaziantep
2024-12-29,5.9,2.4,2.1,Gaziantep
2024-12-30,6.4,4.4,12.8,Gaziantep
2024-12-31,9.3,3.9,0.5,Gaziantep
2025-01-01,9.6,2.6,0.0,Gaziantep
2025-01-02,11.2,2.7,0.0,Gaziantep
2025-01-03,9.5,1.3,0.0,Gaziantep
2025-01-04,8.3,-0.1,0.0,Gaziantep
2025-01-05,5.5,1.5,0.1,Gaziantep
2025-01-06,8.1,1.4,0.0,Gaziantep
2025-01-07,10.4,1.7,0.0,Gaziantep
2025-01-08,11.0,2.0,0.0,Gaziantep
2025-01-09,12.2,2.6,0.0,Gaziantep
2025-01-10,10.8,3.3,0.0,Gaziantep
2025-01-11,10.3,2.9,0.0,Gaziantep
2025-01-12,11.9,1.8,0.0,Gaziantep
2025-01-13,12.4,2.6,0.1,Gaziantep
2025-01-14,12.1,3.6,0.0,Gaziantep
2025-01-15,11.6,3.8,0.0,Gaziantep
2025-01-16,11.2,3.6,0.8,Gaziantep
2025-01-17,11.4,3.7,0.0,Gaziantep
2025-01-18,11.2,1.6,0.0,Gaziantep
2025-01-19,12.2,3.7,0.0,Gaziantep
2025-01-20,9.6,2.1,0.0,Gaziantep
2025-01-21,9.5,0.4,0.0,Gaziantep
2025-01-22,6.5,0.2,1.2,Gaziantep
2025-01-23,2.0,0.4,8.0,Gaziantep
2025-01-24,7.0,0.6,0.0,Gaziantep
2025-01-25,8.5,0.9,0.0,Gaziantep
2025-01-26,9.5,1.2,0.0,Gaziantep
2025-01-27,9.7,2.1,0.6,Gaziantep
2025-01-28,10.9,2.2,0.0,Gaziantep
2025-01-29,11.3,1.9,0.0,Gaziantep
2025-01-30,13.3,1.3,0.0,Gaziantep
2025-01-31,11.5,2.3,0.0,Gaziantep
2025-02-01,13.6,2.5,0.0,Gaziantep
2025-02-02,13.9,2.7,0.0,Gaziantep
2025-02-03,13.5,3.5,0.0,Gaziantep
2025-02-04,11.8,1.7,0.0,Gaziantep
2025-02-05,7.7,2.8,0.8,Gaziantep
2025-02-06,6.5,-0.7,1.2,Gaziantep
2025-02-07,5.1,-0.6,1.0,Gaziantep
2025-02-08,9.4,1.2,0.0,Gaziantep
2025-02-09,8.6,0.2,0.0,Gaziantep
2025-02-10,6.2,-0.4,1.9,Gaziantep
2025-02-11,1.5,0.2,14.7,Gaziantep
2025-02-12,6.4,0.8,3.5,Gaziantep
2025-02-13,4.5,0.4,8.8,Gaziantep
2025-02-14,8.0,-0.7,0.0,Gaziantep
2025-02-15,8.8,-0.3,0.0,Gaziantep
2025-02-16,9.7,1.3,0.0,Gaziantep
2025-02-17,11.4,1.6,0.0,Gaziantep
2025-02-18,10.5,2.1,0.0,Gaziantep
2025-02-19,10.7,4.0,1.7,Gaziantep
2025-02-20,6.4,-2.9,1.3,Gaziantep
2025-02-21,2.3,-4.9,0.0,Gaziantep
2025-02-22,1.2,-5.6,0.0,Gaziantep
2025-02-23,0.4,-6.3,0.0,Gaziantep
2025-02-24,1.2,-6.3,0.0,Gaziantep
2025-02-25,3.9,-4.8,0.0,Gaziantep
2025-02-26,7.1,-3.6,0.0,Gaziantep
2025-02-27,10.2,-1.6,0.0,Gaziantep
2025-02-28,9.9,-0.9,0.0,Gaziantep
2025-03-01,11.4,2.4,0.0,Gaziantep
2025-03-02,13.7,1.8,0.0,Gaziantep
2025-03-03,10.2,3.4,0.0,Gaziantep
2025-03-04,14.0,3.5,0.0,Gaziantep
2025-03-05,17.9,6.2,0.0,Gaziantep
2025-03-06,17.9,6.1,0.0,Gaziantep
2025-03-07,18.3,7.3,0.0,Gaziantep
2025-03-08,19.3,9.7,0.0,Gaziantep
2025-03-09,20.1,7.9,0.0,Gaziantep
2025-03-10,19.1,8.7,0.0,Gaziantep
2025-03-11,21.1,8.5,0.0,Gaziantep
2025-03-12,21.8,8.8,0.0,Gaziantep
2025-03-13,22.0,10.1,0.0,Gaziantep
2025-03-14,22.2,10.0,0.0,Gaziantep
2025-03-15,26.0,12.4,0.0,Gaziantep
2025-03-16,26.8,13.2,0.0,Gaziantep
2025-03-17,24.8,12.8,0.0,Gaziantep
2025-03-18,20.3,11.0,2.2,Gaziantep
2025-03-19,16.8,8.0,6.4,Gaziantep
2025-03-20,9.3,1.3,7.9,Gaziantep
2025-03-21,7.1,-0.4,4.8,Gaziantep
2025-03-22,11.4,0.9,0.0,Gaziantep
2025-03-23,13.6,2.8,0.0,Gaziantep
2025-03-24,19.3,4.6,0.0,Gaziantep
2025-03-25,22.9,10.3,0.0,Gaziantep
2025-03-26,25.3,12.4,0.0,Gaziantep
2025-03-27,25.1,13.2,0.0,Gaziantep
2025-03-28,26.9,13.7,0.0,Gaziantep
2025-03-29,24.2,13.9,0.6,Gaziantep
2025-03-30,14.7,9.1,17.7,Gaziantep
2025-03-31,16.1,7.4,0.6,Gaziantep
2025-04-01,16.2,8.6,2.4,Gaziantep
2025-04-02,15.8,9.1,11.4,Gaziantep
2025-04-03,14.6,7.8,7.0,Gaziantep
2025-04-04,16.9,6.7,0.8,Gaziantep
2025-04-05,16.2,7.3,0.7,Gaziantep
2025-04-06,17.5,6.7,3.2,Gaziantep
2025-04-07,20.8,8.0,0.1,Gaziantep
2025-04-08,18.2,8.6,1.1,Gaziantep
2025-04-09,22.1,10.4,0.6,Gaziantep
2025-04-10,12.9,6.7,1.1,Gaziantep
2025-04-11,12.9,4.5,2.3,Gaziantep
2025-04-12,13.7,0.4,1.2,Gaziantep
2025-04-13,13.3,4.3,0.1,Gaziantep
2025-04-14,10.5,4.9,6.6,Gaziantep
2025-04-15,14.1,4.1,1.7,Gaziantep
2025-04-16,15.8,6.8,0.0,Gaziantep
2025-04-17,21.5,8.0,0.0,Gaziantep
2025-04-18,24.9,9.3,0.0,Gaziantep
2025-04-19,26.3,12.9,0.0,Gaziantep
2025-04-20,25.0,13.3,0.0,Gaziantep
2025-04-21,27.0,11.3,0.0,Gaziantep
2025-04-22,27.6,14.0,0.0,Gaziantep
2025-04-23,29.3,17.0,0.0,Gaziantep
2025-04-24,22.9,15.4,0.3,Gaziantep
2025-04-25,20.3,11.9,1.5,Gaziantep
2025-04-26,20.6,9.4,3.0,Gaziantep
