time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,17.2,13.5,1.6,Giresun
2024-05-02,16.0,13.3,6.2,Giresun
2024-05-03,16.3,13.1,11.3,Giresun
2024-05-04,17.1,12.9,13.2,Giresun
2024-05-05,14.0,9.7,12.5,Giresun
2024-05-06,12.7,10.4,5.9,Giresun
2024-05-07,15.7,10.8,3.4,Giresun
2024-05-08,19.0,8.3,0.0,Giresun
2024-05-09,19.3,9.7,0.0,Giresun
2024-05-10,17.6,12.5,0.0,Giresun
2024-05-11,17.5,12.6,2.0,Giresun
2024-05-12,17.2,11.8,10.3,Giresun
2024-05-13,16.1,9.9,2.4,Giresun
2024-05-14,12.4,9.2,7.8,Giresun
2024-05-15,16.4,7.2,0.0,Giresun
2024-05-16,14.1,9.7,6.8,Giresun
2024-05-17,15.8,7.8,0.0,Giresun
2024-05-18,17.0,8.5,0.2,Giresun
2024-05-19,16.7,12.1,0.4,Giresun
2024-05-20,17.2,11.1,0.0,Giresun
2024-05-21,17.6,11.2,0.0,Giresun
2024-05-22,19.2,10.0,0.0,Giresun
2024-05-23,22.0,12.6,0.7,Giresun
2024-05-24,18.2,14.6,3.9,Giresun
2024-05-25,19.0,15.5,2.1,Giresun
2024-05-26,19.2,14.2,9.6,Giresun
2024-05-27,18.3,14.3,3.0,Giresun
2024-05-28,19.1,15.8,3.4,Giresun
2024-05-29,21.0,15.5,0.6,Giresun
2024-05-30,22.3,14.1,1.0,Giresun
2024-05-31,21.7,16.9,3.6,Giresun
2024-06-01,23.9,17.1,0.5,Giresun
2024-06-02,24.6,15.1,0.0,Giresun
2024-06-03,25.0,15.6,0.0,Giresun
2024-06-04,25.2,15.3,0.0,Giresun
2024-06-05,29.5,17.2,0.0,Giresun
2024-06-06,25.2,19.4,0.0,Giresun
2024-06-07,24.5,18.8,0.0,Giresun
2024-06-08,24.3,18.8,0.2,Giresun
2024-06-09,24.5,18.8,6.5,Giresun
2024-06-10,26.0,17.7,0.1,Giresun
2024-06-11,26.4,15.5,0.0,Giresun
2024-06-12,29.9,16.9,0.0,Giresun
2024-06-13,28.3,20.5,0.0,Giresun
2024-06-14,30.9,20.4,0.0,Giresun
2024-06-15,27.1,21.6,1.1,Giresun
2024-06-16,23.6,20.3,0.9,Giresun
2024-06-17,23.9,18.8,2.6,Giresun
2024-06-18,24.2,21.4,5.2,Giresun
2024-06-19,24.3,21.0,0.3,Giresun
2024-06-20,26.7,19.3,0.0,Giresun
2024-06-21,27.0,21.2,3.0,Giresun
2024-06-22,23.4,20.2,1.4,Giresun
2024-06-23,24.6,19.0,0.0,Giresun
2024-06-24,25.7,17.6,0.0,Giresun
2024-06-25,25.3,19.4,0.0,Giresun
2024-06-26,23.4,19.0,14.0,Giresun
2024-06-27,23.7,16.7,0.0,Giresun
2024-06-28,24.4,15.5,0.0,Giresun
2024-06-29,25.3,15.9,0.0,Giresun
2024-06-30,25.5,17.3,1.6,Giresun
2024-07-01,23.3,19.1,45.4,Giresun
2024-07-02,27.1,19.3,3.8,Giresun
2024-07-03,26.3,17.7,0.0,Giresun
2024-07-04,29.1,19.9,0.0,Giresun
2024-07-05,24.9,22.3,7.8,Giresun
2024-07-06,25.6,20.8,23.0,Giresun
2024-07-07,26.7,21.6,8.4,Giresun
2024-07-08,27.4,21.7,1.2,Giresun
2024-07-09,26.4,22.3,3.5,Giresun
2024-07-10,26.8,21.7,0.0,Giresun
2024-07-11,26.0,21.4,0.4,Giresun
2024-07-12,26.9,22.6,0.0,Giresun
2024-07-13,26.9,22.1,0.3,Giresun
2024-07-14,27.5,22.6,12.9,Giresun
2024-07-15,27.7,21.9,0.0,Giresun
2024-07-16,27.0,22.3,0.4,Giresun
2024-07-17,27.8,22.7,0.1,Giresun
