time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,26.0,9.5,4.5,Gümüşhane
2024-05-02,20.3,10.8,4.9,Gümüşhane
2024-05-03,13.8,8.8,12.6,Gümüşhane
2024-05-04,18.2,9.1,6.5,Gümüşhane
2024-05-05,12.5,4.2,13.8,Gümüşhane
2024-05-06,6.8,3.7,5.5,Gümüşhane
2024-05-07,11.4,4.3,0.0,Gümüşhane
2024-05-08,16.9,2.2,0.0,Gümüşhane
2024-05-09,20.8,3.3,0.0,Gümüşhane
2024-05-10,21.5,6.0,2.4,Gümüşhane
2024-05-11,18.8,8.7,2.5,Gümüşhane
2024-05-12,12.0,5.1,3.3,Gümüşhane
2024-05-13,11.5,4.8,1.1,Gümüşhane
2024-05-14,10.5,4.3,0.1,Gümüşhane
2024-05-15,17.1,-0.0,0.1,Gümüşhane
2024-05-16,14.8,4.0,7.8,Gümüşhane
2024-05-17,15.7,2.6,0.0,Gümüşhane
2024-05-18,19.1,0.6,0.0,Gümüşhane
2024-05-19,17.4,9.8,0.3,Gümüşhane
2024-05-20,19.5,2.8,0.0,Gümüşhane
2024-05-21,20.9,5.2,0.0,Gümüşhane
2024-05-22,23.5,7.9,0.0,Gümüşhane
2024-05-23,23.0,10.0,4.5,Gümüşhane
2024-05-24,23.8,8.5,10.1,Gümüşhane
2024-05-25,19.2,10.8,13.6,Gümüşhane
2024-05-26,17.3,10.9,2.2,Gümüşhane
2024-05-27,23.2,6.0,3.0,Gümüşhane
2024-05-28,25.8,8.0,1.0,Gümüşhane
2024-05-29,25.4,8.4,0.0,Gümüşhane
2024-05-30,26.5,9.1,1.2,Gümüşhane
2024-05-31,24.9,13.0,2.6,Gümüşhane
2024-06-01,20.8,11.6,1.9,Gümüşhane
2024-06-02,25.3,6.8,0.0,Gümüşhane
2024-06-03,27.4,11.2,0.0,Gümüşhane
2024-06-04,30.5,11.2,0.0,Gümüşhane
2024-06-05,30.3,13.6,0.0,Gümüşhane
2024-06-06,31.1,12.1,0.0,Gümüşhane
2024-06-07,26.1,13.1,0.5,Gümüşhane
2024-06-08,25.1,13.3,1.5,Gümüşhane
2024-06-09,21.6,13.1,7.2,Gümüşhane
2024-06-10,23.1,11.2,0.2,Gümüşhane
2024-06-11,26.0,8.9,0.0,Gümüşhane
2024-06-12,29.8,11.2,0.0,Gümüşhane
2024-06-13,28.2,16.3,0.6,Gümüşhane
2024-06-14,29.7,12.4,0.0,Gümüşhane
2024-06-15,31.2,13.5,0.0,Gümüşhane
2024-06-16,27.4,14.8,0.7,Gümüşhane
2024-06-17,30.0,12.8,1.1,Gümüşhane
2024-06-18,28.6,15.7,0.0,Gümüşhane
2024-06-19,29.8,14.6,0.0,Gümüşhane
2024-06-20,29.7,16.0,2.7,Gümüşhane
2024-06-21,25.9,15.3,0.3,Gümüşhane
2024-06-22,27.5,13.9,0.0,Gümüşhane
2024-06-23,30.8,13.6,0.0,Gümüşhane
2024-06-24,33.0,15.4,0.0,Gümüşhane
2024-06-25,29.7,16.5,0.0,Gümüşhane
2024-06-26,21.7,12.3,1.9,Gümüşhane
2024-06-27,24.0,9.6,0.0,Gümüşhane
2024-06-28,25.8,11.6,0.0,Gümüşhane
