time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,18.3,6.3,9.1,Hakkari
2024-05-02,16.4,5.9,10.6,Hakkari
2024-05-03,13.3,6.3,2.8,Hakkari
2024-05-04,13.5,7.3,6.4,Hakkari
2024-05-05,12.4,5.5,19.3,Hakkari
2024-05-06,10.9,3.4,17.2,Hakkari
2024-05-07,9.8,3.1,7.9,Hakkari
2024-05-08,10.6,2.1,2.9,Hakkari
2024-05-09,17.0,0.1,0.2,Hakkari
2024-05-10,17.9,3.7,0.1,Hakkari
2024-05-11,17.4,4.6,8.4,Hakkari
2024-05-12,18.3,6.0,1.4,Hakkari
2024-05-13,13.5,5.1,5.1,Hakkari
2024-05-14,11.1,3.2,9.2,Hakkari
2024-05-15,14.7,1.1,0.2,Hakkari
2024-05-16,15.4,3.2,0.5,Hakkari
2024-05-17,17.4,2.7,0.2,Hakkari
2024-05-18,18.4,2.0,0.0,Hakkari
2024-05-19,18.1,4.1,0.6,Hakkari
2024-05-20,18.7,5.8,6.6,Hakkari
2024-05-21,18.6,6.5,1.5,Hakkari
2024-05-22,17.1,6.6,8.3,Hakkari
2024-05-23,20.0,4.2,0.5,Hakkari
2024-05-24,19.2,6.8,1.5,Hakkari
2024-05-25,18.5,7.5,3.9,Hakkari
2024-05-26,16.0,5.1,4.0,Hakkari
2024-05-27,20.7,4.8,0.0,Hakkari
2024-05-28,21.7,7.6,0.0,Hakkari
2024-05-29,22.1,10.4,1.9,Hakkari
2024-05-30,24.8,8.4,0.2,Hakkari
2024-05-31,25.9,10.4,0.0,Hakkari
2024-06-01,22.2,7.8,0.0,Hakkari
2024-06-02,25.7,7.4,0.0,Hakkari
2024-06-03,25.6,9.3,0.0,Hakkari
2024-06-04,25.8,10.7,0.0,Hakkari
2024-06-05,25.8,9.7,0.0,Hakkari
2024-06-06,27.6,9.4,0.0,Hakkari
2024-06-07,28.9,11.1,0.0,Hakkari
2024-06-08,27.9,11.5,0.0,Hakkari
2024-06-09,24.7,12.2,1.8,Hakkari
2024-06-10,24.4,11.0,2.7,Hakkari
2024-06-11,24.2,10.5,0.0,Hakkari
2024-06-12,26.6,11.2,0.2,Hakkari
2024-06-13,27.6,10.5,0.0,Hakkari
2024-06-14,28.2,10.9,0.0,Hakkari
2024-06-15,28.3,11.6,0.0,Hakkari
2024-06-16,28.0,12.7,0.0,Hakkari
2024-06-17,28.3,12.5,0.0,Hakkari
2024-06-18,28.8,12.7,0.0,Hakkari
2024-06-19,29.6,13.0,0.0,Hakkari
2024-06-20,31.4,13.8,0.0,Hakkari
2024-06-21,29.4,14.3,0.0,Hakkari
2024-06-22,30.9,14.0,0.0,Hakkari
2024-06-23,29.7,14.3,0.0,Hakkari
2024-06-24,26.8,13.9,1.2,Hakkari
2024-06-25,28.3,12.9,0.0,Hakkari
2024-06-26,28.5,12.9,0.1,Hakkari
2024-06-27,28.7,12.7,0.0,Hakkari
2024-06-28,28.7,12.8,0.0,Hakkari
2024-06-29,28.4,12.9,0.0,Hakkari
2024-06-30,27.7,12.8,0.0,Hakkari
2024-07-01,26.1,13.4,0.0,Hakkari
2024-07-02,25.2,12.5,0.0,Hakkari
2024-07-03,25.9,11.5,0.0,Hakkari
2024-07-04,29.2,11.5,0.0,Hakkari
2024-07-05,31.7,13.2,0.0,Hakkari
2024-07-06,30.4,14.7,0.0,Hakkari
2024-07-07,30.3,16.5,0.0,Hakkari
2024-07-08,28.9,15.2,0.0,Hakkari
2024-07-09,28.9,15.5,0.2,Hakkari
2024-07-10,28.9,15.6,0.1,Hakkari
2024-07-11,31.2,14.9,0.0,Hakkari
2024-07-12,31.4,16.0,0.0,Hakkari
2024-07-13,31.5,14.9,0.0,Hakkari
2024-07-14,31.0,15.3,0.0,Hakkari
2024-07-15,29.3,16.5,0.0,Hakkari
2024-07-16,30.5,15.7,0.0,Hakkari
2024-07-17,31.9,15.5,0.0,Hakkari
2024-07-18,31.1,15.3,0.0,Hakkari
2024-07-19,30.6,15.6,0.0,Hakkari
2024-07-20,29.0,16.0,0.1,Hakkari
2024-07-21,29.4,15.5,0.0,Hakkari
2024-07-22,30.1,15.9,0.0,Hakkari
2024-07-23,31.2,16.5,0.0,Hakkari
2024-07-24,31.4,16.6,0.0,Hakkari
2024-07-25,30.8,15.7,0.0,Hakkari
2024-07-26,29.9,15.0,0.0,Hakkari
2024-07-27,29.6,14.1,0.0,Hakkari
2024-07-28,30.0,13.9,0.0,Hakkari
2024-07-29,27.8,14.7,0.0,Hakkari
2024-07-30,31.6,13.0,0.0,Hakkari
2024-07-31,29.5,15.3,0.0,Hakkari
2024-08-01,31.0,13.9,0.0,Hakkari
2024-08-02,31.0,15.2,0.0,Hakkari
2024-08-03,30.3,14.8,0.0,Hakkari
2024-08-04,31.3,14.9,0.0,Hakkari
2024-08-05,32.4,16.0,0.0,Hakkari
2024-08-06,32.3,16.1,0.0,Hakkari
2024-08-07,31.7,15.0,0.0,Hakkari
2024-08-08,32.5,15.2,0.0,Hakkari
2024-08-09,32.5,16.4,0.0,Hakkari
2024-08-10,32.8,16.4,0.0,Hakkari
2024-08-11,31.8,15.3,0.0,Hakkari
2024-08-12,30.1,15.7,0.0,Hakkari
2024-08-13,29.5,15.4,0.0,Hakkari
2024-08-14,30.7,15.0,0.0,Hakkari
2024-08-15,31.4,16.0,0.0,Hakkari
2024-08-16,31.0,15.4,0.0,Hakkari
2024-08-17,29.3,16.2,0.0,Hakkari
2024-08-18,27.8,15.6,0.0,Hakkari
2024-08-19,30.8,14.7,0.0,Hakkari
2024-08-20,30.7,16.1,0.0,Hakkari
2024-08-21,31.9,16.9,0.0,Hakkari
2024-08-22,31.3,16.8,0.0,Hakkari
2024-08-23,31.0,14.2,0.0,Hakkari
2024-08-24,31.0,14.5,0.0,Hakkari
