time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,28.1,20.2,3.2,Hatay
2024-05-02,27.9,18.5,1.1,Hatay
2024-05-03,26.7,17.7,8.5,Hatay
2024-05-04,25.3,17.6,0.6,Hatay
2024-05-05,21.3,15.3,2.6,Hatay
2024-05-06,24.1,12.8,1.0,Hatay
2024-05-07,24.9,11.4,0.0,Hatay
2024-05-08,28.6,12.0,0.0,Hatay
2024-05-09,31.6,13.3,0.0,Hatay
2024-05-10,35.5,15.5,0.0,Hatay
2024-05-11,29.8,19.6,0.9,Hatay
2024-05-12,25.5,16.7,2.4,Hatay
2024-05-13,24.9,15.6,8.3,Hatay
2024-05-14,26.3,13.9,0.2,Hatay
2024-05-15,26.2,14.5,0.0,Hatay
2024-05-16,28.1,14.4,0.0,Hatay
2024-05-17,30.1,14.8,0.0,Hatay
2024-05-18,31.3,16.6,0.3,Hatay
2024-05-19,34.2,17.9,0.0,Hatay
2024-05-20,34.5,18.8,0.0,Hatay
2024-05-21,35.2,19.9,0.0,Hatay
2024-05-22,35.9,19.2,0.0,Hatay
2024-05-23,33.2,21.3,0.2,Hatay
2024-05-24,27.8,18.1,9.7,Hatay
2024-05-25,30.0,16.5,0.1,Hatay
2024-05-26,31.1,17.4,0.1,Hatay
2024-05-27,33.5,17.3,0.2,Hatay
2024-05-28,31.1,19.9,0.0,Hatay
2024-05-29,32.3,17.0,0.0,Hatay
2024-05-30,31.0,18.2,0.0,Hatay
2024-05-31,30.9,17.7,0.0,Hatay
2024-06-01,34.1,17.5,0.0,Hatay
2024-06-02,39.0,19.6,0.0,Hatay
2024-06-03,42.2,23.0,0.0,Hatay
2024-06-04,43.9,24.9,0.0,Hatay
2024-06-05,44.8,25.3,0.0,Hatay
2024-06-06,44.6,26.5,0.0,Hatay
2024-06-07,44.3,26.5,0.0,Hatay
2024-06-08,42.1,25.5,0.0,Hatay
2024-06-09,36.4,23.9,0.9,Hatay
2024-06-10,36.5,23.5,0.0,Hatay
2024-06-11,39.0,22.5,0.0,Hatay
2024-06-12,41.3,22.3,0.0,Hatay
2024-06-13,44.5,23.7,0.0,Hatay
2024-06-14,44.5,24.8,0.0,Hatay
2024-06-15,42.2,26.1,0.0,Hatay
2024-06-16,39.2,23.0,0.0,Hatay
2024-06-17,37.1,23.4,0.0,Hatay
2024-06-18,41.0,23.1,0.0,Hatay
2024-06-19,44.0,24.5,0.0,Hatay
2024-06-20,41.3,25.1,0.0,Hatay
2024-06-21,38.2,25.7,0.0,Hatay
2024-06-22,36.2,25.1,0.0,Hatay
2024-06-23,35.7,25.1,0.0,Hatay
2024-06-24,39.0,25.2,0.0,Hatay
2024-06-25,39.1,24.7,0.0,Hatay
2024-06-26,41.2,25.2,0.0,Hatay
2024-06-27,41.3,24.8,0.0,Hatay
2024-06-28,40.4,24.1,0.0,Hatay
2024-06-29,37.7,25.3,0.0,Hatay
2024-06-30,37.2,25.4,0.0,Hatay
2024-07-01,37.4,25.2,0.0,Hatay
2024-07-02,37.7,24.7,0.0,Hatay
2024-07-03,38.7,24.8,0.0,Hatay
2024-07-04,39.3,23.9,0.0,Hatay
2024-07-05,36.9,23.6,0.0,Hatay
2024-07-06,35.5,24.4,0.0,Hatay
2024-07-07,38.8,25.2,0.0,Hatay
2024-07-08,39.4,25.4,0.0,Hatay
2024-07-09,39.7,26.7,0.0,Hatay
2024-07-10,40.7,26.8,0.0,Hatay
2024-07-11,41.2,26.7,0.0,Hatay
2024-07-12,40.2,27.2,0.0,Hatay
2024-07-13,39.4,25.7,0.0,Hatay
2024-07-14,37.2,27.0,0.0,Hatay
2024-07-15,39.3,26.6,0.0,Hatay
2024-07-16,39.4,26.7,0.0,Hatay
2024-07-17,37.9,26.5,0.0,Hatay
2024-07-18,40.5,27.2,0.0,Hatay
2024-07-19,41.1,27.5,0.0,Hatay
2024-07-20,40.2,27.7,0.0,Hatay
2024-07-21,41.8,27.3,0.0,Hatay
2024-07-22,41.9,26.7,0.0,Hatay
2024-07-23,41.0,27.7,0.0,Hatay
2024-07-24,38.7,27.9,0.0,Hatay
2024-07-25,38.1,28.4,0.0,Hatay
2024-07-26,37.1,25.8,0.0,Hatay
2024-07-27,38.7,26.4,0.0,Hatay
2024-07-28,39.7,24.7,0.0,Hatay
2024-07-29,41.5,25.3,0.0,Hatay
2024-07-30,40.4,24.5,0.0,Hatay
2024-07-31,40.3,26.0,0.0,Hatay
2024-08-01,39.6,26.2,0.0,Hatay
2024-08-02,39.3,26.0,0.0,Hatay
2024-08-03,39.1,25.8,0.0,Hatay
2024-08-04,37.9,25.6,0.0,Hatay
2024-08-05,38.2,26.7,0.0,Hatay
2024-08-06,38.8,25.3,0.0,Hatay
2024-08-07,38.1,25.6,0.0,Hatay
2024-08-08,38.6,26.5,0.0,Hatay
2024-08-09,39.4,26.4,0.0,Hatay
2024-08-10,37.1,26.3,0.0,Hatay
2024-08-11,39.1,26.8,0.0,Hatay
2024-08-12,38.0,26.3,0.0,Hatay
2024-08-13,41.2,25.7,0.0,Hatay
2024-08-14,40.6,26.0,0.0,Hatay
2024-08-15,38.5,25.3,0.0,Hatay
2024-08-16,38.4,27.5,0.0,Hatay
2024-08-17,39.3,27.1,0.0,Hatay
2024-08-18,40.7,25.9,0.0,Hatay
2024-08-19,41.3,26.0,0.0,Hatay
2024-08-20,37.1,25.2,0.0,Hatay
2024-08-21,37.7,26.1,0.0,Hatay
2024-08-22,38.6,26.1,0.0,Hatay
2024-08-23,38.3,25.2,0.0,Hatay
2024-08-24,36.1,26.1,0.0,Hatay
2024-08-25,36.6,25.9,0.0,Hatay
2024-08-26,37.5,25.8,0.0,Hatay
2024-08-27,36.9,25.7,0.2,Hatay
2024-08-28,36.7,24.6,0.0,Hatay
2024-08-29,36.2,25.7,0.0,Hatay
2024-08-30,35.4,25.4,0.2,Hatay
2024-08-31,36.5,25.4,0.0,Hatay
2024-09-01,36.1,25.4,0.0,Hatay
2024-09-02,34.1,23.9,2.3,Hatay
