time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,23.1,11.5,5.0,Isparta
2024-05-02,23.9,10.3,0.0,Isparta
2024-05-03,22.3,9.4,0.1,Isparta
2024-05-04,19.5,7.1,7.3,Isparta
2024-05-05,16.0,4.7,2.9,Isparta
2024-05-06,18.4,3.6,0.0,Isparta
2024-05-07,22.0,4.1,0.0,Isparta
2024-05-08,23.0,7.5,0.0,Isparta
2024-05-09,21.4,9.2,0.0,Isparta
2024-05-10,24.7,8.5,0.0,Isparta
2024-05-11,19.1,10.4,2.8,Isparta
2024-05-12,18.4,9.9,1.8,Isparta
2024-05-13,19.0,6.4,2.5,Isparta
2024-05-14,20.0,7.1,0.0,Isparta
2024-05-15,21.3,6.4,0.2,Isparta
2024-05-16,23.8,8.2,3.9,Isparta
2024-05-17,26.1,11.4,0.3,Isparta
2024-05-18,29.1,14.1,0.0,Isparta
2024-05-19,26.6,14.6,2.2,Isparta
2024-05-20,28.9,14.3,1.9,Isparta
2024-05-21,30.0,13.9,0.0,Isparta
2024-05-22,28.0,15.9,1.6,Isparta
2024-05-23,26.0,13.0,7.2,Isparta
2024-05-24,18.1,10.4,0.6,Isparta
2024-05-25,23.5,8.9,0.0,Isparta
2024-05-26,24.0,10.2,11.3,Isparta
2024-05-27,20.6,10.5,2.2,Isparta
2024-05-28,20.0,10.1,8.1,Isparta
2024-05-29,22.3,9.7,8.1,Isparta
2024-05-30,18.9,9.3,11.7,Isparta
2024-05-31,23.1,9.6,0.0,Isparta
2024-06-01,27.6,11.2,0.0,Isparta
2024-06-02,28.5,13.7,0.0,Isparta
2024-06-03,31.0,15.8,0.0,Isparta
2024-06-04,32.2,17.6,0.0,Isparta
2024-06-05,33.2,16.9,0.0,Isparta
2024-06-06,33.3,17.6,0.1,Isparta
2024-06-07,31.5,17.1,0.0,Isparta
2024-06-08,28.9,15.1,2.2,Isparta
2024-06-09,28.2,13.8,0.0,Isparta
2024-06-10,31.2,14.6,0.0,Isparta
2024-06-11,33.8,16.7,0.0,Isparta
2024-06-12,36.8,19.4,0.0,Isparta
2024-06-13,37.0,21.1,0.0,Isparta
2024-06-14,35.3,20.7,0.0,Isparta
2024-06-15,32.0,18.3,0.0,Isparta
2024-06-16,33.3,15.6,0.0,Isparta
2024-06-17,34.3,17.7,0.1,Isparta
2024-06-18,36.0,19.1,0.0,Isparta
2024-06-19,34.0,18.3,0.0,Isparta
2024-06-20,35.2,19.5,0.0,Isparta
2024-06-21,32.4,20.0,0.0,Isparta
2024-06-22,34.3,18.9,0.0,Isparta
2024-06-23,36.7,18.0,0.0,Isparta
2024-06-24,38.4,19.2,0.2,Isparta
2024-06-25,37.5,20.8,0.7,Isparta
2024-06-26,35.1,19.5,0.0,Isparta
2024-06-27,36.7,19.0,0.0,Isparta
2024-06-28,34.8,20.0,0.6,Isparta
2024-06-29,27.3,17.2,2.1,Isparta
2024-06-30,28.1,15.9,0.0,Isparta
2024-07-01,30.1,16.2,0.0,Isparta
2024-07-02,33.7,16.3,0.0,Isparta
2024-07-03,34.4,17.4,0.0,Isparta
2024-07-04,28.5,16.5,4.4,Isparta
