time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,26.5,15.3,0.0,Iğdır
2024-05-02,25.6,15.0,0.0,Iğdır
2024-05-03,20.1,12.5,9.3,Iğdır
2024-05-04,19.4,11.1,4.2,Iğdır
2024-05-05,20.2,11.3,9.6,Iğdır
2024-05-06,18.0,10.5,7.9,Iğdır
2024-05-07,17.5,11.1,6.8,Iğdır
2024-05-08,21.0,10.5,0.3,Iğdır
2024-05-09,21.6,11.4,0.0,Iğdır
2024-05-10,22.7,13.2,0.0,Iğdır
2024-05-11,21.0,12.9,2.5,Iğdır
2024-05-12,21.6,12.3,3.8,Iğdır
2024-05-13,18.2,10.1,11.6,Iğdır
2024-05-14,16.0,11.1,14.3,Iğdır
2024-05-15,19.2,8.7,1.7,Iğdır
2024-05-16,18.7,11.0,5.7,Iğdır
2024-05-17,19.8,9.4,8.8,Iğdır
2024-05-18,20.7,7.1,0.0,Iğdır
2024-05-19,20.7,9.9,0.0,Iğdır
2024-05-20,21.7,9.8,0.0,Iğdır
2024-05-21,21.3,11.5,0.0,Iğdır
2024-05-22,20.8,13.0,0.8,Iğdır
2024-05-23,23.7,11.1,0.7,Iğdır
2024-05-24,20.5,14.1,2.8,Iğdır
2024-05-25,21.9,13.1,4.9,Iğdır
2024-05-26,19.8,12.5,4.1,Iğdır
2024-05-27,24.3,12.6,0.0,Iğdır
2024-05-28,26.0,16.3,0.0,Iğdır
2024-05-29,28.1,16.0,0.0,Iğdır
2024-05-30,28.5,15.6,0.5,Iğdır
2024-05-31,29.4,17.6,0.0,Iğdır
2024-06-01,29.2,16.4,0.0,Iğdır
2024-06-02,28.1,15.7,0.0,Iğdır
2024-06-03,28.9,17.6,0.0,Iğdır
2024-06-04,30.5,16.6,0.1,Iğdır
2024-06-05,30.1,16.8,0.0,Iğdır
2024-06-06,32.3,18.2,0.0,Iğdır
2024-06-07,33.2,21.6,0.0,Iğdır
2024-06-08,28.2,19.0,2.2,Iğdır
2024-06-09,27.9,17.2,1.9,Iğdır
2024-06-10,27.2,16.7,4.8,Iğdır
2024-06-11,27.3,16.4,1.0,Iğdır
2024-06-12,31.5,18.1,0.0,Iğdır
2024-06-13,32.9,19.2,0.0,Iğdır
2024-06-14,32.4,19.4,0.0,Iğdır
2024-06-15,32.6,19.8,0.0,Iğdır
2024-06-16,32.4,21.3,0.0,Iğdır
2024-06-17,34.4,20.8,0.0,Iğdır
2024-06-18,33.9,21.6,1.9,Iğdır
2024-06-19,34.4,21.2,0.0,Iğdır
2024-06-20,33.3,21.3,0.0,Iğdır
2024-06-21,34.4,19.8,0.0,Iğdır
2024-06-22,32.8,21.0,0.0,Iğdır
2024-06-23,32.6,19.8,0.0,Iğdır
2024-06-24,34.9,19.5,0.0,Iğdır
2024-06-25,35.5,20.8,0.0,Iğdır
2024-06-26,32.3,20.5,0.2,Iğdır
2024-06-27,28.8,15.8,0.0,Iğdır
2024-06-28,30.3,16.6,0.0,Iğdır
2024-06-29,29.8,17.5,0.1,Iğdır
2024-06-30,29.1,18.3,1.4,Iğdır
2024-07-01,29.3,19.1,2.8,Iğdır
2024-07-02,26.0,17.9,0.1,Iğdır
2024-07-03,27.9,17.3,0.0,Iğdır
2024-07-04,32.5,16.7,0.0,Iğdır
2024-07-05,35.4,21.6,0.0,Iğdır
2024-07-06,35.7,22.2,1.1,Iğdır
2024-07-07,33.9,20.8,0.2,Iğdır
2024-07-08,31.5,20.8,0.0,Iğdır
2024-07-09,32.1,20.6,0.0,Iğdır
2024-07-10,32.3,19.9,0.0,Iğdır
2024-07-11,33.8,20.0,0.0,Iğdır
2024-07-12,35.1,24.1,0.1,Iğdır
2024-07-13,34.0,23.2,0.0,Iğdır
2024-07-14,33.2,22.9,0.0,Iğdır
2024-07-15,32.0,22.5,0.0,Iğdır
2024-07-16,33.2,21.8,0.0,Iğdır
2024-07-17,34.7,22.5,0.0,Iğdır
2024-07-18,32.0,22.4,2.2,Iğdır
2024-07-19,31.7,20.6,1.9,Iğdır
2024-07-20,29.7,20.7,12.0,Iğdır
2024-07-21,31.6,20.5,0.1,Iğdır
2024-07-22,33.0,21.4,0.0,Iğdır
2024-07-23,34.2,23.4,0.0,Iğdır
2024-07-24,34.2,24.3,0.6,Iğdır
2024-07-25,32.9,23.3,0.0,Iğdır
2024-07-26,33.5,21.2,0.0,Iğdır
2024-07-27,32.2,23.1,0.0,Iğdır
2024-07-28,31.8,21.0,1.7,Iğdır
2024-07-29,31.4,19.9,0.0,Iğdır
2024-07-30,30.4,19.3,0.0,Iğdır
2024-07-31,32.1,20.9,0.1,Iğdır
2024-08-01,33.4,21.6,0.0,Iğdır
2024-08-02,33.2,21.1,0.0,Iğdır
2024-08-03,33.1,21.1,0.0,Iğdır
2024-08-04,35.9,21.3,0.0,Iğdır
2024-08-05,36.7,22.9,0.0,Iğdır
2024-08-06,36.8,24.5,0.0,Iğdır
2024-08-07,36.3,23.9,0.0,Iğdır
2024-08-08,35.4,24.5,0.0,Iğdır
2024-08-09,36.1,24.1,0.0,Iğdır
2024-08-10,35.2,23.6,0.0,Iğdır
2024-08-11,32.9,24.1,1.9,Iğdır
2024-08-12,31.9,22.7,0.6,Iğdır
2024-08-13,33.9,22.8,0.0,Iğdır
2024-08-14,35.3,21.2,0.0,Iğdır
2024-08-15,34.6,23.0,0.0,Iğdır
2024-08-16,34.2,21.1,0.0,Iğdır
2024-08-17,31.8,18.5,0.0,Iğdır
2024-08-18,32.0,20.6,0.0,Iğdır
2024-08-19,35.8,20.5,0.0,Iğdır
2024-08-20,37.2,23.8,0.0,Iğdır
2024-08-21,36.1,23.7,0.0,Iğdır
2024-08-22,38.2,23.9,0.0,Iğdır
2024-08-23,38.0,25.8,0.0,Iğdır
2024-08-24,36.2,24.8,0.0,Iğdır
2024-08-25,35.0,23.0,0.0,Iğdır
2024-08-26,33.8,20.2,0.0,Iğdır
2024-08-27,35.1,24.0,0.0,Iğdır
2024-08-28,34.5,21.7,0.0,Iğdır
2024-08-29,34.5,20.4,0.0,Iğdır
2024-08-30,33.8,22.1,0.0,Iğdır
2024-08-31,33.1,20.5,0.0,Iğdır
2024-09-01,33.6,20.9,0.0,Iğdır
2024-09-02,33.8,19.6,0.0,Iğdır
2024-09-03,34.7,21.1,0.0,Iğdır
2024-09-04,33.8,21.7,0.0,Iğdır
2024-09-05,34.6,22.2,0.0,Iğdır
2024-09-06,30.6,20.0,1.0,Iğdır
2024-09-07,28.7,18.4,0.0,Iğdır
2024-09-08,28.6,16.5,0.0,Iğdır
2024-09-09,31.6,19.7,0.0,Iğdır
2024-09-10,29.3,19.6,0.5,Iğdır
2024-09-11,31.9,18.9,0.0,Iğdır
2024-09-12,33.2,21.8,0.0,Iğdır
2024-09-13,31.9,21.8,0.0,Iğdır
2024-09-14,29.9,18.6,0.0,Iğdır
2024-09-15,27.9,17.7,0.0,Iğdır
2024-09-16,27.7,16.1,0.7,Iğdır
2024-09-17,28.8,15.1,0.9,Iğdır
2024-09-18,27.5,16.2,0.0,Iğdır
2024-09-19,23.3,16.4,7.4,Iğdır
2024-09-20,19.6,14.9,11.0,Iğdır
2024-09-21,22.3,13.5,0.7,Iğdır
2024-09-22,22.2,14.8,5.6,Iğdır
2024-09-23,23.3,14.4,0.4,Iğdır
2024-09-24,23.8,14.0,0.7,Iğdır
2024-09-25,25.9,16.0,0.0,Iğdır
2024-09-26,25.4,16.7,0.0,Iğdır
2024-09-27,23.0,14.4,0.0,Iğdır
2024-09-28,24.0,13.4,0.0,Iğdır
2024-09-29,22.6,13.5,0.0,Iğdır
2024-09-30,21.5,10.2,0.0,Iğdır
2024-10-01,23.5,11.4,0.0,Iğdır
2024-10-02,21.8,13.8,7.6,Iğdır
2024-10-03,22.4,10.0,0.0,Iğdır
2024-10-04,23.2,12.9,0.0,Iğdır
2024-10-05,23.8,14.0,0.0,Iğdır
2024-10-06,23.1,13.7,0.0,Iğdır
2024-10-07,25.2,14.9,0.0,Iğdır
2024-10-08,27.1,15.5,2.8,Iğdır
2024-10-09,25.4,15.0,0.0,Iğdır
2024-10-10,26.9,13.9,0.0,Iğdır
2024-10-11,23.4,14.0,0.0,Iğdır
2024-10-12,24.8,12.3,0.0,Iğdır
2024-10-13,25.8,16.2,0.1,Iğdır
2024-10-14,18.6,13.8,1.6,Iğdır
2024-10-15,19.7,13.7,1.7,Iğdır
2024-10-16,20.7,12.5,0.3,Iğdır
2024-10-17,18.8,11.2,14.1,Iğdır
2024-10-18,15.3,9.5,12.7,Iğdır
2024-10-19,14.8,6.5,1.2,Iğdır
2024-10-20,14.0,6.1,0.0,Iğdır
2024-10-21,15.2,4.9,0.0,Iğdır
2024-10-22,13.7,4.2,0.0,Iğdır
2024-10-23,15.1,3.3,0.0,Iğdır
2024-10-24,15.3,6.2,0.0,Iğdır
2024-10-25,16.0,6.2,0.0,Iğdır
2024-10-26,17.1,7.9,0.5,Iğdır
2024-10-27,14.3,4.7,0.0,Iğdır
2024-10-28,13.9,5.3,0.0,Iğdır
2024-10-29,14.4,5.6,0.0,Iğdır
2024-10-30,14.8,6.0,0.0,Iğdır
2024-10-31,16.0,7.3,0.0,Iğdır
2024-11-01,16.5,6.8,0.0,Iğdır
