time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,25.4,16.0,1.3,Kahramanmaraş
2024-05-02,22.4,15.8,7.4,Kahramanmaraş
2024-05-03,21.9,13.6,1.8,Kahramanmaraş
2024-05-04,19.2,11.7,11.2,Kahramanmaraş
2024-05-05,15.1,11.9,15.1,Kahramanmaraş
2024-05-06,18.3,10.4,5.3,Kahramanmaraş
2024-05-07,20.2,9.4,0.1,Kahramanmaraş
2024-05-08,22.9,9.8,0.0,Kahramanmaraş
2024-05-09,24.3,11.5,0.0,Kahramanmaraş
2024-05-10,27.1,14.2,0.3,Kahramanmaraş
2024-05-11,23.8,14.4,12.4,Kahramanmaraş
2024-05-12,20.4,13.4,4.8,Kahramanmaraş
2024-05-13,18.1,12.4,3.6,Kahramanmaraş
2024-05-14,21.3,9.9,0.0,Kahramanmaraş
2024-05-15,22.1,11.0,0.4,Kahramanmaraş
2024-05-16,22.2,11.1,1.1,Kahramanmaraş
2024-05-17,23.8,12.4,0.2,Kahramanmaraş
2024-05-18,25.8,14.9,0.1,Kahramanmaraş
2024-05-19,29.3,15.7,0.0,Kahramanmaraş
2024-05-20,28.8,16.0,0.0,Kahramanmaraş
2024-05-21,29.2,16.0,0.0,Kahramanmaraş
2024-05-22,29.3,16.2,0.0,Kahramanmaraş
2024-05-23,27.3,18.0,0.0,Kahramanmaraş
2024-05-24,22.6,15.8,9.9,Kahramanmaraş
2024-05-25,22.2,13.0,6.8,Kahramanmaraş
2024-05-26,24.4,14.1,0.0,Kahramanmaraş
2024-05-27,25.0,13.5,1.0,Kahramanmaraş
2024-05-28,26.3,14.7,0.5,Kahramanmaraş
2024-05-29,27.8,13.9,0.0,Kahramanmaraş
2024-05-30,26.2,16.5,0.0,Kahramanmaraş
2024-05-31,24.7,16.8,0.0,Kahramanmaraş
2024-06-01,30.8,15.3,0.0,Kahramanmaraş
2024-06-02,33.1,15.6,0.0,Kahramanmaraş
2024-06-03,35.1,17.1,0.0,Kahramanmaraş
2024-06-04,36.2,19.3,0.0,Kahramanmaraş
2024-06-05,36.4,18.8,0.0,Kahramanmaraş
2024-06-06,37.3,20.0,0.0,Kahramanmaraş
2024-06-07,36.8,22.0,0.0,Kahramanmaraş
2024-06-08,34.9,21.3,0.0,Kahramanmaraş
2024-06-09,30.5,19.3,0.0,Kahramanmaraş
2024-06-10,33.1,19.8,0.0,Kahramanmaraş
2024-06-11,35.3,17.7,0.0,Kahramanmaraş
2024-06-12,38.4,19.3,0.0,Kahramanmaraş
2024-06-13,37.5,21.0,0.0,Kahramanmaraş
2024-06-14,38.3,21.1,0.0,Kahramanmaraş
2024-06-15,36.2,22.0,0.3,Kahramanmaraş
2024-06-16,34.8,20.4,0.0,Kahramanmaraş
