time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,20.7,14.1,7.0,Karabük
2024-05-02,18.7,13.4,1.2,Karabük
2024-05-03,16.5,11.4,3.2,Karabük
2024-05-04,18.1,9.0,5.4,Karabük
2024-05-05,17.8,6.8,1.5,Karabük
2024-05-06,19.1,2.8,0.0,Karabük
2024-05-07,22.9,6.6,0.0,Karabük
2024-05-08,25.1,8.4,0.0,Karabük
2024-05-09,25.2,10.6,0.2,Karabük
2024-05-10,24.6,12.6,3.2,Karabük
2024-05-11,20.7,12.5,22.2,Karabük
2024-05-12,17.9,10.2,1.2,Karabük
2024-05-13,18.3,7.4,4.3,Karabük
2024-05-14,15.4,6.7,2.7,Karabük
2024-05-15,19.3,5.1,0.0,Karabük
2024-05-16,19.4,6.8,0.0,Karabük
2024-05-17,21.7,8.0,0.0,Karabük
2024-05-18,24.0,11.2,0.7,Karabük
2024-05-19,25.1,9.6,0.0,Karabük
2024-05-20,25.9,13.5,0.0,Karabük
2024-05-21,26.4,14.5,0.3,Karabük
2024-05-22,29.1,12.4,0.0,Karabük
2024-05-23,28.6,15.8,0.8,Karabük
2024-05-24,22.9,14.5,6.7,Karabük
2024-05-25,23.7,12.8,1.1,Karabük
2024-05-26,22.1,14.1,2.8,Karabük
2024-05-27,22.6,10.6,0.4,Karabük
2024-05-28,21.6,13.7,3.8,Karabük
2024-05-29,24.9,9.7,0.0,Karabük
2024-05-30,23.7,13.4,7.6,Karabük
2024-05-31,25.2,13.5,1.6,Karabük
2024-06-01,29.6,12.7,0.0,Karabük
2024-06-02,31.6,15.5,0.0,Karabük
2024-06-03,32.9,18.3,0.0,Karabük
2024-06-04,34.3,17.1,0.0,Karabük
2024-06-05,32.2,20.0,0.0,Karabük
2024-06-06,31.9,18.6,0.6,Karabük
2024-06-07,30.0,17.4,0.0,Karabük
2024-06-08,27.8,18.2,2.6,Karabük
2024-06-09,30.0,15.1,0.0,Karabük
2024-06-10,32.2,15.7,0.0,Karabük
2024-06-11,35.6,17.6,0.0,Karabük
2024-06-12,34.6,21.5,0.0,Karabük
2024-06-13,36.2,20.3,0.0,Karabük
2024-06-14,34.0,22.0,0.1,Karabük
2024-06-15,23.8,17.9,2.6,Karabük
2024-06-16,28.2,15.1,0.1,Karabük
2024-06-17,30.8,15.7,0.0,Karabük
2024-06-18,33.2,16.9,0.0,Karabük
2024-06-19,33.5,18.8,0.0,Karabük
2024-06-20,34.3,18.7,0.0,Karabük
2024-06-21,33.1,17.1,0.0,Karabük
2024-06-22,33.0,19.2,0.0,Karabük
2024-06-23,36.7,16.8,0.0,Karabük
2024-06-24,38.0,18.8,0.0,Karabük
2024-06-25,32.2,17.1,0.0,Karabük
2024-06-26,30.2,18.8,0.6,Karabük
2024-06-27,34.1,16.9,0.0,Karabük
2024-06-28,35.4,18.9,0.0,Karabük
2024-06-29,32.6,18.6,0.0,Karabük
2024-06-30,30.7,16.0,0.0,Karabük
2024-07-01,32.1,15.8,0.0,Karabük
2024-07-02,33.6,17.5,0.0,Karabük
2024-07-03,36.4,18.2,0.0,Karabük
2024-07-04,31.9,19.7,0.2,Karabük
2024-07-05,27.1,20.5,5.3,Karabük
2024-07-06,29.1,17.0,2.0,Karabük
2024-07-07,32.3,18.0,0.0,Karabük
2024-07-08,34.6,20.2,0.1,Karabük
2024-07-09,32.4,19.5,0.1,Karabük
2024-07-10,29.7,20.0,7.3,Karabük
2024-07-11,32.3,18.4,4.1,Karabük
2024-07-12,30.2,19.2,4.5,Karabük
2024-07-13,30.8,19.0,2.3,Karabük
2024-07-14,32.4,17.9,0.0,Karabük
2024-07-15,31.8,17.1,0.0,Karabük
2024-07-16,34.3,18.3,0.0,Karabük
