time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,20.7,12.9,35.8,Karaman
2024-05-02,23.3,12.4,0.1,Karaman
2024-05-03,20.8,10.4,0.0,Karaman
2024-05-04,20.9,10.4,0.4,Karaman
2024-05-05,13.9,8.3,2.2,Karaman
2024-05-06,15.3,5.1,0.0,Karaman
2024-05-07,18.1,4.0,0.0,Karaman
2024-05-08,22.5,8.7,0.0,Karaman
2024-05-09,22.9,9.0,0.0,Karaman
2024-05-10,27.4,9.4,0.0,Karaman
2024-05-11,19.4,13.1,0.2,Karaman
2024-05-12,17.3,10.2,20.6,Karaman
2024-05-13,17.5,7.8,4.0,Karaman
2024-05-14,17.3,7.2,0.0,Karaman
2024-05-15,21.1,8.3,2.1,Karaman
2024-05-16,24.0,10.0,0.0,Karaman
2024-05-17,25.3,12.5,0.0,Karaman
2024-05-18,28.9,15.8,0.0,Karaman
2024-05-19,26.4,14.1,0.3,Karaman
2024-05-20,28.1,16.1,0.0,Karaman
2024-05-21,29.1,13.6,0.0,Karaman
2024-05-22,29.5,15.0,0.6,Karaman
2024-05-23,28.4,12.7,0.1,Karaman
2024-05-24,20.6,11.5,7.6,Karaman
2024-05-25,21.8,11.6,4.5,Karaman
2024-05-26,23.9,10.3,0.4,Karaman
2024-05-27,22.5,12.5,4.6,Karaman
2024-05-28,21.5,11.4,3.5,Karaman
2024-05-29,24.0,10.4,0.1,Karaman
2024-05-30,24.0,11.2,0.0,Karaman
2024-05-31,24.7,12.7,1.1,Karaman
2024-06-01,26.5,13.3,0.0,Karaman
2024-06-02,29.4,16.0,0.0,Karaman
2024-06-03,31.6,16.4,0.0,Karaman
2024-06-04,33.5,18.1,0.0,Karaman
2024-06-05,33.6,21.1,0.0,Karaman
2024-06-06,33.1,20.7,0.0,Karaman
2024-06-07,31.7,18.7,0.0,Karaman
2024-06-08,26.5,17.0,0.4,Karaman
2024-06-09,26.7,13.9,0.0,Karaman
2024-06-10,29.1,14.2,0.0,Karaman
2024-06-11,31.2,17.0,0.0,Karaman
2024-06-12,34.8,19.6,0.0,Karaman
2024-06-13,36.5,22.1,0.0,Karaman
2024-06-14,36.1,21.0,0.0,Karaman
2024-06-15,30.2,21.0,0.0,Karaman
2024-06-16,31.1,16.5,0.0,Karaman
2024-06-17,33.4,18.9,0.0,Karaman
2024-06-18,34.4,19.1,0.0,Karaman
2024-06-19,34.2,19.7,0.0,Karaman
2024-06-20,34.7,19.4,0.0,Karaman
2024-06-21,33.0,18.7,0.0,Karaman
2024-06-22,31.3,18.1,0.0,Karaman
2024-06-23,33.6,18.3,0.0,Karaman
2024-06-24,35.1,19.1,0.0,Karaman
2024-06-25,36.7,24.4,0.0,Karaman
2024-06-26,32.4,20.7,0.0,Karaman
2024-06-27,31.7,19.3,0.0,Karaman
2024-06-28,34.0,19.2,0.0,Karaman
2024-06-29,31.6,19.6,0.0,Karaman
2024-06-30,28.4,16.5,0.0,Karaman
2024-07-01,28.7,16.2,0.0,Karaman
2024-07-02,30.2,16.8,0.0,Karaman
2024-07-03,35.8,19.3,0.0,Karaman
2024-07-04,31.4,20.3,0.0,Karaman
2024-07-05,31.4,16.2,0.0,Karaman
2024-07-06,29.0,18.6,0.0,Karaman
2024-07-07,30.4,18.5,0.3,Karaman
2024-07-08,32.6,18.2,0.0,Karaman
2024-07-09,32.1,19.1,0.0,Karaman
2024-07-10,32.3,19.7,0.0,Karaman
2024-07-11,32.5,18.8,0.0,Karaman
2024-07-12,33.0,19.1,0.0,Karaman
2024-07-13,32.4,20.0,0.1,Karaman
2024-07-14,31.8,19.0,0.0,Karaman
2024-07-15,31.8,19.9,0.0,Karaman
2024-07-16,33.1,19.4,0.0,Karaman
2024-07-17,33.9,20.6,0.0,Karaman
2024-07-18,32.6,19.6,0.0,Karaman
2024-07-19,32.6,20.7,0.0,Karaman
2024-07-20,32.0,18.6,0.0,Karaman
2024-07-21,34.7,20.0,0.0,Karaman
2024-07-22,36.6,21.4,0.0,Karaman
2024-07-23,36.1,22.6,0.0,Karaman
2024-07-24,33.7,21.6,0.0,Karaman
2024-07-25,33.7,21.8,0.0,Karaman
2024-07-26,30.8,18.4,0.0,Karaman
2024-07-27,28.4,17.2,0.0,Karaman
2024-07-28,30.0,17.0,0.0,Karaman
2024-07-29,30.4,16.7,0.0,Karaman
2024-07-30,31.0,17.8,0.0,Karaman
2024-07-31,30.3,17.6,0.0,Karaman
2024-08-01,30.5,17.4,0.0,Karaman
2024-08-02,31.8,17.1,0.0,Karaman
2024-08-03,34.3,20.5,0.0,Karaman
2024-08-04,34.7,20.2,0.0,Karaman
2024-08-05,34.3,20.9,0.0,Karaman
2024-08-06,33.7,19.6,0.0,Karaman
2024-08-07,33.5,21.4,0.0,Karaman
2024-08-08,33.8,19.2,0.0,Karaman
2024-08-09,35.8,22.6,0.0,Karaman
2024-08-10,34.4,22.0,0.0,Karaman
2024-08-11,31.0,19.6,0.0,Karaman
2024-08-12,29.8,17.8,0.0,Karaman
2024-08-13,30.9,17.3,0.0,Karaman
2024-08-14,34.0,18.3,0.0,Karaman
2024-08-15,33.3,18.7,0.0,Karaman
2024-08-16,29.9,17.2,0.0,Karaman
2024-08-17,27.8,14.8,0.0,Karaman
2024-08-18,32.5,16.7,0.0,Karaman
2024-08-19,35.2,18.3,0.0,Karaman
2024-08-20,35.4,20.4,0.0,Karaman
2024-08-21,37.2,22.5,0.0,Karaman
2024-08-22,33.7,18.5,0.0,Karaman
2024-08-23,33.7,19.3,0.0,Karaman
2024-08-24,29.9,19.9,0.1,Karaman
2024-08-25,27.9,17.2,0.0,Karaman
2024-08-26,29.5,17.3,0.0,Karaman
2024-08-27,30.1,16.8,0.0,Karaman
2024-08-28,29.6,16.9,0.0,Karaman
2024-08-29,31.3,18.3,0.0,Karaman
2024-08-30,29.8,17.5,0.0,Karaman
2024-08-31,30.3,17.9,0.1,Karaman
2024-09-01,30.3,16.5,1.0,Karaman
2024-09-02,28.2,16.8,0.2,Karaman
2024-09-03,29.4,17.5,0.0,Karaman
2024-09-04,29.7,17.3,0.0,Karaman
2024-09-05,29.8,18.8,0.1,Karaman
2024-09-06,29.3,17.4,0.0,Karaman
2024-09-07,29.3,17.0,0.0,Karaman
2024-09-08,29.7,16.0,0.0,Karaman
2024-09-09,29.3,15.0,0.0,Karaman
2024-09-10,28.9,15.4,0.0,Karaman
2024-09-11,29.9,14.6,0.0,Karaman
2024-09-12,30.9,16.3,0.0,Karaman
2024-09-13,30.4,16.8,0.0,Karaman
2024-09-14,30.6,18.0,0.0,Karaman
2024-09-15,30.1,18.0,0.0,Karaman
2024-09-16,27.3,17.0,0.0,Karaman
2024-09-17,27.7,15.3,0.0,Karaman
2024-09-18,27.6,15.3,0.0,Karaman
2024-09-19,25.9,15.9,1.0,Karaman
2024-09-20,24.9,15.4,0.0,Karaman
2024-09-21,25.0,13.6,0.0,Karaman
2024-09-22,19.3,12.1,1.1,Karaman
2024-09-23,21.3,11.3,0.0,Karaman
2024-09-24,22.4,12.7,0.0,Karaman
2024-09-25,23.2,13.1,0.0,Karaman
2024-09-26,24.7,14.2,0.0,Karaman
2024-09-27,26.2,12.7,0.0,Karaman
2024-09-28,27.4,12.6,0.0,Karaman
2024-09-29,29.9,15.8,0.0,Karaman
2024-09-30,26.0,14.2,0.0,Karaman
2024-10-01,19.8,11.1,0.5,Karaman
2024-10-02,19.2,8.9,0.0,Karaman
2024-10-03,24.5,11.5,0.0,Karaman
2024-10-04,25.3,13.8,0.0,Karaman
2024-10-05,25.9,14.7,0.0,Karaman
2024-10-06,27.2,12.5,0.0,Karaman
2024-10-07,27.9,12.2,0.0,Karaman
2024-10-08,25.9,14.6,0.0,Karaman
2024-10-09,28.1,15.8,0.0,Karaman
2024-10-10,28.2,12.6,0.0,Karaman
2024-10-11,26.7,14.8,0.0,Karaman
2024-10-12,27.9,14.8,0.0,Karaman
2024-10-13,26.9,14.9,0.0,Karaman
2024-10-14,25.0,12.3,0.0,Karaman
2024-10-15,23.8,12.3,0.0,Karaman
2024-10-16,23.2,11.8,0.0,Karaman
2024-10-17,16.7,9.4,0.0,Karaman
2024-10-18,12.8,3.9,0.0,Karaman
2024-10-19,13.0,4.4,0.0,Karaman
2024-10-20,13.4,4.1,0.0,Karaman
2024-10-21,13.0,2.7,0.0,Karaman
2024-10-22,12.9,3.7,0.2,Karaman
2024-10-23,13.4,1.3,0.0,Karaman
2024-10-24,15.6,3.6,0.0,Karaman
2024-10-25,15.1,3.7,0.0,Karaman
2024-10-26,15.4,4.5,0.0,Karaman
2024-10-27,16.3,4.8,0.0,Karaman
2024-10-28,16.5,7.1,0.0,Karaman
2024-10-29,16.3,6.8,0.0,Karaman
2024-10-30,16.0,4.8,0.0,Karaman
2024-10-31,15.2,6.0,0.0,Karaman
2024-11-01,15.6,4.7,0.0,Karaman
2024-11-02,18.5,7.4,0.0,Karaman
2024-11-03,17.7,6.9,0.0,Karaman
2024-11-04,12.8,3.6,0.0,Karaman
2024-11-05,12.2,2.3,0.0,Karaman
2024-11-06,11.5,1.4,0.0,Karaman
2024-11-07,10.9,0.3,0.0,Karaman
2024-11-08,11.7,2.6,0.0,Karaman
2024-11-09,11.5,2.7,0.0,Karaman
2024-11-10,12.7,5.0,8.1,Karaman
2024-11-11,15.2,5.4,0.0,Karaman
2024-11-12,15.6,6.5,0.0,Karaman
2024-11-13,15.6,4.3,0.0,Karaman
2024-11-14,15.7,5.4,0.0,Karaman
2024-11-15,18.3,5.8,0.0,Karaman
2024-11-16,18.0,5.8,0.4,Karaman
2024-11-17,14.5,9.1,0.5,Karaman
2024-11-18,14.2,5.2,0.0,Karaman
2024-11-19,13.6,4.6,0.0,Karaman
2024-11-20,14.3,4.6,0.0,Karaman
2024-11-21,14.6,7.2,0.0,Karaman
2024-11-22,15.7,11.0,0.4,Karaman
2024-11-23,15.7,10.8,0.0,Karaman
2024-11-24,11.3,-3.5,12.7,Karaman
2024-11-25,-2.6,-7.5,0.0,Karaman
2024-11-26,-1.0,-8.0,0.5,Karaman
2024-11-27,-0.4,-5.2,0.0,Karaman
2024-11-28,2.2,-5.1,0.0,Karaman
2024-11-29,1.5,-4.4,0.0,Karaman
2024-11-30,4.3,-4.0,0.0,Karaman
2024-12-01,6.0,-3.2,0.0,Karaman
2024-12-02,7.6,-3.5,0.0,Karaman
2024-12-03,9.6,-1.0,3.0,Karaman
2024-12-04,8.6,1.7,2.4,Karaman
2024-12-05,10.9,1.3,0.0,Karaman
2024-12-06,9.0,1.9,0.0,Karaman
2024-12-07,13.8,1.6,0.1,Karaman
2024-12-08,11.6,5.9,0.0,Karaman
2024-12-09,14.3,4.6,0.0,Karaman
2024-12-10,15.2,4.7,0.0,Karaman
2024-12-11,15.8,4.5,0.0,Karaman
2024-12-12,10.0,2.1,0.0,Karaman
2024-12-13,4.7,-0.3,0.3,Karaman
2024-12-14,3.8,-2.0,0.3,Karaman
2024-12-15,8.8,-3.4,0.0,Karaman
2024-12-16,6.9,3.3,13.9,Karaman
2024-12-17,6.5,1.1,0.5,Karaman
2024-12-18,8.5,-0.8,0.0,Karaman
2024-12-19,7.8,-0.5,0.0,Karaman
2024-12-20,10.3,-0.9,0.0,Karaman
2024-12-21,11.0,-1.3,3.2,Karaman
2024-12-22,12.2,2.6,0.0,Karaman
2024-12-23,8.8,4.5,5.5,Karaman
2024-12-24,11.2,4.2,0.0,Karaman
2024-12-25,10.8,6.3,11.9,Karaman
2024-12-26,9.3,2.8,0.1,Karaman
2024-12-27,7.6,3.0,7.1,Karaman
2024-12-28,8.0,1.7,0.0,Karaman
2024-12-29,6.1,1.3,7.6,Karaman
2024-12-30,6.1,1.9,0.4,Karaman
2024-12-31,5.1,1.3,0.6,Karaman
2025-01-01,5.3,-0.3,0.5,Karaman
2025-01-02,9.4,-2.3,0.0,Karaman
2025-01-03,9.6,-1.9,0.0,Karaman
2025-01-04,11.5,-0.4,0.0,Karaman
2025-01-05,10.7,3.0,2.5,Karaman
2025-01-06,7.0,1.2,0.3,Karaman
2025-01-07,13.2,0.4,0.0,Karaman
2025-01-08,12.2,-0.3,0.0,Karaman
2025-01-09,9.4,0.7,0.0,Karaman
2025-01-10,12.0,-0.1,0.0,Karaman
2025-01-11,12.4,-0.7,0.0,Karaman
2025-01-12,11.8,0.8,0.0,Karaman
2025-01-13,12.5,6.5,0.0,Karaman
2025-01-14,14.4,4.7,0.0,Karaman
2025-01-15,12.8,3.2,0.7,Karaman
2025-01-16,10.2,2.6,0.1,Karaman
2025-01-17,5.9,1.2,0.6,Karaman
2025-01-18,7.4,-1.4,0.0,Karaman
2025-01-19,8.2,-0.8,0.0,Karaman
2025-01-20,8.2,-0.8,0.0,Karaman
2025-01-21,11.1,-1.5,0.0,Karaman
2025-01-22,7.2,0.7,8.5,Karaman
2025-01-23,9.6,0.5,2.2,Karaman
2025-01-24,10.4,-0.3,0.1,Karaman
2025-01-25,11.0,-0.2,0.0,Karaman
2025-01-26,10.6,-0.5,0.0,Karaman
