time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,21.3,11.2,2.6,Kastamonu
2024-05-02,14.8,10.9,15.9,Kastamonu
2024-05-03,13.4,9.3,4.4,Kastamonu
2024-05-04,16.2,6.6,10.0,Kastamonu
2024-05-05,13.6,2.3,1.1,Kastamonu
2024-05-06,16.3,-0.6,0.0,Kastamonu
2024-05-07,20.6,2.2,0.0,Kastamonu
2024-05-08,22.3,3.2,0.0,Kastamonu
2024-05-09,22.6,9.0,0.6,Kastamonu
2024-05-10,22.7,10.3,1.9,Kastamonu
2024-05-11,18.8,9.1,11.8,Kastamonu
2024-05-12,16.1,8.4,0.3,Kastamonu
2024-05-13,16.7,4.6,5.0,Kastamonu
2024-05-14,13.0,2.8,0.6,Kastamonu
2024-05-15,17.5,2.0,0.0,Kastamonu
2024-05-16,17.7,7.4,0.7,Kastamonu
2024-05-17,21.0,5.2,0.0,Kastamonu
2024-05-18,22.5,7.7,2.2,Kastamonu
2024-05-19,24.2,9.0,0.7,Kastamonu
2024-05-20,23.2,10.7,0.0,Kastamonu
2024-05-21,25.0,10.1,0.0,Kastamonu
2024-05-22,28.5,10.1,0.0,Kastamonu
2024-05-23,27.8,12.0,1.7,Kastamonu
2024-05-24,23.2,12.6,0.0,Kastamonu
2024-05-25,21.6,11.3,2.3,Kastamonu
2024-05-26,21.1,11.1,2.8,Kastamonu
2024-05-27,18.9,8.4,4.9,Kastamonu
2024-05-28,19.9,12.0,7.5,Kastamonu
2024-05-29,23.6,9.5,0.0,Kastamonu
2024-05-30,22.2,11.4,7.0,Kastamonu
2024-05-31,24.0,10.6,2.9,Kastamonu
2024-06-01,27.6,8.8,0.0,Kastamonu
2024-06-02,29.6,14.1,0.0,Kastamonu
2024-06-03,30.4,14.7,0.0,Kastamonu
2024-06-04,32.9,16.0,0.0,Kastamonu
2024-06-05,31.1,16.1,0.4,Kastamonu
2024-06-06,31.6,14.7,0.0,Kastamonu
2024-06-07,29.7,15.0,0.0,Kastamonu
2024-06-08,26.2,15.6,0.0,Kastamonu
2024-06-09,28.5,11.6,0.0,Kastamonu
2024-06-10,31.1,14.4,0.0,Kastamonu
2024-06-11,34.4,15.7,0.0,Kastamonu
2024-06-12,33.6,16.8,0.0,Kastamonu
2024-06-13,34.7,18.0,0.0,Kastamonu
2024-06-14,33.8,18.6,7.4,Kastamonu
2024-06-15,24.6,17.1,0.2,Kastamonu
2024-06-16,28.4,13.4,0.0,Kastamonu
2024-06-17,30.9,15.2,0.0,Kastamonu
2024-06-18,31.6,15.3,0.0,Kastamonu
2024-06-19,31.6,15.5,0.0,Kastamonu
2024-06-20,33.0,15.5,0.0,Kastamonu
2024-06-21,31.1,14.7,0.0,Kastamonu
2024-06-22,31.3,14.2,0.0,Kastamonu
2024-06-23,34.0,12.7,0.0,Kastamonu
2024-06-24,36.7,16.2,0.0,Kastamonu
2024-06-25,32.8,17.2,0.0,Kastamonu
2024-06-26,28.0,15.9,0.2,Kastamonu
2024-06-27,31.7,12.7,0.0,Kastamonu
2024-06-28,32.5,14.7,0.0,Kastamonu
2024-06-29,26.6,14.4,0.0,Kastamonu
2024-06-30,27.9,12.3,0.0,Kastamonu
2024-07-01,29.8,13.8,0.0,Kastamonu
2024-07-02,31.9,13.8,0.0,Kastamonu
2024-07-03,36.3,16.5,0.0,Kastamonu
2024-07-04,32.1,19.9,0.0,Kastamonu
2024-07-05,25.5,17.8,11.1,Kastamonu
2024-07-06,27.8,15.0,2.6,Kastamonu
2024-07-07,30.1,15.1,0.0,Kastamonu
2024-07-08,32.3,17.0,0.2,Kastamonu
2024-07-09,31.5,18.0,0.2,Kastamonu
2024-07-10,27.4,17.5,6.4,Kastamonu
2024-07-11,30.7,16.9,1.9,Kastamonu
2024-07-12,30.6,17.5,8.0,Kastamonu
2024-07-13,29.9,17.0,0.0,Kastamonu
2024-07-14,29.9,16.2,0.0,Kastamonu
2024-07-15,29.3,15.3,0.0,Kastamonu
2024-07-16,31.7,16.2,0.5,Kastamonu
2024-07-17,30.1,18.0,1.0,Kastamonu
2024-07-18,32.5,18.3,0.0,Kastamonu
2024-07-19,32.2,17.2,0.0,Kastamonu
2024-07-20,32.1,17.4,0.0,Kastamonu
2024-07-21,33.4,17.3,0.0,Kastamonu
2024-07-22,33.8,18.0,0.0,Kastamonu
2024-07-23,32.3,17.7,0.0,Kastamonu
2024-07-24,29.8,17.2,1.4,Kastamonu
2024-07-25,32.0,15.9,0.0,Kastamonu
2024-07-26,24.5,17.8,18.9,Kastamonu
2024-07-27,24.3,16.7,3.2,Kastamonu
2024-07-28,27.7,14.6,0.0,Kastamonu
2024-07-29,29.4,14.7,0.0,Kastamonu
2024-07-30,28.8,13.7,0.4,Kastamonu
2024-07-31,26.0,14.3,0.0,Kastamonu
2024-08-01,29.4,15.0,0.0,Kastamonu
2024-08-02,33.1,14.9,0.0,Kastamonu
2024-08-03,35.0,16.4,0.0,Kastamonu
2024-08-04,33.1,16.3,0.0,Kastamonu
2024-08-05,32.2,18.0,3.9,Kastamonu
2024-08-06,31.3,14.6,0.0,Kastamonu
2024-08-07,30.2,14.9,0.1,Kastamonu
2024-08-08,31.6,14.8,0.0,Kastamonu
2024-08-09,34.1,16.5,0.0,Kastamonu
2024-08-10,31.0,18.1,0.8,Kastamonu
