time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,22.1,12.9,12.2,Kayseri
2024-05-02,20.9,12.9,2.3,Kayseri
2024-05-03,16.9,10.4,0.6,Kayseri
2024-05-04,17.0,10.7,13.8,Kayseri
2024-05-05,13.0,8.1,33.5,Kayseri
2024-05-06,13.0,3.6,0.4,Kayseri
2024-05-07,16.2,2.6,0.0,Kayseri
2024-05-08,21.0,5.8,0.0,Kayseri
2024-05-09,23.0,10.5,0.1,Kayseri
2024-05-10,25.5,8.7,0.1,Kayseri
2024-05-11,21.0,12.3,2.6,Kayseri
2024-05-12,17.3,10.1,4.7,Kayseri
2024-05-13,16.4,8.0,0.3,Kayseri
2024-05-14,16.1,7.3,3.4,Kayseri
2024-05-15,20.0,4.2,0.0,Kayseri
2024-05-16,19.8,9.5,3.1,Kayseri
2024-05-17,21.5,9.1,4.7,Kayseri
2024-05-18,23.8,12.9,6.0,Kayseri
2024-05-19,24.7,13.3,0.0,Kayseri
2024-05-20,24.4,13.8,0.2,Kayseri
2024-05-21,23.8,11.8,0.1,Kayseri
2024-05-22,27.6,12.6,0.0,Kayseri
2024-05-23,26.4,14.8,1.7,Kayseri
2024-05-24,17.8,11.9,6.2,Kayseri
2024-05-25,19.3,11.7,19.7,Kayseri
2024-05-26,21.1,9.4,0.0,Kayseri
2024-05-27,21.5,10.9,2.0,Kayseri
2024-05-28,21.1,10.4,11.3,Kayseri
2024-05-29,22.7,10.6,0.0,Kayseri
2024-05-30,25.1,11.4,0.4,Kayseri
2024-05-31,22.5,12.6,5.1,Kayseri
2024-06-01,25.0,11.5,0.0,Kayseri
2024-06-02,27.0,11.4,0.0,Kayseri
2024-06-03,30.4,14.6,0.0,Kayseri
2024-06-04,30.4,15.8,0.0,Kayseri
2024-06-05,31.7,18.9,0.0,Kayseri
2024-06-06,31.2,19.1,0.0,Kayseri
2024-06-07,28.9,18.8,0.0,Kayseri
2024-06-08,25.6,15.4,2.3,Kayseri
2024-06-09,24.6,13.6,0.4,Kayseri
2024-06-10,27.3,12.5,0.0,Kayseri
2024-06-11,30.3,14.9,0.0,Kayseri
2024-06-12,33.5,19.1,0.0,Kayseri
2024-06-13,34.7,19.1,0.0,Kayseri
2024-06-14,32.8,18.4,0.0,Kayseri
2024-06-15,29.8,16.5,0.1,Kayseri
2024-06-16,30.4,13.7,0.0,Kayseri
2024-06-17,32.5,19.3,0.0,Kayseri
2024-06-18,32.5,16.9,0.0,Kayseri
2024-06-19,32.8,16.6,0.0,Kayseri
2024-06-20,33.3,15.6,0.0,Kayseri
2024-06-21,32.0,17.7,0.0,Kayseri
2024-06-22,34.0,16.1,0.0,Kayseri
2024-06-23,32.5,15.0,0.0,Kayseri
2024-06-24,35.1,15.0,0.0,Kayseri
2024-06-25,35.3,17.3,0.0,Kayseri
2024-06-26,29.4,18.3,0.0,Kayseri
2024-06-27,29.9,13.7,0.0,Kayseri
2024-06-28,32.7,14.6,0.0,Kayseri
2024-06-29,29.8,16.0,0.0,Kayseri
2024-06-30,28.9,15.0,0.0,Kayseri
2024-07-01,27.0,13.4,0.6,Kayseri
2024-07-02,28.8,14.3,0.0,Kayseri
2024-07-03,34.1,16.4,0.0,Kayseri
2024-07-04,36.1,18.8,0.0,Kayseri
2024-07-05,31.8,18.9,1.5,Kayseri
2024-07-06,26.3,17.5,0.6,Kayseri
2024-07-07,29.7,17.9,1.8,Kayseri
2024-07-08,31.7,17.1,0.0,Kayseri
2024-07-09,32.5,17.6,0.1,Kayseri
2024-07-10,32.0,18.1,0.8,Kayseri
2024-07-11,32.0,18.9,0.4,Kayseri
2024-07-12,33.2,17.5,0.0,Kayseri
2024-07-13,32.1,20.5,0.0,Kayseri
2024-07-14,30.7,18.3,0.0,Kayseri
2024-07-15,30.0,17.7,0.1,Kayseri
2024-07-16,32.3,17.5,0.0,Kayseri
2024-07-17,34.4,21.1,0.0,Kayseri
2024-07-18,31.6,18.8,0.0,Kayseri
2024-07-19,31.0,17.8,0.0,Kayseri
2024-07-20,32.8,16.9,0.0,Kayseri
2024-07-21,33.5,18.5,0.0,Kayseri
2024-07-22,35.3,18.6,0.0,Kayseri
2024-07-23,35.2,20.5,0.0,Kayseri
2024-07-24,32.7,19.8,0.1,Kayseri
2024-07-25,32.5,19.2,0.0,Kayseri
2024-07-26,29.1,19.9,2.7,Kayseri
2024-07-27,27.4,18.0,0.2,Kayseri
2024-07-28,30.3,14.7,0.0,Kayseri
2024-07-29,32.1,14.8,0.0,Kayseri
2024-07-30,30.9,14.1,0.0,Kayseri
2024-07-31,29.4,16.3,0.0,Kayseri
2024-08-01,29.9,16.0,0.0,Kayseri
2024-08-02,31.8,16.2,0.0,Kayseri
2024-08-03,33.5,16.8,0.0,Kayseri
2024-08-04,35.7,19.2,0.0,Kayseri
2024-08-05,34.0,18.2,0.0,Kayseri
2024-08-06,33.6,18.9,0.0,Kayseri
2024-08-07,32.8,20.1,0.0,Kayseri
2024-08-08,32.7,18.4,0.0,Kayseri
2024-08-09,34.2,18.3,0.0,Kayseri
2024-08-10,34.5,19.6,0.0,Kayseri
2024-08-11,30.6,19.1,0.0,Kayseri
2024-08-12,30.5,16.1,0.0,Kayseri
2024-08-13,32.0,15.1,0.0,Kayseri
2024-08-14,34.3,16.5,0.0,Kayseri
2024-08-15,32.8,16.3,0.0,Kayseri
2024-08-16,30.6,15.9,0.0,Kayseri
2024-08-17,29.1,13.8,0.0,Kayseri
2024-08-18,33.0,15.0,0.0,Kayseri
2024-08-19,36.2,18.4,0.0,Kayseri
2024-08-20,35.9,19.3,0.0,Kayseri
2024-08-21,37.9,21.8,0.0,Kayseri
2024-08-22,36.1,21.1,0.0,Kayseri
2024-08-23,34.1,19.1,0.0,Kayseri
2024-08-24,27.7,18.8,6.8,Kayseri
2024-08-25,24.6,16.8,1.8,Kayseri
2024-08-26,30.0,14.2,0.0,Kayseri
2024-08-27,29.4,17.0,0.2,Kayseri
2024-08-28,31.0,19.1,0.1,Kayseri
2024-08-29,31.2,18.2,2.2,Kayseri
2024-08-30,29.3,15.9,0.0,Kayseri
2024-08-31,30.4,18.7,0.0,Kayseri
2024-09-01,30.6,18.1,6.5,Kayseri
2024-09-02,29.1,16.6,0.1,Kayseri
2024-09-03,28.6,16.9,0.0,Kayseri
2024-09-04,29.3,17.3,0.1,Kayseri
2024-09-05,28.8,18.4,0.4,Kayseri
2024-09-06,28.5,16.5,0.0,Kayseri
2024-09-07,29.0,16.8,0.0,Kayseri
2024-09-08,28.7,16.7,0.0,Kayseri
2024-09-09,30.5,16.7,0.0,Kayseri
2024-09-10,31.9,19.0,0.0,Kayseri
2024-09-11,30.6,17.0,0.0,Kayseri
2024-09-12,29.8,16.7,0.0,Kayseri
2024-09-13,29.8,19.5,0.0,Kayseri
2024-09-14,30.3,16.9,0.0,Kayseri
2024-09-15,32.2,18.3,0.0,Kayseri
2024-09-16,27.1,18.4,0.6,Kayseri
2024-09-17,26.4,15.7,0.0,Kayseri
2024-09-18,26.5,14.6,0.0,Kayseri
2024-09-19,25.4,14.9,1.4,Kayseri
2024-09-20,24.3,11.5,0.0,Kayseri
2024-09-21,24.2,14.0,0.0,Kayseri
2024-09-22,17.9,12.1,10.2,Kayseri
2024-09-23,20.2,10.0,0.0,Kayseri
2024-09-24,21.8,9.6,0.0,Kayseri
2024-09-25,22.9,13.1,0.0,Kayseri
2024-09-26,24.5,11.4,0.0,Kayseri
2024-09-27,26.0,13.8,0.0,Kayseri
2024-09-28,27.8,14.2,0.0,Kayseri
2024-09-29,29.0,16.5,0.0,Kayseri
2024-09-30,29.3,13.9,5.5,Kayseri
2024-10-01,19.6,10.9,2.0,Kayseri
2024-10-02,18.2,10.1,0.0,Kayseri
2024-10-03,21.5,10.4,0.0,Kayseri
2024-10-04,23.2,12.9,0.0,Kayseri
2024-10-05,26.5,13.6,0.0,Kayseri
2024-10-06,28.2,14.8,0.0,Kayseri
2024-10-07,28.1,13.0,0.0,Kayseri
2024-10-08,26.2,16.0,0.0,Kayseri
2024-10-09,29.0,15.2,0.0,Kayseri
2024-10-10,26.9,13.7,0.0,Kayseri
2024-10-11,26.5,13.7,0.0,Kayseri
2024-10-12,26.6,13.3,0.0,Kayseri
2024-10-13,26.0,14.8,0.0,Kayseri
2024-10-14,23.7,12.7,0.0,Kayseri
2024-10-15,22.4,13.1,0.0,Kayseri
2024-10-16,22.3,11.8,0.0,Kayseri
2024-10-17,14.9,7.6,4.8,Kayseri
2024-10-18,12.2,4.2,4.3,Kayseri
2024-10-19,10.5,4.7,0.1,Kayseri
2024-10-20,14.1,2.1,0.0,Kayseri
2024-10-21,11.1,2.2,0.4,Kayseri
2024-10-22,11.8,2.6,4.7,Kayseri
2024-10-23,13.3,1.6,0.0,Kayseri
2024-10-24,13.8,2.4,0.0,Kayseri
2024-10-25,14.2,0.5,0.0,Kayseri
2024-10-26,14.9,3.2,0.0,Kayseri
2024-10-27,14.8,1.3,0.0,Kayseri
2024-10-28,15.5,5.3,0.0,Kayseri
2024-10-29,15.9,4.9,0.0,Kayseri
2024-10-30,15.1,3.9,0.0,Kayseri
2024-10-31,14.7,3.7,0.0,Kayseri
2024-11-01,16.0,3.9,0.0,Kayseri
2024-11-02,19.4,7.9,0.0,Kayseri
2024-11-03,16.2,5.4,0.0,Kayseri
2024-11-04,11.1,3.7,0.0,Kayseri
2024-11-05,10.9,0.3,0.0,Kayseri
2024-11-06,10.8,-1.9,0.0,Kayseri
2024-11-07,13.2,-0.3,0.0,Kayseri
2024-11-08,12.0,0.6,0.0,Kayseri
2024-11-09,11.3,0.0,0.0,Kayseri
2024-11-10,16.5,5.0,0.3,Kayseri
2024-11-11,15.2,5.2,0.0,Kayseri
2024-11-12,15.9,6.0,0.0,Kayseri
2024-11-13,14.5,3.1,0.0,Kayseri
2024-11-14,14.5,3.6,0.0,Kayseri
2024-11-15,17.5,4.5,0.0,Kayseri
2024-11-16,16.0,5.6,0.1,Kayseri
2024-11-17,14.9,3.9,1.8,Kayseri
2024-11-18,13.7,5.2,1.4,Kayseri
2024-11-19,12.9,4.3,0.1,Kayseri
2024-11-20,15.5,2.6,0.0,Kayseri
2024-11-21,16.2,5.1,5.1,Kayseri
2024-11-22,15.8,7.2,0.3,Kayseri
2024-11-23,18.3,7.0,0.0,Kayseri
2024-11-24,11.7,-3.9,29.7,Kayseri
2024-11-25,-2.4,-6.3,3.0,Kayseri
2024-11-26,0.3,-4.2,4.3,Kayseri
2024-11-27,-0.8,-7.8,0.4,Kayseri
2024-11-28,-2.0,-6.7,0.0,Kayseri
2024-11-29,0.1,-6.4,0.0,Kayseri
2024-11-30,0.7,-5.5,0.0,Kayseri
2024-12-01,0.4,-5.8,0.0,Kayseri
2024-12-02,2.9,-6.1,0.0,Kayseri
2024-12-03,4.5,-5.5,0.0,Kayseri
2024-12-04,6.2,-1.3,1.8,Kayseri
2024-12-05,7.3,-0.5,0.4,Kayseri
2024-12-06,7.9,-0.2,0.0,Kayseri
2024-12-07,11.4,0.1,0.0,Kayseri
2024-12-08,11.4,1.1,0.2,Kayseri
2024-12-09,12.3,0.9,0.0,Kayseri
2024-12-10,11.8,2.9,0.0,Kayseri
2024-12-11,14.1,1.9,5.4,Kayseri
2024-12-12,7.8,1.4,8.9,Kayseri
2024-12-13,3.9,-1.0,0.7,Kayseri
2024-12-14,1.3,-3.4,0.0,Kayseri
2024-12-15,10.1,-3.7,0.1,Kayseri
2024-12-16,4.6,1.9,10.6,Kayseri
2024-12-17,6.3,-0.2,0.0,Kayseri
2024-12-18,8.1,-1.1,0.0,Kayseri
2024-12-19,7.6,-0.3,0.0,Kayseri
2024-12-20,8.7,-0.6,0.0,Kayseri
2024-12-21,11.4,0.3,13.7,Kayseri
2024-12-22,9.7,0.5,3.3,Kayseri
2024-12-23,8.9,0.4,2.3,Kayseri
2024-12-24,11.5,1.2,0.0,Kayseri
2024-12-25,12.1,3.5,0.2,Kayseri
2024-12-26,10.4,2.7,1.4,Kayseri
2024-12-27,8.3,0.5,0.0,Kayseri
2024-12-28,8.3,0.1,0.0,Kayseri
2024-12-29,8.6,0.1,0.6,Kayseri
2024-12-30,5.9,1.9,11.7,Kayseri
2024-12-31,5.0,-0.4,0.8,Kayseri
2025-01-01,5.5,-2.6,0.0,Kayseri
2025-01-02,7.6,-1.6,0.0,Kayseri
2025-01-03,9.6,-0.4,0.0,Kayseri
2025-01-04,11.8,-0.5,0.0,Kayseri
2025-01-05,7.2,1.3,0.8,Kayseri
2025-01-06,7.7,1.4,0.0,Kayseri
2025-01-07,10.6,0.5,0.0,Kayseri
2025-01-08,11.2,1.3,0.0,Kayseri
2025-01-09,10.8,0.9,0.0,Kayseri
2025-01-10,11.8,0.5,0.0,Kayseri
2025-01-11,10.7,0.5,0.0,Kayseri
2025-01-12,13.0,1.6,0.0,Kayseri
2025-01-13,13.6,2.3,0.0,Kayseri
2025-01-14,12.6,2.6,0.0,Kayseri
2025-01-15,13.7,3.3,4.1,Kayseri
2025-01-16,8.7,2.5,2.1,Kayseri
2025-01-17,6.6,-0.0,1.8,Kayseri
2025-01-18,7.3,-0.9,0.0,Kayseri
2025-01-19,8.6,-0.4,0.0,Kayseri
2025-01-20,6.2,-1.5,0.0,Kayseri
2025-01-21,9.0,-2.3,0.0,Kayseri
2025-01-22,7.9,0.1,0.1,Kayseri
2025-01-23,6.8,0.8,1.6,Kayseri
2025-01-24,8.1,-0.4,0.1,Kayseri
2025-01-25,10.2,-0.4,0.0,Kayseri
2025-01-26,9.6,0.4,0.0,Kayseri
2025-01-27,7.8,-0.7,0.0,Kayseri
2025-01-28,9.4,-0.9,0.0,Kayseri
2025-01-29,11.0,-0.1,0.0,Kayseri
2025-01-30,11.7,0.0,0.0,Kayseri
2025-01-31,10.5,1.0,0.0,Kayseri
2025-02-01,9.4,-0.6,0.0,Kayseri
2025-02-02,10.1,0.2,0.0,Kayseri
2025-02-03,11.6,0.2,0.0,Kayseri
2025-02-04,9.8,0.3,1.5,Kayseri
2025-02-05,0.2,-3.6,11.5,Kayseri
2025-02-06,-2.7,-4.9,2.0,Kayseri
2025-02-07,-2.7,-7.3,6.8,Kayseri
2025-02-08,-0.5,-3.3,0.7,Kayseri
