time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,23.9,16.4,3.6,Kilis
2024-05-02,23.9,15.7,1.8,Kilis
2024-05-03,23.3,14.1,1.6,Kilis
2024-05-04,21.3,14.0,0.6,Kilis
2024-05-05,16.8,10.6,19.8,Kilis
2024-05-06,17.9,9.7,3.4,Kilis
2024-05-07,19.9,7.4,0.1,Kilis
2024-05-08,24.6,8.8,0.0,Kilis
2024-05-09,26.5,10.5,0.0,Kilis
2024-05-10,29.9,13.6,0.0,Kilis
2024-05-11,25.6,15.6,6.2,Kilis
2024-05-12,21.6,12.9,5.5,Kilis
2024-05-13,19.5,11.9,2.3,Kilis
2024-05-14,22.9,11.1,0.1,Kilis
2024-05-15,22.5,10.2,0.0,Kilis
2024-05-16,24.7,10.8,0.0,Kilis
2024-05-17,27.1,11.9,0.0,Kilis
2024-05-18,28.0,14.4,0.0,Kilis
2024-05-19,31.5,16.1,0.3,Kilis
2024-05-20,28.7,16.8,2.7,Kilis
2024-05-21,31.4,16.8,0.0,Kilis
2024-05-22,32.3,17.0,0.0,Kilis
2024-05-23,29.9,18.5,1.1,Kilis
2024-05-24,24.9,14.1,4.2,Kilis
2024-05-25,25.6,13.4,0.9,Kilis
2024-05-26,26.8,13.8,0.2,Kilis
2024-05-27,27.5,14.0,0.8,Kilis
2024-05-28,27.6,14.7,0.0,Kilis
2024-05-29,28.9,13.6,0.0,Kilis
2024-05-30,29.4,14.5,0.0,Kilis
2024-05-31,27.9,14.4,0.0,Kilis
2024-06-01,31.5,14.6,0.0,Kilis
2024-06-02,35.0,16.4,0.0,Kilis
2024-06-03,37.4,19.7,0.0,Kilis
2024-06-04,38.8,21.2,0.0,Kilis
2024-06-05,39.1,23.0,0.0,Kilis
2024-06-06,40.1,24.2,0.0,Kilis
2024-06-07,39.4,24.9,0.0,Kilis
2024-06-08,38.2,23.7,0.0,Kilis
2024-06-09,33.0,21.5,0.0,Kilis
2024-06-10,34.0,20.5,0.0,Kilis
2024-06-11,36.2,20.1,0.0,Kilis
2024-06-12,39.2,20.7,0.0,Kilis
2024-06-13,39.1,23.0,0.0,Kilis
2024-06-14,39.4,24.2,0.0,Kilis
2024-06-15,38.9,25.3,0.0,Kilis
2024-06-16,36.6,21.5,0.0,Kilis
2024-06-17,35.4,19.9,0.0,Kilis
2024-06-18,39.0,20.8,0.0,Kilis
2024-06-19,40.8,22.9,0.0,Kilis
2024-06-20,40.9,24.3,0.0,Kilis
2024-06-21,39.4,22.8,0.0,Kilis
2024-06-22,35.8,21.6,0.0,Kilis
2024-06-23,34.5,20.8,0.9,Kilis
2024-06-24,38.3,22.0,0.0,Kilis
2024-06-25,38.8,21.2,0.0,Kilis
2024-06-26,37.9,22.2,0.0,Kilis
2024-06-27,37.8,21.1,0.0,Kilis
2024-06-28,38.7,21.5,0.0,Kilis
2024-06-29,35.4,22.2,0.0,Kilis
2024-06-30,35.2,21.8,0.0,Kilis
2024-07-01,34.5,22.1,0.0,Kilis
2024-07-02,34.8,22.4,0.0,Kilis
2024-07-03,36.7,21.2,0.0,Kilis
2024-07-04,36.9,21.3,0.0,Kilis
2024-07-05,34.0,19.7,0.0,Kilis
2024-07-06,33.7,20.1,0.0,Kilis
2024-07-07,36.9,21.7,0.0,Kilis
2024-07-08,37.6,22.3,0.0,Kilis
2024-07-09,37.9,23.6,0.0,Kilis
2024-07-10,37.4,23.6,0.0,Kilis
2024-07-11,37.7,23.1,0.0,Kilis
2024-07-12,38.2,23.0,0.0,Kilis
2024-07-13,36.0,23.4,0.2,Kilis
2024-07-14,36.4,22.9,0.1,Kilis
2024-07-15,36.7,22.9,0.0,Kilis
2024-07-16,37.4,22.9,0.0,Kilis
2024-07-17,36.4,22.7,0.1,Kilis
2024-07-18,38.6,24.2,0.0,Kilis
2024-07-19,38.0,24.2,0.0,Kilis
2024-07-20,37.0,23.6,0.0,Kilis
2024-07-21,38.4,23.5,0.0,Kilis
2024-07-22,40.1,23.5,0.0,Kilis
2024-07-23,39.9,25.0,0.0,Kilis
2024-07-24,37.6,24.8,0.1,Kilis
2024-07-25,36.1,24.5,0.3,Kilis
2024-07-26,33.8,23.0,0.1,Kilis
2024-07-27,35.9,23.3,0.0,Kilis
2024-07-28,37.4,22.0,0.0,Kilis
2024-07-29,38.2,21.8,0.0,Kilis
2024-07-30,38.4,21.4,0.0,Kilis
2024-07-31,37.5,22.4,0.0,Kilis
2024-08-01,37.1,22.7,0.0,Kilis
2024-08-02,37.5,22.3,0.0,Kilis
2024-08-03,36.6,21.9,0.0,Kilis
2024-08-04,38.6,22.1,0.0,Kilis
2024-08-05,38.9,22.0,0.0,Kilis
2024-08-06,38.1,22.9,0.0,Kilis
2024-08-07,38.6,23.4,0.0,Kilis
2024-08-08,38.3,23.6,0.0,Kilis
2024-08-09,38.8,23.4,0.0,Kilis
2024-08-10,38.3,22.9,0.0,Kilis
2024-08-11,37.8,23.1,0.0,Kilis
2024-08-12,37.1,22.9,0.0,Kilis
2024-08-13,37.9,22.5,0.0,Kilis
2024-08-14,38.8,23.8,0.0,Kilis
2024-08-15,36.6,22.6,0.0,Kilis
2024-08-16,39.3,22.3,0.0,Kilis
2024-08-17,38.8,23.5,0.0,Kilis
2024-08-18,38.1,22.5,0.0,Kilis
2024-08-19,38.0,23.1,0.0,Kilis
2024-08-20,37.4,20.7,0.0,Kilis
2024-08-21,37.8,23.1,0.0,Kilis
2024-08-22,36.2,22.0,0.0,Kilis
2024-08-23,35.5,21.0,0.0,Kilis
2024-08-24,34.3,20.7,0.0,Kilis
2024-08-25,34.0,21.7,0.1,Kilis
2024-08-26,34.1,21.5,0.0,Kilis
2024-08-27,33.6,22.0,0.0,Kilis
2024-08-28,34.8,21.0,0.0,Kilis
2024-08-29,34.6,20.9,0.0,Kilis
2024-08-30,33.1,20.9,0.0,Kilis
2024-08-31,34.4,21.3,0.0,Kilis
2024-09-01,31.8,20.5,0.0,Kilis
2024-09-02,30.6,20.0,0.1,Kilis
2024-09-03,33.5,18.6,0.0,Kilis
2024-09-04,34.0,20.1,0.0,Kilis
2024-09-05,33.0,20.8,0.3,Kilis
2024-09-06,34.4,20.9,0.0,Kilis
2024-09-07,33.9,21.5,0.0,Kilis
2024-09-08,31.8,20.8,0.2,Kilis
2024-09-09,34.5,19.7,0.0,Kilis
2024-09-10,34.0,20.5,0.0,Kilis
2024-09-11,31.3,18.9,0.0,Kilis
2024-09-12,33.5,18.2,0.0,Kilis
2024-09-13,33.4,19.2,0.0,Kilis
2024-09-14,34.1,19.2,0.0,Kilis
2024-09-15,32.4,19.2,0.0,Kilis
2024-09-16,29.1,19.7,0.0,Kilis
2024-09-17,28.7,18.2,0.0,Kilis
2024-09-18,30.1,17.2,0.0,Kilis
2024-09-19,28.3,19.3,0.6,Kilis
2024-09-20,28.5,18.3,0.0,Kilis
2024-09-21,26.7,17.4,6.5,Kilis
2024-09-22,22.7,16.3,17.5,Kilis
2024-09-23,26.0,14.3,0.0,Kilis
2024-09-24,27.8,15.0,0.0,Kilis
2024-09-25,30.0,16.7,0.0,Kilis
2024-09-26,31.5,16.3,0.0,Kilis
2024-09-27,32.9,17.0,0.0,Kilis
2024-09-28,33.4,16.6,0.0,Kilis
2024-09-29,32.7,16.6,0.0,Kilis
2024-09-30,29.6,17.3,0.0,Kilis
2024-10-01,25.4,18.2,0.7,Kilis
2024-10-02,28.3,15.0,0.0,Kilis
2024-10-03,26.1,12.6,0.0,Kilis
2024-10-04,28.5,14.4,0.0,Kilis
2024-10-05,30.6,14.6,0.0,Kilis
2024-10-06,31.9,16.4,0.0,Kilis
2024-10-07,32.5,16.9,0.0,Kilis
2024-10-08,30.8,16.3,0.0,Kilis
2024-10-09,31.2,16.6,0.0,Kilis
2024-10-10,30.3,17.2,0.0,Kilis
2024-10-11,27.9,15.2,0.2,Kilis
2024-10-12,28.0,15.8,0.0,Kilis
2024-10-13,28.3,16.3,0.0,Kilis
2024-10-14,28.3,17.0,0.0,Kilis
2024-10-15,28.1,15.7,0.0,Kilis
2024-10-16,28.1,15.6,0.0,Kilis
2024-10-17,26.4,15.9,0.0,Kilis
2024-10-18,20.6,11.8,0.0,Kilis
2024-10-19,18.4,8.7,0.0,Kilis
2024-10-20,18.3,6.4,0.0,Kilis
2024-10-21,19.0,8.2,0.0,Kilis
2024-10-22,18.5,9.1,0.0,Kilis
2024-10-23,20.3,7.8,0.0,Kilis
2024-10-24,21.5,7.3,0.0,Kilis
2024-10-25,22.3,7.5,0.0,Kilis
2024-10-26,22.9,6.9,0.0,Kilis
2024-10-27,21.5,9.5,0.0,Kilis
2024-10-28,21.2,7.7,0.0,Kilis
2024-10-29,22.3,7.2,0.0,Kilis
2024-10-30,22.8,7.4,0.0,Kilis
2024-10-31,21.6,9.2,0.9,Kilis
2024-11-01,22.9,12.0,0.0,Kilis
2024-11-02,20.6,10.5,1.4,Kilis
2024-11-03,19.9,12.3,9.9,Kilis
2024-11-04,17.9,9.4,0.0,Kilis
2024-11-05,18.9,7.6,0.0,Kilis
2024-11-06,18.2,7.8,0.0,Kilis
2024-11-07,19.6,8.7,0.1,Kilis
2024-11-08,20.1,8.8,0.0,Kilis
2024-11-09,20.6,7.4,0.1,Kilis
2024-11-10,19.8,12.4,2.4,Kilis
2024-11-11,17.5,9.4,2.3,Kilis
2024-11-12,19.9,8.0,0.0,Kilis
2024-11-13,20.9,7.3,0.0,Kilis
2024-11-14,19.8,7.1,0.0,Kilis
2024-11-15,19.2,8.0,0.0,Kilis
2024-11-16,18.6,8.4,0.0,Kilis
2024-11-17,17.4,8.8,8.9,Kilis
2024-11-18,15.4,8.5,12.5,Kilis
2024-11-19,15.7,5.7,0.7,Kilis
2024-11-20,16.3,7.6,1.6,Kilis
2024-11-21,15.8,7.6,11.8,Kilis
2024-11-22,17.4,6.8,0.0,Kilis
2024-11-23,18.9,7.6,0.0,Kilis
2024-11-24,10.8,4.8,14.8,Kilis
2024-11-25,8.6,1.9,0.0,Kilis
2024-11-26,8.5,1.6,0.0,Kilis
2024-11-27,10.3,-0.4,0.0,Kilis
2024-11-28,11.1,0.2,0.0,Kilis
2024-11-29,10.8,-1.0,0.0,Kilis
2024-11-30,11.3,-0.0,0.0,Kilis
2024-12-01,12.5,-0.4,0.0,Kilis
2024-12-02,12.3,1.5,0.0,Kilis
2024-12-03,12.3,0.8,0.0,Kilis
2024-12-04,10.9,2.7,0.9,Kilis
2024-12-05,13.2,5.4,0.4,Kilis
2024-12-06,14.4,4.3,0.0,Kilis
2024-12-07,13.8,6.1,0.0,Kilis
2024-12-08,13.8,4.6,2.2,Kilis
2024-12-09,15.0,3.3,0.0,Kilis
2024-12-10,16.1,4.8,0.0,Kilis
2024-12-11,15.4,4.6,0.0,Kilis
2024-12-12,12.3,4.6,0.7,Kilis
2024-12-13,12.2,3.0,0.0,Kilis
2024-12-14,9.8,-0.6,0.0,Kilis
2024-12-15,8.3,-3.6,0.0,Kilis
2024-12-16,6.4,-2.5,2.6,Kilis
2024-12-17,9.5,-2.1,0.0,Kilis
2024-12-18,11.6,-0.1,0.0,Kilis
2024-12-19,12.4,-0.1,0.0,Kilis
2024-12-20,10.6,0.4,0.0,Kilis
2024-12-21,11.7,-0.1,0.0,Kilis
2024-12-22,9.4,4.8,4.7,Kilis
2024-12-23,7.4,6.1,9.6,Kilis
2024-12-24,12.7,5.2,6.4,Kilis
2024-12-25,13.4,5.9,0.0,Kilis
2024-12-26,9.0,5.3,30.4,Kilis
2024-12-27,8.4,3.9,4.7,Kilis
2024-12-28,11.4,2.5,0.0,Kilis
2024-12-29,8.9,3.8,4.0,Kilis
2024-12-30,8.8,5.4,11.0,Kilis
2024-12-31,11.2,3.0,0.6,Kilis
2025-01-01,12.3,0.4,0.0,Kilis
2025-01-02,12.7,-0.1,0.0,Kilis
2025-01-03,11.0,0.2,0.0,Kilis
2025-01-04,10.3,-0.2,0.0,Kilis
2025-01-05,8.1,2.7,0.2,Kilis
2025-01-06,10.8,1.5,0.0,Kilis
2025-01-07,11.9,-1.0,0.0,Kilis
2025-01-08,13.4,1.1,0.0,Kilis
2025-01-09,14.6,0.0,0.0,Kilis
2025-01-10,13.7,2.5,0.0,Kilis
2025-01-11,13.0,2.8,0.0,Kilis
2025-01-12,12.9,0.7,0.0,Kilis
2025-01-13,14.9,3.2,0.0,Kilis
2025-01-14,15.0,3.8,0.0,Kilis
2025-01-15,14.5,4.2,0.0,Kilis
2025-01-16,13.8,3.3,0.0,Kilis
2025-01-17,14.1,2.8,0.0,Kilis
2025-01-18,14.3,0.7,0.0,Kilis
2025-01-19,14.7,2.0,0.0,Kilis
2025-01-20,13.2,1.8,0.0,Kilis
2025-01-21,11.7,-1.4,0.0,Kilis
2025-01-22,9.1,-0.3,0.6,Kilis
2025-01-23,6.7,1.8,4.3,Kilis
2025-01-24,10.2,1.0,0.0,Kilis
2025-01-25,11.3,1.5,0.0,Kilis
2025-01-26,13.4,1.1,0.0,Kilis
2025-01-27,12.2,-0.1,0.4,Kilis
2025-01-28,14.1,0.8,0.0,Kilis
2025-01-29,14.4,1.0,0.0,Kilis
2025-01-30,14.9,1.9,0.0,Kilis
2025-01-31,14.1,0.4,0.0,Kilis
2025-02-01,15.4,0.1,0.0,Kilis
2025-02-02,15.4,1.8,0.0,Kilis
2025-02-03,15.3,2.4,0.0,Kilis
2025-02-04,14.9,1.4,0.0,Kilis
2025-02-05,10.2,3.1,0.8,Kilis
2025-02-06,8.5,-0.6,2.8,Kilis
2025-02-07,9.0,-3.0,6.9,Kilis
2025-02-08,12.2,-1.6,0.0,Kilis
