time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,12.3,10.1,12.2,Kocaeli
2024-05-02,14.1,9.6,2.4,Kocaeli
2024-05-03,18.3,8.5,10.9,Kocaeli
2024-05-04,15.5,7.8,4.7,Kocaeli
2024-05-05,13.5,6.5,0.4,Kocaeli
2024-05-06,16.3,4.8,0.0,Kocaeli
2024-05-07,20.4,7.1,0.0,Kocaeli
2024-05-08,23.1,13.5,0.0,Kocaeli
2024-05-09,18.3,11.2,0.1,Kocaeli
2024-05-10,16.2,10.5,7.2,Kocaeli
2024-05-11,12.6,8.3,3.0,Kocaeli
2024-05-12,17.9,7.1,0.0,Kocaeli
2024-05-13,11.4,6.0,17.6,Kocaeli
2024-05-14,14.6,5.0,0.0,Kocaeli
2024-05-15,15.3,6.0,0.0,Kocaeli
2024-05-16,15.8,7.4,0.0,Kocaeli
2024-05-17,19.0,8.3,7.6,Kocaeli
2024-05-18,19.7,9.4,0.0,Kocaeli
2024-05-19,20.0,10.9,0.3,Kocaeli
2024-05-20,19.8,10.4,0.0,Kocaeli
2024-05-21,20.6,10.1,0.0,Kocaeli
2024-05-22,25.2,11.0,0.0,Kocaeli
2024-05-23,20.5,12.4,13.2,Kocaeli
2024-05-24,18.6,12.1,7.0,Kocaeli
2024-05-25,18.5,11.6,0.4,Kocaeli
2024-05-26,18.0,11.6,0.3,Kocaeli
2024-05-27,15.9,9.9,0.3,Kocaeli
2024-05-28,17.5,9.6,2.0,Kocaeli
2024-05-29,22.4,10.7,0.0,Kocaeli
2024-05-30,24.4,13.2,0.0,Kocaeli
2024-05-31,25.0,16.3,0.0,Kocaeli
2024-06-01,27.3,15.7,0.0,Kocaeli
2024-06-02,30.1,19.2,0.0,Kocaeli
2024-06-03,30.5,18.1,0.0,Kocaeli
2024-06-04,33.4,19.1,0.2,Kocaeli
2024-06-05,28.2,19.8,0.0,Kocaeli
2024-06-06,27.3,18.6,0.0,Kocaeli
2024-06-07,26.5,18.1,0.0,Kocaeli
2024-06-08,24.0,16.7,0.0,Kocaeli
2024-06-09,26.4,16.2,0.0,Kocaeli
