time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,22.0,11.9,4.3,Konya
2024-05-02,24.1,9.5,0.6,Konya
2024-05-03,21.1,7.8,0.3,Konya
2024-05-04,21.2,8.1,4.8,Konya
2024-05-05,12.7,6.3,19.4,Konya
2024-05-06,15.7,5.0,0.0,Konya
2024-05-07,18.8,0.9,0.0,Konya
2024-05-08,23.7,4.9,0.0,Konya
2024-05-09,23.6,8.1,0.0,Konya
2024-05-10,27.7,7.5,0.0,Konya
2024-05-11,19.9,10.3,2.3,Konya
2024-05-12,15.9,9.2,6.5,Konya
2024-05-13,17.2,8.6,0.4,Konya
2024-05-14,16.5,3.9,0.0,Konya
2024-05-15,21.4,7.6,0.0,Konya
2024-05-16,22.7,6.2,0.0,Konya
2024-05-17,26.1,8.4,0.8,Konya
2024-05-18,28.5,11.8,3.2,Konya
2024-05-19,26.2,12.4,0.0,Konya
2024-05-20,28.2,12.7,0.2,Konya
2024-05-21,29.8,12.2,0.0,Konya
2024-05-22,31.4,12.1,0.3,Konya
2024-05-23,28.4,11.5,0.1,Konya
2024-05-24,19.7,11.0,4.3,Konya
2024-05-25,23.2,9.8,0.0,Konya
2024-05-26,24.3,8.3,0.3,Konya
2024-05-27,20.9,10.7,0.8,Konya
2024-05-28,20.1,9.3,3.7,Konya
2024-05-29,24.2,8.9,3.3,Konya
2024-05-30,24.3,9.5,0.0,Konya
2024-05-31,23.7,9.0,1.3,Konya
2024-06-01,28.8,9.4,0.0,Konya
2024-06-02,29.9,12.0,0.0,Konya
2024-06-03,31.8,16.4,0.0,Konya
2024-06-04,33.6,16.3,0.0,Konya
2024-06-05,34.8,16.0,0.0,Konya
2024-06-06,33.7,17.0,0.0,Konya
2024-06-07,31.2,17.2,0.0,Konya
2024-06-08,26.8,14.8,1.3,Konya
2024-06-09,27.1,13.7,0.0,Konya
2024-06-10,29.4,14.2,0.0,Konya
2024-06-11,33.4,13.4,0.0,Konya
2024-06-12,37.2,16.0,0.0,Konya
2024-06-13,36.8,17.4,0.1,Konya
2024-06-14,36.7,18.7,0.2,Konya
2024-06-15,29.4,18.7,0.0,Konya
2024-06-16,31.9,15.0,0.0,Konya
2024-06-17,33.7,17.4,0.0,Konya
2024-06-18,34.5,20.4,0.0,Konya
2024-06-19,34.4,20.5,0.0,Konya
2024-06-20,34.5,19.2,0.0,Konya
2024-06-21,32.1,19.6,0.0,Konya
2024-06-22,32.6,18.3,0.0,Konya
2024-06-23,34.2,18.4,0.0,Konya
2024-06-24,35.9,16.5,0.0,Konya
2024-06-25,37.3,18.0,0.0,Konya
2024-06-26,32.5,20.8,0.0,Konya
2024-06-27,32.3,17.5,0.0,Konya
2024-06-28,35.1,16.4,0.0,Konya
2024-06-29,30.0,20.0,0.0,Konya
2024-06-30,28.1,17.0,0.0,Konya
2024-07-01,28.8,16.8,0.0,Konya
2024-07-02,30.6,16.3,0.0,Konya
2024-07-03,37.2,15.6,0.3,Konya
2024-07-04,33.3,16.5,0.0,Konya
2024-07-05,30.8,16.6,0.0,Konya
2024-07-06,28.3,17.7,0.0,Konya
2024-07-07,31.7,18.4,0.0,Konya
2024-07-08,32.8,18.9,0.0,Konya
2024-07-09,31.3,21.1,0.0,Konya
2024-07-10,32.2,20.7,0.3,Konya
2024-07-11,31.9,16.3,0.1,Konya
2024-07-12,33.3,16.7,0.0,Konya
2024-07-13,33.0,18.2,0.0,Konya
2024-07-14,30.6,20.4,0.1,Konya
2024-07-15,32.1,19.8,0.0,Konya
2024-07-16,32.8,18.4,0.0,Konya
2024-07-17,32.7,21.1,0.0,Konya
2024-07-18,32.7,19.9,0.0,Konya
2024-07-19,32.4,22.0,0.0,Konya
2024-07-20,31.9,20.4,0.0,Konya
2024-07-21,34.3,19.7,0.0,Konya
2024-07-22,35.7,19.2,0.0,Konya
2024-07-23,36.1,21.8,0.0,Konya
2024-07-24,33.3,20.2,0.0,Konya
2024-07-25,32.7,21.6,0.7,Konya
2024-07-26,28.9,18.4,1.2,Konya
2024-07-27,28.4,16.0,0.0,Konya
2024-07-28,30.1,17.0,0.0,Konya
2024-07-29,30.3,16.3,0.0,Konya
2024-07-30,31.0,17.0,0.0,Konya
2024-07-31,29.7,18.6,0.0,Konya
2024-08-01,30.6,17.6,0.0,Konya
2024-08-02,32.5,16.0,0.0,Konya
2024-08-03,35.3,15.2,0.0,Konya
2024-08-04,34.2,18.4,0.0,Konya
2024-08-05,33.9,20.2,0.0,Konya
2024-08-06,33.7,18.4,0.0,Konya
2024-08-07,32.6,20.3,0.0,Konya
2024-08-08,33.6,19.0,0.0,Konya
2024-08-09,35.0,20.2,0.0,Konya
2024-08-10,32.7,21.5,0.2,Konya
2024-08-11,30.5,20.0,0.0,Konya
2024-08-12,30.0,18.1,0.0,Konya
2024-08-13,31.6,17.6,0.0,Konya
2024-08-14,34.2,19.3,0.0,Konya
2024-08-15,32.9,19.5,0.0,Konya
2024-08-16,29.7,19.1,0.0,Konya
2024-08-17,27.2,14.9,0.0,Konya
2024-08-18,32.1,14.9,0.0,Konya
2024-08-19,35.2,16.0,0.0,Konya
2024-08-20,35.9,18.0,0.0,Konya
2024-08-21,37.3,19.1,0.0,Konya
2024-08-22,33.8,17.3,0.0,Konya
2024-08-23,32.7,21.2,0.0,Konya
2024-08-24,28.1,18.7,0.6,Konya
2024-08-25,28.2,17.1,0.0,Konya
2024-08-26,29.8,15.2,0.2,Konya
2024-08-27,30.6,15.6,0.0,Konya
2024-08-28,29.6,14.7,0.0,Konya
2024-08-29,30.9,17.7,0.2,Konya
2024-08-30,29.2,14.3,0.0,Konya
2024-08-31,29.7,16.2,0.0,Konya
2024-09-01,28.6,15.0,5.7,Konya
2024-09-02,27.9,13.9,0.1,Konya
2024-09-03,27.8,15.5,1.3,Konya
2024-09-04,29.3,15.2,0.4,Konya
2024-09-05,28.8,17.4,0.0,Konya
2024-09-06,29.0,15.3,0.0,Konya
2024-09-07,29.0,13.6,0.0,Konya
2024-09-08,29.0,15.0,0.8,Konya
2024-09-09,28.7,12.7,0.0,Konya
2024-09-10,30.7,13.6,0.0,Konya
2024-09-11,29.6,12.1,0.1,Konya
2024-09-12,29.1,14.2,0.0,Konya
2024-09-13,30.8,14.9,0.0,Konya
2024-09-14,30.6,14.3,0.0,Konya
2024-09-15,32.2,17.7,0.0,Konya
2024-09-16,26.9,15.6,0.0,Konya
2024-09-17,27.3,15.0,0.0,Konya
2024-09-18,27.8,14.1,0.0,Konya
2024-09-19,24.7,15.1,0.0,Konya
2024-09-20,24.4,13.6,6.1,Konya
2024-09-21,24.5,12.7,7.0,Konya
2024-09-22,18.2,12.5,2.1,Konya
2024-09-23,19.7,9.2,0.0,Konya
2024-09-24,21.0,9.1,0.0,Konya
2024-09-25,22.7,8.1,0.0,Konya
2024-09-26,24.7,9.4,0.0,Konya
2024-09-27,26.1,10.5,0.0,Konya
2024-09-28,27.0,11.0,0.0,Konya
2024-09-29,28.5,9.5,0.0,Konya
2024-09-30,29.2,9.8,11.3,Konya
2024-10-01,17.9,8.1,0.3,Konya
2024-10-02,18.4,6.0,0.0,Konya
2024-10-03,23.0,7.4,0.0,Konya
2024-10-04,24.7,7.8,0.0,Konya
2024-10-05,24.9,9.5,0.0,Konya
2024-10-06,27.2,8.2,0.0,Konya
2024-10-07,27.3,8.9,0.0,Konya
2024-10-08,25.5,9.3,0.0,Konya
2024-10-09,28.7,12.1,0.0,Konya
2024-10-10,28.4,7.8,0.0,Konya
2024-10-11,26.0,11.0,0.0,Konya
2024-10-12,28.7,9.8,0.0,Konya
2024-10-13,24.3,11.9,0.0,Konya
2024-10-14,24.1,11.2,0.0,Konya
2024-10-15,23.3,11.4,0.0,Konya
2024-10-16,23.5,9.6,0.0,Konya
2024-10-17,16.5,8.2,0.0,Konya
2024-10-18,13.2,3.0,0.0,Konya
2024-10-19,13.7,2.1,0.0,Konya
2024-10-20,13.6,-0.3,0.0,Konya
2024-10-21,13.3,1.2,0.0,Konya
2024-10-22,14.1,4.5,0.0,Konya
2024-10-23,14.2,2.0,0.0,Konya
2024-10-24,16.4,1.5,0.0,Konya
2024-10-25,14.5,1.8,0.0,Konya
2024-10-26,15.9,2.2,0.0,Konya
2024-10-27,16.6,2.9,0.0,Konya
2024-10-28,17.0,1.3,0.0,Konya
2024-10-29,17.3,2.3,0.0,Konya
2024-10-30,16.0,6.4,0.0,Konya
2024-10-31,15.1,2.7,0.0,Konya
2024-11-01,15.9,2.0,0.0,Konya
2024-11-02,18.8,3.2,0.0,Konya
2024-11-03,16.6,1.9,0.0,Konya
2024-11-04,12.6,3.0,0.0,Konya
2024-11-05,11.7,1.6,0.0,Konya
2024-11-06,11.9,-0.5,0.0,Konya
2024-11-07,11.6,-1.2,0.0,Konya
2024-11-08,12.6,-0.5,0.0,Konya
2024-11-09,12.0,-1.1,0.0,Konya
2024-11-10,10.3,0.6,3.9,Konya
2024-11-11,15.0,3.6,0.0,Konya
2024-11-12,16.0,1.6,0.0,Konya
2024-11-13,15.5,-0.4,0.0,Konya
2024-11-14,16.2,1.7,0.0,Konya
2024-11-15,18.4,1.9,0.0,Konya
2024-11-16,16.3,2.6,0.0,Konya
2024-11-17,14.2,6.1,4.6,Konya
2024-11-18,12.5,2.8,0.0,Konya
2024-11-19,13.1,2.4,0.1,Konya
2024-11-20,15.8,0.8,0.0,Konya
2024-11-21,17.5,2.0,0.1,Konya
2024-11-22,18.8,7.1,0.1,Konya
2024-11-23,18.7,3.0,8.6,Konya
2024-11-24,1.8,-3.3,10.4,Konya
2024-11-25,-0.6,-5.0,0.1,Konya
2024-11-26,1.4,-6.6,0.6,Konya
2024-11-27,4.1,-3.5,0.0,Konya
2024-11-28,6.4,-3.0,0.0,Konya
2024-11-29,6.6,-3.8,0.0,Konya
2024-11-30,7.8,-4.2,0.0,Konya
2024-12-01,8.3,-3.8,0.0,Konya
2024-12-02,8.0,-4.0,0.0,Konya
2024-12-03,5.7,-2.8,1.6,Konya
2024-12-04,10.7,-0.7,0.1,Konya
2024-12-05,8.8,2.0,4.7,Konya
2024-12-06,8.6,0.6,0.0,Konya
2024-12-07,9.3,-0.9,0.7,Konya
2024-12-08,13.1,2.9,0.2,Konya
2024-12-09,15.3,1.5,0.0,Konya
2024-12-10,13.7,2.2,0.0,Konya
2024-12-11,16.0,1.1,0.0,Konya
2024-12-12,11.1,2.0,2.8,Konya
2024-12-13,5.3,-1.6,0.0,Konya
2024-12-14,3.3,-3.4,0.0,Konya
2024-12-15,10.3,-4.6,0.0,Konya
2024-12-16,5.6,-0.6,5.5,Konya
2024-12-17,6.6,-3.0,0.0,Konya
2024-12-18,8.2,-3.6,0.0,Konya
2024-12-19,8.2,-3.8,0.0,Konya
2024-12-20,8.1,-2.4,0.0,Konya
2024-12-21,10.9,-3.7,0.6,Konya
2024-12-22,10.9,-1.3,2.2,Konya
