time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,21.1,10.4,0.1,Kütahya
2024-05-02,20.5,10.7,0.3,Kütahya
2024-05-03,20.2,6.7,0.5,Kütahya
2024-05-04,17.2,5.1,4.7,Kütahya
2024-05-05,14.4,4.6,1.4,Kütahya
2024-05-06,17.9,1.0,0.0,Kütahya
2024-05-07,21.4,4.9,0.0,Kütahya
2024-05-08,23.8,5.3,0.0,Kütahya
2024-05-09,22.3,10.5,0.5,Kütahya
2024-05-10,22.9,8.9,1.3,Kütahya
2024-05-11,16.0,7.7,4.2,Kütahya
2024-05-12,13.2,6.7,0.5,Kütahya
2024-05-13,16.2,5.5,2.3,Kütahya
2024-05-14,15.4,1.0,0.0,Kütahya
2024-05-15,19.0,3.5,0.0,Kütahya
2024-05-16,21.3,5.2,0.0,Kütahya
2024-05-17,26.4,8.4,0.0,Kütahya
2024-05-18,26.3,11.2,0.0,Kütahya
2024-05-19,26.8,11.4,0.0,Kütahya
2024-05-20,26.6,12.7,0.6,Kütahya
2024-05-21,28.1,12.4,0.0,Kütahya
2024-05-22,28.6,12.1,0.5,Kütahya
2024-05-23,27.1,12.2,5.7,Kütahya
2024-05-24,18.8,10.7,3.2,Kütahya
2024-05-25,20.2,6.9,0.5,Kütahya
2024-05-26,21.5,7.8,0.0,Kütahya
2024-05-27,19.7,8.9,0.0,Kütahya
2024-05-28,22.4,7.5,0.0,Kütahya
2024-05-29,24.4,9.8,0.0,Kütahya
2024-05-30,23.4,12.0,2.5,Kütahya
2024-05-31,25.2,8.8,0.3,Kütahya
2024-06-01,28.7,10.8,0.0,Kütahya
2024-06-02,30.1,15.4,0.0,Kütahya
2024-06-03,32.2,17.1,0.0,Kütahya
2024-06-04,34.6,17.1,0.2,Kütahya
2024-06-05,32.3,15.7,0.0,Kütahya
2024-06-06,32.9,16.7,2.6,Kütahya
2024-06-07,25.5,17.0,1.7,Kütahya
2024-06-08,27.1,13.4,0.2,Kütahya
2024-06-09,28.0,11.9,0.0,Kütahya
2024-06-10,31.1,16.1,0.0,Kütahya
2024-06-11,35.0,14.9,0.0,Kütahya
2024-06-12,35.6,17.4,0.0,Kütahya
2024-06-13,35.9,17.7,0.0,Kütahya
2024-06-14,34.7,18.3,0.2,Kütahya
2024-06-15,26.2,15.5,0.0,Kütahya
2024-06-16,29.0,11.7,0.0,Kütahya
2024-06-17,31.0,13.0,0.0,Kütahya
2024-06-18,33.0,15.0,0.0,Kütahya
2024-06-19,32.4,15.2,0.1,Kütahya
2024-06-20,33.1,16.0,0.0,Kütahya
2024-06-21,32.3,14.9,0.0,Kütahya
2024-06-22,31.9,15.0,0.0,Kütahya
2024-06-23,35.6,15.0,0.0,Kütahya
2024-06-24,38.5,18.8,0.0,Kütahya
2024-06-25,31.8,17.7,0.0,Kütahya
2024-06-26,29.1,14.4,0.0,Kütahya
2024-06-27,33.6,13.2,0.0,Kütahya
2024-06-28,33.0,17.4,0.1,Kütahya
2024-06-29,26.9,15.7,0.5,Kütahya
2024-06-30,28.3,13.9,0.0,Kütahya
2024-07-01,29.9,12.6,0.0,Kütahya
2024-07-02,32.6,15.3,0.0,Kütahya
2024-07-03,35.8,17.3,0.7,Kütahya
2024-07-04,30.2,17.3,2.3,Kütahya
2024-07-05,25.0,16.1,0.5,Kütahya
2024-07-06,27.3,13.8,0.0,Kütahya
2024-07-07,31.6,16.2,0.0,Kütahya
2024-07-08,32.1,15.3,0.0,Kütahya
2024-07-09,29.7,16.0,1.2,Kütahya
2024-07-10,29.4,17.0,0.3,Kütahya
2024-07-11,30.3,17.1,1.8,Kütahya
2024-07-12,30.5,17.2,0.0,Kütahya
2024-07-13,29.9,17.9,0.6,Kütahya
2024-07-14,29.0,16.9,0.0,Kütahya
2024-07-15,29.5,13.6,0.0,Kütahya
2024-07-16,32.2,15.3,0.0,Kütahya
2024-07-17,30.1,18.9,0.4,Kütahya
2024-07-18,32.9,18.1,0.1,Kütahya
2024-07-19,34.3,17.0,0.0,Kütahya
2024-07-20,33.0,17.6,0.2,Kütahya
2024-07-21,35.4,19.5,0.0,Kütahya
2024-07-22,35.0,20.0,0.0,Kütahya
2024-07-23,34.3,19.8,0.0,Kütahya
2024-07-24,31.0,17.3,0.0,Kütahya
2024-07-25,29.4,18.0,5.5,Kütahya
2024-07-26,26.7,17.0,1.7,Kütahya
2024-07-27,26.2,12.7,0.0,Kütahya
2024-07-28,31.0,14.4,0.0,Kütahya
2024-07-29,32.3,14.5,0.0,Kütahya
2024-07-30,30.0,15.0,0.0,Kütahya
2024-07-31,28.4,14.5,0.0,Kütahya
2024-08-01,31.2,12.9,0.0,Kütahya
2024-08-02,34.1,16.3,0.0,Kütahya
2024-08-03,35.1,17.9,0.0,Kütahya
2024-08-04,33.8,18.6,0.0,Kütahya
2024-08-05,30.2,17.1,8.1,Kütahya
2024-08-06,31.0,15.3,0.0,Kütahya
2024-08-07,30.1,15.4,0.0,Kütahya
2024-08-08,31.9,14.5,0.0,Kütahya
2024-08-09,32.6,15.1,0.0,Kütahya
2024-08-10,28.4,16.8,0.5,Kütahya
2024-08-11,30.0,17.2,0.9,Kütahya
2024-08-12,31.5,14.7,0.0,Kütahya
2024-08-13,34.2,15.1,0.0,Kütahya
2024-08-14,35.4,17.7,0.0,Kütahya
2024-08-15,33.3,16.6,0.0,Kütahya
2024-08-16,30.1,13.3,0.0,Kütahya
2024-08-17,29.7,12.9,0.0,Kütahya
2024-08-18,32.5,13.0,0.0,Kütahya
2024-08-19,35.1,14.5,0.0,Kütahya
2024-08-20,36.3,16.3,0.0,Kütahya
2024-08-21,35.3,17.4,0.0,Kütahya
2024-08-22,29.3,17.3,0.2,Kütahya
2024-08-23,29.8,16.0,0.0,Kütahya
2024-08-24,28.9,14.3,0.0,Kütahya
2024-08-25,30.4,13.6,0.0,Kütahya
2024-08-26,30.3,15.2,0.0,Kütahya
2024-08-27,29.0,13.5,4.2,Kütahya
2024-08-28,27.5,14.5,0.0,Kütahya
2024-08-29,28.7,14.1,0.2,Kütahya
2024-08-30,28.4,13.2,0.0,Kütahya
2024-08-31,28.7,15.4,0.6,Kütahya
2024-09-01,27.9,15.3,1.0,Kütahya
2024-09-02,25.9,15.5,6.6,Kütahya
2024-09-03,25.5,14.5,1.6,Kütahya
2024-09-04,26.6,15.5,0.1,Kütahya
2024-09-05,26.8,12.9,0.0,Kütahya
2024-09-06,26.8,13.2,0.0,Kütahya
2024-09-07,26.8,13.2,1.6,Kütahya
2024-09-08,24.4,14.3,0.9,Kütahya
2024-09-09,27.8,12.2,0.0,Kütahya
2024-09-10,30.1,14.0,0.2,Kütahya
2024-09-11,28.1,14.7,0.7,Kütahya
2024-09-12,27.6,14.2,0.1,Kütahya
2024-09-13,30.1,13.0,0.0,Kütahya
2024-09-14,29.7,12.3,0.0,Kütahya
2024-09-15,27.8,13.1,0.0,Kütahya
2024-09-16,24.6,13.0,0.0,Kütahya
2024-09-17,25.2,11.5,0.0,Kütahya
2024-09-18,25.5,11.2,0.0,Kütahya
2024-09-19,23.3,11.7,0.0,Kütahya
2024-09-20,23.2,10.3,2.3,Kütahya
2024-09-21,21.2,11.3,2.5,Kütahya
2024-09-22,19.7,11.4,0.2,Kütahya
2024-09-23,19.9,8.9,0.0,Kütahya
2024-09-24,24.8,8.0,0.0,Kütahya
2024-09-25,25.1,11.7,0.0,Kütahya
2024-09-26,27.5,11.2,0.0,Kütahya
2024-09-27,29.4,12.2,0.0,Kütahya
2024-09-28,30.5,11.9,0.0,Kütahya
2024-09-29,30.7,12.3,0.0,Kütahya
2024-09-30,18.2,9.1,10.9,Kütahya
2024-10-01,16.1,8.1,0.0,Kütahya
2024-10-02,17.7,8.5,0.0,Kütahya
2024-10-03,24.3,7.2,0.0,Kütahya
2024-10-04,26.5,7.8,0.0,Kütahya
2024-10-05,27.7,10.5,0.0,Kütahya
2024-10-06,26.8,11.0,0.0,Kütahya
2024-10-07,25.3,11.0,0.0,Kütahya
2024-10-08,26.1,11.4,0.0,Kütahya
2024-10-09,27.5,10.1,0.0,Kütahya
2024-10-10,26.0,10.0,0.0,Kütahya
2024-10-11,26.5,10.2,0.0,Kütahya
2024-10-12,27.5,12.3,0.0,Kütahya
2024-10-13,22.6,12.9,1.5,Kütahya
2024-10-14,20.6,10.3,0.0,Kütahya
2024-10-15,22.6,6.5,0.0,Kütahya
2024-10-16,19.8,8.0,0.1,Kütahya
2024-10-17,13.6,6.4,0.1,Kütahya
2024-10-18,11.0,2.9,0.0,Kütahya
2024-10-19,11.8,2.6,0.1,Kütahya
2024-10-20,14.6,1.4,0.0,Kütahya
2024-10-21,13.0,1.6,0.0,Kütahya
2024-10-22,14.5,0.7,0.0,Kütahya
2024-10-23,18.3,2.1,0.0,Kütahya
2024-10-24,17.9,3.4,0.0,Kütahya
2024-10-25,16.6,2.9,0.0,Kütahya
2024-10-26,18.7,2.3,0.0,Kütahya
2024-10-27,20.5,3.0,0.0,Kütahya
2024-10-28,19.5,5.2,0.0,Kütahya
2024-10-29,18.6,6.2,0.0,Kütahya
2024-10-30,14.6,3.9,0.0,Kütahya
2024-10-31,14.7,5.2,0.3,Kütahya
2024-11-01,17.8,4.3,0.0,Kütahya
2024-11-02,19.9,2.3,0.0,Kütahya
2024-11-03,13.2,3.4,0.4,Kütahya
2024-11-04,11.8,-0.8,0.0,Kütahya
2024-11-05,10.1,-1.3,0.0,Kütahya
2024-11-06,13.1,0.2,0.0,Kütahya
2024-11-07,13.4,-1.8,0.0,Kütahya
2024-11-08,15.0,0.1,0.0,Kütahya
2024-11-09,14.5,1.1,0.0,Kütahya
2024-11-10,14.2,-1.7,0.0,Kütahya
2024-11-11,13.9,2.0,0.0,Kütahya
2024-11-12,16.8,-0.2,0.0,Kütahya
2024-11-13,17.4,0.9,0.0,Kütahya
2024-11-14,16.1,4.3,1.3,Kütahya
2024-11-15,14.4,5.0,0.5,Kütahya
2024-11-16,10.8,4.2,2.2,Kütahya
2024-11-17,14.1,3.8,1.7,Kütahya
2024-11-18,12.1,6.0,0.5,Kütahya
2024-11-19,12.8,2.7,0.2,Kütahya
2024-11-20,14.3,0.4,0.0,Kütahya
2024-11-21,16.2,6.1,4.0,Kütahya
2024-11-22,17.4,8.1,1.8,Kütahya
2024-11-23,15.6,-1.1,18.7,Kütahya
2024-11-24,-0.6,-3.1,0.8,Kütahya
2024-11-25,-0.0,-3.3,0.2,Kütahya
2024-11-26,1.9,-4.0,0.0,Kütahya
2024-11-27,2.8,-6.6,0.0,Kütahya
2024-11-28,5.0,-3.4,0.0,Kütahya
2024-11-29,8.7,-4.0,0.0,Kütahya
2024-11-30,11.4,-1.4,0.0,Kütahya
2024-12-01,11.1,-0.4,0.0,Kütahya
2024-12-02,11.6,-1.6,0.1,Kütahya
2024-12-03,7.6,-1.4,2.3,Kütahya
2024-12-04,7.3,1.3,2.0,Kütahya
2024-12-05,10.4,-0.7,0.0,Kütahya
2024-12-06,10.6,-1.8,0.0,Kütahya
2024-12-07,9.4,-0.6,1.0,Kütahya
2024-12-08,12.1,2.5,0.2,Kütahya
2024-12-09,15.0,8.2,0.4,Kütahya
2024-12-10,15.0,6.8,0.5,Kütahya
2024-12-11,11.4,3.2,2.4,Kütahya
2024-12-12,8.0,1.9,0.7,Kütahya
2024-12-13,4.1,0.1,0.0,Kütahya
2024-12-14,6.2,-2.0,0.0,Kütahya
2024-12-15,8.6,-2.2,7.9,Kütahya
2024-12-16,4.2,-1.6,5.1,Kütahya
2024-12-17,9.7,-3.2,0.0,Kütahya
2024-12-18,10.6,-2.5,0.0,Kütahya
2024-12-19,9.3,-2.0,0.0,Kütahya
2024-12-20,10.9,-1.9,0.0,Kütahya
2024-12-21,11.3,3.2,10.1,Kütahya
2024-12-22,7.4,0.3,0.8,Kütahya
2024-12-23,10.5,-0.5,0.0,Kütahya
2024-12-24,10.3,2.4,1.2,Kütahya
2024-12-25,8.8,2.8,10.3,Kütahya
2024-12-26,10.2,1.9,0.0,Kütahya
2024-12-27,4.6,-0.4,3.2,Kütahya
2024-12-28,4.1,-1.0,2.5,Kütahya
2024-12-29,3.7,0.8,10.1,Kütahya
2024-12-30,2.8,1.3,2.3,Kütahya
2024-12-31,5.6,-2.8,0.0,Kütahya
2025-01-01,9.4,-3.5,0.0,Kütahya
2025-01-02,9.6,-3.2,0.0,Kütahya
2025-01-03,8.8,-3.0,0.1,Kütahya
2025-01-04,10.6,4.4,2.0,Kütahya
2025-01-05,9.8,-0.0,1.7,Kütahya
2025-01-06,10.5,-2.4,0.0,Kütahya
2025-01-07,13.1,-0.4,0.0,Kütahya
2025-01-08,12.3,0.5,0.0,Kütahya
2025-01-09,11.4,0.6,0.0,Kütahya
2025-01-10,12.1,-1.6,0.0,Kütahya
2025-01-11,11.2,-1.2,0.0,Kütahya
2025-01-12,11.8,2.2,7.3,Kütahya
2025-01-13,9.2,4.9,5.6,Kütahya
2025-01-14,5.5,2.3,5.2,Kütahya
2025-01-15,10.9,2.2,5.3,Kütahya
2025-01-16,5.4,0.5,0.8,Kütahya
2025-01-17,6.7,-1.4,0.0,Kütahya
2025-01-18,9.2,-2.9,0.0,Kütahya
2025-01-19,10.3,-1.5,0.0,Kütahya
2025-01-20,9.4,-2.0,0.0,Kütahya
2025-01-21,11.8,-2.7,0.0,Kütahya
2025-01-22,11.1,1.4,1.5,Kütahya
2025-01-23,9.3,-0.6,0.9,Kütahya
2025-01-24,11.9,-1.4,0.0,Kütahya
2025-01-25,6.3,-0.5,16.4,Kütahya
2025-01-26,10.8,-0.5,0.0,Kütahya
2025-01-27,11.7,-0.6,0.0,Kütahya
2025-01-28,13.1,-1.3,0.0,Kütahya
2025-01-29,13.0,-1.1,0.0,Kütahya
2025-01-30,12.0,-0.9,0.0,Kütahya
2025-01-31,12.2,-0.3,0.0,Kütahya
2025-02-01,11.3,-0.3,0.0,Kütahya
2025-02-02,10.8,-0.6,0.0,Kütahya
2025-02-03,12.4,-2.2,0.0,Kütahya
2025-02-04,3.2,-2.0,2.5,Kütahya
2025-02-05,0.6,-3.9,0.2,Kütahya
2025-02-06,0.2,-4.4,0.8,Kütahya
2025-02-07,0.3,-4.6,0.0,Kütahya
2025-02-08,1.5,-2.9,0.0,Kütahya
2025-02-09,0.4,-3.1,0.3,Kütahya
2025-02-10,1.0,-4.4,0.1,Kütahya
2025-02-11,1.0,-5.5,0.0,Kütahya
2025-02-12,1.2,-5.7,0.0,Kütahya
2025-02-13,3.5,-4.3,0.5,Kütahya
2025-02-14,9.6,-5.6,0.1,Kütahya
2025-02-15,11.3,-1.7,0.7,Kütahya
2025-02-16,11.7,-1.8,0.1,Kütahya
2025-02-17,12.1,-1.2,3.7,Kütahya
2025-02-18,8.4,1.9,10.0,Kütahya
2025-02-19,2.9,-2.3,2.1,Kütahya
2025-02-20,-1.4,-5.9,0.0,Kütahya
2025-02-21,-0.9,-7.0,0.1,Kütahya
2025-02-22,-2.1,-7.9,0.2,Kütahya
2025-02-23,-1.8,-9.0,0.0,Kütahya
2025-02-24,1.1,-9.9,0.0,Kütahya
2025-02-25,6.5,-8.3,0.0,Kütahya
2025-02-26,9.5,-2.5,0.0,Kütahya
2025-02-27,10.4,-3.6,0.2,Kütahya
2025-02-28,9.0,0.1,4.6,Kütahya
2025-03-01,12.3,-1.0,0.0,Kütahya
2025-03-02,13.6,-0.6,0.3,Kütahya
2025-03-03,4.2,-1.5,3.0,Kütahya
2025-03-04,9.3,-3.2,0.4,Kütahya
2025-03-05,14.1,-3.9,0.0,Kütahya
2025-03-06,16.4,0.2,0.0,Kütahya
2025-03-07,17.5,0.9,0.0,Kütahya
2025-03-08,16.6,-0.1,0.0,Kütahya
2025-03-09,18.8,1.3,0.0,Kütahya
2025-03-10,18.7,0.0,0.0,Kütahya
2025-03-11,20.2,1.1,0.0,Kütahya
2025-03-12,22.0,3.8,0.0,Kütahya
2025-03-13,20.7,5.3,0.0,Kütahya
2025-03-14,23.8,6.1,0.0,Kütahya
2025-03-15,25.8,5.9,0.0,Kütahya
2025-03-16,26.5,8.2,0.0,Kütahya
2025-03-17,20.4,8.8,0.0,Kütahya
2025-03-18,11.2,0.4,4.8,Kütahya
2025-03-19,0.7,-3.3,0.2,Kütahya
2025-03-20,3.4,-3.8,0.4,Kütahya
2025-03-21,5.0,-2.9,0.4,Kütahya
2025-03-22,12.0,-4.2,0.0,Kütahya
2025-03-23,17.5,-2.7,0.4,Kütahya
2025-03-24,16.0,4.3,3.0,Kütahya
2025-03-25,23.2,8.6,0.0,Kütahya
2025-03-26,22.0,5.8,0.0,Kütahya
2025-03-27,23.9,7.1,0.0,Kütahya
2025-03-28,24.4,10.9,0.2,Kütahya
2025-03-29,18.6,6.6,1.2,Kütahya
2025-03-30,15.3,4.9,5.0,Kütahya
2025-03-31,17.5,3.2,2.5,Kütahya
2025-04-01,14.6,6.0,8.8,Kütahya
2025-04-02,16.0,5.5,12.4,Kütahya
2025-04-03,11.4,6.0,1.2,Kütahya
2025-04-04,12.8,4.3,0.1,Kütahya
2025-04-05,13.5,2.9,5.3,Kütahya
