time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,17.8,12.1,3.0,Kırklareli
2024-05-02,18.7,9.4,1.3,Kırklareli
2024-05-03,17.0,8.3,13.8,Kırklareli
2024-05-04,16.7,8.9,3.6,Kırklareli
2024-05-05,18.2,7.9,0.2,Kırklareli
2024-05-06,20.8,6.5,0.0,Kırklareli
2024-05-07,24.0,9.5,0.2,Kırklareli
2024-05-08,23.9,11.5,4.6,Kırklareli
2024-05-09,19.1,12.1,0.0,Kırklareli
2024-05-10,17.0,11.9,0.3,Kırklareli
2024-05-11,18.8,9.0,0.2,Kırklareli
2024-05-12,20.2,7.6,2.3,Kırklareli
2024-05-13,15.9,8.7,2.2,Kırklareli
2024-05-14,17.9,4.7,0.0,Kırklareli
2024-05-15,16.8,7.8,0.0,Kırklareli
2024-05-16,18.3,7.9,0.0,Kırklareli
2024-05-17,20.8,10.4,2.7,Kırklareli
2024-05-18,23.6,9.1,0.0,Kırklareli
2024-05-19,20.6,12.1,1.1,Kırklareli
2024-05-20,21.9,10.6,0.0,Kırklareli
2024-05-21,24.2,10.7,0.0,Kırklareli
2024-05-22,26.4,10.8,0.0,Kırklareli
2024-05-23,23.7,12.4,6.8,Kırklareli
2024-05-24,25.1,13.9,0.1,Kırklareli
2024-05-25,22.8,14.7,0.0,Kırklareli
2024-05-26,21.5,12.2,0.0,Kırklareli
2024-05-27,21.6,10.5,0.0,Kırklareli
2024-05-28,21.2,10.6,0.5,Kırklareli
2024-05-29,23.8,11.6,2.3,Kırklareli
2024-05-30,25.5,12.2,0.1,Kırklareli
2024-05-31,27.5,13.4,0.0,Kırklareli
2024-06-01,30.2,14.2,0.0,Kırklareli
2024-06-02,30.7,16.2,0.0,Kırklareli
2024-06-03,33.2,19.1,0.0,Kırklareli
2024-06-04,34.4,20.2,0.0,Kırklareli
2024-06-05,32.0,20.6,0.0,Kırklareli
2024-06-06,29.8,20.1,0.4,Kırklareli
2024-06-07,29.6,18.4,0.0,Kırklareli
2024-06-08,29.5,17.1,0.0,Kırklareli
2024-06-09,31.2,16.0,0.0,Kırklareli
2024-06-10,33.5,17.8,0.0,Kırklareli
2024-06-11,36.1,20.2,0.0,Kırklareli
2024-06-12,34.3,23.3,0.0,Kırklareli
2024-06-13,33.7,20.9,0.6,Kırklareli
2024-06-14,27.2,17.6,7.7,Kırklareli
2024-06-15,27.4,16.6,0.0,Kırklareli
2024-06-16,29.3,16.0,0.0,Kırklareli
2024-06-17,31.4,17.1,0.0,Kırklareli
2024-06-18,31.4,18.2,0.0,Kırklareli
2024-06-19,31.0,19.0,0.0,Kırklareli
2024-06-20,33.1,19.0,0.0,Kırklareli
2024-06-21,29.9,20.3,0.0,Kırklareli
2024-06-22,28.8,18.9,0.0,Kırklareli
2024-06-23,29.5,17.2,0.0,Kırklareli
2024-06-24,29.8,17.5,0.0,Kırklareli
2024-06-25,30.5,18.2,0.0,Kırklareli
2024-06-26,28.9,18.5,0.0,Kırklareli
2024-06-27,29.1,16.2,0.0,Kırklareli
2024-06-28,27.8,17.0,0.0,Kırklareli
2024-06-29,28.7,19.9,0.0,Kırklareli
2024-06-30,30.8,19.4,0.0,Kırklareli
2024-07-01,31.4,18.6,0.0,Kırklareli
2024-07-02,33.7,18.2,0.0,Kırklareli
2024-07-03,27.5,19.7,6.2,Kırklareli
2024-07-04,28.7,19.2,11.4,Kırklareli
2024-07-05,27.8,18.5,1.1,Kırklareli
2024-07-06,29.1,17.4,0.0,Kırklareli
2024-07-07,29.4,17.8,0.0,Kırklareli
2024-07-08,31.6,17.7,0.0,Kırklareli
2024-07-09,33.5,22.2,0.0,Kırklareli
2024-07-10,33.6,24.8,0.0,Kırklareli
2024-07-11,33.0,22.3,0.0,Kırklareli
2024-07-12,32.4,23.2,0.0,Kırklareli
2024-07-13,32.8,23.1,0.0,Kırklareli
2024-07-14,32.6,21.0,0.0,Kırklareli
2024-07-15,33.1,18.9,0.0,Kırklareli
2024-07-16,35.2,22.5,0.0,Kırklareli
2024-07-17,35.6,24.9,0.0,Kırklareli
2024-07-18,36.2,25.9,0.0,Kırklareli
2024-07-19,33.4,25.4,2.3,Kırklareli
2024-07-20,33.1,23.0,0.0,Kırklareli
2024-07-21,35.2,21.2,0.0,Kırklareli
2024-07-22,35.0,22.0,0.1,Kırklareli
2024-07-23,31.6,21.7,0.0,Kırklareli
2024-07-24,31.9,20.5,0.0,Kırklareli
2024-07-25,28.1,19.7,2.7,Kırklareli
2024-07-26,28.7,18.3,0.0,Kırklareli
2024-07-27,30.7,18.4,0.1,Kırklareli
2024-07-28,32.3,18.6,0.0,Kırklareli
2024-07-29,33.5,21.2,0.0,Kırklareli
2024-07-30,27.6,20.9,0.7,Kırklareli
2024-07-31,29.4,17.5,0.0,Kırklareli
2024-08-01,30.2,17.4,0.0,Kırklareli
2024-08-02,33.8,15.3,0.0,Kırklareli
2024-08-03,34.8,17.3,0.0,Kırklareli
2024-08-04,32.9,22.6,0.0,Kırklareli
2024-08-05,28.5,21.0,1.2,Kırklareli
2024-08-06,31.0,17.6,0.2,Kırklareli
2024-08-07,30.2,19.2,0.0,Kırklareli
2024-08-08,29.6,17.4,0.0,Kırklareli
2024-08-09,30.1,17.9,0.0,Kırklareli
2024-08-10,30.5,19.3,0.2,Kırklareli
2024-08-11,31.5,20.3,0.0,Kırklareli
2024-08-12,32.6,21.3,0.0,Kırklareli
2024-08-13,35.0,19.5,0.0,Kırklareli
2024-08-14,33.0,20.9,0.0,Kırklareli
2024-08-15,32.8,21.0,0.0,Kırklareli
2024-08-16,31.3,19.3,0.0,Kırklareli
2024-08-17,30.6,18.9,0.0,Kırklareli
2024-08-18,30.2,18.1,0.0,Kırklareli
2024-08-19,31.7,17.1,0.0,Kırklareli
2024-08-20,32.9,18.7,0.0,Kırklareli
2024-08-21,31.0,20.0,2.2,Kırklareli
2024-08-22,35.0,20.6,0.0,Kırklareli
2024-08-23,32.7,21.1,0.0,Kırklareli
2024-08-24,32.7,20.9,0.0,Kırklareli
2024-08-25,31.4,18.3,0.0,Kırklareli
2024-08-26,30.5,22.1,0.0,Kırklareli
2024-08-27,30.1,21.1,0.1,Kırklareli
2024-08-28,29.3,19.4,1.4,Kırklareli
2024-08-29,29.3,19.5,1.0,Kırklareli
2024-08-30,28.9,20.0,0.7,Kırklareli
2024-08-31,25.6,19.5,6.8,Kırklareli
2024-09-01,29.1,19.9,0.2,Kırklareli
2024-09-02,27.9,18.5,5.6,Kırklareli
2024-09-03,32.2,18.6,0.1,Kırklareli
2024-09-04,30.3,19.0,0.0,Kırklareli
2024-09-05,30.0,18.0,0.0,Kırklareli
