time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,21.4,12.2,0.2,Kırıkkale
2024-05-02,20.9,12.3,1.1,Kırıkkale
2024-05-03,18.1,10.1,0.8,Kırıkkale
2024-05-04,19.7,8.3,0.9,Kırıkkale
2024-05-05,17.3,9.6,0.5,Kırıkkale
2024-05-06,17.1,3.6,0.0,Kırıkkale
2024-05-07,21.0,6.5,0.0,Kırıkkale
2024-05-08,24.3,6.8,0.0,Kırıkkale
2024-05-09,24.8,13.4,0.0,Kırıkkale
2024-05-10,27.3,13.3,1.6,Kırıkkale
2024-05-11,22.6,11.7,2.8,Kırıkkale
2024-05-12,16.8,10.8,0.2,Kırıkkale
2024-05-13,18.5,9.8,2.7,Kırıkkale
2024-05-14,16.8,4.2,0.0,Kırıkkale
2024-05-15,20.4,5.5,0.0,Kırıkkale
2024-05-16,22.0,8.3,0.6,Kırıkkale
2024-05-17,24.7,11.9,0.1,Kırıkkale
2024-05-18,27.8,14.6,0.0,Kırıkkale
2024-05-19,27.3,13.5,0.0,Kırıkkale
2024-05-20,26.9,16.4,0.0,Kırıkkale
2024-05-21,27.4,14.0,0.2,Kırıkkale
2024-05-22,31.3,16.8,0.0,Kırıkkale
2024-05-23,29.3,15.9,6.3,Kırıkkale
2024-05-24,20.0,13.3,25.2,Kırıkkale
2024-05-25,22.3,11.5,0.3,Kırıkkale
2024-05-26,24.0,12.3,0.0,Kırıkkale
2024-05-27,21.4,12.9,0.0,Kırıkkale
2024-05-28,21.5,11.4,5.7,Kırıkkale
2024-05-29,24.8,9.2,0.0,Kırıkkale
2024-05-30,26.5,13.9,0.6,Kırıkkale
2024-05-31,25.4,13.5,0.3,Kırıkkale
2024-06-01,28.6,15.1,0.0,Kırıkkale
2024-06-02,31.3,17.9,0.0,Kırıkkale
2024-06-03,33.5,20.4,0.0,Kırıkkale
2024-06-04,34.5,20.5,0.0,Kırıkkale
2024-06-05,35.4,21.8,0.0,Kırıkkale
2024-06-06,35.3,21.1,0.0,Kırıkkale
2024-06-07,30.6,21.4,1.3,Kırıkkale
2024-06-08,26.9,16.8,6.1,Kırıkkale
2024-06-09,28.5,15.2,0.0,Kırıkkale
2024-06-10,30.4,15.8,0.0,Kırıkkale
2024-06-11,35.4,19.9,0.0,Kırıkkale
2024-06-12,36.6,23.8,0.0,Kırıkkale
2024-06-13,36.5,24.1,0.0,Kırıkkale
2024-06-14,36.0,21.1,1.2,Kırıkkale
2024-06-15,29.9,19.5,0.0,Kırıkkale
2024-06-16,31.1,15.8,0.0,Kırıkkale
2024-06-17,33.5,17.1,0.0,Kırıkkale
2024-06-18,34.5,19.1,0.0,Kırıkkale
2024-06-19,34.3,19.4,0.0,Kırıkkale
2024-06-20,34.5,18.9,0.0,Kırıkkale
2024-06-21,33.3,20.0,0.0,Kırıkkale
2024-06-22,34.2,17.5,0.0,Kırıkkale
2024-06-23,34.9,15.9,0.0,Kırıkkale
2024-06-24,36.9,17.7,0.0,Kırıkkale
2024-06-25,37.3,23.1,0.0,Kırıkkale
2024-06-26,31.7,20.4,0.0,Kırıkkale
2024-06-27,32.5,16.6,0.0,Kırıkkale
2024-06-28,34.4,18.5,0.0,Kırıkkale
2024-06-29,29.9,19.3,0.0,Kırıkkale
2024-06-30,31.2,16.0,0.0,Kırıkkale
2024-07-01,31.4,17.2,0.0,Kırıkkale
2024-07-02,31.3,18.5,0.0,Kırıkkale
2024-07-03,38.1,19.5,0.5,Kırıkkale
2024-07-04,35.8,19.9,0.0,Kırıkkale
2024-07-05,31.1,21.3,0.0,Kırıkkale
2024-07-06,30.4,18.0,0.1,Kırıkkale
2024-07-07,34.2,19.3,0.0,Kırıkkale
2024-07-08,34.9,20.3,0.0,Kırıkkale
2024-07-09,33.2,21.0,0.0,Kırıkkale
2024-07-10,33.4,20.5,0.0,Kırıkkale
2024-07-11,31.9,20.4,1.0,Kırıkkale
2024-07-12,33.5,21.1,0.2,Kırıkkale
2024-07-13,33.5,21.3,1.8,Kırıkkale
2024-07-14,33.4,20.2,0.0,Kırıkkale
2024-07-15,32.6,20.0,0.2,Kırıkkale
2024-07-16,34.1,19.7,0.0,Kırıkkale
2024-07-17,32.3,21.6,0.3,Kırıkkale
2024-07-18,35.0,21.0,0.0,Kırıkkale
2024-07-19,35.8,21.3,0.0,Kırıkkale
2024-07-20,35.1,21.5,0.0,Kırıkkale
2024-07-21,36.1,21.8,0.0,Kırıkkale
2024-07-22,38.5,23.0,0.0,Kırıkkale
2024-07-23,37.2,22.5,0.0,Kırıkkale
2024-07-24,32.2,22.6,0.0,Kırıkkale
2024-07-25,33.5,21.5,3.8,Kırıkkale
2024-07-26,29.9,19.5,1.4,Kırıkkale
2024-07-27,30.0,17.6,0.0,Kırıkkale
2024-07-28,32.1,17.3,0.0,Kırıkkale
2024-07-29,32.1,16.9,0.0,Kırıkkale
2024-07-30,32.2,17.2,0.0,Kırıkkale
2024-07-31,30.0,18.3,0.0,Kırıkkale
2024-08-01,31.3,17.4,0.0,Kırıkkale
2024-08-02,33.9,19.2,0.0,Kırıkkale
2024-08-03,36.5,20.3,0.0,Kırıkkale
2024-08-04,36.5,22.2,0.0,Kırıkkale
2024-08-05,35.0,20.5,0.0,Kırıkkale
