time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,21.5,10.6,7.9,Kırşehir
2024-05-02,19.4,11.3,1.1,Kırşehir
2024-05-03,16.8,9.0,0.5,Kırşehir
2024-05-04,18.0,9.6,4.6,Kırşehir
2024-05-05,12.3,7.3,13.3,Kırşehir
2024-05-06,14.1,0.7,0.0,Kırşehir
2024-05-07,17.3,2.1,0.0,Kırşehir
2024-05-08,21.2,7.1,0.0,Kırşehir
2024-05-09,22.8,10.4,0.0,Kırşehir
2024-05-10,26.0,10.5,0.3,Kırşehir
2024-05-11,21.4,11.3,0.6,Kırşehir
2024-05-12,15.5,9.5,2.0,Kırşehir
2024-05-13,16.6,8.6,0.1,Kırşehir
2024-05-14,14.4,5.9,0.0,Kırşehir
2024-05-15,18.3,5.1,0.0,Kırşehir
2024-05-16,20.3,8.3,0.0,Kırşehir
2024-05-17,23.1,9.2,1.7,Kırşehir
2024-05-18,26.2,12.0,0.5,Kırşehir
2024-05-19,24.1,10.9,0.0,Kırşehir
2024-05-20,25.0,12.8,0.0,Kırşehir
2024-05-21,24.4,12.0,3.3,Kırşehir
2024-05-22,29.3,15.5,0.0,Kırşehir
2024-05-23,27.3,14.6,4.5,Kırşehir
2024-05-24,17.8,11.6,10.5,Kırşehir
2024-05-25,18.8,10.9,8.1,Kırşehir
2024-05-26,21.2,9.8,0.2,Kırşehir
2024-05-27,19.5,12.7,4.8,Kırşehir
2024-05-28,21.0,9.7,7.9,Kırşehir
2024-05-29,22.2,9.9,0.0,Kırşehir
2024-05-30,22.8,10.9,0.1,Kırşehir
2024-05-31,22.7,12.5,6.3,Kırşehir
2024-06-01,25.4,12.4,0.0,Kırşehir
2024-06-02,28.7,14.8,0.0,Kırşehir
2024-06-03,30.9,15.0,0.0,Kırşehir
2024-06-04,31.7,16.2,0.0,Kırşehir
2024-06-05,32.1,19.2,0.0,Kırşehir
2024-06-06,32.5,18.0,0.0,Kırşehir
2024-06-07,29.4,17.1,2.2,Kırşehir
2024-06-08,26.4,15.8,7.2,Kırşehir
2024-06-09,26.1,13.7,0.0,Kırşehir
2024-06-10,27.8,12.7,0.0,Kırşehir
2024-06-11,31.6,16.8,0.0,Kırşehir
2024-06-12,34.8,19.0,0.0,Kırşehir
2024-06-13,34.5,20.4,0.0,Kırşehir
2024-06-14,33.8,20.8,0.0,Kırşehir
2024-06-15,28.3,16.8,0.0,Kırşehir
2024-06-16,28.9,14.1,0.0,Kırşehir
2024-06-17,32.4,16.4,0.0,Kırşehir
2024-06-18,32.7,17.2,0.0,Kırşehir
2024-06-19,32.5,17.2,0.0,Kırşehir
2024-06-20,33.1,16.2,0.0,Kırşehir
2024-06-21,31.0,17.3,0.0,Kırşehir
2024-06-22,32.5,16.3,0.0,Kırşehir
2024-06-23,33.0,14.0,0.0,Kırşehir
2024-06-24,34.1,14.9,0.0,Kırşehir
2024-06-25,35.7,20.6,0.0,Kırşehir
2024-06-26,30.4,18.8,0.0,Kırşehir
2024-06-27,30.1,14.8,0.0,Kırşehir
2024-06-28,32.4,15.3,0.0,Kırşehir
2024-06-29,28.3,17.2,0.0,Kırşehir
2024-06-30,27.7,15.5,0.0,Kırşehir
2024-07-01,28.9,14.5,0.1,Kırşehir
2024-07-02,29.6,14.7,0.0,Kırşehir
2024-07-03,34.4,16.9,0.0,Kırşehir
2024-07-04,33.4,18.6,0.0,Kırşehir
2024-07-05,31.5,18.6,0.1,Kırşehir
2024-07-06,27.6,17.4,0.2,Kırşehir
2024-07-07,31.4,19.4,0.0,Kırşehir
2024-07-08,31.9,18.1,0.6,Kırşehir
2024-07-09,30.6,18.4,0.4,Kırşehir
2024-07-10,31.6,18.7,0.1,Kırşehir
2024-07-11,31.3,18.2,0.0,Kırşehir
2024-07-12,32.8,19.1,0.0,Kırşehir
2024-07-13,32.5,19.1,0.0,Kırşehir
2024-07-14,30.6,18.8,0.1,Kırşehir
2024-07-15,30.5,18.2,1.2,Kırşehir
2024-07-16,32.1,18.2,0.0,Kırşehir
2024-07-17,31.1,20.2,1.1,Kırşehir
2024-07-18,31.6,19.0,0.0,Kırşehir
2024-07-19,32.8,19.1,0.0,Kırşehir
2024-07-20,32.3,17.2,0.0,Kırşehir
2024-07-21,33.1,18.6,0.0,Kırşehir
2024-07-22,34.4,19.8,0.0,Kırşehir
2024-07-23,34.5,20.6,0.0,Kırşehir
2024-07-24,31.9,20.6,1.9,Kırşehir
2024-07-25,32.0,19.1,2.5,Kırşehir
2024-07-26,27.3,19.5,0.5,Kırşehir
2024-07-27,26.9,15.9,0.2,Kırşehir
2024-07-28,28.8,16.5,0.0,Kırşehir
2024-07-29,29.7,14.3,0.0,Kırşehir
2024-07-30,29.9,14.2,0.0,Kırşehir
2024-07-31,29.1,15.6,0.0,Kırşehir
