time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,23.7,15.3,4.7,Malatya
2024-05-02,21.8,14.6,1.0,Malatya
2024-05-03,20.9,12.8,0.9,Malatya
2024-05-04,21.4,11.3,0.8,Malatya
2024-05-05,14.1,9.7,35.1,Malatya
2024-05-06,14.3,9.1,5.8,Malatya
2024-05-07,17.6,7.8,0.0,Malatya
2024-05-08,22.6,9.0,0.0,Malatya
2024-05-09,23.5,11.7,0.0,Malatya
2024-05-10,25.5,10.5,0.0,Malatya
2024-05-11,23.3,14.0,4.3,Malatya
2024-05-12,22.8,12.2,0.9,Malatya
2024-05-13,17.9,10.4,11.6,Malatya
2024-05-14,20.3,9.2,0.0,Malatya
2024-05-15,20.9,9.4,0.0,Malatya
2024-05-16,22.3,10.3,0.9,Malatya
2024-05-17,22.7,10.1,0.0,Malatya
2024-05-18,24.5,12.7,0.6,Malatya
2024-05-19,28.3,14.5,0.0,Malatya
2024-05-20,26.7,14.6,0.0,Malatya
2024-05-21,29.1,15.9,0.0,Malatya
2024-05-22,29.8,15.8,0.0,Malatya
2024-05-23,27.5,17.9,0.0,Malatya
2024-05-24,25.5,14.7,0.0,Malatya
2024-05-25,23.1,13.5,0.0,Malatya
2024-05-26,25.4,14.1,0.0,Malatya
2024-05-27,25.4,14.8,6.1,Malatya
2024-05-28,29.1,13.7,0.0,Malatya
2024-05-29,29.2,14.1,0.0,Malatya
2024-05-30,31.5,14.9,0.0,Malatya
2024-05-31,30.8,16.7,0.0,Malatya
2024-06-01,29.8,16.6,0.0,Malatya
2024-06-02,30.9,16.4,0.0,Malatya
2024-06-03,33.3,17.5,0.0,Malatya
2024-06-04,34.7,19.1,0.0,Malatya
2024-06-05,36.0,20.7,0.0,Malatya
2024-06-06,36.1,21.4,0.0,Malatya
2024-06-07,36.2,23.3,0.0,Malatya
2024-06-08,34.6,21.3,0.1,Malatya
2024-06-09,29.7,19.0,0.5,Malatya
2024-06-10,30.4,16.8,0.1,Malatya
2024-06-11,32.7,17.5,0.0,Malatya
2024-06-12,36.0,19.8,0.0,Malatya
2024-06-13,35.9,21.7,0.0,Malatya
2024-06-14,35.6,21.6,0.0,Malatya
2024-06-15,35.6,21.3,0.0,Malatya
2024-06-16,35.2,20.8,0.0,Malatya
2024-06-17,37.3,23.1,0.0,Malatya
2024-06-18,37.3,22.1,0.0,Malatya
2024-06-19,38.5,23.2,0.0,Malatya
2024-06-20,40.4,23.8,0.0,Malatya
2024-06-21,36.0,23.4,0.0,Malatya
2024-06-22,36.4,21.1,0.0,Malatya
2024-06-23,37.9,22.7,0.0,Malatya
2024-06-24,38.4,23.1,0.0,Malatya
2024-06-25,39.2,25.0,0.0,Malatya
2024-06-26,33.9,21.4,0.0,Malatya
2024-06-27,33.1,16.8,0.0,Malatya
2024-06-28,35.1,19.2,0.0,Malatya
2024-06-29,33.4,19.1,0.0,Malatya
2024-06-30,33.2,19.1,0.2,Malatya
2024-07-01,31.2,19.4,0.0,Malatya
2024-07-02,32.3,18.5,0.0,Malatya
2024-07-03,34.5,19.5,0.0,Malatya
2024-07-04,37.5,22.7,0.0,Malatya
2024-07-05,38.3,21.1,0.0,Malatya
2024-07-06,35.5,21.0,0.0,Malatya
2024-07-07,35.3,21.4,0.0,Malatya
2024-07-08,35.1,22.2,0.0,Malatya
2024-07-09,34.4,23.3,0.1,Malatya
2024-07-10,35.9,21.4,0.0,Malatya
2024-07-11,38.6,22.0,0.0,Malatya
2024-07-12,36.4,24.0,0.0,Malatya
2024-07-13,37.6,23.9,0.0,Malatya
2024-07-14,36.4,23.9,0.0,Malatya
2024-07-15,35.8,23.3,0.2,Malatya
2024-07-16,35.9,22.5,0.0,Malatya
2024-07-17,37.3,24.8,0.0,Malatya
2024-07-18,36.6,25.0,0.0,Malatya
2024-07-19,36.4,23.4,0.0,Malatya
2024-07-20,35.2,22.1,0.0,Malatya
2024-07-21,35.0,22.1,0.0,Malatya
2024-07-22,37.7,23.6,0.0,Malatya
2024-07-23,38.2,24.4,0.0,Malatya
2024-07-24,36.9,24.5,0.0,Malatya
2024-07-25,35.8,22.5,0.0,Malatya
2024-07-26,36.2,23.4,0.0,Malatya
2024-07-27,33.7,22.9,0.0,Malatya
2024-07-28,33.9,20.7,0.0,Malatya
2024-07-29,33.8,18.5,0.0,Malatya
2024-07-30,36.9,20.9,0.0,Malatya
2024-07-31,34.1,20.8,0.0,Malatya
2024-08-01,34.1,20.1,0.0,Malatya
2024-08-02,35.2,20.3,0.0,Malatya
2024-08-03,35.0,19.5,0.0,Malatya
2024-08-04,36.5,21.8,0.0,Malatya
2024-08-05,39.8,23.9,0.0,Malatya
2024-08-06,38.7,24.1,0.0,Malatya
2024-08-07,37.0,24.9,0.0,Malatya
2024-08-08,36.7,24.4,0.0,Malatya
2024-08-09,37.8,23.3,0.0,Malatya
2024-08-10,37.0,23.5,0.0,Malatya
2024-08-11,35.0,21.9,0.0,Malatya
2024-08-12,34.9,20.4,0.0,Malatya
2024-08-13,35.2,21.3,0.0,Malatya
2024-08-14,37.0,21.8,0.0,Malatya
2024-08-15,36.3,21.6,0.0,Malatya
2024-08-16,35.5,21.6,0.0,Malatya
2024-08-17,34.6,21.1,0.0,Malatya
2024-08-18,36.6,22.3,0.0,Malatya
2024-08-19,38.7,24.4,0.0,Malatya
2024-08-20,38.4,24.2,0.0,Malatya
2024-08-21,39.5,24.1,0.0,Malatya
