time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,25.5,14.1,0.0,Manisa
2024-05-02,25.8,13.9,0.0,Manisa
2024-05-03,27.0,13.8,0.0,Manisa
2024-05-04,21.4,11.8,5.3,Manisa
2024-05-05,22.3,10.9,0.1,Manisa
2024-05-06,24.8,10.3,0.0,Manisa
2024-05-07,27.7,8.9,0.0,Manisa
2024-05-08,31.6,15.9,0.0,Manisa
2024-05-09,27.4,17.7,0.5,Manisa
2024-05-10,25.5,12.9,2.8,Manisa
2024-05-11,21.5,14.3,4.2,Manisa
2024-05-12,24.0,11.7,0.0,Manisa
2024-05-13,24.3,13.0,0.0,Manisa
2024-05-14,24.2,9.9,0.0,Manisa
2024-05-15,26.1,10.7,0.0,Manisa
2024-05-16,26.9,12.7,0.7,Manisa
2024-05-17,31.9,14.6,0.7,Manisa
2024-05-18,32.8,17.8,0.0,Manisa
2024-05-19,32.5,19.9,0.3,Manisa
2024-05-20,33.8,17.4,0.0,Manisa
2024-05-21,33.5,16.1,0.0,Manisa
2024-05-22,35.0,19.5,0.0,Manisa
2024-05-23,27.3,17.9,4.8,Manisa
2024-05-24,28.8,16.0,0.0,Manisa
2024-05-25,28.5,15.1,0.0,Manisa
2024-05-26,29.3,15.3,10.0,Manisa
2024-05-27,26.3,14.2,0.8,Manisa
2024-05-28,27.8,14.1,0.0,Manisa
2024-05-29,29.2,15.5,0.0,Manisa
2024-05-30,29.5,17.5,0.0,Manisa
2024-05-31,31.6,15.0,0.0,Manisa
2024-06-01,34.8,19.2,0.0,Manisa
2024-06-02,37.0,21.2,0.0,Manisa
2024-06-03,39.3,22.0,0.0,Manisa
2024-06-04,40.2,24.1,0.0,Manisa
2024-06-05,39.0,24.5,0.0,Manisa
2024-06-06,38.8,24.4,0.0,Manisa
2024-06-07,34.1,22.5,0.8,Manisa
2024-06-08,34.9,21.8,0.0,Manisa
2024-06-09,35.8,19.9,0.0,Manisa
2024-06-10,38.8,21.0,0.0,Manisa
2024-06-11,42.0,24.7,0.0,Manisa
2024-06-12,43.6,25.0,0.0,Manisa
2024-06-13,43.1,25.7,0.0,Manisa
