time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,22.5,13.7,3.0,Mardin
2024-05-02,21.6,12.2,12.8,Mardin
2024-05-03,21.2,10.8,4.4,Mardin
2024-05-04,20.3,10.6,1.7,Mardin
2024-05-05,19.9,8.9,0.0,Mardin
2024-05-06,17.4,9.1,2.0,Mardin
2024-05-07,15.7,8.0,6.6,Mardin
2024-05-08,18.2,7.4,1.7,Mardin
2024-05-09,21.8,9.3,0.0,Mardin
2024-05-10,24.7,13.3,0.1,Mardin
2024-05-11,23.9,14.3,0.9,Mardin
2024-05-12,23.0,12.3,0.7,Mardin
2024-05-13,20.3,9.8,0.5,Mardin
2024-05-14,21.0,9.3,3.3,Mardin
2024-05-15,22.0,9.7,0.1,Mardin
2024-05-16,23.6,10.3,0.0,Mardin
2024-05-17,21.8,12.4,0.0,Mardin
2024-05-18,23.9,13.8,0.1,Mardin
2024-05-19,27.0,13.3,0.0,Mardin
2024-05-20,27.5,16.9,0.0,Mardin
2024-05-21,27.3,15.8,0.9,Mardin
2024-05-22,29.0,15.0,0.0,Mardin
2024-05-23,27.7,16.3,0.0,Mardin
2024-05-24,29.1,16.9,0.0,Mardin
2024-05-25,24.1,12.8,0.0,Mardin
2024-05-26,25.0,13.4,0.4,Mardin
2024-05-27,29.0,14.9,0.0,Mardin
2024-05-28,30.1,18.9,0.1,Mardin
2024-05-29,30.7,18.0,0.7,Mardin
2024-05-30,34.1,17.5,0.0,Mardin
2024-05-31,29.5,18.3,0.0,Mardin
2024-06-01,29.4,14.8,0.0,Mardin
2024-06-02,31.9,19.0,0.0,Mardin
2024-06-03,34.4,20.9,0.0,Mardin
2024-06-04,34.7,20.8,0.0,Mardin
2024-06-05,34.9,21.3,0.0,Mardin
2024-06-06,35.7,22.5,0.0,Mardin
2024-06-07,36.5,21.4,0.0,Mardin
2024-06-08,36.3,22.5,0.0,Mardin
2024-06-09,34.9,22.5,0.0,Mardin
2024-06-10,32.8,20.3,2.2,Mardin
2024-06-11,32.7,17.9,0.0,Mardin
2024-06-12,35.5,22.4,0.0,Mardin
2024-06-13,36.2,24.1,0.0,Mardin
2024-06-14,36.2,23.7,0.0,Mardin
