time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,29.4,21.2,3.1,Mersin
2024-05-02,25.4,19.0,4.1,Mersin
2024-05-03,24.7,17.4,0.1,Mersin
2024-05-04,23.1,16.8,4.5,Mersin
2024-05-05,20.3,14.2,10.8,Mersin
2024-05-06,21.5,11.4,0.3,Mersin
2024-05-07,22.5,11.8,0.0,Mersin
2024-05-08,24.1,13.0,0.0,Mersin
2024-05-09,29.6,14.5,0.0,Mersin
2024-05-10,33.6,15.3,0.0,Mersin
2024-05-11,24.4,18.6,4.5,Mersin
2024-05-12,23.4,16.8,3.6,Mersin
2024-05-13,22.7,15.5,4.3,Mersin
2024-05-14,24.1,14.0,1.1,Mersin
2024-05-15,23.3,16.0,1.8,Mersin
2024-05-16,24.2,14.8,0.2,Mersin
2024-05-17,24.8,16.5,0.0,Mersin
2024-05-18,26.1,18.1,0.0,Mersin
2024-05-19,27.3,19.3,0.0,Mersin
2024-05-20,27.7,20.2,0.0,Mersin
2024-05-21,31.0,20.6,0.0,Mersin
2024-05-22,28.9,19.9,0.0,Mersin
2024-05-23,28.0,21.2,0.6,Mersin
2024-05-24,25.6,18.2,12.6,Mersin
2024-05-25,26.1,15.7,3.7,Mersin
2024-05-26,27.5,17.3,0.1,Mersin
2024-05-27,30.4,18.4,1.4,Mersin
2024-05-28,25.6,19.5,4.7,Mersin
2024-05-29,26.8,18.4,0.9,Mersin
2024-05-30,26.8,18.9,0.9,Mersin
2024-05-31,26.7,19.0,4.6,Mersin
2024-06-01,28.5,19.9,0.0,Mersin
2024-06-02,34.2,19.5,0.0,Mersin
2024-06-03,38.4,21.9,0.0,Mersin
2024-06-04,40.1,23.3,0.0,Mersin
2024-06-05,39.9,24.8,0.0,Mersin
2024-06-06,40.0,25.1,0.0,Mersin
2024-06-07,41.0,25.9,0.0,Mersin
2024-06-08,36.8,24.2,0.0,Mersin
2024-06-09,33.5,23.4,0.0,Mersin
2024-06-10,32.9,23.3,0.0,Mersin
2024-06-11,33.2,22.4,0.0,Mersin
2024-06-12,33.9,23.2,0.0,Mersin
2024-06-13,36.3,23.9,0.0,Mersin
2024-06-14,39.0,24.9,0.0,Mersin
2024-06-15,34.7,24.9,0.0,Mersin
2024-06-16,32.6,24.9,0.0,Mersin
2024-06-17,31.2,23.5,0.0,Mersin
2024-06-18,32.7,23.6,0.0,Mersin
2024-06-19,34.7,24.9,0.0,Mersin
2024-06-20,33.1,25.3,0.0,Mersin
2024-06-21,34.6,25.5,0.0,Mersin
2024-06-22,32.9,25.1,0.0,Mersin
2024-06-23,32.6,25.3,0.0,Mersin
2024-06-24,32.1,24.7,0.0,Mersin
2024-06-25,32.6,25.4,0.0,Mersin
2024-06-26,33.8,24.9,0.0,Mersin
2024-06-27,35.5,25.1,0.0,Mersin
2024-06-28,33.3,26.0,0.0,Mersin
2024-06-29,33.0,26.3,0.1,Mersin
2024-06-30,35.3,23.1,0.0,Mersin
2024-07-01,33.4,24.9,0.3,Mersin
2024-07-02,33.3,24.9,0.1,Mersin
2024-07-03,33.3,26.0,0.0,Mersin
2024-07-04,32.2,26.1,0.4,Mersin
2024-07-05,32.0,25.2,1.4,Mersin
2024-07-06,34.9,24.5,0.0,Mersin
2024-07-07,36.3,25.6,0.0,Mersin
2024-07-08,34.6,25.9,0.0,Mersin
