time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,26.2,12.9,0.0,Muğla
2024-05-02,23.5,11.8,0.0,Muğla
2024-05-03,22.0,12.1,0.0,Muğla
2024-05-04,18.0,9.3,2.4,Muğla
2024-05-05,19.3,7.1,0.8,Muğla
2024-05-06,22.2,6.7,0.0,Muğla
2024-05-07,24.3,8.4,0.0,Muğla
2024-05-08,23.1,12.1,0.0,Muğla
2024-05-09,20.5,13.2,0.0,Muğla
2024-05-10,24.0,9.2,3.9,Muğla
2024-05-11,21.4,10.2,1.5,Muğla
2024-05-12,20.2,10.0,0.4,Muğla
2024-05-13,21.2,9.9,0.0,Muğla
2024-05-14,22.4,8.6,0.0,Muğla
2024-05-15,23.5,9.9,0.0,Muğla
2024-05-16,26.3,11.6,0.3,Muğla
2024-05-17,25.8,14.2,0.7,Muğla
2024-05-18,30.4,16.1,0.3,Muğla
2024-05-19,28.8,17.9,0.0,Muğla
2024-05-20,30.1,15.9,0.0,Muğla
2024-05-21,31.3,16.1,0.0,Muğla
2024-05-22,31.1,18.0,0.1,Muğla
2024-05-23,24.5,15.9,0.6,Muğla
2024-05-24,23.4,12.8,0.0,Muğla
2024-05-25,26.2,13.1,0.0,Muğla
2024-05-26,24.6,14.6,0.3,Muğla
2024-05-27,23.1,11.4,0.9,Muğla
2024-05-28,25.5,12.7,0.4,Muğla
2024-05-29,25.8,11.9,0.0,Muğla
2024-05-30,24.0,12.8,0.1,Muğla
2024-05-31,25.8,13.5,0.0,Muğla
2024-06-01,28.5,14.8,0.0,Muğla
2024-06-02,33.0,15.9,0.0,Muğla
2024-06-03,36.2,18.7,0.0,Muğla
2024-06-04,36.7,21.6,0.0,Muğla
2024-06-05,35.6,21.0,0.0,Muğla
2024-06-06,37.8,20.3,0.0,Muğla
2024-06-07,34.6,22.6,0.0,Muğla
2024-06-08,34.0,19.7,0.0,Muğla
2024-06-09,35.5,18.2,0.0,Muğla
2024-06-10,35.5,21.4,0.0,Muğla
2024-06-11,38.2,20.9,0.0,Muğla
2024-06-12,40.4,23.0,0.0,Muğla
2024-06-13,39.2,24.0,0.0,Muğla
2024-06-14,38.5,24.4,0.0,Muğla
2024-06-15,34.0,20.7,0.0,Muğla
2024-06-16,34.8,18.1,0.0,Muğla
2024-06-17,35.7,19.5,0.0,Muğla
2024-06-18,36.1,20.7,0.0,Muğla
2024-06-19,38.9,21.2,0.0,Muğla
2024-06-20,38.7,21.6,0.0,Muğla
2024-06-21,37.9,22.8,0.1,Muğla
2024-06-22,39.0,21.6,0.0,Muğla
2024-06-23,38.9,22.6,0.0,Muğla
2024-06-24,37.6,21.3,0.0,Muğla
2024-06-25,38.2,21.1,0.0,Muğla
2024-06-26,39.0,21.6,0.0,Muğla
2024-06-27,38.8,22.0,0.0,Muğla
2024-06-28,34.8,21.8,0.0,Muğla
2024-06-29,35.0,20.2,0.0,Muğla
2024-06-30,35.3,20.0,0.0,Muğla
2024-07-01,36.0,19.5,0.0,Muğla
2024-07-02,37.4,19.0,0.0,Muğla
2024-07-03,32.5,21.4,0.0,Muğla
2024-07-04,28.8,18.7,0.7,Muğla
2024-07-05,28.8,16.2,3.9,Muğla
2024-07-06,34.8,18.8,0.0,Muğla
2024-07-07,37.3,20.1,0.0,Muğla
2024-07-08,38.7,23.0,0.0,Muğla
2024-07-09,39.9,22.9,0.0,Muğla
2024-07-10,35.9,23.2,0.0,Muğla
2024-07-11,34.8,23.5,0.0,Muğla
2024-07-12,32.6,22.7,0.0,Muğla
2024-07-13,35.7,20.5,0.0,Muğla
2024-07-14,35.5,21.9,0.0,Muğla
2024-07-15,37.1,21.3,0.0,Muğla
2024-07-16,35.5,21.5,0.0,Muğla
2024-07-17,37.3,22.1,0.0,Muğla
2024-07-18,38.8,23.3,0.0,Muğla
2024-07-19,38.7,23.3,0.5,Muğla
2024-07-20,38.8,24.0,0.0,Muğla
2024-07-21,37.7,25.0,0.0,Muğla
2024-07-22,39.0,23.4,0.0,Muğla
2024-07-23,38.5,24.0,0.0,Muğla
2024-07-24,37.4,24.3,0.0,Muğla
2024-07-25,34.8,23.6,0.1,Muğla
2024-07-26,32.9,21.0,0.0,Muğla
2024-07-27,34.5,19.2,0.0,Muğla
2024-07-28,37.3,19.9,0.0,Muğla
2024-07-29,38.6,22.0,0.0,Muğla
2024-07-30,37.9,22.1,0.0,Muğla
2024-07-31,35.5,21.5,0.0,Muğla
2024-08-01,35.7,21.4,0.0,Muğla
2024-08-02,36.5,22.4,0.0,Muğla
2024-08-03,36.7,22.5,0.0,Muğla
2024-08-04,36.9,21.0,0.0,Muğla
2024-08-05,36.6,22.8,0.0,Muğla
2024-08-06,35.7,21.9,0.0,Muğla
2024-08-07,37.0,22.1,0.0,Muğla
2024-08-08,36.1,21.3,0.4,Muğla
2024-08-09,36.4,22.3,0.0,Muğla
2024-08-10,36.6,21.3,0.0,Muğla
2024-08-11,36.8,20.9,0.0,Muğla
2024-08-12,38.5,21.9,0.0,Muğla
2024-08-13,37.6,21.3,0.0,Muğla
2024-08-14,36.8,23.0,0.0,Muğla
2024-08-15,40.7,22.5,0.0,Muğla
2024-08-16,37.5,21.7,0.0,Muğla
2024-08-17,36.3,20.7,0.0,Muğla
2024-08-18,34.6,19.4,0.0,Muğla
2024-08-19,34.8,19.7,0.0,Muğla
2024-08-20,36.8,21.1,0.0,Muğla
2024-08-21,31.6,21.3,0.0,Muğla
2024-08-22,31.8,19.6,1.7,Muğla
2024-08-23,34.7,21.8,0.0,Muğla
2024-08-24,36.2,20.9,0.0,Muğla
2024-08-25,33.1,20.8,0.0,Muğla
2024-08-26,31.0,22.4,0.0,Muğla
2024-08-27,31.3,19.1,0.4,Muğla
2024-08-28,32.0,18.6,0.0,Muğla
2024-08-29,31.5,19.5,0.0,Muğla
2024-08-30,31.3,19.3,0.0,Muğla
2024-08-31,31.7,19.2,0.0,Muğla
2024-09-01,27.7,18.5,3.4,Muğla
2024-09-02,27.1,16.8,1.4,Muğla
2024-09-03,30.2,17.6,0.6,Muğla
2024-09-04,32.0,18.5,0.1,Muğla
2024-09-05,33.1,19.6,0.0,Muğla
2024-09-06,33.0,19.2,0.0,Muğla
2024-09-07,32.0,18.1,0.0,Muğla
2024-09-08,31.0,19.0,0.0,Muğla
2024-09-09,30.3,18.0,0.0,Muğla
2024-09-10,25.2,18.8,2.0,Muğla
2024-09-11,23.0,17.5,4.1,Muğla
2024-09-12,26.9,16.4,0.0,Muğla
2024-09-13,27.8,16.4,0.0,Muğla
2024-09-14,28.3,16.6,0.0,Muğla
2024-09-15,25.0,15.5,0.0,Muğla
2024-09-16,25.6,13.3,0.0,Muğla
2024-09-17,26.9,13.1,0.0,Muğla
2024-09-18,26.9,15.3,0.0,Muğla
2024-09-19,27.0,14.8,0.0,Muğla
2024-09-20,27.9,14.8,0.0,Muğla
2024-09-21,27.1,15.2,0.0,Muğla
2024-09-22,25.8,13.9,0.0,Muğla
2024-09-23,27.2,12.3,0.0,Muğla
2024-09-24,25.0,15.4,0.0,Muğla
2024-09-25,28.8,12.7,0.0,Muğla
2024-09-26,30.5,14.7,0.0,Muğla
2024-09-27,31.9,14.9,0.0,Muğla
2024-09-28,32.1,18.6,0.0,Muğla
2024-09-29,30.7,16.0,0.0,Muğla
2024-09-30,24.5,15.0,0.0,Muğla
2024-10-01,22.9,11.3,0.0,Muğla
2024-10-02,26.0,10.3,0.0,Muğla
2024-10-03,25.0,12.9,0.0,Muğla
2024-10-04,29.2,14.6,0.0,Muğla
2024-10-05,30.6,15.1,0.0,Muğla
2024-10-06,28.2,15.3,0.0,Muğla
2024-10-07,25.0,16.3,0.0,Muğla
2024-10-08,27.6,13.5,0.0,Muğla
2024-10-09,26.5,12.4,0.0,Muğla
2024-10-10,25.5,12.7,0.0,Muğla
2024-10-11,29.2,14.8,0.0,Muğla
2024-10-12,27.3,15.3,0.0,Muğla
2024-10-13,27.6,14.8,0.0,Muğla
2024-10-14,26.6,13.9,0.0,Muğla
2024-10-15,26.8,12.9,0.0,Muğla
2024-10-16,28.4,14.0,0.0,Muğla
2024-10-17,23.5,11.3,0.0,Muğla
2024-10-18,22.0,8.6,0.0,Muğla
2024-10-19,22.5,6.1,0.0,Muğla
2024-10-20,22.3,7.0,0.0,Muğla
2024-10-21,23.3,7.2,0.0,Muğla
2024-10-22,23.1,7.5,0.0,Muğla
2024-10-23,23.1,8.0,0.0,Muğla
2024-10-24,24.4,11.3,0.0,Muğla
2024-10-25,22.2,9.3,0.0,Muğla
2024-10-26,24.1,9.7,0.0,Muğla
2024-10-27,23.6,12.7,0.0,Muğla
2024-10-28,24.1,10.6,0.0,Muğla
2024-10-29,24.5,8.3,0.0,Muğla
2024-10-30,23.6,8.9,0.0,Muğla
2024-10-31,22.0,8.3,0.0,Muğla
2024-11-01,23.0,9.9,0.0,Muğla
2024-11-02,23.4,12.3,0.0,Muğla
2024-11-03,22.7,9.4,0.0,Muğla
2024-11-04,20.2,7.9,0.0,Muğla
2024-11-05,21.0,5.7,0.0,Muğla
2024-11-06,20.5,8.5,0.0,Muğla
2024-11-07,20.3,7.9,0.0,Muğla
2024-11-08,20.4,9.4,0.0,Muğla
2024-11-09,19.7,5.9,0.0,Muğla
2024-11-10,18.8,9.4,0.0,Muğla
2024-11-11,18.4,7.8,0.0,Muğla
2024-11-12,18.4,5.0,0.0,Muğla
2024-11-13,20.7,7.6,0.0,Muğla
2024-11-14,21.0,8.6,0.0,Muğla
2024-11-15,17.8,9.4,0.9,Muğla
2024-11-16,15.6,10.0,7.9,Muğla
2024-11-17,13.3,6.3,10.3,Muğla
2024-11-18,14.0,5.7,0.0,Muğla
2024-11-19,15.5,3.9,0.0,Muğla
2024-11-20,14.5,3.4,0.0,Muğla
2024-11-21,13.6,10.1,12.1,Muğla
2024-11-22,16.5,11.2,13.7,Muğla
2024-11-23,16.1,4.4,19.4,Muğla
2024-11-24,6.5,-0.3,0.0,Muğla
2024-11-25,6.3,-1.9,0.0,Muğla
2024-11-26,10.1,-1.3,0.0,Muğla
2024-11-27,13.0,-0.5,0.0,Muğla
2024-11-28,13.0,1.5,0.0,Muğla
2024-11-29,15.3,1.6,0.0,Muğla
2024-11-30,12.9,5.9,1.8,Muğla
2024-12-01,11.6,9.6,14.2,Muğla
2024-12-02,11.8,8.3,8.8,Muğla
2024-12-03,11.2,5.2,13.3,Muğla
2024-12-04,12.9,4.7,0.0,Muğla
2024-12-05,14.0,2.4,0.0,Muğla
2024-12-06,11.9,8.0,2.6,Muğla
2024-12-07,11.7,7.9,12.9,Muğla
2024-12-08,10.7,7.4,9.7,Muğla
2024-12-09,12.7,10.1,24.4,Muğla
2024-12-10,12.8,10.7,3.6,Muğla
2024-12-11,13.6,8.3,9.0,Muğla
2024-12-12,12.1,4.7,0.0,Muğla
2024-12-13,10.3,1.9,0.0,Muğla
2024-12-14,12.1,-1.1,0.0,Muğla
2024-12-15,11.1,5.4,1.5,Muğla
2024-12-16,12.1,2.9,0.2,Muğla
2024-12-17,12.5,-0.1,0.0,Muğla
2024-12-18,15.1,2.5,0.0,Muğla
2024-12-19,14.5,4.3,0.0,Muğla
2024-12-20,12.8,2.6,0.4,Muğla
2024-12-21,11.7,6.3,27.4,Muğla
2024-12-22,11.2,3.6,0.0,Muğla
2024-12-23,10.9,5.1,0.5,Muğla
2024-12-24,8.8,7.1,52.0,Muğla
2024-12-25,7.5,5.8,18.4,Muğla
2024-12-26,11.3,3.0,0.8,Muğla
2024-12-27,11.8,1.8,1.1,Muğla
2024-12-28,7.6,2.5,1.7,Muğla
2024-12-29,6.1,-0.9,5.6,Muğla
2024-12-30,8.6,-0.9,0.0,Muğla
2024-12-31,11.1,-1.2,0.0,Muğla
2025-01-01,12.4,-0.3,0.0,Muğla
2025-01-02,11.2,-0.2,0.0,Muğla
2025-01-03,9.3,4.2,1.3,Muğla
2025-01-04,9.9,7.4,21.4,Muğla
2025-01-05,13.2,5.8,1.4,Muğla
2025-01-06,13.6,3.6,0.0,Muğla
2025-01-07,11.2,6.5,0.4,Muğla
2025-01-08,12.4,6.3,0.5,Muğla
2025-01-09,14.5,3.3,0.0,Muğla
2025-01-10,14.8,3.6,0.0,Muğla
2025-01-11,10.8,6.2,2.6,Muğla
2025-01-12,12.0,8.9,6.9,Muğla
2025-01-13,11.3,8.9,10.5,Muğla
2025-01-14,11.9,8.2,4.6,Muğla
2025-01-15,12.1,4.2,3.7,Muğla
2025-01-16,13.3,3.1,0.0,Muğla
2025-01-17,13.9,2.1,0.0,Muğla
2025-01-18,14.2,1.0,0.0,Muğla
2025-01-19,15.0,1.5,0.0,Muğla
2025-01-20,16.5,2.8,0.0,Muğla
2025-01-21,12.0,7.4,4.2,Muğla
2025-01-22,12.7,4.0,3.0,Muğla
2025-01-23,12.5,2.0,0.0,Muğla
2025-01-24,13.0,1.9,0.9,Muğla
2025-01-25,11.2,6.8,15.4,Muğla
2025-01-26,14.4,2.8,2.1,Muğla
2025-01-27,15.1,3.6,0.0,Muğla
2025-01-28,13.5,5.2,0.0,Muğla
2025-01-29,13.6,6.8,0.0,Muğla
2025-01-30,11.6,7.0,0.1,Muğla
2025-01-31,14.0,3.8,0.1,Muğla
2025-02-01,14.9,3.0,0.0,Muğla
2025-02-02,14.4,1.9,0.0,Muğla
2025-02-03,14.9,3.2,0.0,Muğla
2025-02-04,12.7,3.6,1.7,Muğla
2025-02-05,5.8,-0.1,0.0,Muğla
2025-02-06,5.0,-2.8,0.0,Muğla
2025-02-07,5.4,-3.3,0.0,Muğla
2025-02-08,9.1,-3.6,0.0,Muğla
2025-02-09,9.0,-3.2,0.0,Muğla
2025-02-10,8.5,-3.4,0.0,Muğla
2025-02-11,7.2,-4.2,0.0,Muğla
2025-02-12,5.5,-3.9,0.0,Muğla
2025-02-13,7.7,-3.0,0.0,Muğla
2025-02-14,10.5,-2.0,0.0,Muğla
2025-02-15,11.1,2.7,1.2,Muğla
2025-02-16,12.6,1.8,0.0,Muğla
2025-02-17,11.1,5.1,1.2,Muğla
2025-02-18,11.0,4.2,4.8,Muğla
2025-02-19,10.6,2.2,0.0,Muğla
2025-02-20,5.9,-2.6,0.0,Muğla
2025-02-21,4.7,-5.0,0.0,Muğla
2025-02-22,2.4,-4.8,0.0,Muğla
2025-02-23,4.7,-6.2,0.0,Muğla
2025-02-24,6.0,-5.7,0.0,Muğla
2025-02-25,8.5,-4.9,0.0,Muğla
2025-02-26,11.3,-1.1,0.1,Muğla
2025-02-27,10.0,-1.2,2.2,Muğla
2025-02-28,10.1,3.2,3.7,Muğla
2025-03-01,14.8,1.0,0.2,Muğla
2025-03-02,14.5,3.8,0.0,Muğla
2025-03-03,13.7,3.8,0.1,Muğla
2025-03-04,13.1,0.4,1.1,Muğla
2025-03-05,16.2,1.3,0.0,Muğla
2025-03-06,19.7,3.4,0.0,Muğla
2025-03-07,20.1,4.4,0.0,Muğla
2025-03-08,18.7,6.1,0.0,Muğla
2025-03-09,15.7,4.9,0.0,Muğla
2025-03-10,17.3,3.2,0.0,Muğla
2025-03-11,15.7,5.3,0.0,Muğla
2025-03-12,17.2,9.0,0.0,Muğla
2025-03-13,18.2,9.9,0.0,Muğla
2025-03-14,20.8,11.9,0.0,Muğla
2025-03-15,24.0,10.9,0.0,Muğla
2025-03-16,22.1,14.5,0.1,Muğla
2025-03-17,19.0,8.8,0.0,Muğla
2025-03-18,15.6,5.4,0.0,Muğla
2025-03-19,8.6,1.1,0.6,Muğla
2025-03-20,8.3,-1.6,0.0,Muğla
2025-03-21,11.0,-0.5,0.0,Muğla
2025-03-22,15.4,-1.5,0.0,Muğla
2025-03-23,16.6,2.0,0.0,Muğla
2025-03-24,18.6,6.0,0.0,Muğla
2025-03-25,21.2,9.8,0.0,Muğla
2025-03-26,22.4,10.9,0.1,Muğla
2025-03-27,20.8,13.9,0.4,Muğla
2025-03-28,19.1,8.8,0.9,Muğla
2025-03-29,14.3,6.5,14.7,Muğla
2025-03-30,13.8,7.7,1.8,Muğla
2025-03-31,13.8,7.5,1.8,Muğla
2025-04-01,11.5,8.0,33.4,Muğla
2025-04-02,11.7,6.3,15.5,Muğla
2025-04-03,14.9,4.8,3.4,Muğla
2025-04-04,15.8,5.1,5.8,Muğla
2025-04-05,11.4,4.4,11.9,Muğla
2025-04-06,12.9,6.8,3.1,Muğla
2025-04-07,13.9,6.8,1.1,Muğla
2025-04-08,11.1,5.7,16.2,Muğla
2025-04-09,9.4,2.1,0.0,Muğla
2025-04-10,10.0,-1.1,0.0,Muğla
2025-04-11,10.2,0.7,0.0,Muğla
2025-04-12,13.9,-0.6,2.2,Muğla
2025-04-13,14.3,2.1,0.0,Muğla
2025-04-14,17.3,2.6,0.0,Muğla
2025-04-15,19.4,3.4,0.0,Muğla
2025-04-16,23.5,7.9,0.0,Muğla
2025-04-17,24.0,9.1,0.0,Muğla
2025-04-18,25.0,12.0,0.0,Muğla
2025-04-19,19.8,9.9,0.0,Muğla
2025-04-20,22.4,8.1,0.0,Muğla
2025-04-21,21.5,9.2,0.0,Muğla
2025-04-22,21.2,9.6,0.0,Muğla
2025-04-23,24.7,10.5,0.0,Muğla
2025-04-24,18.2,9.4,7.2,Muğla
2025-04-25,17.5,8.5,3.0,Muğla
2025-04-26,19.5,7.3,0.0,Muğla
2025-04-27,18.8,7.6,1.4,Muğla
2025-04-28,20.2,8.1,6.2,Muğla
2025-04-29,18.7,7.7,5.2,Muğla
2025-04-30,18.0,8.1,15.5,Muğla
