time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,18.5,6.0,9.2,Muş
2024-05-02,17.3,6.9,2.5,Muş
2024-05-03,14.8,4.8,0.6,Muş
2024-05-04,12.3,3.6,8.4,Muş
2024-05-05,12.1,3.2,2.6,Muş
2024-05-06,8.1,1.0,21.0,Muş
2024-05-07,10.1,0.8,11.0,Muş
2024-05-08,10.9,0.1,1.6,Muş
2024-05-09,14.4,2.6,0.0,Muş
2024-05-10,15.3,3.1,0.4,Muş
2024-05-11,11.7,5.6,9.9,Muş
2024-05-12,16.0,4.8,6.0,Muş
2024-05-13,11.8,3.2,8.2,Muş
2024-05-14,9.5,2.4,10.6,Muş
2024-05-15,10.8,2.8,0.7,Muş
2024-05-16,11.7,2.8,1.3,Muş
2024-05-17,12.7,0.8,0.0,Muş
2024-05-18,14.3,0.9,0.0,Muş
2024-05-19,13.9,3.6,5.3,Muş
2024-05-20,15.6,4.5,0.0,Muş
2024-05-21,17.8,4.9,5.5,Muş
2024-05-22,17.2,4.7,0.6,Muş
2024-05-23,18.2,6.2,1.9,Muş
2024-05-24,17.2,5.1,3.8,Muş
2024-05-25,13.6,5.5,11.0,Muş
2024-05-26,12.8,5.1,9.3,Muş
2024-05-27,16.9,6.9,0.5,Muş
2024-05-28,20.2,7.1,0.5,Muş
2024-05-29,20.2,6.8,0.7,Muş
2024-05-30,20.0,8.0,3.8,Muş
2024-05-31,23.0,8.0,0.0,Muş
2024-06-01,18.6,6.8,1.5,Muş
2024-06-02,20.5,6.6,0.0,Muş
2024-06-03,22.0,6.6,0.0,Muş
2024-06-04,23.3,9.3,0.0,Muş
2024-06-05,23.6,8.4,0.0,Muş
2024-06-06,24.6,9.8,0.0,Muş
2024-06-07,24.5,11.3,0.0,Muş
2024-06-08,22.4,10.5,1.3,Muş
2024-06-09,24.1,9.5,0.7,Muş
2024-06-10,23.0,9.4,6.0,Muş
2024-06-11,22.0,7.4,0.2,Muş
2024-06-12,23.8,12.3,0.0,Muş
2024-06-13,24.4,11.8,0.0,Muş
2024-06-14,25.2,11.6,0.0,Muş
2024-06-15,26.1,12.8,0.0,Muş
2024-06-16,27.0,11.4,0.0,Muş
2024-06-17,27.7,12.7,0.0,Muş
2024-06-18,28.3,13.4,0.0,Muş
2024-06-19,28.3,12.2,0.0,Muş
2024-06-20,28.6,12.4,0.0,Muş
2024-06-21,27.8,12.6,0.0,Muş
2024-06-22,27.4,11.1,0.0,Muş
2024-06-23,28.1,12.5,0.0,Muş
2024-06-24,27.5,13.3,0.0,Muş
2024-06-25,27.7,12.8,0.6,Muş
2024-06-26,27.4,11.5,0.0,Muş
2024-06-27,23.5,7.0,0.0,Muş
2024-06-28,25.7,9.2,0.0,Muş
2024-06-29,26.6,10.6,0.2,Muş
2024-06-30,25.9,12.5,3.4,Muş
2024-07-01,22.5,10.2,3.4,Muş
2024-07-02,22.4,9.0,0.2,Muş
2024-07-03,22.8,9.8,0.2,Muş
2024-07-04,26.4,9.1,0.0,Muş
2024-07-05,28.0,11.0,0.0,Muş
2024-07-06,29.4,13.0,0.0,Muş
2024-07-07,26.7,14.7,0.1,Muş
2024-07-08,25.4,11.9,0.9,Muş
2024-07-09,25.9,11.4,3.2,Muş
2024-07-10,24.3,12.1,4.4,Muş
2024-07-11,27.1,12.0,0.0,Muş
