time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,19.9,10.6,20.1,Nevşehir
2024-05-02,20.1,11.4,1.6,Nevşehir
2024-05-03,15.8,8.3,0.4,Nevşehir
2024-05-04,17.4,8.0,7.4,Nevşehir
2024-05-05,12.8,5.5,11.9,Nevşehir
2024-05-06,12.0,1.0,0.0,Nevşehir
2024-05-07,14.9,1.2,0.0,Nevşehir
2024-05-08,20.7,5.9,0.0,Nevşehir
2024-05-09,22.4,7.2,0.0,Nevşehir
2024-05-10,25.1,7.8,0.0,Nevşehir
2024-05-11,22.0,11.2,2.2,Nevşehir
2024-05-12,15.6,8.1,3.0,Nevşehir
2024-05-13,15.8,6.1,0.2,Nevşehir
2024-05-14,14.4,6.3,1.0,Nevşehir
2024-05-15,18.5,3.5,0.7,Nevşehir
2024-05-16,19.5,8.4,0.2,Nevşehir
2024-05-17,21.5,8.6,4.6,Nevşehir
2024-05-18,23.8,11.2,4.0,Nevşehir
2024-05-19,24.5,12.7,0.0,Nevşehir
2024-05-20,24.1,13.9,0.5,Nevşehir
2024-05-21,23.9,12.1,0.1,Nevşehir
2024-05-22,28.1,12.4,0.0,Nevşehir
2024-05-23,27.3,13.0,3.9,Nevşehir
2024-05-24,19.2,11.1,5.9,Nevşehir
2024-05-25,17.9,10.1,11.8,Nevşehir
2024-05-26,21.4,8.8,0.2,Nevşehir
2024-05-27,18.9,10.3,6.5,Nevşehir
2024-05-28,20.4,8.9,12.1,Nevşehir
2024-05-29,21.2,7.8,0.4,Nevşehir
2024-05-30,22.3,10.5,1.4,Nevşehir
2024-05-31,21.0,11.8,4.8,Nevşehir
2024-06-01,24.5,10.5,0.0,Nevşehir
2024-06-02,27.0,12.5,0.0,Nevşehir
2024-06-03,29.8,14.1,0.0,Nevşehir
2024-06-04,30.4,16.1,0.0,Nevşehir
2024-06-05,31.5,17.2,0.0,Nevşehir
2024-06-06,31.6,18.4,0.0,Nevşehir
2024-06-07,28.7,16.3,1.1,Nevşehir
2024-06-08,26.4,14.2,4.5,Nevşehir
2024-06-09,23.5,12.3,0.6,Nevşehir
2024-06-10,25.8,12.0,0.0,Nevşehir
2024-06-11,29.1,12.5,0.0,Nevşehir
2024-06-12,33.4,18.7,0.0,Nevşehir
2024-06-13,32.8,18.1,0.0,Nevşehir
2024-06-14,32.8,19.2,0.4,Nevşehir
2024-06-15,28.6,17.3,0.0,Nevşehir
2024-06-16,29.9,13.0,0.0,Nevşehir
2024-06-17,31.9,16.8,0.0,Nevşehir
2024-06-18,32.6,18.4,0.0,Nevşehir
2024-06-19,32.4,16.0,0.0,Nevşehir
2024-06-20,32.9,15.3,0.0,Nevşehir
2024-06-21,31.5,15.3,0.0,Nevşehir
2024-06-22,31.9,13.6,0.0,Nevşehir
2024-06-23,32.2,13.0,0.0,Nevşehir
2024-06-24,33.3,13.6,0.0,Nevşehir
2024-06-25,34.9,16.5,0.0,Nevşehir
2024-06-26,29.6,16.4,0.0,Nevşehir
2024-06-27,29.6,12.6,0.0,Nevşehir
2024-06-28,32.0,14.4,0.0,Nevşehir
2024-06-29,28.2,14.6,0.0,Nevşehir
2024-06-30,26.7,12.6,0.4,Nevşehir
2024-07-01,27.4,11.5,0.4,Nevşehir
2024-07-02,28.2,13.3,0.0,Nevşehir
2024-07-03,34.3,14.3,0.0,Nevşehir
2024-07-04,35.0,18.6,0.0,Nevşehir
2024-07-05,31.5,19.3,0.3,Nevşehir
2024-07-06,25.5,15.7,0.4,Nevşehir
2024-07-07,29.6,16.7,2.1,Nevşehir
2024-07-08,31.1,14.4,0.0,Nevşehir
2024-07-09,31.2,15.9,0.0,Nevşehir
2024-07-10,30.4,16.3,0.3,Nevşehir
2024-07-11,31.4,16.1,0.0,Nevşehir
2024-07-12,31.7,16.1,0.0,Nevşehir
2024-07-13,32.3,19.2,0.0,Nevşehir
2024-07-14,30.3,17.3,0.0,Nevşehir
2024-07-15,29.8,16.9,1.1,Nevşehir
2024-07-16,31.5,16.2,0.0,Nevşehir
2024-07-17,32.9,18.5,0.9,Nevşehir
2024-07-18,31.5,17.5,0.3,Nevşehir
2024-07-19,31.4,16.5,0.0,Nevşehir
2024-07-20,31.7,15.3,0.0,Nevşehir
2024-07-21,32.7,16.9,0.0,Nevşehir
2024-07-22,34.7,18.0,0.0,Nevşehir
2024-07-23,34.0,18.2,0.0,Nevşehir
2024-07-24,32.0,18.6,0.3,Nevşehir
2024-07-25,31.8,18.4,0.0,Nevşehir
2024-07-26,28.2,17.6,0.3,Nevşehir
2024-07-27,26.4,15.3,0.1,Nevşehir
2024-07-28,29.2,14.9,0.0,Nevşehir
2024-07-29,29.7,11.5,0.0,Nevşehir
2024-07-30,29.7,14.7,0.0,Nevşehir
2024-07-31,27.9,14.5,0.0,Nevşehir
2024-08-01,28.8,12.7,0.0,Nevşehir
2024-08-02,30.8,13.9,0.0,Nevşehir
2024-08-03,32.6,15.3,0.0,Nevşehir
2024-08-04,34.6,18.1,0.0,Nevşehir
2024-08-05,33.4,16.4,0.0,Nevşehir
2024-08-06,32.4,16.8,0.0,Nevşehir
2024-08-07,32.0,18.7,0.3,Nevşehir
2024-08-08,32.3,16.2,0.0,Nevşehir
2024-08-09,33.7,17.9,0.0,Nevşehir
2024-08-10,33.6,17.9,0.0,Nevşehir
2024-08-11,29.0,17.4,0.0,Nevşehir
2024-08-12,28.5,13.3,0.0,Nevşehir
2024-08-13,30.9,12.2,0.0,Nevşehir
2024-08-14,33.1,15.0,0.0,Nevşehir
2024-08-15,31.7,14.0,0.0,Nevşehir
2024-08-16,27.5,13.7,0.0,Nevşehir
2024-08-17,27.2,12.3,0.0,Nevşehir
2024-08-18,31.4,11.8,0.0,Nevşehir
2024-08-19,34.6,19.7,0.0,Nevşehir
2024-08-20,35.3,20.8,0.0,Nevşehir
2024-08-21,37.0,19.4,0.0,Nevşehir
2024-08-22,34.0,21.0,0.0,Nevşehir
2024-08-23,32.0,20.3,0.1,Nevşehir
