time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,20.6,12.4,5.3,Niğde
2024-05-02,19.5,11.3,2.4,Niğde
2024-05-03,16.0,9.2,1.5,Niğde
2024-05-04,16.3,8.1,14.4,Niğde
2024-05-05,11.9,5.8,11.9,Niğde
2024-05-06,13.1,3.8,0.3,Niğde
2024-05-07,16.2,2.1,0.0,Niğde
2024-05-08,19.8,7.5,0.0,Niğde
2024-05-09,20.1,9.6,0.0,Niğde
2024-05-10,24.3,15.0,0.0,Niğde
2024-05-11,18.4,9.5,11.3,Niğde
2024-05-12,15.2,7.4,41.7,Niğde
2024-05-13,14.7,7.0,8.4,Niğde
2024-05-14,13.7,5.7,2.6,Niğde
2024-05-15,17.8,5.3,3.1,Niğde
2024-05-16,19.0,11.1,1.4,Niğde
2024-05-17,21.0,11.9,0.8,Niğde
2024-05-18,23.3,14.1,1.4,Niğde
2024-05-19,25.0,14.4,0.0,Niğde
2024-05-20,23.4,15.8,7.8,Niğde
2024-05-21,22.9,15.2,4.8,Niğde
2024-05-22,26.8,13.3,0.3,Niğde
2024-05-23,25.8,13.5,3.3,Niğde
2024-05-24,16.2,9.9,12.0,Niğde
2024-05-25,15.7,9.9,30.9,Niğde
2024-05-26,20.1,10.8,0.7,Niğde
2024-05-27,19.9,10.9,0.9,Niğde
2024-05-28,18.8,10.7,5.0,Niğde
2024-05-29,20.9,8.9,0.1,Niğde
2024-05-30,21.1,10.9,1.1,Niğde
2024-05-31,19.4,12.6,2.7,Niğde
2024-06-01,23.1,14.1,0.1,Niğde
2024-06-02,26.5,14.2,0.0,Niğde
2024-06-03,29.0,17.0,0.0,Niğde
2024-06-04,30.5,18.4,0.0,Niğde
2024-06-05,30.3,17.9,0.1,Niğde
2024-06-06,30.5,18.4,0.1,Niğde
2024-06-07,29.4,18.0,2.9,Niğde
2024-06-08,27.3,15.0,0.1,Niğde
2024-06-09,23.4,13.1,0.4,Niğde
2024-06-10,26.3,13.7,0.0,Niğde
2024-06-11,29.2,15.1,0.0,Niğde
2024-06-12,32.1,18.7,0.0,Niğde
2024-06-13,33.3,20.6,0.0,Niğde
2024-06-14,33.1,20.0,0.2,Niğde
2024-06-15,29.9,19.5,0.3,Niğde
2024-06-16,29.6,14.7,0.0,Niğde
2024-06-17,31.5,18.8,0.3,Niğde
2024-06-18,32.6,19.9,0.0,Niğde
