time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,17.5,14.7,0.3,Ordu
2024-05-02,15.7,13.7,14.1,Ordu
2024-05-03,16.7,13.1,6.2,Ordu
2024-05-04,17.3,13.2,2.9,Ordu
2024-05-05,15.3,11.4,11.2,Ordu
2024-05-06,13.8,10.6,3.0,Ordu
2024-05-07,16.8,10.2,0.6,Ordu
2024-05-08,19.6,9.0,0.0,Ordu
2024-05-09,18.9,10.4,0.9,Ordu
2024-05-10,18.4,11.8,0.0,Ordu
2024-05-11,18.9,13.0,3.3,Ordu
2024-05-12,18.3,13.8,12.2,Ordu
2024-05-13,17.9,11.5,0.1,Ordu
2024-05-14,15.0,9.1,2.3,Ordu
2024-05-15,16.7,8.0,0.0,Ordu
2024-05-16,15.4,9.5,7.4,Ordu
2024-05-17,16.6,8.5,0.0,Ordu
2024-05-18,16.9,8.9,0.5,Ordu
2024-05-19,17.4,11.3,0.9,Ordu
2024-05-20,18.4,11.1,0.0,Ordu
2024-05-21,18.7,10.9,0.0,Ordu
2024-05-22,20.0,10.5,0.0,Ordu
2024-05-23,21.9,14.0,9.2,Ordu
2024-05-24,19.9,14.3,0.6,Ordu
2024-05-25,20.4,15.5,4.2,Ordu
2024-05-26,20.9,14.9,3.1,Ordu
2024-05-27,19.1,13.5,6.0,Ordu
2024-05-28,20.0,16.1,4.6,Ordu
2024-05-29,21.5,15.3,0.1,Ordu
2024-05-30,21.9,14.4,2.4,Ordu
2024-05-31,22.4,16.2,0.4,Ordu
2024-06-01,24.9,16.9,0.0,Ordu
2024-06-02,25.9,16.2,0.0,Ordu
2024-06-03,26.2,16.6,0.0,Ordu
2024-06-04,26.6,16.3,0.0,Ordu
2024-06-05,30.5,17.8,0.0,Ordu
2024-06-06,27.7,19.4,0.0,Ordu
2024-06-07,26.0,19.3,0.0,Ordu
2024-06-08,25.3,18.9,0.4,Ordu
2024-06-09,26.7,20.2,1.2,Ordu
2024-06-10,27.8,20.3,0.0,Ordu
