time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,26.1,17.1,2.6,Osmaniye
2024-05-02,23.1,16.8,41.8,Osmaniye
2024-05-03,22.7,16.2,12.2,Osmaniye
2024-05-04,22.2,14.7,30.3,Osmaniye
2024-05-05,16.5,13.5,23.3,Osmaniye
2024-05-06,22.2,12.1,3.1,Osmaniye
2024-05-07,22.1,10.5,0.0,Osmaniye
2024-05-08,23.3,10.9,0.0,Osmaniye
2024-05-09,28.3,12.7,0.0,Osmaniye
2024-05-10,33.6,11.1,0.1,Osmaniye
2024-05-11,26.0,17.7,5.9,Osmaniye
2024-05-12,20.4,15.4,24.0,Osmaniye
2024-05-13,20.6,14.1,34.8,Osmaniye
2024-05-14,23.6,11.9,0.2,Osmaniye
2024-05-15,22.9,13.0,1.1,Osmaniye
2024-05-16,22.7,13.8,5.6,Osmaniye
2024-05-17,25.0,14.6,0.3,Osmaniye
2024-05-18,24.9,15.7,0.0,Osmaniye
2024-05-19,26.3,17.5,0.0,Osmaniye
2024-05-20,28.1,16.2,0.0,Osmaniye
2024-05-21,27.0,17.8,0.0,Osmaniye
2024-05-22,28.3,17.2,0.0,Osmaniye
2024-05-23,27.1,18.6,1.6,Osmaniye
2024-05-24,22.3,16.2,24.0,Osmaniye
2024-05-25,23.4,15.9,16.2,Osmaniye
2024-05-26,25.0,15.6,5.9,Osmaniye
2024-05-27,29.6,14.9,1.9,Osmaniye
2024-05-28,25.3,16.8,1.9,Osmaniye
2024-05-29,24.7,15.4,0.1,Osmaniye
2024-05-30,24.1,16.2,1.5,Osmaniye
2024-05-31,24.0,16.4,1.1,Osmaniye
2024-06-01,28.1,17.7,0.0,Osmaniye
2024-06-02,32.1,16.4,0.0,Osmaniye
2024-06-03,36.5,21.1,0.0,Osmaniye
2024-06-04,39.0,21.4,0.0,Osmaniye
2024-06-05,37.8,20.7,0.0,Osmaniye
2024-06-06,38.9,21.3,0.0,Osmaniye
2024-06-07,38.7,24.6,0.1,Osmaniye
2024-06-08,34.8,22.5,0.0,Osmaniye
2024-06-09,31.9,20.8,0.4,Osmaniye
2024-06-10,31.2,21.3,0.0,Osmaniye
2024-06-11,30.9,20.1,0.0,Osmaniye
2024-06-12,32.3,20.9,0.0,Osmaniye
2024-06-13,35.2,21.3,0.0,Osmaniye
2024-06-14,39.0,23.2,0.0,Osmaniye
2024-06-15,33.8,22.4,0.0,Osmaniye
2024-06-16,31.0,22.4,0.0,Osmaniye
2024-06-17,29.6,21.6,0.1,Osmaniye
2024-06-18,31.2,22.0,0.0,Osmaniye
2024-06-19,34.0,22.3,0.0,Osmaniye
2024-06-20,32.5,22.6,0.0,Osmaniye
2024-06-21,30.9,23.3,0.0,Osmaniye
2024-06-22,28.5,24.8,0.4,Osmaniye
2024-06-23,29.3,24.5,1.2,Osmaniye
2024-06-24,31.0,22.9,0.0,Osmaniye
2024-06-25,30.5,23.5,1.0,Osmaniye
2024-06-26,31.7,24.2,0.3,Osmaniye
2024-06-27,34.1,21.5,0.0,Osmaniye
2024-06-28,31.7,23.0,0.0,Osmaniye
2024-06-29,31.4,22.6,0.1,Osmaniye
2024-06-30,32.0,21.8,0.1,Osmaniye
2024-07-01,34.3,22.9,0.0,Osmaniye
2024-07-02,35.2,22.0,0.0,Osmaniye
2024-07-03,33.0,22.9,0.0,Osmaniye
2024-07-04,32.9,22.7,0.0,Osmaniye
2024-07-05,30.6,22.7,0.0,Osmaniye
2024-07-06,31.0,23.9,0.7,Osmaniye
2024-07-07,34.0,23.3,0.0,Osmaniye
2024-07-08,32.6,22.9,0.0,Osmaniye
2024-07-09,32.5,24.9,1.8,Osmaniye
2024-07-10,33.9,25.2,2.2,Osmaniye
2024-07-11,34.4,24.7,1.5,Osmaniye
2024-07-12,33.0,25.0,0.0,Osmaniye
2024-07-13,31.9,25.5,1.4,Osmaniye
2024-07-14,31.5,24.7,1.4,Osmaniye
2024-07-15,31.9,25.5,2.7,Osmaniye
2024-07-16,32.9,24.5,1.1,Osmaniye
2024-07-17,31.6,25.8,1.5,Osmaniye
2024-07-18,32.5,26.0,1.1,Osmaniye
2024-07-19,34.3,25.9,0.0,Osmaniye
2024-07-20,37.6,25.0,0.0,Osmaniye
2024-07-21,33.8,25.4,0.3,Osmaniye
2024-07-22,34.2,24.2,0.1,Osmaniye
2024-07-23,33.3,25.3,0.7,Osmaniye
2024-07-24,32.1,26.1,2.5,Osmaniye
2024-07-25,31.1,24.9,20.9,Osmaniye
2024-07-26,30.9,24.3,7.0,Osmaniye
2024-07-27,34.0,23.2,0.1,Osmaniye
2024-07-28,38.7,21.8,0.0,Osmaniye
2024-07-29,36.3,20.8,0.0,Osmaniye
2024-07-30,33.3,22.8,0.0,Osmaniye
2024-07-31,34.7,24.5,0.0,Osmaniye
2024-08-01,33.1,25.1,0.0,Osmaniye
2024-08-02,32.9,24.5,0.6,Osmaniye
2024-08-03,33.0,23.9,0.1,Osmaniye
2024-08-04,31.7,23.0,0.8,Osmaniye
2024-08-05,32.8,23.5,1.0,Osmaniye
2024-08-06,32.7,24.4,0.6,Osmaniye
2024-08-07,31.9,26.2,0.6,Osmaniye
2024-08-08,32.4,25.1,0.0,Osmaniye
2024-08-09,33.0,25.0,0.1,Osmaniye
2024-08-10,31.7,25.8,0.7,Osmaniye
2024-08-11,32.9,25.7,0.0,Osmaniye
2024-08-12,36.1,24.4,0.6,Osmaniye
2024-08-13,33.7,23.8,0.0,Osmaniye
2024-08-14,33.3,24.4,0.1,Osmaniye
2024-08-15,31.5,24.2,0.0,Osmaniye
2024-08-16,33.6,23.9,0.0,Osmaniye
2024-08-17,35.0,25.4,0.2,Osmaniye
2024-08-18,34.1,24.0,0.0,Osmaniye
2024-08-19,34.0,23.6,0.0,Osmaniye
2024-08-20,31.8,25.3,0.3,Osmaniye
2024-08-21,31.7,25.7,0.1,Osmaniye
2024-08-22,32.6,25.3,0.1,Osmaniye
2024-08-23,32.4,23.6,0.9,Osmaniye
2024-08-24,31.1,21.9,12.9,Osmaniye
2024-08-25,32.8,21.2,6.6,Osmaniye
2024-08-26,33.4,21.2,0.0,Osmaniye
2024-08-27,32.3,23.4,0.8,Osmaniye
2024-08-28,30.9,23.7,2.3,Osmaniye
2024-08-29,31.5,24.3,0.7,Osmaniye
2024-08-30,29.9,23.3,3.2,Osmaniye
2024-08-31,31.1,23.1,4.4,Osmaniye
2024-09-01,29.9,21.9,3.9,Osmaniye
2024-09-02,28.8,21.6,6.5,Osmaniye
2024-09-03,31.8,20.4,0.1,Osmaniye
2024-09-04,30.5,22.9,0.2,Osmaniye
2024-09-05,30.3,24.0,2.2,Osmaniye
2024-09-06,32.3,22.8,1.1,Osmaniye
2024-09-07,31.8,23.5,2.7,Osmaniye
2024-09-08,29.7,21.0,1.9,Osmaniye
2024-09-09,34.9,22.6,0.0,Osmaniye
2024-09-10,32.0,22.5,0.3,Osmaniye
2024-09-11,29.4,21.8,2.4,Osmaniye
2024-09-12,31.7,21.3,0.1,Osmaniye
2024-09-13,31.2,21.9,0.0,Osmaniye
2024-09-14,30.7,22.8,0.3,Osmaniye
2024-09-15,30.0,22.8,1.3,Osmaniye
2024-09-16,28.1,21.6,9.5,Osmaniye
2024-09-17,29.1,20.8,3.1,Osmaniye
2024-09-18,30.1,19.8,3.8,Osmaniye
2024-09-19,27.0,19.7,15.2,Osmaniye
2024-09-20,27.9,17.6,2.4,Osmaniye
2024-09-21,27.0,18.7,9.0,Osmaniye
2024-09-22,22.1,17.3,20.5,Osmaniye
2024-09-23,27.7,17.2,0.0,Osmaniye
2024-09-24,28.8,15.8,0.0,Osmaniye
2024-09-25,31.0,19.0,0.0,Osmaniye
2024-09-26,32.8,18.3,0.0,Osmaniye
2024-09-27,32.5,18.4,0.0,Osmaniye
2024-09-28,33.5,17.8,0.0,Osmaniye
2024-09-29,30.4,21.1,0.0,Osmaniye
2024-09-30,28.2,19.2,3.0,Osmaniye
2024-10-01,25.2,18.3,71.8,Osmaniye
2024-10-02,27.3,15.7,0.0,Osmaniye
2024-10-03,28.1,14.6,0.0,Osmaniye
2024-10-04,29.0,15.4,0.0,Osmaniye
2024-10-05,30.3,17.7,0.0,Osmaniye
2024-10-06,32.6,19.9,0.0,Osmaniye
2024-10-07,30.9,20.9,0.0,Osmaniye
2024-10-08,28.4,19.7,0.0,Osmaniye
2024-10-09,29.3,19.0,0.0,Osmaniye
2024-10-10,28.9,18.9,0.1,Osmaniye
2024-10-11,27.2,19.2,1.8,Osmaniye
2024-10-12,28.2,17.5,0.0,Osmaniye
2024-10-13,28.0,17.7,9.8,Osmaniye
2024-10-14,27.5,19.2,2.3,Osmaniye
2024-10-15,28.5,19.0,0.0,Osmaniye
2024-10-16,29.0,18.1,0.0,Osmaniye
2024-10-17,28.3,17.5,1.7,Osmaniye
2024-10-18,23.4,12.7,0.0,Osmaniye
2024-10-19,22.1,9.1,0.0,Osmaniye
2024-10-20,23.0,8.6,0.0,Osmaniye
2024-10-21,23.4,10.1,0.0,Osmaniye
2024-10-22,23.1,10.3,0.0,Osmaniye
2024-10-23,24.6,9.6,0.0,Osmaniye
2024-10-24,24.4,7.5,0.0,Osmaniye
2024-10-25,25.5,10.8,0.0,Osmaniye
2024-10-26,27.0,9.5,0.0,Osmaniye
2024-10-27,25.4,10.0,0.0,Osmaniye
2024-10-28,25.2,12.8,0.0,Osmaniye
2024-10-29,25.1,12.7,0.0,Osmaniye
2024-10-30,26.7,9.7,0.0,Osmaniye
2024-10-31,26.6,9.0,0.0,Osmaniye
2024-11-01,27.6,13.7,0.0,Osmaniye
2024-11-02,27.2,11.8,0.0,Osmaniye
2024-11-03,24.8,12.4,0.0,Osmaniye
2024-11-04,21.7,13.1,0.3,Osmaniye
2024-11-05,23.0,11.2,0.0,Osmaniye
2024-11-06,23.2,6.5,0.0,Osmaniye
2024-11-07,24.6,6.8,0.0,Osmaniye
2024-11-08,24.2,9.4,0.0,Osmaniye
2024-11-09,24.6,11.4,0.0,Osmaniye
2024-11-10,25.2,11.2,0.0,Osmaniye
2024-11-11,22.2,10.9,0.0,Osmaniye
2024-11-12,23.1,10.4,0.0,Osmaniye
2024-11-13,22.9,9.9,0.0,Osmaniye
2024-11-14,22.1,9.9,0.0,Osmaniye
2024-11-15,21.8,9.5,0.0,Osmaniye
2024-11-16,20.8,11.3,7.3,Osmaniye
2024-11-17,16.3,11.7,23.9,Osmaniye
2024-11-18,16.7,9.5,4.8,Osmaniye
2024-11-19,19.2,6.7,0.5,Osmaniye
2024-11-20,18.7,8.8,0.1,Osmaniye
2024-11-21,16.3,10.2,2.1,Osmaniye
2024-11-22,19.6,10.7,11.4,Osmaniye
2024-11-23,22.3,10.8,0.0,Osmaniye
2024-11-24,13.3,8.1,37.8,Osmaniye
2024-11-25,11.8,4.1,0.0,Osmaniye
2024-11-26,12.5,1.2,0.0,Osmaniye
2024-11-27,13.9,1.0,0.0,Osmaniye
2024-11-28,14.2,0.4,0.0,Osmaniye
2024-11-29,15.1,0.8,0.0,Osmaniye
2024-11-30,15.2,1.2,0.0,Osmaniye
2024-12-01,15.7,1.5,0.0,Osmaniye
2024-12-02,16.0,1.8,0.0,Osmaniye
2024-12-03,17.0,0.3,0.0,Osmaniye
2024-12-04,12.5,5.6,15.0,Osmaniye
2024-12-05,18.1,7.4,0.0,Osmaniye
2024-12-06,19.4,5.1,0.0,Osmaniye
2024-12-07,18.8,8.0,0.0,Osmaniye
2024-12-08,17.2,7.4,1.3,Osmaniye
2024-12-09,18.8,6.5,0.0,Osmaniye
2024-12-10,19.3,8.1,0.0,Osmaniye
2024-12-11,18.1,6.2,0.0,Osmaniye
2024-12-12,17.8,8.6,2.4,Osmaniye
2024-12-13,15.8,4.9,0.0,Osmaniye
2024-12-14,13.9,2.2,0.0,Osmaniye
2024-12-15,13.7,-0.9,0.0,Osmaniye
2024-12-16,9.6,5.1,3.1,Osmaniye
2024-12-17,14.8,1.4,0.0,Osmaniye
2024-12-18,16.0,1.9,0.0,Osmaniye
2024-12-19,17.8,1.5,0.0,Osmaniye
2024-12-20,16.3,5.0,0.0,Osmaniye
2024-12-21,15.2,2.4,1.0,Osmaniye
2024-12-22,14.3,8.4,49.2,Osmaniye
2024-12-23,14.3,8.7,13.5,Osmaniye
2024-12-24,15.3,7.8,0.9,Osmaniye
2024-12-25,18.8,7.7,0.1,Osmaniye
2024-12-26,14.9,8.7,7.9,Osmaniye
2024-12-27,13.8,8.2,0.1,Osmaniye
2024-12-28,14.2,5.0,0.3,Osmaniye
2024-12-29,14.6,7.5,1.3,Osmaniye
2024-12-30,14.0,8.4,3.2,Osmaniye
2024-12-31,16.7,5.0,0.0,Osmaniye
2025-01-01,15.1,3.8,0.0,Osmaniye
2025-01-02,15.2,2.2,0.0,Osmaniye
2025-01-03,14.8,1.9,0.0,Osmaniye
2025-01-04,15.6,0.6,0.0,Osmaniye
2025-01-05,14.3,5.3,1.0,Osmaniye
2025-01-06,15.5,3.2,0.0,Osmaniye
2025-01-07,15.5,1.5,0.0,Osmaniye
2025-01-08,16.2,2.8,0.0,Osmaniye
2025-01-09,17.2,2.6,0.0,Osmaniye
2025-01-10,18.4,2.3,0.0,Osmaniye
2025-01-11,16.9,2.2,0.0,Osmaniye
2025-01-12,17.0,4.3,0.7,Osmaniye
2025-01-13,18.1,6.2,0.0,Osmaniye
2025-01-14,19.7,5.7,0.0,Osmaniye
2025-01-15,18.8,4.5,0.0,Osmaniye
2025-01-16,17.3,7.4,8.3,Osmaniye
2025-01-17,18.0,5.4,0.0,Osmaniye
2025-01-18,16.4,3.2,0.0,Osmaniye
2025-01-19,16.7,3.5,0.0,Osmaniye
2025-01-20,17.0,4.0,0.0,Osmaniye
2025-01-21,16.0,1.6,0.0,Osmaniye
2025-01-22,13.1,1.2,1.2,Osmaniye
2025-01-23,13.7,4.8,5.5,Osmaniye
2025-01-24,14.8,2.7,0.0,Osmaniye
2025-01-25,15.7,1.8,0.0,Osmaniye
2025-01-26,16.6,0.6,0.0,Osmaniye
2025-01-27,17.8,3.1,0.0,Osmaniye
2025-01-28,16.5,0.7,0.0,Osmaniye
2025-01-29,17.6,0.1,0.0,Osmaniye
2025-01-30,18.4,2.9,0.0,Osmaniye
2025-01-31,18.3,2.1,0.0,Osmaniye
2025-02-01,17.2,4.6,0.0,Osmaniye
2025-02-02,17.1,4.6,0.0,Osmaniye
2025-02-03,17.6,5.1,0.0,Osmaniye
2025-02-04,17.7,4.8,0.0,Osmaniye
2025-02-05,11.3,5.6,3.3,Osmaniye
2025-02-06,11.8,2.3,1.1,Osmaniye
2025-02-07,10.6,-0.5,0.0,Osmaniye
2025-02-08,14.6,1.8,0.0,Osmaniye
2025-02-09,13.7,1.8,0.0,Osmaniye
2025-02-10,14.2,3.5,0.0,Osmaniye
2025-02-11,12.7,5.2,0.2,Osmaniye
2025-02-12,13.2,3.8,6.7,Osmaniye
2025-02-13,7.9,2.6,10.0,Osmaniye
2025-02-14,13.5,0.9,0.0,Osmaniye
2025-02-15,16.4,-0.8,0.0,Osmaniye
