time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,17.6,13.1,0.6,Rize
2024-05-02,15.8,14.0,12.3,Rize
2024-05-03,15.8,12.8,7.5,Rize
2024-05-04,16.9,12.5,11.2,Rize
2024-05-05,16.2,11.7,19.2,Rize
2024-05-06,12.5,10.8,5.4,Rize
2024-05-07,15.7,11.3,0.1,Rize
2024-05-08,18.0,9.7,0.0,Rize
2024-05-09,18.5,9.6,0.0,Rize
2024-05-10,18.2,11.8,1.2,Rize
2024-05-11,20.9,13.0,4.7,Rize
2024-05-12,16.7,12.8,12.2,Rize
2024-05-13,16.2,12.4,0.7,Rize
2024-05-14,13.9,10.9,11.3,Rize
2024-05-15,16.7,9.2,0.0,Rize
2024-05-16,16.5,10.7,8.3,Rize
2024-05-17,16.3,10.9,0.3,Rize
2024-05-18,17.3,10.0,0.0,Rize
2024-05-19,17.0,10.3,0.0,Rize
2024-05-20,17.8,10.9,0.0,Rize
2024-05-21,18.0,10.8,0.0,Rize
2024-05-22,19.5,12.9,0.0,Rize
2024-05-23,20.6,12.2,0.0,Rize
2024-05-24,18.5,14.4,2.9,Rize
2024-05-25,19.6,14.2,1.6,Rize
2024-05-26,20.1,14.2,2.2,Rize
2024-05-27,20.4,14.7,1.8,Rize
2024-05-28,20.6,15.7,1.3,Rize
2024-05-29,20.7,16.3,1.6,Rize
2024-05-30,21.8,15.7,0.6,Rize
2024-05-31,21.0,17.1,6.0,Rize
2024-06-01,25.5,16.4,3.2,Rize
2024-06-02,23.4,14.7,0.0,Rize
2024-06-03,23.9,14.8,0.0,Rize
2024-06-04,24.1,15.7,0.0,Rize
2024-06-05,26.9,17.9,0.0,Rize
2024-06-06,25.8,18.5,0.0,Rize
2024-06-07,25.1,18.9,0.0,Rize
2024-06-08,24.7,19.3,0.4,Rize
2024-06-09,22.9,19.6,3.0,Rize
2024-06-10,25.4,17.8,5.4,Rize
2024-06-11,25.5,17.7,0.0,Rize
2024-06-12,26.8,17.3,0.0,Rize
2024-06-13,27.3,20.0,0.0,Rize
2024-06-14,28.1,19.1,0.0,Rize
2024-06-15,27.3,20.9,4.1,Rize
2024-06-16,23.8,20.3,11.4,Rize
2024-06-17,25.4,19.6,1.7,Rize
2024-06-18,23.8,21.0,4.3,Rize
2024-06-19,25.0,20.9,0.7,Rize
2024-06-20,25.4,20.7,0.8,Rize
2024-06-21,25.7,21.8,1.6,Rize
2024-06-22,24.3,20.1,6.6,Rize
2024-06-23,25.3,19.2,0.3,Rize
2024-06-24,25.8,19.5,0.0,Rize
2024-06-25,26.4,19.7,0.4,Rize
2024-06-26,22.9,19.1,56.0,Rize
2024-06-27,24.8,17.9,0.0,Rize
2024-06-28,25.1,17.4,0.0,Rize
2024-06-29,24.5,18.0,0.1,Rize
2024-06-30,25.6,20.4,0.2,Rize
2024-07-01,23.1,19.5,22.2,Rize
2024-07-02,24.9,18.9,15.9,Rize
2024-07-03,26.1,19.4,0.0,Rize
2024-07-04,30.2,19.8,0.0,Rize
2024-07-05,26.4,21.7,3.4,Rize
2024-07-06,23.9,21.7,26.5,Rize
2024-07-07,25.8,21.5,0.3,Rize
2024-07-08,25.8,22.3,0.0,Rize
2024-07-09,27.0,22.3,1.3,Rize
2024-07-10,26.8,21.9,0.0,Rize
2024-07-11,27.4,21.7,0.0,Rize
2024-07-12,27.4,23.7,0.1,Rize
2024-07-13,27.4,23.5,1.3,Rize
2024-07-14,25.0,23.5,14.5,Rize
2024-07-15,27.6,23.2,1.7,Rize
2024-07-16,27.5,24.0,0.1,Rize
2024-07-17,28.1,23.7,0.9,Rize
2024-07-18,27.0,23.2,2.2,Rize
2024-07-19,26.9,21.3,42.9,Rize
2024-07-20,27.8,21.2,50.5,Rize
2024-07-21,28.2,20.5,35.2,Rize
2024-07-22,27.9,21.1,0.0,Rize
2024-07-23,27.9,21.4,0.2,Rize
2024-07-24,26.3,22.2,1.7,Rize
2024-07-25,27.3,21.4,6.9,Rize
2024-07-26,27.7,22.0,0.3,Rize
2024-07-27,24.8,21.6,16.9,Rize
2024-07-28,25.1,20.4,19.0,Rize
2024-07-29,27.0,21.0,0.0,Rize
2024-07-30,27.0,21.0,6.0,Rize
2024-07-31,24.9,21.1,25.3,Rize
2024-08-01,25.9,20.1,0.1,Rize
2024-08-02,24.7,21.4,1.1,Rize
2024-08-03,25.7,21.5,0.0,Rize
2024-08-04,26.6,20.7,0.0,Rize
2024-08-05,26.7,20.7,0.0,Rize
2024-08-06,27.5,22.4,0.3,Rize
2024-08-07,26.9,22.3,3.9,Rize
2024-08-08,26.7,21.3,11.4,Rize
2024-08-09,26.9,21.7,0.0,Rize
2024-08-10,27.4,21.9,0.0,Rize
2024-08-11,27.7,21.1,0.7,Rize
2024-08-12,25.6,21.3,50.6,Rize
2024-08-13,27.3,21.1,0.5,Rize
2024-08-14,27.6,20.5,0.0,Rize
2024-08-15,26.7,19.6,0.0,Rize
2024-08-16,25.7,20.2,4.2,Rize
2024-08-17,26.2,18.7,0.0,Rize
2024-08-18,26.8,20.7,0.0,Rize
2024-08-19,27.2,21.4,0.0,Rize
2024-08-20,27.7,22.2,0.0,Rize
2024-08-21,27.5,21.8,0.0,Rize
2024-08-22,28.1,23.1,0.4,Rize
2024-08-23,28.9,24.0,0.4,Rize
2024-08-24,26.5,23.0,10.6,Rize
2024-08-25,25.7,22.4,8.2,Rize
2024-08-26,27.4,21.8,3.9,Rize
2024-08-27,27.2,20.6,0.0,Rize
2024-08-28,26.8,23.1,0.0,Rize
2024-08-29,27.0,24.0,0.3,Rize
2024-08-30,24.8,22.6,26.4,Rize
2024-08-31,26.7,22.0,0.2,Rize
2024-09-01,26.3,22.7,2.0,Rize
2024-09-02,27.1,22.7,1.9,Rize
2024-09-03,26.9,22.1,2.5,Rize
2024-09-04,24.4,22.0,15.5,Rize
2024-09-05,25.1,21.7,17.8,Rize
2024-09-06,24.2,21.1,56.1,Rize
2024-09-07,26.0,20.1,0.2,Rize
2024-09-08,26.0,21.7,1.0,Rize
2024-09-09,26.5,22.1,1.1,Rize
2024-09-10,26.6,20.9,0.0,Rize
2024-09-11,27.3,21.1,0.0,Rize
2024-09-12,27.3,21.0,0.2,Rize
2024-09-13,26.1,22.4,3.4,Rize
2024-09-14,26.9,21.7,0.0,Rize
2024-09-15,26.4,20.6,0.0,Rize
2024-09-16,25.2,21.3,34.9,Rize
2024-09-17,22.7,20.0,40.8,Rize
2024-09-18,24.5,18.9,3.8,Rize
2024-09-19,24.2,19.2,9.6,Rize
2024-09-20,21.7,17.7,33.5,Rize
2024-09-21,23.1,16.8,1.7,Rize
2024-09-22,23.0,17.7,8.4,Rize
2024-09-23,22.0,18.3,48.5,Rize
2024-09-24,24.5,17.2,0.2,Rize
2024-09-25,24.1,17.7,0.8,Rize
2024-09-26,22.9,17.5,0.1,Rize
2024-09-27,23.7,18.6,0.0,Rize
2024-09-28,23.9,18.8,0.0,Rize
2024-09-29,23.9,18.2,0.0,Rize
2024-09-30,24.8,18.5,0.0,Rize
2024-10-01,21.1,17.2,56.9,Rize
2024-10-02,21.0,15.6,26.2,Rize
2024-10-03,22.5,16.3,0.0,Rize
2024-10-04,23.0,15.0,0.0,Rize
2024-10-05,23.5,14.5,0.0,Rize
2024-10-06,24.6,15.2,0.0,Rize
2024-10-07,27.3,15.8,1.7,Rize
2024-10-08,20.7,18.2,24.9,Rize
2024-10-09,22.8,16.2,0.0,Rize
2024-10-10,23.9,15.5,0.8,Rize
2024-10-11,23.8,18.4,0.3,Rize
2024-10-12,23.4,16.9,0.0,Rize
2024-10-13,23.4,17.6,33.4,Rize
2024-10-14,19.6,17.5,41.5,Rize
2024-10-15,18.7,17.3,21.0,Rize
2024-10-16,20.4,16.9,6.2,Rize
2024-10-17,16.7,12.6,30.9,Rize
2024-10-18,15.8,10.7,5.0,Rize
2024-10-19,14.9,8.5,3.9,Rize
2024-10-20,14.8,8.5,12.1,Rize
2024-10-21,11.3,9.4,50.3,Rize
2024-10-22,15.8,9.9,10.8,Rize
2024-10-23,15.4,10.6,1.5,Rize
2024-10-24,15.2,12.0,7.2,Rize
2024-10-25,16.9,12.4,10.4,Rize
2024-10-26,14.6,11.4,36.4,Rize
2024-10-27,15.4,9.7,0.4,Rize
2024-10-28,16.6,8.6,0.0,Rize
2024-10-29,16.7,8.2,0.0,Rize
2024-10-30,16.7,9.3,0.0,Rize
2024-10-31,16.8,9.3,0.0,Rize
2024-11-01,17.2,9.2,0.0,Rize
2024-11-02,17.3,9.3,0.0,Rize
2024-11-03,17.7,9.6,20.8,Rize
2024-11-04,12.3,8.5,2.5,Rize
2024-11-05,12.9,7.8,35.0,Rize
2024-11-06,12.2,6.5,2.6,Rize
2024-11-07,13.9,5.5,0.0,Rize
2024-11-08,14.6,7.4,0.0,Rize
2024-11-09,15.2,7.6,0.0,Rize
2024-11-10,14.5,6.8,0.0,Rize
2024-11-11,15.8,8.8,0.0,Rize
2024-11-12,15.7,9.8,0.0,Rize
2024-11-13,15.7,7.1,0.0,Rize
2024-11-14,15.6,7.4,0.2,Rize
2024-11-15,16.1,7.7,0.0,Rize
2024-11-16,15.3,10.7,38.5,Rize
2024-11-17,13.6,7.7,0.0,Rize
2024-11-18,17.2,8.2,1.4,Rize
2024-11-19,14.6,10.5,20.7,Rize
