time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,15.6,13.6,6.6,Sakarya
2024-05-02,17.9,13.4,3.8,Sakarya
2024-05-03,20.9,10.4,5.0,Sakarya
2024-05-04,18.8,11.0,18.2,Sakarya
2024-05-05,17.9,8.7,4.9,Sakarya
2024-05-06,18.7,5.7,0.0,Sakarya
2024-05-07,23.4,6.2,0.0,Sakarya
2024-05-08,26.5,9.6,0.0,Sakarya
2024-05-09,21.6,12.6,3.1,Sakarya
2024-05-10,21.6,13.7,4.7,Sakarya
2024-05-11,15.7,12.1,18.9,Sakarya
2024-05-12,19.8,10.9,1.6,Sakarya
2024-05-13,16.1,8.1,13.0,Sakarya
2024-05-14,18.1,5.4,0.0,Sakarya
2024-05-15,18.8,7.1,0.0,Sakarya
2024-05-16,19.3,8.6,0.0,Sakarya
2024-05-17,23.6,10.1,0.0,Sakarya
2024-05-18,24.0,12.6,0.0,Sakarya
2024-05-19,23.1,12.9,0.1,Sakarya
2024-05-20,23.6,13.0,0.0,Sakarya
2024-05-21,24.1,12.2,0.0,Sakarya
2024-05-22,27.7,13.2,0.0,Sakarya
2024-05-23,24.7,15.6,18.6,Sakarya
2024-05-24,20.9,15.0,11.4,Sakarya
2024-05-25,22.0,13.5,1.5,Sakarya
2024-05-26,21.6,14.6,2.3,Sakarya
2024-05-27,19.6,14.2,1.0,Sakarya
2024-05-28,22.0,10.7,0.1,Sakarya
2024-05-29,24.8,11.2,0.0,Sakarya
2024-05-30,26.7,13.1,0.4,Sakarya
2024-05-31,28.3,14.4,0.0,Sakarya
2024-06-01,30.4,15.7,0.0,Sakarya
2024-06-02,32.0,17.7,0.0,Sakarya
2024-06-03,32.9,20.1,0.0,Sakarya
2024-06-04,35.8,19.5,1.5,Sakarya
2024-06-05,31.5,20.0,0.0,Sakarya
2024-06-06,30.4,19.5,0.0,Sakarya
2024-06-07,28.7,18.8,0.2,Sakarya
2024-06-08,27.0,17.8,0.9,Sakarya
2024-06-09,29.1,19.6,0.0,Sakarya
2024-06-10,32.6,17.1,0.0,Sakarya
2024-06-11,36.6,18.3,0.0,Sakarya
2024-06-12,35.1,21.3,0.0,Sakarya
2024-06-13,36.5,22.1,0.0,Sakarya
2024-06-14,35.9,20.6,10.0,Sakarya
2024-06-15,25.5,17.8,2.5,Sakarya
2024-06-16,28.6,15.2,0.0,Sakarya
2024-06-17,29.3,14.5,0.0,Sakarya
2024-06-18,30.7,17.3,0.0,Sakarya
2024-06-19,30.3,17.9,0.0,Sakarya
2024-06-20,30.5,18.0,0.0,Sakarya
2024-06-21,31.0,18.5,0.0,Sakarya
2024-06-22,29.6,19.1,0.3,Sakarya
2024-06-23,30.6,16.9,0.0,Sakarya
2024-06-24,30.3,18.2,0.0,Sakarya
2024-06-25,30.6,20.4,0.0,Sakarya
2024-06-26,29.6,19.5,0.1,Sakarya
2024-06-27,30.1,17.6,0.0,Sakarya
2024-06-28,30.5,18.1,0.9,Sakarya
2024-06-29,29.3,19.9,2.2,Sakarya
2024-06-30,30.2,19.3,0.0,Sakarya
2024-07-01,31.1,15.9,0.0,Sakarya
2024-07-02,33.5,19.0,0.0,Sakarya
2024-07-03,33.3,19.5,0.0,Sakarya
2024-07-04,29.1,21.1,7.5,Sakarya
2024-07-05,27.4,20.6,6.5,Sakarya
2024-07-06,27.5,17.6,4.4,Sakarya
2024-07-07,31.0,20.8,0.0,Sakarya
2024-07-08,33.0,20.9,0.0,Sakarya
2024-07-09,32.8,21.0,1.0,Sakarya
2024-07-10,31.6,23.2,1.5,Sakarya
2024-07-11,29.0,22.0,7.4,Sakarya
2024-07-12,30.8,22.7,1.9,Sakarya
2024-07-13,31.8,22.5,2.2,Sakarya
2024-07-14,31.9,22.5,1.1,Sakarya
2024-07-15,32.1,19.9,0.0,Sakarya
2024-07-16,33.7,19.9,0.0,Sakarya
2024-07-17,32.9,22.4,1.1,Sakarya
2024-07-18,35.3,22.6,0.0,Sakarya
2024-07-19,35.4,22.9,0.4,Sakarya
2024-07-20,34.0,24.1,0.2,Sakarya
2024-07-21,34.9,21.7,0.0,Sakarya
2024-07-22,36.2,22.8,0.0,Sakarya
2024-07-23,33.8,23.2,0.8,Sakarya
2024-07-24,31.9,22.7,1.5,Sakarya
2024-07-25,32.6,20.7,0.1,Sakarya
2024-07-26,24.4,20.6,15.7,Sakarya
2024-07-27,25.6,19.7,6.1,Sakarya
2024-07-28,31.7,18.2,0.0,Sakarya
2024-07-29,32.5,19.3,0.0,Sakarya
2024-07-30,30.4,20.0,2.8,Sakarya
2024-07-31,29.1,18.7,0.1,Sakarya
2024-08-01,30.6,16.8,0.0,Sakarya
2024-08-02,30.9,17.0,0.0,Sakarya
2024-08-03,32.6,17.7,0.0,Sakarya
2024-08-04,32.9,21.0,0.0,Sakarya
2024-08-05,29.5,21.2,5.7,Sakarya
2024-08-06,31.4,17.6,0.0,Sakarya
2024-08-07,28.0,20.1,1.4,Sakarya
2024-08-08,30.8,19.8,0.0,Sakarya
2024-08-09,31.2,17.9,0.2,Sakarya
2024-08-10,28.0,21.3,6.1,Sakarya
2024-08-11,32.0,20.0,0.0,Sakarya
2024-08-12,32.9,19.4,0.0,Sakarya
2024-08-13,34.6,18.7,0.0,Sakarya
2024-08-14,36.1,21.2,0.0,Sakarya
2024-08-15,32.5,20.0,0.0,Sakarya
2024-08-16,30.9,17.2,0.0,Sakarya
2024-08-17,31.1,17.8,0.0,Sakarya
2024-08-18,33.0,19.6,0.0,Sakarya
2024-08-19,32.4,19.1,0.0,Sakarya
2024-08-20,34.0,18.5,0.0,Sakarya
2024-08-21,31.3,20.6,0.0,Sakarya
2024-08-22,29.8,20.9,2.1,Sakarya
2024-08-23,33.5,22.1,0.1,Sakarya
2024-08-24,30.7,19.7,0.8,Sakarya
2024-08-25,32.4,19.4,0.1,Sakarya
2024-08-26,32.5,19.5,0.0,Sakarya
2024-08-27,29.9,19.9,0.3,Sakarya
2024-08-28,31.0,19.8,0.9,Sakarya
2024-08-29,29.6,17.6,1.0,Sakarya
2024-08-30,30.7,19.1,2.9,Sakarya
2024-08-31,30.8,18.5,0.4,Sakarya
2024-09-01,28.6,20.4,0.5,Sakarya
2024-09-02,26.8,21.5,7.3,Sakarya
2024-09-03,29.5,19.4,0.1,Sakarya
2024-09-04,29.8,19.1,1.8,Sakarya
2024-09-05,29.6,19.3,0.0,Sakarya
2024-09-06,29.4,17.8,0.0,Sakarya
2024-09-07,27.4,17.3,5.8,Sakarya
2024-09-08,25.0,19.7,1.8,Sakarya
2024-09-09,27.7,16.5,0.0,Sakarya
2024-09-10,32.1,18.1,0.0,Sakarya
2024-09-11,31.9,20.2,10.6,Sakarya
2024-09-12,28.8,19.2,2.6,Sakarya
2024-09-13,31.8,18.7,0.0,Sakarya
2024-09-14,32.9,20.2,0.0,Sakarya
2024-09-15,27.6,19.6,1.3,Sakarya
2024-09-16,27.6,16.2,0.3,Sakarya
2024-09-17,26.8,16.5,0.3,Sakarya
2024-09-18,26.1,14.4,1.8,Sakarya
2024-09-19,25.1,17.4,1.8,Sakarya
2024-09-20,25.6,14.3,0.5,Sakarya
2024-09-21,22.5,16.0,10.3,Sakarya
