time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,17.3,14.1,1.5,Samsun
2024-05-02,16.6,13.6,16.7,Samsun
2024-05-03,15.4,13.7,6.1,Samsun
2024-05-04,16.2,12.0,5.6,Samsun
2024-05-05,15.5,10.3,3.4,Samsun
2024-05-06,14.9,8.6,0.0,Samsun
2024-05-07,17.0,6.8,0.0,Samsun
2024-05-08,19.5,9.7,0.0,Samsun
2024-05-09,18.6,10.8,0.0,Samsun
2024-05-10,18.1,12.2,10.7,Samsun
2024-05-11,18.2,12.6,13.7,Samsun
2024-05-12,19.5,13.3,8.9,Samsun
2024-05-13,17.9,11.1,1.0,Samsun
2024-05-14,15.7,10.2,2.4,Samsun
2024-05-15,15.8,6.9,0.0,Samsun
2024-05-16,15.1,9.3,12.1,Samsun
2024-05-17,16.1,7.7,0.0,Samsun
2024-05-18,17.5,10.4,0.0,Samsun
2024-05-19,17.8,11.7,0.0,Samsun
2024-05-20,18.2,12.5,0.0,Samsun
2024-05-21,19.5,11.5,0.0,Samsun
2024-05-22,20.3,10.7,0.0,Samsun
2024-05-23,20.9,13.9,0.2,Samsun
2024-05-24,21.7,14.3,6.0,Samsun
2024-05-25,21.0,14.1,5.2,Samsun
2024-05-26,21.7,15.1,1.1,Samsun
2024-05-27,18.1,12.6,0.7,Samsun
2024-05-28,19.6,15.9,12.8,Samsun
2024-05-29,20.2,16.0,1.3,Samsun
2024-05-30,21.6,14.3,12.5,Samsun
2024-05-31,22.9,16.9,0.0,Samsun
2024-06-01,23.9,16.2,0.0,Samsun
2024-06-02,25.9,16.2,0.0,Samsun
2024-06-03,25.2,17.6,0.0,Samsun
2024-06-04,25.5,17.7,0.0,Samsun
2024-06-05,29.2,18.9,0.0,Samsun
2024-06-06,26.2,20.2,0.0,Samsun
2024-06-07,25.7,18.8,0.0,Samsun
2024-06-08,25.5,20.2,0.2,Samsun
2024-06-09,28.5,18.9,0.1,Samsun
2024-06-10,28.4,19.0,0.0,Samsun
2024-06-11,28.7,18.0,0.0,Samsun
2024-06-12,31.2,19.6,0.0,Samsun
2024-06-13,27.9,22.7,0.0,Samsun
2024-06-14,30.9,21.5,0.0,Samsun
2024-06-15,26.9,21.9,3.1,Samsun
2024-06-16,24.4,20.4,5.5,Samsun
2024-06-17,24.2,19.6,0.4,Samsun
2024-06-18,25.6,19.6,1.2,Samsun
2024-06-19,27.1,18.6,0.0,Samsun
2024-06-20,29.0,19.6,0.0,Samsun
2024-06-21,28.0,20.3,2.9,Samsun
2024-06-22,25.8,18.3,0.0,Samsun
2024-06-23,25.7,19.2,0.0,Samsun
2024-06-24,26.7,17.9,0.0,Samsun
2024-06-25,27.3,20.2,3.5,Samsun
2024-06-26,26.3,20.9,7.4,Samsun
2024-06-27,25.9,17.8,0.0,Samsun
2024-06-28,26.1,17.6,0.0,Samsun
2024-06-29,27.8,19.3,2.6,Samsun
2024-06-30,29.0,20.8,1.6,Samsun
2024-07-01,30.5,21.3,0.9,Samsun
2024-07-02,30.9,20.7,0.0,Samsun
2024-07-03,28.0,19.0,0.0,Samsun
2024-07-04,27.8,21.2,0.0,Samsun
2024-07-05,28.2,22.0,4.9,Samsun
2024-07-06,27.0,21.5,13.0,Samsun
2024-07-07,29.8,23.0,3.0,Samsun
2024-07-08,30.5,22.4,1.0,Samsun
2024-07-09,29.3,22.3,0.0,Samsun
2024-07-10,28.2,22.8,1.2,Samsun
2024-07-11,28.8,22.6,0.0,Samsun
2024-07-12,28.3,22.4,0.0,Samsun
2024-07-13,30.1,22.8,0.8,Samsun
2024-07-14,32.0,22.8,0.0,Samsun
2024-07-15,31.9,23.6,0.0,Samsun
2024-07-16,30.3,23.7,0.0,Samsun
2024-07-17,30.7,24.6,0.0,Samsun
2024-07-18,31.4,24.3,0.1,Samsun
2024-07-19,34.2,24.4,0.0,Samsun
2024-07-20,34.2,24.0,0.0,Samsun
2024-07-21,30.8,24.2,0.0,Samsun
2024-07-22,29.8,24.0,0.0,Samsun
2024-07-23,29.6,22.9,1.6,Samsun
2024-07-24,28.8,23.3,3.7,Samsun
2024-07-25,28.9,22.5,1.7,Samsun
2024-07-26,27.2,22.4,8.3,Samsun
2024-07-27,26.5,20.6,16.7,Samsun
2024-07-28,29.2,21.2,1.9,Samsun
2024-07-29,28.3,18.6,0.0,Samsun
2024-07-30,29.5,20.6,0.6,Samsun
2024-07-31,26.8,21.6,2.8,Samsun
2024-08-01,26.7,20.2,2.6,Samsun
2024-08-02,27.1,19.8,0.0,Samsun
2024-08-03,28.3,18.2,0.0,Samsun
2024-08-04,28.6,20.3,0.0,Samsun
2024-08-05,29.3,20.6,2.0,Samsun
2024-08-06,26.9,22.2,13.9,Samsun
2024-08-07,27.9,21.4,2.1,Samsun
2024-08-08,27.8,22.0,2.2,Samsun
2024-08-09,28.5,22.2,0.0,Samsun
2024-08-10,29.7,22.4,4.0,Samsun
2024-08-11,31.3,22.3,5.4,Samsun
2024-08-12,31.0,21.8,1.9,Samsun
2024-08-13,28.8,20.9,0.7,Samsun
2024-08-14,29.3,20.2,1.7,Samsun
2024-08-15,27.5,21.5,2.2,Samsun
2024-08-16,27.9,22.2,4.1,Samsun
2024-08-17,29.3,20.6,0.9,Samsun
2024-08-18,29.1,21.8,1.7,Samsun
2024-08-19,28.5,20.9,0.4,Samsun
2024-08-20,29.3,22.0,0.1,Samsun
2024-08-21,29.0,22.2,0.6,Samsun
2024-08-22,29.2,23.4,1.7,Samsun
2024-08-23,31.4,22.9,0.0,Samsun
2024-08-24,29.9,23.1,12.1,Samsun
2024-08-25,26.2,21.3,32.2,Samsun
2024-08-26,28.3,20.9,6.4,Samsun
2024-08-27,26.5,20.3,0.0,Samsun
2024-08-28,26.1,22.5,1.1,Samsun
2024-08-29,26.4,21.8,0.0,Samsun
2024-08-30,27.6,22.3,5.0,Samsun
2024-08-31,27.1,20.9,0.3,Samsun
2024-09-01,27.1,20.3,0.0,Samsun
2024-09-02,28.5,21.3,0.0,Samsun
2024-09-03,26.5,22.0,2.3,Samsun
2024-09-04,27.1,21.1,2.1,Samsun
2024-09-05,25.8,20.3,5.0,Samsun
2024-09-06,25.8,19.6,2.8,Samsun
2024-09-07,25.0,19.6,8.5,Samsun
2024-09-08,25.9,19.8,1.4,Samsun
2024-09-09,25.1,19.9,17.7,Samsun
2024-09-10,30.1,20.8,0.0,Samsun
2024-09-11,29.1,21.2,0.0,Samsun
2024-09-12,29.1,21.1,0.1,Samsun
2024-09-13,28.0,22.0,0.7,Samsun
2024-09-14,29.6,21.0,0.0,Samsun
2024-09-15,28.4,20.6,0.0,Samsun
2024-09-16,24.9,20.5,17.7,Samsun
2024-09-17,25.8,18.2,0.0,Samsun
2024-09-18,25.5,17.6,0.4,Samsun
2024-09-19,21.5,18.5,10.0,Samsun
2024-09-20,23.2,17.2,5.4,Samsun
2024-09-21,24.1,17.1,0.3,Samsun
2024-09-22,22.5,15.5,6.4,Samsun
2024-09-23,22.0,18.2,18.3,Samsun
2024-09-24,25.4,17.9,1.6,Samsun
2024-09-25,23.3,16.6,0.3,Samsun
2024-09-26,23.6,17.2,0.2,Samsun
2024-09-27,23.3,16.5,0.4,Samsun
2024-09-28,24.4,16.4,0.0,Samsun
2024-09-29,24.3,16.8,0.0,Samsun
2024-09-30,24.0,17.8,15.5,Samsun
2024-10-01,23.2,15.7,20.4,Samsun
2024-10-02,22.0,15.6,0.9,Samsun
2024-10-03,23.4,14.4,0.0,Samsun
2024-10-04,25.0,15.4,0.0,Samsun
2024-10-05,26.2,17.6,0.0,Samsun
2024-10-06,29.9,17.2,0.0,Samsun
2024-10-07,25.5,17.1,1.5,Samsun
2024-10-08,20.5,18.4,6.0,Samsun
2024-10-09,25.3,16.9,0.0,Samsun
2024-10-10,23.5,17.4,0.0,Samsun
2024-10-11,23.0,16.1,0.0,Samsun
2024-10-12,25.3,17.3,0.0,Samsun
2024-10-13,20.2,17.3,27.8,Samsun
2024-10-14,18.4,16.7,8.9,Samsun
2024-10-15,19.7,13.8,0.1,Samsun
2024-10-16,20.4,13.5,0.0,Samsun
2024-10-17,16.2,11.4,1.1,Samsun
2024-10-18,14.8,8.6,2.0,Samsun
2024-10-19,15.8,8.2,0.6,Samsun
2024-10-20,14.0,10.8,1.8,Samsun
2024-10-21,13.4,11.1,16.0,Samsun
2024-10-22,15.3,10.1,3.5,Samsun
2024-10-23,15.8,10.0,0.3,Samsun
2024-10-24,16.5,8.9,0.7,Samsun
2024-10-25,16.9,11.4,1.3,Samsun
2024-10-26,16.1,11.2,2.9,Samsun
2024-10-27,16.4,9.5,0.3,Samsun
2024-10-28,17.1,8.9,0.0,Samsun
2024-10-29,17.4,9.7,0.0,Samsun
2024-10-30,16.3,10.6,6.8,Samsun
2024-10-31,17.3,11.1,1.9,Samsun
2024-11-01,17.1,10.7,0.0,Samsun
2024-11-02,21.3,10.9,0.0,Samsun
2024-11-03,13.4,9.1,21.5,Samsun
2024-11-04,15.0,5.8,0.3,Samsun
2024-11-05,10.9,4.9,5.0,Samsun
2024-11-06,11.6,4.4,0.0,Samsun
2024-11-07,13.3,3.7,0.0,Samsun
2024-11-08,14.4,5.3,0.0,Samsun
2024-11-09,14.3,6.7,0.0,Samsun
2024-11-10,14.7,6.2,0.0,Samsun
2024-11-11,15.1,9.2,0.0,Samsun
2024-11-12,15.4,10.1,0.0,Samsun
2024-11-13,15.9,9.3,0.0,Samsun
2024-11-14,16.7,7.7,0.0,Samsun
2024-11-15,15.3,8.8,1.1,Samsun
2024-11-16,12.0,9.4,5.2,Samsun
2024-11-17,14.1,5.2,0.0,Samsun
2024-11-18,15.8,9.9,1.8,Samsun
2024-11-19,15.4,9.7,3.9,Samsun
2024-11-20,19.8,8.6,0.0,Samsun
2024-11-21,23.0,11.6,0.0,Samsun
2024-11-22,18.1,10.8,14.7,Samsun
2024-11-23,23.5,7.7,6.6,Samsun
2024-11-24,7.2,4.3,34.2,Samsun
2024-11-25,5.9,3.7,12.4,Samsun
2024-11-26,7.9,4.0,11.9,Samsun
2024-11-27,8.8,3.2,0.0,Samsun
2024-11-28,9.4,4.7,0.0,Samsun
2024-11-29,12.3,5.4,0.0,Samsun
2024-11-30,12.7,3.9,0.0,Samsun
2024-12-01,12.0,3.0,0.0,Samsun
2024-12-02,11.9,2.3,0.0,Samsun
2024-12-03,12.6,2.0,0.0,Samsun
2024-12-04,12.7,4.7,1.5,Samsun
2024-12-05,13.6,6.3,1.5,Samsun
2024-12-06,12.5,4.9,0.0,Samsun
2024-12-07,17.3,7.6,0.0,Samsun
2024-12-08,18.7,11.4,0.0,Samsun
2024-12-09,20.7,13.2,0.0,Samsun
