time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,23.0,13.2,7.2,Siirt
2024-05-02,21.4,11.6,2.1,Siirt
2024-05-03,20.9,12.0,18.2,Siirt
2024-05-04,17.5,10.6,35.6,Siirt
2024-05-05,19.0,9.6,23.2,Siirt
2024-05-06,17.4,8.3,25.2,Siirt
2024-05-07,15.2,6.8,14.8,Siirt
2024-05-08,16.3,7.9,0.8,Siirt
2024-05-09,22.1,7.0,0.0,Siirt
2024-05-10,24.0,9.4,0.0,Siirt
2024-05-11,22.9,13.4,7.9,Siirt
2024-05-12,24.7,11.2,5.2,Siirt
2024-05-13,18.6,9.7,10.3,Siirt
2024-05-14,17.8,9.2,12.9,Siirt
2024-05-15,21.1,8.0,0.5,Siirt
2024-05-16,21.8,8.6,1.4,Siirt
2024-05-17,20.4,9.2,0.0,Siirt
2024-05-18,21.7,8.3,0.0,Siirt
2024-05-19,23.5,9.7,0.8,Siirt
2024-05-20,25.5,12.0,0.0,Siirt
2024-05-21,25.5,12.0,0.1,Siirt
2024-05-22,24.6,12.6,0.0,Siirt
2024-05-23,26.4,11.4,0.1,Siirt
2024-05-24,26.7,13.4,0.8,Siirt
2024-05-25,25.7,12.3,0.0,Siirt
2024-05-26,22.1,12.6,4.6,Siirt
2024-05-27,26.4,12.1,0.0,Siirt
2024-05-28,30.7,14.7,0.0,Siirt
2024-05-29,29.9,15.1,0.1,Siirt
2024-05-30,31.9,16.2,0.4,Siirt
2024-05-31,31.5,16.2,0.0,Siirt
2024-06-01,27.8,13.3,0.0,Siirt
2024-06-02,31.1,13.1,0.0,Siirt
2024-06-03,32.4,13.7,0.0,Siirt
2024-06-04,33.6,14.9,0.0,Siirt
2024-06-05,33.5,15.4,0.0,Siirt
2024-06-06,34.5,15.0,0.0,Siirt
2024-06-07,35.1,16.3,0.0,Siirt
2024-06-08,35.9,16.8,0.0,Siirt
2024-06-09,33.1,18.4,0.2,Siirt
2024-06-10,32.7,17.6,3.2,Siirt
2024-06-11,31.3,14.8,0.0,Siirt
2024-06-12,33.4,17.0,0.0,Siirt
2024-06-13,34.3,18.4,0.0,Siirt
2024-06-14,34.4,17.6,0.0,Siirt
2024-06-15,35.2,17.9,0.0,Siirt
2024-06-16,36.1,18.6,0.0,Siirt
2024-06-17,35.8,17.1,0.0,Siirt
2024-06-18,36.4,18.2,0.0,Siirt
2024-06-19,37.2,17.5,0.0,Siirt
2024-06-20,37.8,18.3,0.0,Siirt
2024-06-21,37.7,19.4,0.0,Siirt
2024-06-22,37.2,19.3,0.0,Siirt
2024-06-23,38.8,19.9,1.6,Siirt
2024-06-24,35.9,19.0,0.0,Siirt
2024-06-25,37.3,19.4,0.0,Siirt
2024-06-26,36.5,19.7,0.0,Siirt
2024-06-27,34.8,16.8,0.0,Siirt
2024-06-28,35.3,16.6,0.0,Siirt
2024-06-29,35.7,18.1,0.0,Siirt
2024-06-30,35.3,18.7,0.0,Siirt
2024-07-01,33.5,18.9,0.0,Siirt
2024-07-02,32.2,17.5,0.0,Siirt
2024-07-03,33.6,19.0,0.0,Siirt
2024-07-04,35.6,17.9,0.0,Siirt
2024-07-05,37.3,19.5,0.0,Siirt
2024-07-06,38.0,19.3,0.0,Siirt
2024-07-07,37.2,20.5,0.0,Siirt
2024-07-08,36.4,21.3,0.0,Siirt
2024-07-09,36.7,21.8,0.0,Siirt
2024-07-10,35.1,21.6,0.0,Siirt
2024-07-11,37.6,20.9,0.0,Siirt
2024-07-12,38.0,21.7,0.0,Siirt
2024-07-13,38.2,19.8,0.0,Siirt
2024-07-14,38.4,21.8,0.0,Siirt
2024-07-15,37.3,22.2,0.0,Siirt
2024-07-16,37.8,22.6,0.0,Siirt
2024-07-17,39.0,22.3,0.0,Siirt
2024-07-18,38.0,21.9,0.0,Siirt
2024-07-19,37.2,21.8,0.0,Siirt
2024-07-20,36.5,22.9,0.0,Siirt
2024-07-21,36.7,21.2,0.0,Siirt
