time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,23.0,9.4,2.8,Sivas
2024-05-02,19.1,10.1,10.6,Sivas
2024-05-03,12.6,8.8,2.9,Sivas
2024-05-04,17.4,6.3,3.3,Sivas
2024-05-05,11.6,3.8,5.8,Sivas
2024-05-06,8.0,2.9,4.3,Sivas
2024-05-07,12.6,2.7,0.8,Sivas
2024-05-08,18.9,3.5,0.0,Sivas
2024-05-09,21.7,4.0,0.0,Sivas
2024-05-10,22.8,6.9,0.2,Sivas
2024-05-11,20.0,10.7,14.3,Sivas
2024-05-12,14.5,5.8,2.2,Sivas
2024-05-13,12.3,4.3,0.0,Sivas
2024-05-14,12.4,1.6,0.1,Sivas
2024-05-15,16.3,1.3,0.0,Sivas
2024-05-16,14.9,4.2,5.0,Sivas
2024-05-17,17.1,3.3,0.3,Sivas
2024-05-18,20.3,7.3,0.8,Sivas
2024-05-19,20.0,8.8,0.3,Sivas
2024-05-20,20.1,7.5,0.3,Sivas
2024-05-21,21.3,6.4,0.0,Sivas
2024-05-22,23.8,8.2,0.0,Sivas
2024-05-23,21.8,11.3,0.3,Sivas
2024-05-24,20.2,10.8,4.0,Sivas
2024-05-25,18.5,8.6,8.0,Sivas
2024-05-26,19.5,8.2,0.5,Sivas
2024-05-27,18.9,8.0,18.1,Sivas
2024-05-28,23.5,9.8,19.3,Sivas
2024-05-29,22.2,9.7,0.1,Sivas
2024-05-30,25.5,8.3,0.1,Sivas
2024-05-31,20.8,10.8,12.0,Sivas
2024-06-01,22.1,9.9,0.2,Sivas
2024-06-02,24.8,10.2,0.0,Sivas
2024-06-03,26.8,12.0,0.0,Sivas
2024-06-04,28.0,11.5,0.0,Sivas
2024-06-05,28.6,14.5,0.3,Sivas
2024-06-06,29.6,12.4,0.0,Sivas
2024-06-07,26.6,13.5,1.0,Sivas
2024-06-08,25.5,12.8,2.4,Sivas
2024-06-09,21.7,11.9,3.0,Sivas
2024-06-10,23.2,10.3,0.0,Sivas
2024-06-11,27.1,10.0,0.0,Sivas
2024-06-12,30.1,14.4,0.0,Sivas
2024-06-13,30.4,15.0,0.0,Sivas
2024-06-14,29.9,16.2,0.0,Sivas
2024-06-15,29.8,13.2,0.0,Sivas
2024-06-16,27.9,13.6,0.0,Sivas
2024-06-17,30.6,13.2,0.1,Sivas
2024-06-18,30.0,13.6,0.0,Sivas
2024-06-19,30.6,13.3,0.0,Sivas
2024-06-20,30.7,15.1,0.0,Sivas
2024-06-21,26.0,15.7,0.0,Sivas
2024-06-22,29.6,14.1,0.0,Sivas
2024-06-23,32.4,10.1,0.0,Sivas
2024-06-24,33.9,11.2,0.0,Sivas
2024-06-25,32.0,15.5,0.0,Sivas
2024-06-26,24.6,13.2,0.2,Sivas
2024-06-27,26.5,9.6,0.0,Sivas
2024-06-28,28.3,9.6,0.0,Sivas
2024-06-29,23.8,8.9,0.0,Sivas
2024-06-30,23.8,11.7,2.3,Sivas
2024-07-01,23.3,13.2,1.7,Sivas
2024-07-02,25.0,12.5,0.2,Sivas
2024-07-03,30.5,11.6,0.0,Sivas
2024-07-04,33.6,16.6,0.9,Sivas
2024-07-05,34.2,17.7,0.0,Sivas
2024-07-06,24.5,16.2,1.0,Sivas
2024-07-07,26.3,16.5,0.5,Sivas
2024-07-08,28.5,15.5,1.2,Sivas
2024-07-09,29.0,16.4,0.4,Sivas
2024-07-10,31.7,16.4,0.4,Sivas
2024-07-11,32.1,15.8,0.0,Sivas
2024-07-12,30.4,17.3,0.8,Sivas
2024-07-13,29.6,16.1,1.0,Sivas
2024-07-14,26.8,16.9,2.6,Sivas
2024-07-15,27.8,13.7,1.8,Sivas
2024-07-16,29.6,14.4,0.9,Sivas
2024-07-17,30.5,16.3,0.0,Sivas
2024-07-18,27.6,17.4,1.9,Sivas
2024-07-19,26.9,15.9,0.2,Sivas
2024-07-20,27.5,16.2,0.0,Sivas
2024-07-21,29.6,13.5,0.0,Sivas
2024-07-22,32.1,15.2,0.0,Sivas
2024-07-23,31.8,15.4,0.0,Sivas
