time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,25.0,12.1,6.0,Tokat
2024-05-02,20.7,13.6,18.2,Tokat
2024-05-03,15.7,12.3,8.9,Tokat
2024-05-04,18.6,10.1,11.2,Tokat
2024-05-05,14.2,7.8,15.4,Tokat
2024-05-06,13.0,5.3,0.9,Tokat
2024-05-07,17.1,6.7,0.3,Tokat
2024-05-08,22.8,7.0,0.0,Tokat
2024-05-09,25.7,7.1,0.0,Tokat
2024-05-10,24.8,11.8,0.1,Tokat
2024-05-11,24.8,12.8,10.4,Tokat
2024-05-12,15.7,10.9,4.3,Tokat
2024-05-13,16.9,8.8,0.0,Tokat
2024-05-14,15.0,6.7,4.9,Tokat
2024-05-15,18.7,2.8,0.0,Tokat
2024-05-16,17.7,6.0,2.5,Tokat
2024-05-17,20.6,5.2,0.1,Tokat
2024-05-18,24.0,9.2,0.0,Tokat
2024-05-19,21.8,11.5,0.6,Tokat
2024-05-20,23.2,11.6,0.2,Tokat
2024-05-21,24.4,9.8,0.0,Tokat
2024-05-22,28.2,11.1,0.0,Tokat
2024-05-23,28.2,13.4,2.1,Tokat
2024-05-24,21.7,13.9,2.6,Tokat
2024-05-25,21.2,14.0,2.5,Tokat
2024-05-26,22.5,12.9,0.1,Tokat
2024-05-27,21.2,10.9,1.4,Tokat
2024-05-28,22.8,12.7,8.6,Tokat
2024-05-29,24.1,13.8,0.0,Tokat
2024-05-30,25.9,12.9,0.3,Tokat
2024-05-31,23.9,13.5,3.9,Tokat
2024-06-01,25.8,15.3,0.4,Tokat
2024-06-02,29.2,12.7,0.0,Tokat
2024-06-03,31.2,16.6,0.0,Tokat
2024-06-04,32.6,16.9,0.0,Tokat
2024-06-05,34.0,17.5,0.0,Tokat
2024-06-06,34.0,16.5,0.0,Tokat
2024-06-07,29.2,16.8,0.3,Tokat
2024-06-08,27.4,17.1,4.0,Tokat
2024-06-09,25.8,14.3,0.9,Tokat
2024-06-10,28.7,13.8,0.3,Tokat
2024-06-11,33.4,13.2,0.0,Tokat
2024-06-12,36.9,18.9,0.0,Tokat
2024-06-13,35.8,20.2,0.0,Tokat
2024-06-14,35.2,20.4,0.0,Tokat
2024-06-15,32.3,17.7,0.1,Tokat
2024-06-16,31.1,17.8,0.0,Tokat
2024-06-17,32.9,16.0,0.0,Tokat
2024-06-18,31.0,16.5,0.0,Tokat
2024-06-19,31.2,17.9,0.1,Tokat
2024-06-20,31.7,17.2,0.0,Tokat
2024-06-21,31.3,18.0,0.0,Tokat
2024-06-22,28.7,15.6,0.0,Tokat
2024-06-23,31.9,12.5,0.0,Tokat
2024-06-24,36.0,13.9,0.0,Tokat
2024-06-25,31.9,16.5,0.0,Tokat
2024-06-26,28.1,17.2,0.1,Tokat
2024-06-27,29.0,13.7,0.0,Tokat
2024-06-28,31.0,13.8,0.0,Tokat
2024-06-29,26.9,12.8,0.0,Tokat
2024-06-30,27.3,17.1,0.7,Tokat
2024-07-01,26.5,17.8,4.2,Tokat
2024-07-02,29.6,15.9,0.1,Tokat
2024-07-03,35.2,14.6,0.0,Tokat
2024-07-04,39.7,18.5,0.0,Tokat
2024-07-05,34.4,19.9,0.8,Tokat
2024-07-06,27.1,18.5,1.2,Tokat
2024-07-07,28.9,20.0,3.0,Tokat
2024-07-08,29.8,19.5,0.5,Tokat
2024-07-09,29.6,20.9,3.2,Tokat
2024-07-10,32.9,19.0,2.1,Tokat
2024-07-11,34.7,18.7,1.2,Tokat
2024-07-12,32.1,19.9,1.0,Tokat
2024-07-13,32.1,19.1,0.2,Tokat
2024-07-14,31.4,19.2,0.3,Tokat
2024-07-15,31.6,18.6,0.0,Tokat
2024-07-16,31.8,17.8,0.2,Tokat
2024-07-17,35.0,19.5,0.0,Tokat
2024-07-18,30.8,19.9,6.5,Tokat
2024-07-19,31.6,19.8,0.2,Tokat
2024-07-20,30.9,19.3,0.3,Tokat
2024-07-21,33.7,18.1,0.0,Tokat
2024-07-22,35.9,20.3,0.0,Tokat
2024-07-23,35.0,19.6,0.0,Tokat
2024-07-24,30.5,20.2,0.3,Tokat
2024-07-25,32.0,18.4,0.0,Tokat
2024-07-26,33.2,19.9,3.7,Tokat
2024-07-27,29.7,18.7,1.2,Tokat
2024-07-28,28.0,18.5,2.0,Tokat
2024-07-29,29.7,14.9,0.0,Tokat
2024-07-30,28.9,15.0,0.0,Tokat
2024-07-31,28.5,18.0,0.0,Tokat
2024-08-01,27.3,17.4,0.0,Tokat
2024-08-02,32.0,15.7,0.0,Tokat
2024-08-03,34.2,15.6,0.0,Tokat
2024-08-04,37.7,18.4,0.0,Tokat
2024-08-05,35.0,16.7,0.0,Tokat
2024-08-06,33.3,20.8,1.4,Tokat
2024-08-07,32.2,19.7,0.1,Tokat
2024-08-08,32.9,19.5,0.0,Tokat
2024-08-09,33.7,17.4,0.0,Tokat
2024-08-10,32.4,18.1,0.0,Tokat
2024-08-11,28.8,17.3,0.3,Tokat
2024-08-12,29.0,18.5,0.2,Tokat
2024-08-13,31.7,16.0,0.0,Tokat
2024-08-14,32.6,16.2,0.0,Tokat
2024-08-15,30.7,15.3,0.0,Tokat
2024-08-16,27.6,17.9,0.3,Tokat
2024-08-17,28.3,14.9,0.0,Tokat
2024-08-18,35.0,14.0,0.0,Tokat
2024-08-19,38.6,19.6,0.0,Tokat
2024-08-20,38.4,20.0,0.0,Tokat
2024-08-21,40.7,20.4,0.0,Tokat
2024-08-22,34.4,20.0,0.0,Tokat
2024-08-23,30.2,21.1,0.5,Tokat
2024-08-24,26.7,19.7,1.7,Tokat
2024-08-25,25.4,19.0,5.7,Tokat
2024-08-26,29.7,17.4,0.0,Tokat
2024-08-27,31.1,15.7,0.0,Tokat
2024-08-28,30.2,19.4,0.8,Tokat
2024-08-29,32.6,19.6,0.0,Tokat
2024-08-30,29.4,19.3,2.2,Tokat
2024-08-31,31.9,16.3,0.0,Tokat
2024-09-01,31.7,16.5,0.0,Tokat
2024-09-02,30.9,18.4,0.8,Tokat
2024-09-03,30.0,16.5,0.0,Tokat
2024-09-04,29.1,19.5,1.0,Tokat
2024-09-05,28.4,18.5,1.3,Tokat
