time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,23.3,9.6,0.0,Uşak
2024-05-02,20.1,9.3,0.2,Uşak
2024-05-03,20.1,9.3,0.6,Uşak
2024-05-04,18.1,7.2,3.7,Uşak
2024-05-05,16.8,4.7,0.2,Uşak
2024-05-06,19.1,1.4,0.0,Uşak
2024-05-07,21.4,4.2,0.0,Uşak
2024-05-08,24.4,7.4,0.0,Uşak
2024-05-09,21.1,9.7,0.0,Uşak
2024-05-10,24.9,8.8,2.4,Uşak
2024-05-11,17.8,9.0,9.3,Uşak
2024-05-12,16.4,6.1,0.0,Uşak
2024-05-13,18.2,6.2,0.3,Uşak
2024-05-14,18.3,2.4,0.0,Uşak
2024-05-15,20.3,6.7,0.0,Uşak
2024-05-16,21.4,8.5,1.0,Uşak
2024-05-17,26.3,10.3,0.1,Uşak
2024-05-18,27.7,13.5,0.0,Uşak
2024-05-19,27.0,14.2,0.3,Uşak
2024-05-20,27.2,12.5,0.0,Uşak
2024-05-21,28.6,13.8,0.0,Uşak
2024-05-22,29.2,15.5,0.8,Uşak
2024-05-23,25.6,12.3,7.8,Uşak
2024-05-24,19.4,9.3,0.4,Uşak
2024-05-25,23.9,8.3,0.0,Uşak
2024-05-26,24.7,9.5,9.2,Uşak
2024-05-27,22.1,11.6,3.8,Uşak
2024-05-28,21.8,9.2,0.3,Uşak
2024-05-29,22.9,8.4,0.0,Uşak
2024-05-30,22.5,10.7,4.3,Uşak
2024-05-31,24.7,10.8,0.1,Uşak
2024-06-01,28.0,12.5,0.0,Uşak
2024-06-02,30.6,17.8,0.0,Uşak
2024-06-03,32.8,15.7,0.0,Uşak
2024-06-04,33.3,16.8,0.0,Uşak
2024-06-05,32.2,19.1,0.0,Uşak
2024-06-06,33.1,21.1,0.0,Uşak
2024-06-07,29.3,16.3,0.0,Uşak
2024-06-08,26.9,15.1,1.8,Uşak
2024-06-09,30.1,14.4,0.0,Uşak
2024-06-10,32.0,15.5,0.0,Uşak
2024-06-11,34.9,17.1,0.0,Uşak
2024-06-12,35.9,21.3,0.0,Uşak
2024-06-13,35.5,21.3,0.0,Uşak
2024-06-14,35.6,20.7,0.1,Uşak
2024-06-15,29.2,15.4,0.0,Uşak
2024-06-16,31.2,14.5,0.0,Uşak
2024-06-17,32.8,15.7,0.0,Uşak
2024-06-18,35.3,17.0,1.1,Uşak
2024-06-19,35.7,18.0,0.5,Uşak
2024-06-20,35.3,18.6,0.0,Uşak
2024-06-21,33.9,19.8,0.0,Uşak
2024-06-22,35.2,19.7,0.0,Uşak
2024-06-23,37.0,18.8,0.0,Uşak
2024-06-24,37.1,18.9,0.0,Uşak
2024-06-25,36.2,21.1,0.0,Uşak
2024-06-26,33.6,17.7,0.0,Uşak
2024-06-27,34.2,16.7,0.0,Uşak
2024-06-28,32.2,21.2,0.0,Uşak
2024-06-29,29.7,19.4,0.3,Uşak
2024-06-30,30.5,16.7,0.0,Uşak
2024-07-01,31.7,14.1,0.0,Uşak
2024-07-02,33.0,15.7,0.0,Uşak
2024-07-03,33.8,19.5,0.0,Uşak
2024-07-04,29.2,17.9,0.5,Uşak
2024-07-05,27.4,15.2,7.1,Uşak
2024-07-06,30.0,15.2,0.0,Uşak
2024-07-07,34.7,18.1,0.0,Uşak
