time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,17.6,9.9,3.8,Van
2024-05-02,17.8,8.0,5.5,Van
2024-05-03,15.4,8.4,8.4,Van
2024-05-04,14.4,6.7,3.6,Van
2024-05-05,15.2,6.5,1.4,Van
2024-05-06,15.6,5.3,0.9,Van
2024-05-07,11.0,4.6,2.6,Van
2024-05-08,12.0,4.5,2.5,Van
2024-05-09,15.2,3.6,0.0,Van
2024-05-10,16.9,6.3,0.0,Van
2024-05-11,15.6,8.2,5.2,Van
2024-05-12,19.9,7.0,0.3,Van
2024-05-13,14.4,6.5,0.5,Van
2024-05-14,12.6,5.7,3.2,Van
2024-05-15,14.3,4.4,0.1,Van
2024-05-16,14.9,5.4,1.9,Van
2024-05-17,13.5,5.3,14.8,Van
2024-05-18,13.6,6.7,4.0,Van
2024-05-19,16.7,5.6,19.2,Van
2024-05-20,16.1,8.3,1.7,Van
2024-05-21,17.0,8.0,6.1,Van
2024-05-22,16.1,7.4,0.1,Van
2024-05-23,17.8,8.0,0.2,Van
2024-05-24,19.1,8.5,1.0,Van
2024-05-25,20.8,9.1,0.1,Van
2024-05-26,16.0,7.9,1.6,Van
2024-05-27,19.1,7.6,0.0,Van
2024-05-28,21.8,10.0,0.2,Van
2024-05-29,23.0,11.0,0.0,Van
2024-05-30,22.8,10.1,5.0,Van
2024-05-31,25.0,12.2,0.0,Van
2024-06-01,21.2,11.5,0.0,Van
2024-06-02,20.3,9.4,0.0,Van
2024-06-03,23.9,10.2,0.0,Van
2024-06-04,24.5,11.2,0.0,Van
2024-06-05,24.6,11.2,0.0,Van
2024-06-06,25.7,11.1,0.0,Van
2024-06-07,25.7,13.0,0.0,Van
2024-06-08,26.3,13.6,1.2,Van
2024-06-09,24.8,13.5,0.2,Van
2024-06-10,25.2,12.3,0.8,Van
2024-06-11,21.9,11.4,0.0,Van
2024-06-12,23.3,13.2,0.0,Van
2024-06-13,24.3,13.6,0.0,Van
2024-06-14,24.2,12.3,0.0,Van
2024-06-15,26.3,13.1,0.0,Van
2024-06-16,27.2,14.4,0.0,Van
2024-06-17,27.9,14.1,0.0,Van
2024-06-18,28.9,15.5,0.0,Van
2024-06-19,27.8,14.2,0.0,Van
2024-06-20,28.3,14.8,0.0,Van
2024-06-21,27.2,16.6,0.0,Van
2024-06-22,25.8,16.0,0.0,Van
2024-06-23,28.4,16.0,0.0,Van
2024-06-24,27.1,14.9,0.0,Van
2024-06-25,27.0,15.2,0.0,Van
2024-06-26,27.8,15.9,0.0,Van
2024-06-27,23.8,13.1,0.0,Van
2024-06-28,25.2,12.9,0.0,Van
2024-06-29,27.2,14.6,0.0,Van
2024-06-30,27.2,15.6,0.0,Van
2024-07-01,26.1,16.4,0.0,Van
2024-07-02,24.1,13.2,4.8,Van
2024-07-03,24.7,14.1,2.0,Van
2024-07-04,26.5,14.3,0.0,Van
2024-07-05,29.2,15.4,0.0,Van
2024-07-06,31.7,16.7,0.8,Van
2024-07-07,30.0,20.5,1.0,Van
2024-07-08,28.5,17.3,2.7,Van
2024-07-09,28.3,15.2,0.6,Van
2024-07-10,27.4,15.9,0.2,Van
2024-07-11,28.8,16.1,0.0,Van
2024-07-12,29.6,17.0,0.0,Van
2024-07-13,29.6,17.2,0.0,Van
2024-07-14,30.0,17.2,0.0,Van
2024-07-15,28.6,18.5,1.3,Van
2024-07-16,28.6,17.7,0.2,Van
2024-07-17,30.0,18.1,0.0,Van
2024-07-18,29.3,17.9,0.0,Van
2024-07-19,28.5,18.0,0.2,Van
2024-07-20,26.5,18.4,6.9,Van
2024-07-21,25.8,16.6,0.0,Van
2024-07-22,27.4,17.3,0.0,Van
2024-07-23,29.3,17.6,0.0,Van
2024-07-24,29.8,19.1,0.3,Van
2024-07-25,28.1,17.2,0.0,Van
2024-07-26,30.1,18.9,0.0,Van
2024-07-27,28.9,18.1,0.0,Van
2024-07-28,28.1,18.0,0.0,Van
2024-07-29,28.6,16.8,0.0,Van
2024-07-30,26.5,14.1,0.0,Van
2024-07-31,27.7,18.1,0.4,Van
2024-08-01,29.2,16.9,0.0,Van
2024-08-02,29.1,17.9,0.0,Van
2024-08-03,29.6,17.3,0.0,Van
2024-08-04,29.8,17.2,0.0,Van
2024-08-05,31.6,17.3,0.0,Van
2024-08-06,31.0,19.1,0.0,Van
2024-08-07,30.9,19.3,0.0,Van
2024-08-08,29.0,19.0,0.0,Van
2024-08-09,30.3,18.2,0.0,Van
2024-08-10,30.9,18.6,0.0,Van
2024-08-11,30.2,19.6,0.0,Van
2024-08-12,27.2,18.8,1.0,Van
2024-08-13,27.7,17.3,0.0,Van
