time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,16.9,13.9,2.9,Yalova
2024-05-02,16.7,12.8,0.1,Yalova
2024-05-03,19.0,10.6,9.0,Yalova
2024-05-04,18.0,10.7,5.5,Yalova
2024-05-05,18.3,9.7,0.8,Yalova
2024-05-06,17.2,8.6,0.0,Yalova
2024-05-07,19.9,8.9,0.0,Yalova
2024-05-08,23.5,13.0,0.0,Yalova
2024-05-09,20.0,13.0,0.1,Yalova
2024-05-10,20.9,14.1,5.4,Yalova
2024-05-11,17.0,12.7,4.9,Yalova
2024-05-12,19.4,10.9,0.0,Yalova
2024-05-13,14.9,9.4,12.1,Yalova
2024-05-14,18.1,8.2,0.0,Yalova
2024-05-15,19.8,7.1,0.0,Yalova
2024-05-16,19.9,9.4,0.0,Yalova
2024-05-17,24.0,11.2,3.1,Yalova
2024-05-18,21.2,12.0,0.0,Yalova
2024-05-19,23.9,13.6,0.1,Yalova
2024-05-20,20.6,12.9,0.0,Yalova
2024-05-21,19.4,12.6,0.0,Yalova
2024-05-22,22.5,13.8,0.3,Yalova
2024-05-23,20.1,15.1,7.9,Yalova
2024-05-24,20.5,15.3,10.4,Yalova
2024-05-25,22.5,13.1,0.0,Yalova
2024-05-26,22.9,15.1,0.4,Yalova
2024-05-27,20.3,13.8,1.0,Yalova
2024-05-28,20.0,13.0,0.5,Yalova
2024-05-29,23.2,12.5,0.0,Yalova
2024-05-30,24.8,14.8,0.0,Yalova
2024-05-31,25.8,16.0,0.0,Yalova
2024-06-01,27.3,18.3,0.0,Yalova
2024-06-02,29.0,19.1,0.0,Yalova
2024-06-03,31.4,19.5,0.0,Yalova
2024-06-04,29.4,21.2,0.0,Yalova
2024-06-05,31.1,20.8,0.0,Yalova
2024-06-06,29.9,21.1,0.0,Yalova
2024-06-07,31.0,20.6,0.9,Yalova
2024-06-08,29.0,19.3,0.0,Yalova
2024-06-09,30.9,18.8,0.0,Yalova
2024-06-10,28.7,18.5,0.0,Yalova
2024-06-11,33.0,21.0,0.0,Yalova
2024-06-12,32.4,24.5,0.0,Yalova
2024-06-13,32.1,23.4,0.0,Yalova
2024-06-14,36.5,20.5,1.5,Yalova
2024-06-15,25.5,19.7,0.7,Yalova
2024-06-16,28.5,17.9,0.0,Yalova
2024-06-17,30.5,18.0,0.0,Yalova
2024-06-18,32.6,18.2,0.0,Yalova
2024-06-19,31.2,19.9,0.0,Yalova
2024-06-20,32.1,19.3,0.0,Yalova
2024-06-21,31.9,19.8,0.0,Yalova
2024-06-22,29.6,21.2,0.0,Yalova
2024-06-23,31.2,20.2,0.0,Yalova
2024-06-24,29.7,20.0,0.0,Yalova
2024-06-25,31.3,21.5,0.0,Yalova
2024-06-26,30.1,20.0,0.5,Yalova
2024-06-27,30.5,20.5,0.0,Yalova
2024-06-28,29.9,19.3,0.0,Yalova
2024-06-29,29.3,21.4,0.0,Yalova
2024-06-30,31.7,19.8,0.3,Yalova
2024-07-01,31.6,18.7,0.0,Yalova
2024-07-02,30.5,19.6,0.0,Yalova
2024-07-03,32.0,22.0,0.0,Yalova
2024-07-04,26.2,20.6,14.2,Yalova
2024-07-05,27.0,19.3,1.5,Yalova
2024-07-06,29.4,19.0,1.0,Yalova
2024-07-07,31.8,21.3,0.0,Yalova
2024-07-08,33.2,20.3,0.0,Yalova
2024-07-09,32.4,21.7,0.0,Yalova
2024-07-10,33.2,23.0,2.1,Yalova
2024-07-11,25.7,22.5,13.8,Yalova
2024-07-12,30.0,23.3,3.7,Yalova
2024-07-13,31.8,22.9,0.6,Yalova
2024-07-14,33.0,22.7,0.0,Yalova
2024-07-15,33.9,23.3,0.0,Yalova
2024-07-16,35.0,21.2,0.0,Yalova
2024-07-17,34.6,23.8,6.6,Yalova
2024-07-18,36.9,23.7,0.0,Yalova
2024-07-19,34.7,23.5,0.2,Yalova
2024-07-20,34.1,24.6,0.6,Yalova
2024-07-21,36.2,24.8,0.0,Yalova
2024-07-22,35.4,22.9,0.0,Yalova
2024-07-23,33.9,24.6,0.2,Yalova
2024-07-24,32.6,22.7,0.5,Yalova
2024-07-25,32.5,22.9,0.5,Yalova
2024-07-26,26.5,21.6,5.2,Yalova
2024-07-27,27.8,19.4,3.2,Yalova
2024-07-28,33.2,21.5,0.0,Yalova
2024-07-29,33.9,22.4,0.0,Yalova
2024-07-30,30.7,21.7,1.1,Yalova
