time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,18.0,8.7,7.7,Yozgat
2024-05-02,16.3,8.7,7.4,Yozgat
2024-05-03,13.3,6.5,1.9,Yozgat
2024-05-04,14.5,5.9,1.8,Yozgat
2024-05-05,10.8,1.5,0.9,Yozgat
2024-05-06,10.7,-1.1,0.0,Yozgat
2024-05-07,14.7,0.1,0.0,Yozgat
2024-05-08,18.4,5.1,0.0,Yozgat
2024-05-09,19.8,8.1,0.1,Yozgat
2024-05-10,22.3,9.2,2.0,Yozgat
2024-05-11,18.1,9.4,9.7,Yozgat
2024-05-12,10.7,7.5,1.6,Yozgat
2024-05-13,12.6,5.2,4.4,Yozgat
2024-05-14,9.8,3.1,4.3,Yozgat
2024-05-15,14.2,0.8,0.0,Yozgat
2024-05-16,15.0,4.5,1.3,Yozgat
2024-05-17,17.5,4.2,3.9,Yozgat
2024-05-18,20.0,8.0,1.1,Yozgat
2024-05-19,20.3,8.9,0.0,Yozgat
2024-05-20,19.3,9.6,0.2,Yozgat
2024-05-21,20.5,7.7,1.3,Yozgat
2024-05-22,24.6,11.5,0.1,Yozgat
2024-05-23,23.4,13.4,1.4,Yozgat
2024-05-24,15.2,9.9,32.6,Yozgat
2024-05-25,16.2,8.4,4.4,Yozgat
2024-05-26,17.6,7.1,1.0,Yozgat
2024-05-27,17.4,9.0,11.4,Yozgat
2024-05-28,18.5,8.5,9.2,Yozgat
2024-05-29,20.0,8.1,0.0,Yozgat
2024-05-30,20.1,9.8,6.0,Yozgat
2024-05-31,18.4,10.4,9.8,Yozgat
2024-06-01,22.0,8.5,0.2,Yozgat
2024-06-02,24.2,14.1,0.0,Yozgat
2024-06-03,26.0,14.2,0.0,Yozgat
2024-06-04,27.5,16.1,0.0,Yozgat
2024-06-05,28.7,18.2,0.0,Yozgat
2024-06-06,27.4,17.0,0.0,Yozgat
2024-06-07,22.4,14.3,4.9,Yozgat
2024-06-08,19.5,13.3,23.8,Yozgat
2024-06-09,20.6,11.1,0.4,Yozgat
2024-06-10,23.0,9.7,0.0,Yozgat
2024-06-11,27.3,12.3,0.0,Yozgat
2024-06-12,30.4,17.6,0.0,Yozgat
2024-06-13,30.0,20.5,0.0,Yozgat
2024-06-14,29.7,17.7,0.0,Yozgat
2024-06-15,25.0,15.5,0.0,Yozgat
2024-06-16,25.7,12.5,0.0,Yozgat
2024-06-17,27.8,12.6,0.0,Yozgat
2024-06-18,27.3,13.4,0.0,Yozgat
2024-06-19,26.8,12.5,0.0,Yozgat
2024-06-20,27.6,12.5,0.0,Yozgat
2024-06-21,26.2,13.3,0.0,Yozgat
2024-06-22,26.0,11.8,0.0,Yozgat
2024-06-23,28.0,9.9,0.0,Yozgat
2024-06-24,29.9,11.2,0.0,Yozgat
2024-06-25,29.1,15.9,0.0,Yozgat
2024-06-26,24.7,14.2,0.0,Yozgat
2024-06-27,25.5,9.1,0.0,Yozgat
2024-06-28,27.2,12.0,0.0,Yozgat
2024-06-29,22.9,11.1,0.0,Yozgat
2024-06-30,24.1,12.1,0.1,Yozgat
2024-07-01,25.4,12.2,0.0,Yozgat
2024-07-02,26.0,12.9,0.0,Yozgat
2024-07-03,31.0,12.8,0.0,Yozgat
2024-07-04,31.8,18.6,0.0,Yozgat
2024-07-05,28.4,15.6,0.5,Yozgat
2024-07-06,22.8,12.7,0.6,Yozgat
2024-07-07,26.7,14.7,0.4,Yozgat
2024-07-08,27.4,14.8,0.0,Yozgat
2024-07-09,25.6,15.1,1.3,Yozgat
2024-07-10,27.8,16.0,0.6,Yozgat
2024-07-11,28.2,14.6,0.1,Yozgat
2024-07-12,28.4,15.5,0.1,Yozgat
2024-07-13,27.6,15.7,0.4,Yozgat
2024-07-14,26.6,15.5,0.2,Yozgat
2024-07-15,27.3,15.2,0.0,Yozgat
2024-07-16,27.6,14.7,1.7,Yozgat
2024-07-17,28.1,16.3,0.3,Yozgat
2024-07-18,27.8,16.5,0.0,Yozgat
2024-07-19,27.9,16.6,0.0,Yozgat
2024-07-20,28.3,15.9,0.0,Yozgat
2024-07-21,30.5,15.3,0.0,Yozgat
2024-07-22,31.8,17.2,0.0,Yozgat
2024-07-23,31.4,16.5,0.0,Yozgat
2024-07-24,27.5,16.2,0.3,Yozgat
2024-07-25,27.8,15.1,0.9,Yozgat
2024-07-26,24.7,16.3,11.8,Yozgat
2024-07-27,24.7,13.4,1.2,Yozgat
2024-07-28,25.2,14.2,0.0,Yozgat
2024-07-29,25.8,11.8,0.0,Yozgat
2024-07-30,26.0,12.4,0.0,Yozgat
2024-07-31,24.4,12.5,0.0,Yozgat
2024-08-01,24.7,12.3,0.0,Yozgat
2024-08-02,28.0,11.5,0.0,Yozgat
2024-08-03,30.5,14.2,0.0,Yozgat
2024-08-04,31.1,16.7,0.0,Yozgat
2024-08-05,30.3,15.1,0.1,Yozgat
2024-08-06,28.7,15.6,0.0,Yozgat
2024-08-07,29.1,14.8,0.0,Yozgat
2024-08-08,29.1,13.7,0.0,Yozgat
2024-08-09,29.9,15.2,0.0,Yozgat
2024-08-10,30.4,15.7,1.0,Yozgat
2024-08-11,25.1,14.0,0.1,Yozgat
2024-08-12,25.9,13.4,0.0,Yozgat
2024-08-13,27.6,13.4,0.0,Yozgat
2024-08-14,28.8,13.8,0.0,Yozgat
2024-08-15,27.3,13.8,0.0,Yozgat
2024-08-16,23.7,12.8,0.0,Yozgat
2024-08-17,24.4,10.7,0.2,Yozgat
2024-08-18,29.2,11.4,0.0,Yozgat
2024-08-19,31.9,16.3,0.0,Yozgat
2024-08-20,33.0,16.7,0.0,Yozgat
2024-08-21,34.4,18.3,0.0,Yozgat
2024-08-22,32.2,18.5,0.0,Yozgat
2024-08-23,27.5,16.9,0.1,Yozgat
2024-08-24,23.5,15.9,0.9,Yozgat
2024-08-25,22.2,14.4,0.8,Yozgat
2024-08-26,24.8,11.6,0.0,Yozgat
2024-08-27,26.5,14.4,0.0,Yozgat
2024-08-28,24.9,15.2,1.6,Yozgat
2024-08-29,27.3,14.1,0.1,Yozgat
2024-08-30,25.2,14.4,0.4,Yozgat
2024-08-31,26.0,13.9,0.2,Yozgat
2024-09-01,27.1,13.7,3.3,Yozgat
2024-09-02,24.0,13.7,2.3,Yozgat
2024-09-03,24.5,15.6,0.8,Yozgat
2024-09-04,25.2,14.4,0.1,Yozgat
2024-09-05,24.3,13.4,0.2,Yozgat
2024-09-06,24.5,12.7,0.0,Yozgat
2024-09-07,24.5,12.7,0.8,Yozgat
2024-09-08,24.2,12.2,0.4,Yozgat
2024-09-09,25.7,13.3,0.0,Yozgat
2024-09-10,27.8,15.2,0.0,Yozgat
2024-09-11,27.7,14.4,0.0,Yozgat
2024-09-12,25.9,15.1,0.0,Yozgat
2024-09-13,26.6,13.4,0.0,Yozgat
2024-09-14,27.7,14.4,0.0,Yozgat
2024-09-15,26.9,16.1,0.0,Yozgat
2024-09-16,23.3,13.8,3.5,Yozgat
2024-09-17,22.8,12.2,0.4,Yozgat
2024-09-18,21.8,10.2,0.5,Yozgat
2024-09-19,18.3,11.0,4.6,Yozgat
2024-09-20,18.1,9.4,0.6,Yozgat
2024-09-21,19.4,8.6,0.7,Yozgat
2024-09-22,12.5,8.7,9.8,Yozgat
2024-09-23,16.0,8.3,2.9,Yozgat
2024-09-24,18.6,7.7,0.0,Yozgat
2024-09-25,20.3,11.0,0.0,Yozgat
2024-09-26,21.0,9.3,0.0,Yozgat
2024-09-27,22.0,10.2,0.0,Yozgat
2024-09-28,24.1,11.0,0.0,Yozgat
2024-09-29,24.7,11.6,0.0,Yozgat
2024-09-30,25.2,10.8,4.4,Yozgat
2024-10-01,13.8,6.9,0.1,Yozgat
2024-10-02,14.4,6.7,0.5,Yozgat
2024-10-03,18.4,6.4,0.0,Yozgat
2024-10-04,21.0,8.1,0.0,Yozgat
2024-10-05,23.0,14.1,0.0,Yozgat
2024-10-06,24.1,14.8,0.0,Yozgat
2024-10-07,23.0,13.1,0.0,Yozgat
2024-10-08,22.4,11.1,0.0,Yozgat
2024-10-09,24.3,9.8,0.0,Yozgat
2024-10-10,22.3,12.4,0.0,Yozgat
2024-10-11,22.6,14.0,0.0,Yozgat
2024-10-12,23.1,11.6,0.0,Yozgat
2024-10-13,20.1,11.5,1.4,Yozgat
2024-10-14,19.0,8.6,0.0,Yozgat
2024-10-15,18.3,8.0,0.0,Yozgat
2024-10-16,19.4,7.7,0.1,Yozgat
2024-10-17,11.5,3.4,2.0,Yozgat
2024-10-18,8.7,0.6,0.9,Yozgat
2024-10-19,9.0,-0.8,0.0,Yozgat
2024-10-20,9.7,0.2,0.0,Yozgat
2024-10-21,8.2,0.7,0.3,Yozgat
2024-10-22,8.2,1.6,0.6,Yozgat
2024-10-23,10.8,0.5,0.0,Yozgat
2024-10-24,11.6,-0.1,0.0,Yozgat
2024-10-25,11.5,0.6,0.0,Yozgat
2024-10-26,11.6,0.6,0.0,Yozgat
2024-10-27,12.9,2.1,0.0,Yozgat
2024-10-28,14.5,3.8,0.0,Yozgat
2024-10-29,13.5,1.9,0.0,Yozgat
2024-10-30,11.5,3.2,0.1,Yozgat
2024-10-31,12.1,2.9,0.0,Yozgat
2024-11-01,13.3,2.5,0.0,Yozgat
2024-11-02,16.1,6.0,0.0,Yozgat
2024-11-03,12.4,2.5,0.3,Yozgat
