time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,15.1,12.6,12.6,Zonguldak
2024-05-02,17.3,11.9,0.9,Zonguldak
2024-05-03,16.9,12.7,2.6,Zonguldak
2024-05-04,17.3,10.0,10.2,Zonguldak
2024-05-05,15.6,7.9,0.8,Zonguldak
2024-05-06,15.5,5.1,0.0,Zonguldak
2024-05-07,20.6,6.0,0.0,Zonguldak
2024-05-08,24.4,10.7,0.0,Zonguldak
2024-05-09,22.5,12.9,0.1,Zonguldak
2024-05-10,22.2,12.9,4.1,Zonguldak
2024-05-11,16.9,12.7,4.8,Zonguldak
2024-05-12,18.3,10.8,0.2,Zonguldak
2024-05-13,15.8,7.1,5.0,Zonguldak
2024-05-14,15.0,6.2,1.1,Zonguldak
2024-05-15,16.8,5.3,0.0,Zonguldak
2024-05-16,16.6,7.7,0.2,Zonguldak
2024-05-17,19.6,8.3,5.7,Zonguldak
2024-05-18,21.5,11.9,0.0,Zonguldak
2024-05-19,22.2,10.6,0.0,Zonguldak
2024-05-20,20.8,11.4,0.0,Zonguldak
2024-05-21,21.8,11.4,0.0,Zonguldak
2024-05-22,25.1,12.0,0.0,Zonguldak
2024-05-23,24.4,15.1,4.0,Zonguldak
2024-05-24,20.1,14.4,2.1,Zonguldak
2024-05-25,21.2,13.2,0.1,Zonguldak
2024-05-26,19.8,13.3,1.1,Zonguldak
2024-05-27,19.1,12.8,1.2,Zonguldak
2024-05-28,19.2,11.9,0.3,Zonguldak
2024-05-29,22.4,12.2,0.0,Zonguldak
2024-05-30,25.8,14.0,0.5,Zonguldak
2024-05-31,26.8,15.4,0.6,Zonguldak
2024-06-01,29.1,15.9,0.0,Zonguldak
2024-06-02,31.0,17.5,0.0,Zonguldak
2024-06-03,31.4,18.7,0.0,Zonguldak
2024-06-04,36.1,20.2,0.0,Zonguldak
2024-06-05,30.4,19.9,0.0,Zonguldak
2024-06-06,28.6,18.1,0.0,Zonguldak
2024-06-07,28.0,18.3,0.0,Zonguldak
2024-06-08,25.7,17.8,0.0,Zonguldak
2024-06-09,28.2,18.4,0.0,Zonguldak
2024-06-10,30.8,17.5,0.0,Zonguldak
2024-06-11,33.9,20.2,0.0,Zonguldak
2024-06-12,34.2,22.5,0.0,Zonguldak
2024-06-13,34.2,21.1,0.0,Zonguldak
2024-06-14,36.5,19.2,7.7,Zonguldak
2024-06-15,22.6,17.9,9.1,Zonguldak
2024-06-16,24.9,16.4,0.8,Zonguldak
2024-06-17,26.3,14.9,0.0,Zonguldak
2024-06-18,29.1,15.5,0.0,Zonguldak
2024-06-19,27.9,17.6,0.0,Zonguldak
2024-06-20,27.6,18.1,0.0,Zonguldak
2024-06-21,28.6,17.7,0.0,Zonguldak
2024-06-22,27.2,17.7,0.0,Zonguldak
2024-06-23,28.6,16.1,0.0,Zonguldak
2024-06-24,28.4,17.3,0.0,Zonguldak
2024-06-25,27.4,19.4,0.0,Zonguldak
2024-06-26,26.4,18.1,0.9,Zonguldak
2024-06-27,28.2,16.1,0.0,Zonguldak
2024-06-28,29.0,17.9,0.0,Zonguldak
2024-06-29,26.9,17.0,0.0,Zonguldak
2024-06-30,28.5,17.8,0.0,Zonguldak
2024-07-01,28.2,17.2,0.0,Zonguldak
2024-07-02,31.3,18.2,0.0,Zonguldak
2024-07-03,33.0,19.4,0.0,Zonguldak
2024-07-04,29.1,21.3,0.6,Zonguldak
2024-07-05,26.1,20.1,7.2,Zonguldak
2024-07-06,26.5,18.9,3.8,Zonguldak
2024-07-07,28.6,19.0,0.0,Zonguldak
2024-07-08,29.7,19.9,0.0,Zonguldak
2024-07-09,31.1,20.8,0.0,Zonguldak
2024-07-10,28.5,21.9,9.8,Zonguldak
2024-07-11,28.2,20.4,1.3,Zonguldak
2024-07-12,29.0,20.7,0.8,Zonguldak
2024-07-13,29.3,21.1,0.0,Zonguldak
2024-07-14,30.3,20.3,0.0,Zonguldak
2024-07-15,30.4,19.6,0.0,Zonguldak
2024-07-16,32.6,19.9,0.0,Zonguldak
2024-07-17,31.5,21.6,0.3,Zonguldak
2024-07-18,32.2,21.8,0.0,Zonguldak
2024-07-19,32.7,21.2,0.0,Zonguldak
2024-07-20,31.9,24.1,3.2,Zonguldak
2024-07-21,31.4,22.9,0.0,Zonguldak
2024-07-22,31.8,19.9,0.0,Zonguldak
2024-07-23,30.4,21.8,2.2,Zonguldak
2024-07-24,30.0,21.9,2.1,Zonguldak
2024-07-25,30.4,20.1,0.0,Zonguldak
2024-07-26,23.5,19.6,11.7,Zonguldak
2024-07-27,23.9,18.6,19.9,Zonguldak
2024-07-28,29.3,18.5,0.0,Zonguldak
2024-07-29,31.0,17.3,0.0,Zonguldak
2024-07-30,27.2,18.4,1.1,Zonguldak
2024-07-31,26.1,17.7,1.8,Zonguldak
2024-08-01,27.2,17.3,0.0,Zonguldak
2024-08-02,28.5,16.7,0.0,Zonguldak
2024-08-03,29.3,17.7,0.0,Zonguldak
2024-08-04,30.5,18.5,0.0,Zonguldak
2024-08-05,27.4,21.5,2.0,Zonguldak
2024-08-06,28.5,18.4,0.0,Zonguldak
2024-08-07,26.8,19.3,2.1,Zonguldak
2024-08-08,28.3,17.5,0.0,Zonguldak
2024-08-09,30.0,19.5,0.0,Zonguldak
2024-08-10,28.2,19.5,10.6,Zonguldak
2024-08-11,29.5,18.8,0.1,Zonguldak
2024-08-12,29.2,18.7,0.0,Zonguldak
2024-08-13,32.5,18.5,0.0,Zonguldak
2024-08-14,31.8,18.8,0.0,Zonguldak
2024-08-15,29.6,17.7,0.0,Zonguldak
2024-08-16,28.6,16.3,0.0,Zonguldak
2024-08-17,29.4,16.6,0.0,Zonguldak
2024-08-18,29.3,17.5,0.0,Zonguldak
2024-08-19,29.2,18.6,0.0,Zonguldak
2024-08-20,29.1,19.9,0.0,Zonguldak
2024-08-21,30.2,19.4,0.0,Zonguldak
2024-08-22,28.4,21.5,1.0,Zonguldak
2024-08-23,29.2,20.7,0.1,Zonguldak
2024-08-24,28.0,20.2,3.1,Zonguldak
2024-08-25,29.1,19.6,0.6,Zonguldak
2024-08-26,26.3,20.3,9.0,Zonguldak
2024-08-27,26.0,19.4,2.3,Zonguldak
2024-08-28,26.8,18.1,1.0,Zonguldak
2024-08-29,27.6,18.1,1.7,Zonguldak
2024-08-30,27.0,19.5,6.9,Zonguldak
2024-08-31,27.7,19.3,0.3,Zonguldak
2024-09-01,27.8,18.9,1.5,Zonguldak
2024-09-02,25.8,20.2,6.4,Zonguldak
2024-09-03,27.1,19.6,0.4,Zonguldak
2024-09-04,27.2,18.9,2.1,Zonguldak
2024-09-05,26.5,19.1,0.4,Zonguldak
2024-09-06,26.0,17.6,0.6,Zonguldak
2024-09-07,25.3,18.2,4.0,Zonguldak
2024-09-08,23.6,18.5,14.4,Zonguldak
2024-09-09,25.4,17.5,1.0,Zonguldak
2024-09-10,30.4,16.8,0.0,Zonguldak
2024-09-11,29.7,20.6,0.2,Zonguldak
2024-09-12,26.8,19.3,24.0,Zonguldak
2024-09-13,30.3,18.3,0.0,Zonguldak
2024-09-14,29.3,20.6,0.0,Zonguldak
2024-09-15,27.5,19.7,0.6,Zonguldak
2024-09-16,23.0,17.4,2.9,Zonguldak
2024-09-17,24.7,15.0,0.0,Zonguldak
2024-09-18,24.1,16.0,0.6,Zonguldak
2024-09-19,21.5,16.5,10.1,Zonguldak
2024-09-20,23.1,13.9,0.5,Zonguldak
2024-09-21,23.2,15.1,2.3,Zonguldak
2024-09-22,21.5,15.4,3.7,Zonguldak
2024-09-23,21.2,15.9,52.2,Zonguldak
2024-09-24,23.7,14.3,0.4,Zonguldak
2024-09-25,24.1,13.8,0.0,Zonguldak
2024-09-26,24.4,13.5,0.0,Zonguldak
2024-09-27,26.1,14.2,0.0,Zonguldak
2024-09-28,28.8,15.3,0.0,Zonguldak
2024-09-29,26.3,16.0,0.0,Zonguldak
2024-09-30,19.1,14.0,34.3,Zonguldak
2024-10-01,15.2,12.8,73.2,Zonguldak
2024-10-02,18.3,12.8,44.3,Zonguldak
2024-10-03,23.4,10.8,0.0,Zonguldak
2024-10-04,26.6,14.2,0.0,Zonguldak
2024-10-05,30.0,16.1,0.0,Zonguldak
2024-10-06,26.4,17.8,0.0,Zonguldak
2024-10-07,21.8,16.4,21.0,Zonguldak
2024-10-08,22.0,13.6,0.0,Zonguldak
2024-10-09,26.1,13.2,0.0,Zonguldak
2024-10-10,24.0,16.8,0.2,Zonguldak
2024-10-11,26.2,17.4,0.0,Zonguldak
2024-10-12,25.6,17.8,32.8,Zonguldak
2024-10-13,17.7,15.0,16.3,Zonguldak
2024-10-14,18.5,11.9,0.3,Zonguldak
2024-10-15,19.7,10.3,0.0,Zonguldak
2024-10-16,18.5,11.9,7.4,Zonguldak
2024-10-17,13.6,9.7,10.7,Zonguldak
2024-10-18,12.8,8.5,8.4,Zonguldak
2024-10-19,12.9,8.1,5.2,Zonguldak
2024-10-20,13.7,9.4,10.3,Zonguldak
2024-10-21,14.4,8.6,3.0,Zonguldak
2024-10-22,16.2,8.9,2.8,Zonguldak
2024-10-23,17.1,6.3,0.0,Zonguldak
2024-10-24,16.9,7.4,0.0,Zonguldak
2024-10-25,17.3,8.8,0.2,Zonguldak
2024-10-26,16.3,6.3,0.0,Zonguldak
2024-10-27,18.6,5.7,0.0,Zonguldak
2024-10-28,17.7,7.8,0.0,Zonguldak
2024-10-29,17.3,7.8,0.0,Zonguldak
2024-10-30,15.9,12.6,6.0,Zonguldak
2024-10-31,15.5,9.3,3.1,Zonguldak
2024-11-01,17.0,7.2,0.0,Zonguldak
2024-11-02,19.6,8.1,0.0,Zonguldak
2024-11-03,12.7,6.9,2.9,Zonguldak
2024-11-04,13.0,3.1,0.0,Zonguldak
2024-11-05,11.0,6.8,3.4,Zonguldak
2024-11-06,12.2,1.9,0.0,Zonguldak
2024-11-07,14.9,2.2,0.0,Zonguldak
2024-11-08,15.7,3.6,0.0,Zonguldak
2024-11-09,14.6,4.9,0.0,Zonguldak
2024-11-10,14.0,4.1,0.0,Zonguldak
2024-11-11,14.8,6.0,0.0,Zonguldak
2024-11-12,15.4,7.1,0.0,Zonguldak
2024-11-13,16.2,6.6,0.1,Zonguldak
2024-11-14,15.5,9.8,2.9,Zonguldak
2024-11-15,14.4,9.6,10.1,Zonguldak
2024-11-16,11.7,7.2,11.2,Zonguldak
2024-11-17,14.1,4.4,0.0,Zonguldak
2024-11-18,11.7,7.1,2.5,Zonguldak
2024-11-19,14.8,7.3,2.2,Zonguldak
2024-11-20,17.4,6.4,0.0,Zonguldak
2024-11-21,20.7,8.3,9.6,Zonguldak
2024-11-22,20.3,5.8,0.0,Zonguldak
2024-11-23,19.9,3.2,21.4,Zonguldak
2024-11-24,5.9,2.1,18.0,Zonguldak
2024-11-25,5.7,1.4,9.1,Zonguldak
2024-11-26,8.9,3.1,7.7,Zonguldak
2024-11-27,11.1,3.6,0.1,Zonguldak
2024-11-28,9.6,5.7,7.0,Zonguldak
2024-11-29,14.2,2.1,0.0,Zonguldak
2024-11-30,14.7,3.2,0.0,Zonguldak
2024-12-01,12.6,2.5,0.0,Zonguldak
2024-12-02,12.5,1.9,0.0,Zonguldak
2024-12-03,12.0,1.7,0.0,Zonguldak
2024-12-04,8.9,4.8,3.0,Zonguldak
2024-12-05,12.5,3.0,3.9,Zonguldak
2024-12-06,14.6,2.4,0.0,Zonguldak
2024-12-07,17.1,4.6,0.2,Zonguldak
2024-12-08,17.4,8.8,1.0,Zonguldak
2024-12-09,21.7,9.3,3.7,Zonguldak
2024-12-10,22.2,10.1,5.0,Zonguldak
2024-12-11,11.4,8.3,20.9,Zonguldak
2024-12-12,8.2,5.6,16.2,Zonguldak
2024-12-13,6.7,3.6,10.1,Zonguldak
2024-12-14,7.3,0.6,0.0,Zonguldak
2024-12-15,8.5,0.5,6.1,Zonguldak
2024-12-16,7.4,3.9,13.5,Zonguldak
2024-12-17,12.4,3.9,0.0,Zonguldak
2024-12-18,13.1,4.2,0.0,Zonguldak
2024-12-19,14.8,2.2,0.0,Zonguldak
2024-12-20,17.5,3.2,0.0,Zonguldak
2024-12-21,15.4,5.8,2.7,Zonguldak
2024-12-22,8.5,3.6,7.4,Zonguldak
2024-12-23,13.7,2.6,0.0,Zonguldak
2024-12-24,15.0,5.2,1.3,Zonguldak
2024-12-25,15.4,9.5,0.1,Zonguldak
2024-12-26,15.8,6.6,0.6,Zonguldak
2024-12-27,8.6,5.2,23.3,Zonguldak
2024-12-28,8.8,5.4,5.4,Zonguldak
2024-12-29,9.5,4.6,1.2,Zonguldak
2024-12-30,9.4,3.6,0.5,Zonguldak
2024-12-31,10.0,1.5,0.0,Zonguldak
2025-01-01,13.1,0.7,0.0,Zonguldak
2025-01-02,16.1,1.1,0.0,Zonguldak
2025-01-03,16.0,3.6,0.0,Zonguldak
2025-01-04,9.6,6.5,40.9,Zonguldak
2025-01-05,8.0,3.6,1.7,Zonguldak
2025-01-06,12.6,0.9,0.0,Zonguldak
2025-01-07,17.2,2.3,0.0,Zonguldak
2025-01-08,19.0,4.8,0.0,Zonguldak
2025-01-09,18.6,6.0,0.0,Zonguldak
2025-01-10,17.0,4.5,0.0,Zonguldak
2025-01-11,13.5,5.9,6.0,Zonguldak
2025-01-12,11.0,7.5,5.0,Zonguldak
2025-01-13,8.9,4.6,26.4,Zonguldak
2025-01-14,7.4,4.6,3.5,Zonguldak
2025-01-15,7.9,3.1,3.8,Zonguldak
2025-01-16,7.1,4.2,4.6,Zonguldak
2025-01-17,8.8,1.7,0.0,Zonguldak
2025-01-18,9.3,1.8,0.0,Zonguldak
2025-01-19,11.3,3.8,0.5,Zonguldak
2025-01-20,9.3,1.7,0.0,Zonguldak
2025-01-21,15.2,-0.6,0.0,Zonguldak
2025-01-22,15.1,5.1,1.6,Zonguldak
2025-01-23,12.1,4.2,3.8,Zonguldak
2025-01-24,14.2,4.0,3.9,Zonguldak
2025-01-25,9.6,6.1,14.1,Zonguldak
2025-01-26,13.5,5.9,0.0,Zonguldak
2025-01-27,15.6,3.8,0.0,Zonguldak
2025-01-28,17.4,3.2,0.0,Zonguldak
2025-01-29,19.3,3.7,0.0,Zonguldak
2025-01-30,18.3,3.8,0.0,Zonguldak
2025-01-31,16.6,6.2,0.0,Zonguldak
2025-02-01,15.4,5.6,0.2,Zonguldak
2025-02-02,12.2,6.3,0.7,Zonguldak
2025-02-03,12.9,3.8,2.7,Zonguldak
2025-02-04,6.1,1.5,11.2,Zonguldak
2025-02-05,4.8,-1.3,6.2,Zonguldak
2025-02-06,2.6,-2.7,14.6,Zonguldak
2025-02-07,3.0,-2.6,5.3,Zonguldak
2025-02-08,4.7,0.8,1.4,Zonguldak
2025-02-09,4.6,1.3,5.2,Zonguldak
2025-02-10,4.8,0.6,5.1,Zonguldak
2025-02-11,3.8,-2.4,1.9,Zonguldak
2025-02-12,5.8,-0.3,1.2,Zonguldak
2025-02-13,6.5,0.1,2.4,Zonguldak
2025-02-14,11.7,-1.7,0.0,Zonguldak
2025-02-15,15.1,2.0,2.7,Zonguldak
2025-02-16,7.9,4.0,8.5,Zonguldak
2025-02-17,6.4,2.4,10.0,Zonguldak
2025-02-18,6.7,2.4,1.6,Zonguldak
2025-02-19,5.7,0.9,0.3,Zonguldak
2025-02-20,3.4,-3.5,3.9,Zonguldak
2025-02-21,1.1,-5.4,13.3,Zonguldak
2025-02-22,-0.2,-7.9,9.8,Zonguldak
2025-02-23,-0.2,-7.9,3.5,Zonguldak
2025-02-24,1.8,-9.1,0.0,Zonguldak
2025-02-25,4.6,-8.6,0.0,Zonguldak
2025-02-26,6.4,-3.3,0.5,Zonguldak
2025-02-27,9.0,-3.4,1.7,Zonguldak
2025-02-28,10.9,1.1,9.9,Zonguldak
2025-03-01,9.7,1.4,0.2,Zonguldak
2025-03-02,12.9,1.0,2.1,Zonguldak
2025-03-03,7.2,3.5,10.4,Zonguldak
2025-03-04,8.9,0.5,0.6,Zonguldak
2025-03-05,11.5,-1.4,0.0,Zonguldak
2025-03-06,15.9,-0.7,0.0,Zonguldak
2025-03-07,16.7,-0.1,0.0,Zonguldak
2025-03-08,16.2,1.4,0.0,Zonguldak
2025-03-09,15.6,0.1,0.0,Zonguldak
2025-03-10,18.4,3.6,0.0,Zonguldak
2025-03-11,23.3,6.6,0.0,Zonguldak
2025-03-12,26.1,7.5,0.0,Zonguldak
2025-03-13,26.8,10.6,0.0,Zonguldak
2025-03-14,27.1,11.2,0.0,Zonguldak
2025-03-15,29.7,12.3,0.0,Zonguldak
2025-03-16,30.9,13.9,0.3,Zonguldak
2025-03-17,19.4,9.5,0.9,Zonguldak
2025-03-18,10.1,2.6,16.9,Zonguldak
2025-03-19,6.1,1.8,3.0,Zonguldak
2025-03-20,6.5,0.2,3.6,Zonguldak
